program_id,university_id,verified_fields,evidence_status,source_urls,verified_at,evidence_note
prog_my_106,uni_my_036,duration_years;tuition_fee;tuition_currency;tuition_period;tuition_student_scope;tuition_source_url;tuition_last_verified_at;intake,VERIFIED_CURRENT_DURATION_FEE_INTAKE,https://newinti.edu.my/programme/bachelor-of-technology-honours-data-science/,2026-08-21,"Current INTI page verifies 3 years, January/May/August intakes and approximate RM85,848 international programme fee."
prog_my_107,uni_my_036,duration_years;tuition_fee;tuition_currency;tuition_period;tuition_student_scope;tuition_source_url;tuition_last_verified_at;intake,VERIFIED_CURRENT_DURATION_FEE_INTAKE,https://newinti.edu.my/programme/bachelor-of-computer-science-hons-in-software-development-coventry-uk/,2026-08-21,"Current INTI page verifies 3 years, January/May/August and approximately RM85,848 international fee."
prog_my_108,uni_my_036,duration_years;tuition_fee;tuition_currency;tuition_period;tuition_student_scope;tuition_source_url;tuition_last_verified_at;intake,VERIFIED_CURRENT_DURATION_FEE_INTAKE,https://newinti.edu.my/programme/bachelor-of-information-technology-hons-coventry-uk/,2026-08-21,"Current INTI page verifies 3 years, January/May/August and approximately RM77,868 international fee."
prog_my_109,uni_my_037,duration_years;intake,VERIFIED_CURRENT_DURATION_INTAKE,https://aimst.edu.my/academic/bachelor-of-computer-science/ | https://aimst.edu.my/admission/,2026-08-21,Official programme page verifies 3.5 years and current 2026 admission calendar verifies March/August/October.
prog_my_110,uni_my_037,intake,VERIFIED_CURRENT_INTAKE_DURATION_DEFERRED,https://aimst.edu.my/academic/bachelor-in-information-systems-data-analyticshonours/ | https://aimst.edu.my/admission/,2026-08-21,Current 2026 intake verified. Curriculum shows Year 1 to Year 3 but duration was not inferred from structure.
prog_my_111,uni_my_037,intake,VERIFIED_CURRENT_INTAKE_DURATION_CONFLICT,https://aimst.edu.my/academic/bachelor-in-software-engineering-honours/ | https://aimst.edu.my/wp-content/uploads/2025/06/FECT.pdf | https://aimst.edu.my/admission/,2026-08-21,Current intake is verified. Duration withheld because official sources state 3.5 years versus 3 years.
prog_my_112,uni_my_038,duration_years;study_mode;tuition_fee;tuition_currency;tuition_period;tuition_student_scope;tuition_source_url;tuition_last_verified_at;intake,VERIFIED_CURRENT_AVAILABILITY_WITH_LEGACY_DETAIL,https://www.oum.edu.my/international-admission/ | https://www.oum.edu.my/programmes-offered-at-oum/postgraduate/master-of-information-technology/,2026-08-21,"Current international availability and RM29,920 confirmed. Exact duration/mode detail page has an older update date, so freshness remains unknown."
prog_my_113,uni_my_038,duration_years;study_mode;intake,VERIFIED_CURRENT_AVAILABILITY_WITH_FEE_CONFLICT,https://www.oum.edu.my/international-admission/ | https://www.oum.edu.my/programmes-offered-at-oum/postgraduate/master-in-data-science/,2026-08-21,"2-year part-time structure and intakes verified. International fee conflict RM29,905 versus RM29,920 was preserved."
prog_my_114,uni_my_038,duration_years;tuition_fee;tuition_currency;tuition_period;tuition_student_scope;tuition_source_url;tuition_last_verified_at,VERIFIED_CURRENT_AVAILABILITY_WITH_LEGACY_DETAIL,https://www.oum.edu.my/international-admission/ | https://www.oum.edu.my/programmes-offered-at-oum/postgraduate/doctor-of-philosophy-information-technology/,2026-08-21,"Current international fee listing confirms RM36,267. Four-year minimum comes from older official programme detail material."
prog_my_115,uni_my_039,duration_years;ielts_requirement,VERIFIED_CURRENT_DURATION_IELTS,https://www.mahsa.edu.my/faculties/Engineering/bachelor-information-technology.php,2026-08-21,Current programme page verifies 3-year duration and IELTS 5.0. TOEFL PBT 500 was not mixed into the existing iBT-style field.
prog_my_116,uni_my_039,,DETAIL_DEFERRED_CURRENT_IDENTITY,https://mahsa.edu.my/faculties/programmes/undergraduate-programmes.php,2026-08-21,Current official identity confirmed. No safely comparable current detail field was force-filled.
prog_my_117,uni_my_039,,DETAIL_DEFERRED_CURRENT_IDENTITY,https://mahsa.edu.my/faculties/programmes/postgraduate-programmes.php,2026-08-21,Current Master in Information Technology identity confirmed. Detail enrichment deferred.
prog_my_118,uni_my_040,duration_years;tuition_fee;tuition_currency;tuition_period;tuition_academic_year;tuition_student_scope;tuition_source_url;tuition_last_verified_at;ielts_requirement;toefl_requirement;intake,VERIFIED_CURRENT_2026_DETAIL_FEE,https://imu.edu.my/academics/undergraduate/digital-health/,2026-08-21,"Current page verifies 3 years, April/July/September, IELTS 5.5, TOEFL iBT 46 and RM130,500 international tuition."
prog_my_119,uni_my_040,duration_years;tuition_fee;tuition_currency;tuition_period;tuition_academic_year;tuition_student_scope;tuition_source_url;tuition_last_verified_at;ielts_requirement;toefl_requirement;intake,VERIFIED_CURRENT_2026_DETAIL_FEE,https://imu.edu.my/academics/undergraduate/business-analytics/,2026-08-21,"Current programme verifies 3 years, September intake, IELTS 5.5, TOEFL 46 and RM130,500 international tuition."
prog_my_120,uni_my_040,duration_years;ielts_requirement;toefl_requirement;intake,VERIFIED_CURRENT_2026_WITH_FEE_CONFLICT,https://www.imu.edu.my/wp-content/uploads/school/brochure-school-of-business-and-technology.pdf | https://study.imu.edu.my/business-administration-pathway/ | https://www.imu.edu.my/wp-content/uploads/programme/brochure-business-administration-with-healthcare-management.pdf,2026-08-21,"3-year duration, current intakes, IELTS 5.5 and TOEFL iBT 46 verified. International tuition withheld because current official sources show RM130,500 versus RM126,000."
