program_id,international_applicants_status,international_application_url,international_requirements_note,international_applicants_last_verified_at
prog_hk_001,verified_yes,https://admissions.hku.hk/programmes/undergraduate-programmes/computing-and-data-science,Official HKU undergraduate admissions material lists this study option within the University's international admissions framework.,2026-08-21
prog_hk_002,verified_yes,https://admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-business-administration,Official HKU undergraduate admissions material supports international/non-local application; qualification-specific requirements still apply.,2026-08-21
prog_hk_003,verified_yes,https://admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-science,Official HKU undergraduate admissions material supports international/non-local application; qualification-specific requirements still apply.,2026-08-21
prog_hk_004,verified_yes,https://admission.cuhk.edu.hk/programme/bcsen/,Official CUHK programme page explicitly lists this programme as open for International admission.,2026-08-21
prog_hk_005,verified_yes,https://admission.cuhk.edu.hk/programme/ibbac/,Official CUHK programme page explicitly lists this programme as open for International admission.,2026-08-21
prog_hk_006,verified_yes,https://admission.cuhk.edu.hk/programme/dspsn/,Official CUHK programme page explicitly lists this programme as open for International admission.,2026-08-21
prog_hk_007,verified_yes,https://join.hkust.edu.hk/our-programs/school-of-engineering/computer-engineering,Official HKUST programme page provides this programme as an application choice for international qualifications.,2026-08-21
prog_hk_008,verified_yes,https://join.hkust.edu.hk/our-programs/school-of-science/biomedical-and-health-sciences,Official HKUST programme page provides direct application for international-qualification holders.,2026-08-21
prog_hk_009,verified_yes,https://join.hkust.edu.hk/our-programs/school-of-business-and-management/economics,Official HKUST programme page lists BBA Economics as a direct application choice for international qualifications.,2026-08-21
prog_hk_010,verified_yes,https://www.polyu.edu.hk/study/ug/international/2026/js3868,Official PolyU international programme page provides an International / Other Qualification application route.,2026-08-21
prog_hk_011,verified_yes,https://www.polyu.edu.hk/dsai/study/ug/prospective-students/bsc-scheme-in-data-science-and-artificial-intelligence/,Official PolyU programme page explicitly provides an International Students route for non-local students with international qualifications.,2026-08-21
prog_hk_012,verified_yes,https://www.polyu.edu.hk/study/ug/international/2026/js3003,Official PolyU international programme page provides Non-Local International / Other Qualification admission.,2026-08-21
prog_hk_013,verified_yes,https://www.cityu.edu.hk/admo/programmes/bsc-computer-science,Official CityUHK programme page explicitly includes International Admission.,2026-08-21
prog_hk_014,verified_yes,https://www.cityu.edu.hk/admo/programmes/school-data-science-options-bsc-data-science-bsc-data-and-systems-engineering,Official CityUHK programme page explicitly includes International Admission.,2026-08-21
prog_hk_015,verified_yes,https://www.cityu.edu.hk/admo/programmes/bba-global-business,Official CityUHK programme page explicitly includes International Admission.,2026-08-21
prog_hk_016,verified_yes,https://admissions.hkbu.edu.hk/programmes/faculty-of-science/bachelor-of-science-hons-in-business-computing-and-data-analytics-year1.html,Official HKBU Year-1 programme page supports International Qualifications admission.,2026-08-21
prog_hk_017,verified_yes,https://admissions.hkbu.edu.hk/programmes/school-of-business/bachelor-of-business-administration-hons-year1.html,Official HKBU Year-1 programme page explicitly includes International Qualifications.,2026-08-21
prog_hk_018,verified_yes,https://admissions.hkbu.edu.hk/programmes/school-of-communication/bachelor-of-communication-hons-journalism-and-digital-media-public-relations-and-advertising-year1.html,Official HKBU Year-1 programme page explicitly includes International Qualifications.,2026-08-21
prog_hk_019,unknown,,"Current programme identity is verified. University-level international access is verified, but programme-specific international applicant eligibility has not been sufficiently confirmed.",2026-08-21
prog_hk_020,unknown,,Current programme identity is verified. Programme-specific international applicant eligibility remains unresolved.,2026-08-21
prog_hk_021,unknown,,Current programme identity is verified. Programme-specific international applicant eligibility remains unresolved.,2026-08-21
prog_hk_022,verified_yes,https://www.apply.eduhk.hk/ug/programmes/aiet,EdUHK lists this programme for applicants using International Qualifications.,2026-08-21
prog_hk_023,verified_yes,https://www.apply.eduhk.hk/ug/programmes/esdc/,Official EdUHK programme information includes International Qualifications as an admission scheme.,2026-08-21
prog_hk_024,verified_yes,https://www.apply.eduhk.hk/ug/programmes/psy,Official EdUHK programme list and non-local admission route support international applicants.,2026-08-21
prog_hk_025,verified_yes,https://admissions.hkmu.edu.hk/ug/st/bachelor-of-science-with-honours-in-computing/,Official programme page provides Direct Admission (Non-Local).,2026-08-21
prog_hk_026,verified_yes,https://admissions.hkmu.edu.hk/ug/ba/business-management/,Official programme page provides Direct Admission (Non-Local).,2026-08-21
prog_hk_027,verified_yes,https://admissions.hkmu.edu.hk/ug/ba/finance-and-financial-technology/,Official programme page provides Direct Admission (Non-Local).,2026-08-21
prog_hk_028,verified_yes,https://adsci.hksyu.edu/programme/BSc-ADS/programme-overview,Programme identity is official and HKSYU accepts non-local applicants with overseas qualifications. Current non-local tuition is also published for this programme.,2026-08-21
prog_hk_029,verified_yes,https://ef.hksyu.edu/Programmes/BCom-in-FinTech,Official programme page publishes a 2026/27 non-local tuition rate and HKSYU accepts non-local overseas-qualification applicants.,2026-08-21
prog_hk_030,verified_yes,https://counpsy.hksyu.edu/,Official department source confirms the undergraduate Psychology programme and HKSYU's official admissions source accepts non-local overseas-qualification applicants.,2026-08-21
prog_hk_031,verified_yes,https://admission.hsu.edu.hk/programmes/by-schools/,Programme-specific official evidence supports non-local undergraduate access.,2026-08-21
prog_hk_032,verified_yes,https://admission.hsu.edu.hk/programmes/by-schools/,Programme-specific official evidence supports non-local undergraduate access.,2026-08-21
prog_hk_033,verified_yes,https://admission.hsu.edu.hk/programmes/by-schools/,Programme-specific official evidence supports non-local undergraduate access.,2026-08-21
prog_hk_034,unknown,,"University-level international access is verified, but programme-specific eligibility remains unresolved.",2026-08-21
prog_hk_035,unknown,,"University-level international access is verified, but programme-specific eligibility remains unresolved.",2026-08-21
prog_hk_036,unknown,,"University-level international access is verified, but programme-specific eligibility remains unresolved.",2026-08-21
prog_hk_037,verified_yes,https://www.sfu.edu.hk/en/admission/admission/international-qualifications/index.html,Programme-specific official non-local admissions evidence is available.,2026-08-21
prog_hk_038,verified_yes,https://www.sfu.edu.hk/en/admission/admission/international-qualifications/index.html,Programme-specific official non-local admissions evidence is available.,2026-08-21
prog_hk_039,verified_yes,https://www.sfu.edu.hk/en/admission/admission/international-qualifications/index.html,Programme-specific official non-local admissions evidence is available.,2026-08-21
prog_hk_040,verified_yes,https://thei.edu.hk/admission/international-student-fee/programme-information/,Programme-specific international-student evidence is available.,2026-08-21
prog_hk_041,verified_yes,https://thei.edu.hk/admission/international-student-fee/programme-information/,Programme-specific international-student evidence is available.,2026-08-21
prog_hk_042,verified_yes,https://thei.edu.hk/admission/international-student-fee/programme-information/,Programme-specific international-student evidence is available.,2026-08-21
prog_hk_043,verified_yes,https://www.twc.edu.hk/uploads/files/FO/2026_27_Tuition_Fee_2026_27_NLoc.pdf,Programme-specific official non-local evidence is available.,2026-08-21
prog_hk_044,verified_yes,https://www.twc.edu.hk/uploads/files/FO/2026_27_Tuition_Fee_2026_27_NLoc.pdf,Programme-specific official non-local evidence is available.,2026-08-21
prog_hk_045,verified_yes,https://www.twc.edu.hk/uploads/files/FO/2026_27_Tuition_Fee_2026_27_NLoc.pdf,Programme-specific official non-local evidence is available.,2026-08-21
