program_id,university_id,program_name,field_of_study,degree_level,duration_years,study_mode,language_of_instruction,tuition_fee,tuition_currency,tuition_period,minimum_gpa,gpa_scale,ielts_requirement,toefl_requirement,intake,application_deadline,program_url,collected_at,last_verified_at,freshness_status
prog_hk_001,uni_hk_001,Computing and Data Science,Data Science,Bachelor,4,Full-time,,,,,,,,,,,https://admissions.hku.hk/programmes/undergraduate-programmes/computing-and-data-science,2026-08-21,2026-08-21,Pending Detail Verification; Duration Verified; Study Mode Verified
prog_hk_002,uni_hk_001,Bachelor of Business Administration,Business & Management,Bachelor,4,Full-time,,,,,,,,,,,https://admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-business-administration,2026-08-21,2026-08-21,Pending Detail Verification; Duration Verified; Study Mode Verified
prog_hk_003,uni_hk_001,Bachelor of Science,General Science,Bachelor,4,Full-time,,,,,,,,,,,https://admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-science,2026-08-21,2026-08-21,Pending Detail Verification; Duration Verified; Study Mode Verified
prog_hk_004,uni_hk_002,Computer Science and Engineering,Computer Science,Bachelor,4,Full-time,,,,,,,,,,,https://admission.cuhk.edu.hk/programme/bcsen/,2026-08-21,2026-08-21,Pending Detail Verification; Duration Verified; Study Mode Verified
prog_hk_005,uni_hk_002,Integrated Bachelor of Business Administration Programme,Business & Management,Bachelor,4,Full-time,,,,,,,,,,,https://admission.cuhk.edu.hk/programme/ibbac/,2026-08-21,2026-08-21,Pending Detail Verification; Duration Verified; Study Mode Verified
prog_hk_006,uni_hk_002,Data Science and Policy Studies,Data Science,Bachelor,4,Full-time,,,,,,,,,,,https://admission.cuhk.edu.hk/programme/dspsn/,2026-08-21,2026-08-21,Pending Detail Verification; Duration Verified; Study Mode Verified
prog_hk_007,uni_hk_003,BEng in Computer Engineering,Computer Engineering,Bachelor,4,Full-time,,,,,,,,,,,https://join.hkust.edu.hk/our-programs/school-of-engineering/computer-engineering,2026-08-21,2026-08-21,Pending Detail Verification; Duration Verified; Study Mode Verified
prog_hk_008,uni_hk_003,BSc in Biomedical and Health Sciences,Biomedical & Health Sciences,Bachelor,4,Full-time,,,,,,,,,,,https://join.hkust.edu.hk/our-programs/school-of-science/biomedical-and-health-sciences,2026-08-21,2026-08-21,Pending Detail Verification; Duration Verified; Study Mode Verified
prog_hk_009,uni_hk_003,BBA in Economics,Economics,Bachelor,4,Full-time,,,,,,,,,,,https://join.hkust.edu.hk/our-programs/school-of-business-and-management/economics,2026-08-21,2026-08-21,Pending Detail Verification; Duration Verified; Study Mode Verified
prog_hk_010,uni_hk_004,Bachelor of Science (Honours) Scheme in Computing and AI,Artificial Intelligence & Intelligent Systems,Bachelor,4,Full-time,,,,,,,,,,,https://www.polyu.edu.hk/study/ug/international/2026/js3868,2026-08-21,2026-08-21,Pending Detail Verification; Duration Verified; Study Mode Verified
prog_hk_011,uni_hk_004,Bachelor of Science (Honours) Scheme in Data Science and Artificial Intelligence,Data Science,Bachelor,4,Full-time,,,,,,,,,,,https://www.polyu.edu.hk/dsai/study/ug/prospective-students/bsc-scheme-in-data-science-and-artificial-intelligence/,2026-08-21,2026-08-21,Pending Detail Verification; Duration Verified; Study Mode Verified
prog_hk_012,uni_hk_004,Bachelor's Degree Scheme in Business Administration,Business & Management,Bachelor,4,Full-time,,,,,,,,,,,https://www.polyu.edu.hk/study/ug/international/2026/js3003,2026-08-21,2026-08-21,Pending Detail Verification; Duration Verified; Study Mode Verified
prog_hk_013,uni_hk_005,BSc Computer Science,Computer Science,Bachelor,4,Full-time,,,,,,,,,,,https://www.cityu.edu.hk/admo/programmes/bsc-computer-science,2026-08-21,2026-08-21,Pending Detail Verification; Duration Verified; Study Mode Verified
prog_hk_014,uni_hk_005,Data Science (Majors: BSc Data Science / BSc Data and Systems Engineering),Data Science,Bachelor,4,Full-time,,,,,,,,,,,https://www.cityu.edu.hk/admo/programmes/school-data-science-options-bsc-data-science-bsc-data-and-systems-engineering,2026-08-21,2026-08-21,Pending Detail Verification; Duration Verified; Study Mode Verified
prog_hk_015,uni_hk_005,BBA Global Business,Business & Management,Bachelor,4,Full-time,,,,,,,,,,,https://www.cityu.edu.hk/admo/programmes/bba-global-business,2026-08-21,2026-08-21,Pending Detail Verification; Duration Verified; Study Mode Verified
prog_hk_016,uni_hk_006,Bachelor of Science (Hons) in Business Computing and Data Analytics,Business Analytics & Information Systems,Bachelor,4,Full-time,,,,,,,,,,,https://admissions.hkbu.edu.hk/programmes/faculty-of-science/bachelor-of-science-hons-in-business-computing-and-data-analytics-year1.html,2026-08-21,2026-08-21,Pending Detail Verification; Duration Verified; Study Mode Verified
prog_hk_017,uni_hk_006,Bachelor of Business Administration (Hons),Business & Management,Bachelor,4,Full-time,,,,,,,,,,,https://admissions.hkbu.edu.hk/programmes/school-of-business/bachelor-of-business-administration-hons-year1.html,2026-08-21,2026-08-21,Pending Detail Verification; Duration Verified; Study Mode Verified
prog_hk_018,uni_hk_006,Bachelor of Communication (Hons) (Journalism and Digital Media / Public Relations and Advertising),Communication & Media,Bachelor,4,Full-time,,,,,,,,,,,https://admissions.hkbu.edu.hk/programmes/school-of-communication/bachelor-of-communication-hons-journalism-and-digital-media-public-relations-and-advertising-year1.html,2026-08-21,2026-08-21,Pending Detail Verification; Duration Verified; Study Mode Verified
prog_hk_019,uni_hk_007,Bachelor of Science (Honours) in Data Science,Data Science,Bachelor,4,Full-time,,,,,,,,,,,https://www.ln.edu.hk/admissions/ug/programme/jupas-applicants/data-science,2026-08-21,2026-08-21,Pending Detail Verification; Duration Verified; Study Mode Verified
