program_id,university_id,program_name,field_of_study,degree_level,duration_years,study_mode,language_of_instruction,tuition_fee,tuition_currency,tuition_period,minimum_gpa,gpa_scale,ielts_requirement,toefl_requirement,intake,application_deadline,program_url,collected_at,last_verified_at,freshness_status
prog_jp_001,uni_jp_001,Computer Science,Computer Science,Master,2,Full-time,English Available,535800,JPY,Annual,,,,,,,https://www.i.u-tokyo.ac.jp/index_e.shtml,2026-08-09,2026-08-09,Partial - Tuition Verified; Language Classification Verified; Duration Verified; Study Mode Normalized
prog_jp_002,uni_jp_001,Mathematical Informatics,Mathematics & Mathematical Informatics,Master,2,Full-time,English Available,535800,JPY,Annual,,,,,,,https://www.i.u-tokyo.ac.jp/index_e.shtml,2026-08-09,2026-08-09,Partial - Tuition Verified; Language Classification Verified; Duration Verified; Study Mode Normalized
prog_jp_003,uni_jp_001,Information Physics & Computing,Information Science & Informatics,Master,2,Full-time,English Available,535800,JPY,Annual,,,,,,,https://www.i.u-tokyo.ac.jp/index_e.shtml,2026-08-09,2026-08-09,Partial - Tuition Verified; Language Classification Verified; Duration Verified; Study Mode Normalized
prog_jp_004,uni_jp_002,Intelligence Science and Technology,Artificial Intelligence & Intelligent Systems,Master,2,Full-time,English Available,535800,JPY,Annual,,,,,,,https://www.i.kyoto-u.ac.jp/en/course/,2026-08-09,2026-08-09,Partial - Tuition Verified; Language Classification Verified; Duration Verified; Study Mode Normalized
prog_jp_005,uni_jp_002,Communications and Computer Engineering,Networks & Communications,Master,2,Full-time,English Available,535800,JPY,Annual,,,,,,,https://www.i.kyoto-u.ac.jp/en/course/,2026-08-09,2026-08-09,Partial - Tuition Verified; Language Classification Verified; Duration Verified; Study Mode Normalized
prog_jp_006,uni_jp_002,Data Science,Data Science,Master,2,Full-time,Mixed,535800,JPY,Annual,,,,,,,https://www.i.kyoto-u.ac.jp/en/course/,2026-08-09,2026-08-09,Partial - Tuition Verified; Language Classification Verified; Duration Verified; Study Mode Normalized
prog_jp_007,uni_jp_003,Computer Science,Computer Science,Master,2,Full-time,Japanese,535800,JPY,Annual,,,,,,,https://www.ist.osaka-u.ac.jp/english/,2026-08-09,2026-08-09,Partial - Tuition Verified; Language Classification Verified; Duration Verified; Study Mode Normalized
prog_jp_008,uni_jp_003,Information Networking,Networks & Communications,Master,2,Full-time,Japanese,535800,JPY,Annual,,,,,,,https://www.ist.osaka-u.ac.jp/english/majors/nw.php,2026-08-09,2026-08-09,Partial - Tuition Verified; Language Classification Verified; Duration Verified; Study Mode Normalized
prog_jp_009,uni_jp_003,Multimedia Engineering,Media & Design,Master,2,Full-time,Japanese,535800,JPY,Annual,,,,,,,https://www.ist.osaka-u.ac.jp/english/majors/mm.php,2026-08-09,2026-08-09,Partial - Tuition Verified; Language Classification Verified; Duration Verified; Study Mode Normalized
prog_jp_010,uni_jp_004,Computer and Mathematical Sciences,Mathematics & Mathematical Informatics,Master,2,Full-time,Unknown,535800,JPY,Annual,,,,,,,https://www.is.tohoku.ac.jp/en/,2026-08-09,2026-08-09,Partial - Tuition Verified; Language Checked - Not Fully Verified; Duration Verified; Study Mode Normalized
prog_jp_011,uni_jp_004,System Information Sciences,Information Science & Informatics,Master,2,Full-time,Unknown,535800,JPY,Annual,,,,,,,https://www.is.tohoku.ac.jp/en/,2026-08-09,2026-08-09,Partial - Tuition Verified; Language Checked - Not Fully Verified; Duration Verified; Study Mode Normalized
prog_jp_012,uni_jp_004,Applied Information Sciences,Information Science & Informatics,Master,2,Full-time,Unknown,535800,JPY,Annual,,,,,,,https://www.is.tohoku.ac.jp/en/,2026-08-09,2026-08-09,Partial - Tuition Verified; Language Checked - Not Fully Verified; Duration Verified; Study Mode Normalized
prog_jp_013,uni_jp_005,Mathematical Informatics,Mathematics & Mathematical Informatics,Master,2,Full-time,Unknown,535800,JPY,Annual,,,,,,,https://www.i.nagoya-u.ac.jp/en/graduate-school-of-informatics/,2026-08-09,2026-08-09,Partial - Tuition Verified; Language Checked - Not Fully Verified; Duration Verified; Study Mode Normalized
prog_jp_014,uni_jp_005,Computing and Software Systems,Software & Systems Engineering,Master,2,Full-time,Unknown,535800,JPY,Annual,,,,,,,https://www.i.nagoya-u.ac.jp/en/graduate-school-of-informatics/,2026-08-09,2026-08-09,Partial - Tuition Verified; Language Checked - Not Fully Verified; Duration Verified; Study Mode Normalized
prog_jp_015,uni_jp_005,Intelligent Systems,Artificial Intelligence & Intelligent Systems,Master,2,Full-time,Unknown,535800,JPY,Annual,,,,,,,https://www.i.nagoya-u.ac.jp/en/graduate-school-of-informatics/,2026-08-09,2026-08-09,Partial - Tuition Verified; Language Checked - Not Fully Verified; Duration Verified; Study Mode Normalized
prog_jp_016,uni_jp_006,International Master's/Doctoral Program in Information Science and Technology,Information Science & Informatics,Master,2,Full-time,English,535800,JPY,Annual,,,,,,,https://www.isc.kyushu-u.ac.jp/graduate/,2026-08-09,2026-08-09,Partial - Tuition Verified; Language Classification Verified; Duration Verified; Study Mode Normalized
prog_jp_017,uni_jp_006,International Master's/Doctoral Program in Electrical and Electronic Engineering,Electrical & Electronic Engineering,Master,2,Full-time,English,535800,JPY,Annual,,,,,,,https://www.isc.kyushu-u.ac.jp/graduate/,2026-08-09,2026-08-09,Partial - Tuition Verified; Language Classification Verified; Duration Verified; Study Mode Normalized
prog_jp_018,uni_jp_006,Master's Program in the Department of Design (Acoustic Design Course),Media & Design,Master,2,Full-time,English,535800,JPY,Annual,,,,,,,https://www.isc.kyushu-u.ac.jp/graduate/,2026-08-09,2026-08-09,Partial - Tuition Verified; Language Classification Verified; Duration Verified; Study Mode Normalized
prog_jp_019,uni_jp_007,Computer Science and Information Technology,Computer Science,Master,2,Full-time,Unknown,535800,JPY,Annual,,,,,,,https://www.ist.hokudai.ac.jp/eng/divisions/,2026-08-09,2026-08-09,Partial - Tuition Verified; Language Checked - Not Fully Verified; Duration Verified; Study Mode Normalized
prog_jp_020,uni_jp_007,Media and Network Technologies,Networks & Communications,Master,2,Full-time,Unknown,535800,JPY,Annual,,,,,,,https://www.ist.hokudai.ac.jp/eng/divisions/,2026-08-09,2026-08-09,Partial - Tuition Verified; Language Checked - Not Fully Verified; Duration Verified; Study Mode Normalized
prog_jp_021,uni_jp_007,Systems Science and Informatics,Software & Systems Engineering,Master,2,Full-time,Unknown,535800,JPY,Annual,,,,,,,https://www.ist.hokudai.ac.jp/eng/divisions/,2026-08-09,2026-08-09,Partial - Tuition Verified; Language Checked - Not Fully Verified; Duration Verified; Study Mode Normalized
prog_jp_022,uni_jp_008,Graduate major in Computer Science,Computer Science,Master,2,Full-time,English Available,635400,JPY,Annual,,,,,,,https://www.isct.ac.jp/en/001/about/organizations/school-of-computing,2026-08-09,2026-08-09,Partial - Tuition Verified; Language Classification Verified; Duration Verified; Study Mode Normalized
prog_jp_023,uni_jp_008,Graduate major in Mathematical and Computing Science,Mathematics & Mathematical Informatics,Master,2,Full-time,English Available,635400,JPY,Annual,,,,,,,https://www.isct.ac.jp/en/001/about/organizations/school-of-computing,2026-08-09,2026-08-09,Partial - Tuition Verified; Language Classification Verified; Duration Verified; Study Mode Normalized
prog_jp_024,uni_jp_008,Graduate major in Artificial Intelligence,Artificial Intelligence & Intelligent Systems,Master,2,Full-time,English Available,635400,JPY,Annual,,,,,,,https://www.isct.ac.jp/en/001/about/organizations/school-of-computing,2026-08-09,2026-08-09,Partial - Tuition Verified; Language Classification Verified; Duration Verified; Study Mode Normalized
prog_jp_025,uni_jp_009,Computer Science,Computer Science,Master,2,Full-time,English,535800,JPY,Annual,,,,,,,https://www.sie.tsukuba.ac.jp/eng/edu/course/cs/,2026-08-09,2026-08-09,Partial - AY2026 Tuition Verified; AY2027 Change Announced; Language Classification Verified; Duration Verified; Study Mode Normalized
prog_jp_026,uni_jp_009,Intelligent and Mechanical Interaction Systems,Artificial Intelligence & Intelligent Systems,Master,2,Full-time,Unknown,535800,JPY,Annual,,,,,,,https://www.sie.tsukuba.ac.jp/eng/,2026-08-09,2026-08-09,Partial - AY2026 Tuition Verified; AY2027 Change Announced; Language Checked - Not Fully Verified; Duration Verified; Study Mode Normalized
prog_jp_027,uni_jp_009,Empowerment Informatics,Information Science & Informatics,PhD,5,Full-time,Unknown,535800,JPY,Annual,,,,,,,https://www.emp.tsukuba.ac.jp/english,2026-08-09,2026-08-09,Partial - AY2026 Tuition Verified; AY2027 Change Announced; Language Checked - Not Fully Verified; Duration Verified; Study Mode Normalized
