program_id,university_id,program_name,field_of_study,degree_level,duration_years,study_mode,language_of_instruction,tuition_fee,tuition_currency,tuition_period,minimum_gpa,gpa_scale,ielts_requirement,toefl_requirement,intake,application_deadline,program_url,collected_at,last_verified_at,freshness_status
prog_jp_001,uni_jp_001,Computer Science,,Master,,,,,,,,,,,,,https://www.i.u-tokyo.ac.jp/index_e.shtml,2026-08-09,,Pending Detail Verification
prog_jp_002,uni_jp_001,Mathematical Informatics,,Master,,,,,,,,,,,,,https://www.i.u-tokyo.ac.jp/index_e.shtml,2026-08-09,,Pending Detail Verification
prog_jp_003,uni_jp_001,Information Physics & Computing,,Master,,,,,,,,,,,,,https://www.i.u-tokyo.ac.jp/index_e.shtml,2026-08-09,,Pending Detail Verification
prog_jp_004,uni_jp_002,Intelligence Science and Technology,,Master,,,,,,,,,,,,,https://www.i.kyoto-u.ac.jp/en/course/,2026-08-09,,Pending Detail Verification
prog_jp_005,uni_jp_002,Communications and Computer Engineering,,Master,,,,,,,,,,,,,https://www.i.kyoto-u.ac.jp/en/course/,2026-08-09,,Pending Detail Verification
prog_jp_006,uni_jp_002,Data Science,,Master,,,,,,,,,,,,,https://www.i.kyoto-u.ac.jp/en/course/,2026-08-09,,Pending Detail Verification
prog_jp_007,uni_jp_003,Computer Science,,Master,,,,,,,,,,,,,https://www.ist.osaka-u.ac.jp/english/,2026-08-09,,Pending Detail Verification
prog_jp_008,uni_jp_003,Information Networking,,Master,,,,,,,,,,,,,https://www.ist.osaka-u.ac.jp/english/majors/nw.php,2026-08-09,,Pending Detail Verification
prog_jp_009,uni_jp_003,Multimedia Engineering,,Master,,,,,,,,,,,,,https://www.ist.osaka-u.ac.jp/english/majors/mm.php,2026-08-09,,Pending Detail Verification
prog_jp_010,uni_jp_004,Computer and Mathematical Sciences,,Master,,,,,,,,,,,,,https://www.is.tohoku.ac.jp/en/,2026-08-09,,Pending Detail Verification
prog_jp_011,uni_jp_004,System Information Sciences,,Master,,,,,,,,,,,,,https://www.is.tohoku.ac.jp/en/,2026-08-09,,Pending Detail Verification
prog_jp_012,uni_jp_004,Applied Information Sciences,,Master,,,,,,,,,,,,,https://www.is.tohoku.ac.jp/en/,2026-08-09,,Pending Detail Verification
prog_jp_013,uni_jp_005,Mathematical Informatics,,Master,,,,,,,,,,,,,https://www.i.nagoya-u.ac.jp/en/graduate-school-of-informatics/,2026-08-09,,Pending Detail Verification
