program_id,international_applicants_status,international_application_url,international_requirements_note,international_applicants_last_verified_at
prog_mo_001,verified_yes,https://reg.um.edu.mo/admissions/nonlocal/others-regions/app-adm-rules/,UM 2026/2027 international admission page states that foreign-passport international applicants may apply to Bachelor programmes through Admission Examination or Direct Admission.,2026-08-21
prog_mo_002,verified_yes,https://reg.um.edu.mo/admissions/nonlocal/others-regions/app-adm-rules/,UM has a 2026/2027 Bachelor admission route specifically for international students holding foreign passports.,2026-08-21
prog_mo_003,verified_yes,https://reg.um.edu.mo/admissions/nonlocal/others-regions/app-adm-rules/,UM 2026/2027 international Bachelor admission route supports foreign-passport applicants.,2026-08-21
prog_mo_004,verified_yes,https://mpusite.mpu.edu.mo/admission_overseas/en/direct_admission.php,MPU overseas direct admission explicitly lists Bachelor of Science in Computing as an applicable programme.,2026-08-21
prog_mo_005,verified_yes,https://mpusite.mpu.edu.mo/admission_overseas/en/direct_admission.php,MPU overseas admission explicitly includes this programme.,2026-08-21
prog_mo_006,verified_yes,https://mpusite.mpu.edu.mo/admission_overseas/en/direct_admission.php,MPU overseas direct admission includes Bachelor of Management among applicable Bachelor programmes.,2026-08-21
prog_mo_007,verified_yes,https://www.must.edu.mo/en/academic-affairs-office/938-admissions/international-student/6159-international-student-e,MUST explicitly lists BBA among undergraduate programmes open to international students.,2026-08-21
prog_mo_008,verified_yes,https://www.must.edu.mo/en/academic-affairs-office/938-admissions/international-student/6159-international-student-e,MUST explicitly lists Bachelor of International Tourism Management for international-student applications.,2026-08-21
prog_mo_009,verified_yes,https://www.must.edu.mo/en/academic-affairs-office/938-admissions/international-student/6159-international-student-e,MUST international-student page explicitly includes Bachelor of Applied Economics.,2026-08-21
prog_mo_010,verified_yes,https://www.cityu.edu.mo/en/apply-now-bachelors-degree-programs-2026-2027-macao-hong-kong-taiwan-overseas/,CityU 2026/2027 admissions explicitly accepts international students and lists Computer Science.,2026-08-21
prog_mo_011,verified_yes,https://www.cityu.edu.mo/en/apply-now-bachelors-degree-programs-2026-2027-macao-hong-kong-taiwan-overseas/,CityU 2026/2027 international admission offering includes Business Administration.,2026-08-21
prog_mo_012,verified_yes,https://www.cityu.edu.mo/en/apply-now-bachelors-degree-programs-2026-2027-macao-hong-kong-taiwan-overseas/,CityU explicitly lists this programme for its 2026/2027 international applicant route.,2026-08-21
prog_mo_013,verified_yes,https://www.usj.edu.mo/en/international/international-application/,USJ has a dedicated international application process and its admissions requirements explicitly refer to international prospective students.,2026-08-21
prog_mo_014,verified_yes,https://www.usj.edu.mo/en/international/international-application/,USJ accepts international applicants through its official international application process.,2026-08-21
prog_mo_015,verified_yes,https://www.usj.edu.mo/en/international/international-application/,International applicants may apply through USJ's official international application procedure.,2026-08-21
prog_mo_016,verified_yes,https://www.utm.edu.mo/admission/filemanager/Flyer/en/upload/18/2026-2027%20UG%20admission%20brochure%20%28ENG%29.pdf,UTM 2026/2027 undergraduate brochure explicitly provides admission and tuition information for students from other countries or regions and non-local applicants.,2026-08-21
prog_mo_017,verified_yes,https://www.utm.edu.mo/admission/filemanager/Flyer/en/upload/18/2026-2027%20UG%20admission%20brochure%20%28ENG%29.pdf,UTM 2026/2027 admission brochure explicitly covers non-local applicants and students from other countries.,2026-08-21
prog_mo_018,verified_yes,https://www.utm.edu.mo/admission/filemanager/Flyer/en/upload/18/2026-2027%20UG%20admission%20brochure%20%28ENG%29.pdf,UTM provides an official 2026/2027 non-local undergraduate admission route.,2026-08-21
prog_mo_022,verified_yes,https://www2.kwnc.edu.mo/en/standard/BSN_Programme.html,Official 2026/2027 BSN page contains a dedicated International Students admission section and requirements.,2026-08-21
prog_mo_025,unknown,,A sufficiently explicit current international-student admission route for this BBA was not verified; do not infer eligibility from the public programme page.,2026-08-21
prog_mo_028,verified_yes,https://mmc.edu.mo/en/blog/category/enrollment_en/,MMC official enrolment area provides Macao International/Overseas Enrollment and international student enrolment information.,2026-08-21
