program_id,university_id,program_name,field_of_study,degree_level,duration_years,study_mode,language_of_instruction,tuition_fee,tuition_currency,tuition_period,minimum_gpa,gpa_scale,ielts_requirement,toefl_requirement,intake,application_deadline,program_url,collected_at,last_verified_at,freshness_status
prog_mo_001,uni_mo_001,Bachelor of Science in Computer Science,Computer Science,Bachelor,4,Full-time,English,490400,MOP,Total,,,,,,,https://www.cis.um.edu.mo/bsc_computer_science.html,2026-08-22,2026-08-22,current
prog_mo_002,uni_mo_001,Bachelor of Science in Electrical and Computer Engineering,Electrical and Computer Engineering,Bachelor,4,Full-time,English,490400,MOP,Total,,,,,,,https://www.fst.um.edu.mo/academics/programs/,2026-08-22,2026-08-22,current
prog_mo_003,uni_mo_001,Bachelor of Science in Civil Engineering,Civil Engineering,Bachelor,4,Full-time,English,490400,MOP,Total,,,,,,,https://www.fst.um.edu.mo/cee/degrees/bachelor/,2026-08-22,2026-08-22,current
prog_mo_004,uni_mo_002,Bachelor of Science in Computing,Computing,Bachelor,4,,English,480000,MOP,Total,,,,,,,https://fca.mpu.edu.mo/en/study/bachelor-degree-programmes/bachelor-of-science-in-computing-applicable-to-20232024-intake-and-onwards,2026-08-22,2026-08-22,current
prog_mo_005,uni_mo_002,Bachelor of Science in Artificial Intelligence,Artificial Intelligence,Bachelor,4,,English,480000,MOP,Total,,,,,,,https://fca.mpu.edu.mo/en/study/bachelor-degree-programmes/bachelor-of-science-in-artificial-intelligence,2026-08-22,2026-08-22,current
prog_mo_006,uni_mo_002,Bachelor of Management,Management,Bachelor,4,,English,480000,MOP,Total,,,,,,,https://fcg.mpu.edu.mo/en/study/bachelor-degree-programmes/bachelor-of-management,2026-08-22,2026-08-22,current
prog_mo_007,uni_mo_003,Bachelor of Business Administration,Business Administration,Bachelor,4,,English,174000,HKD,Annual,,,,,,,https://msb.must.edu.mo/page/id-3505.html?locale=en_US,2026-08-22,2026-08-22,current
prog_mo_008,uni_mo_003,Bachelor of International Tourism Management,Tourism and Hospitality Management,Bachelor,4,,English,163000,HKD,Annual,,,,,,,https://fhtm.must.edu.mo/id-1725/program/view/id-263.html?locale=en_US,2026-08-22,2026-08-22,current
prog_mo_009,uni_mo_003,Bachelor of Applied Economics,Economics,Bachelor,4,,English,174000,HKD,Annual,,,,,,,https://ugadmissions.must.edu.mo/faculty/id-2878.html?locale=en_US,2026-08-22,2026-08-22,current
prog_mo_010,uni_mo_004,Bachelor of Computer Science,Computer Science,Bachelor,4,,Unknown,125000,HKD,Annual,,,,,,,https://fds.cityu.edu.mo/en/page-132,2026-08-22,2026-08-22,current
prog_mo_011,uni_mo_004,Bachelor of Business Administration,Business Administration,Bachelor,4,,Chinese,125000,HKD,Annual,,,,,,,https://www.cityu.edu.mo/en/admissions/bachelors-degree-programmes/,2026-08-22,2026-08-22,current
prog_mo_012,uni_mo_004,Bachelor of International Tourism and Hotel Management,Tourism and Hotel Management,Bachelor,4,Full-time,English,115000,HKD,Annual,,,,,,,https://www.cityu.edu.mo/en/admissions/bachelors-degree-programmes/,2026-08-22,2026-08-22,current
prog_mo_013,uni_mo_005,Bachelor of Business Administration,Business Administration,Bachelor,4,Full-time,English,14000,USD,Annual,,,,,,,https://www.usj.edu.mo/en/admissions/undergraduate-admissions/,2026-08-22,2026-08-22,current
prog_mo_014,uni_mo_005,Bachelor of Biology and Biotechnology,Biology and Biotechnology,Bachelor,4,Full-time,English,14000,USD,Annual,,,,,,,https://www.usj.edu.mo/en/admissions/undergraduate-admissions/,2026-08-22,2026-08-22,current
prog_mo_015,uni_mo_005,Bachelor of Psychology,Psychology,Bachelor,4,Full-time,English,14000,USD,Annual,,,,,,,https://www.usj.edu.mo/en/admissions/undergraduate-admissions/,2026-08-22,2026-08-22,current
prog_mo_016,uni_mo_006,Bachelor of Science in Hotel Management,Hotel Management,Bachelor,4,,English,480000,MOP,Total,,,,,,,https://www.utm.edu.mo/about-utm/quality-assurance-policy,2026-08-22,2026-08-22,current
prog_mo_017,uni_mo_006,Bachelor of Science in Tourism Business Management,Tourism Business Management,Bachelor,4,,English,480000,MOP,Total,,,,,,,https://www.utm.edu.mo/about-utm/quality-assurance-policy,2026-08-22,2026-08-22,current
prog_mo_018,uni_mo_006,Bachelor of Science in Tourism Event Management,Tourism Event Management,Bachelor,4,,English,480000,MOP,Total,,,,,,,https://www.utm.edu.mo/about-utm/quality-assurance-policy,2026-08-22,2026-08-22,current
prog_mo_022,uni_mo_008,Bachelor of Science in Nursing Programme,Nursing,Bachelor,4,Full-time,Unknown,248000,MOP,Total,,,,,,,https://www2.kwnc.edu.mo/en/standard/BSN_Programme.html,2026-08-22,2026-08-22,current
prog_mo_025,uni_mo_009,Bachelor of Business Administration,Business Administration,Bachelor,,,Chinese,,,,,,,,,,https://mim.edu.mo/?list_186%2F=,2026-08-22,2026-08-22,current
prog_mo_028,uni_mo_010,Bachelor's Degree Programme in Smart Tourism and Entertainment Management,Smart Tourism and Entertainment Management,Bachelor,4,Full-time,Chinese / English,,,,,,,,,,https://mmc.edu.mo/en/blog/notice_en/15696/,2026-08-22,2026-08-22,current
