country_id,country_name,country_code,ror_id,university_name,city,establishment_year,official_website,ror_last_modified,collected_at,candidate_status,source_order,quality_score,review_status,review_reason,final_selection_status
country_jp,Japan,JP,https://ror.org/024yc3q36,Tottori University,Tottori-shi,1949,http://www.tottori-u.ac.jp/english/,2026-03-31,2026-08-09,To Review,1,19,Eligible,,Selected - Official Verification Required
country_jp,Japan,JP,https://ror.org/00wwj8r66,Yamato University,Suita,2014,http://www.yamato-u.ac.jp/index_e.html,2024-12-11,2026-08-09,To Review,2,19,Eligible,,Selected - Official Verification Required
country_jp,Japan,JP,https://ror.org/02cntp233,Daido University,Nagoya,1939,http://www.daido-it.ac.jp/,2024-12-11,2026-08-09,To Review,3,19,Eligible,,Selected - Official Verification Required
country_jp,Japan,JP,https://ror.org/022b6b871,Jobu University,Isesaki,1950,http://www.jobu.ac.jp/,2024-12-11,2026-08-09,To Review,4,19,Eligible,,Selected - Official Verification Required
country_jp,Japan,JP,https://ror.org/05q041y44,Kokugakuin University,Tokyo,1882,https://www.kokugakuin.ac.jp/,2024-12-11,2026-08-09,To Review,5,19,Eligible,,Selected - Official Verification Required
country_jp,Japan,JP,https://ror.org/05tjaf288,Komazawa University,Tokyo,1592,https://www.komazawa-u.ac.jp/,2024-12-11,2026-08-09,To Review,6,19,Eligible,,Selected - Official Verification Required
country_jp,Japan,JP,https://ror.org/03wkbyb17,Morioka University,Takizawa,1981,http://www.morioka-u.ac.jp,2024-12-11,2026-08-09,To Review,7,19,Eligible,,Selected - Official Verification Required
country_jp,Japan,JP,https://ror.org/03a42q045,Nara University,Nara,1969,http://www.nara-u.ac.jp/,2024-12-11,2026-08-09,To Review,8,19,Eligible,,Selected - Official Verification Required
country_jp,Japan,JP,https://ror.org/03jzxkg37,Senshu University,Tokyo,1880,http://www.senshu-u.ac.jp/,2024-12-11,2026-08-09,To Review,9,19,Eligible,,Selected - Official Verification Required
country_jp,Japan,JP,https://ror.org/05qh38f12,Takushoku University,Tokyo,1900,https://www.takushoku-u.ac.jp/,2024-12-11,2026-08-09,To Review,10,19,Eligible,,Selected - Official Verification Required
country_jp,Japan,JP,https://ror.org/00d440w27,Tenri University,Tenri,1925,http://www.tenri-u.ac.jp/,2024-12-11,2026-08-09,To Review,11,19,Eligible,,Selected - Official Verification Required
country_jp,Japan,JP,https://ror.org/03jeahd70,Shikoku University,Tokushima,1925,https://www.shikoku-u.ac.jp/,2024-12-11,2026-08-09,To Review,12,19,Eligible,,Selected - Official Verification Required
country_sg,Singapore,SG,https://ror.org/01s57k749,Singapore University of Social Sciences,Singapore,2005,https://www.suss.edu.sg,2025-02-26,2026-08-09,To Review,43,19,Eligible,,Selected - Official Verification Required
country_sg,Singapore,SG,https://ror.org/00mbfhq81,Newcastle University Singapore,Singapore,2007,http://www.ncl.ac.uk/singapore/,2024-12-11,2026-08-09,To Review,44,19,Eligible,,Selected - Official Verification Required
country_sg,Singapore,SG,https://ror.org/050qmg959,Singapore Management University,Singapore,2000,https://www.smu.edu.sg,2026-06-02,2026-08-09,To Review,45,19,Eligible,,Selected - Official Verification Required
country_sg,Singapore,SG,https://ror.org/02e7b5302,Nanyang Technological University,Singapore,1991,https://www.ntu.edu.sg,2025-11-24,2026-08-09,To Review,46,19,Eligible,,Selected - Official Verification Required
country_sg,Singapore,SG,https://ror.org/01tgyzw49,National University of Singapore,Singapore,1905,http://www.nus.edu.sg/,2026-07-20,2026-08-09,To Review,47,19,Eligible,,Selected - Official Verification Required
country_sg,Singapore,SG,https://ror.org/05jzgzx91,University of Glasgow Singapore,Singapore,2011,https://www.gla.ac.uk/study/singapore/,2024-12-11,2026-08-09,To Review,50,19,Eligible,,Selected - Official Verification Required
country_sg,Singapore,SG,https://ror.org/01y5z8p89,James Cook University Singapore,Singapore,2003,https://www.jcu.edu.sg/,2024-12-11,2026-08-09,To Review,51,19,Eligible,,Selected - Official Verification Required
country_sg,Singapore,SG,https://ror.org/05j6fvn87,Singapore University of Technology and Design,Singapore,2009,https://www.sutd.edu.sg,2026-06-02,2026-08-09,To Review,53,19,Eligible,,Selected - Official Verification Required
country_my,Malaysia,MY,https://ror.org/00p43ne90,Mahsa University,Kuala Lumpur,2005,http://www.mahsa.edu.my/,2024-12-11,2026-08-09,To Review,56,19,Eligible,,Selected - Official Verification Required
country_my,Malaysia,MY,https://ror.org/037zqsm37,Nilai University,Kampung Baharu Nilai,1997,https://www.nilai.edu.my/,2024-12-11,2026-08-09,To Review,57,19,Eligible,,Selected - Official Verification Required
country_my,Malaysia,MY,https://ror.org/05crr5s63,SEGi University,Petaling Jaya,1977,https://segi.edu.my,2024-12-11,2026-08-09,To Review,58,19,Eligible,,Selected - Official Verification Required
country_my,Malaysia,MY,https://ror.org/00wfd0g93,Perdana University,Kota Kinabalu,2011,https://www.perdanauniversity.edu.my,2026-07-20,2026-08-09,To Review,59,19,Eligible,,Selected - Official Verification Required
country_my,Malaysia,MY,https://ror.org/04mjt7f73,Sunway University,Petaling Jaya,2004,https://sunwayuniversity.edu.my,2024-12-11,2026-08-09,To Review,60,19,Eligible,,Selected - Official Verification Required
country_my,Malaysia,MY,https://ror.org/007gerq75,AIMST University,Bedong,2001,https://aimst.edu.my,2024-12-11,2026-08-09,To Review,61,19,Eligible,,Selected - Official Verification Required
country_my,Malaysia,MY,https://ror.org/00kb5s826,GlobalNxt University,Kuala Lumpur,2001,https://www.globalnxt.edu.my,2026-01-29,2026-08-09,To Review,63,19,Eligible,,Selected - Official Verification Required
country_my,Malaysia,MY,https://ror.org/04d4wjw61,IMU University,Kuala Lumpur,1992,https://imu.edu.my,2026-02-24,2026-08-09,To Review,64,19,Eligible,,Selected - Official Verification Required
country_kr,South Korea,KR,https://ror.org/03mc8zn46,Yeonsung University,Anyang-si,1977,http://www.yeonsung.ac.kr/,2024-12-11,2026-08-09,To Review,94,19,Eligible,,Selected - Official Verification Required
country_kr,South Korea,KR,https://ror.org/03w9szr81,Bucheon University,Bucheon-si,1979,https://www.bc.ac.kr,2024-12-11,2026-08-09,To Review,95,19,Eligible,,Selected - Official Verification Required
country_kr,South Korea,KR,https://ror.org/0483r5v56,Changshin University,Changwon,1991,http://www.csc.ac.kr/,2024-12-11,2026-08-09,To Review,96,19,Eligible,,Selected - Official Verification Required
country_kr,South Korea,KR,https://ror.org/02fg4j559,Gimcheon University,Gimcheon,1978,http://www.gimcheon.ac.kr/site/english/,2024-12-11,2026-08-09,To Review,98,19,Eligible,,Selected - Official Verification Required
country_kr,South Korea,KR,https://ror.org/057p3dx48,Hanil University,Wanju,1998,http://www.hanil.ac.kr/eng/,2024-12-11,2026-08-09,To Review,99,19,Eligible,,Selected - Official Verification Required
country_kr,South Korea,KR,https://ror.org/056fjw561,Induk University,Seoul,1971,http://www.induk.ac.kr/,2024-12-11,2026-08-09,To Review,100,19,Eligible,,Selected - Official Verification Required
country_kr,South Korea,KR,https://ror.org/04zzths72,Ansan University,Ansan-si,1972,https://www.ansan.ac.kr,2024-12-11,2026-08-09,To Review,101,19,Eligible,,Selected - Official Verification Required
country_tw,Taiwan,TW,https://ror.org/04cjpzj07,Meiho University,Pingtung City,1966,http://dotweb.meiho.edu.tw/enmeiho/index.html,2024-12-11,2026-08-09,To Review,131,19,Eligible,,Selected - Official Verification Required
country_tw,Taiwan,TW,https://ror.org/03pfmgq50,Fooyin University,Kaohsiung,1958,http://english.fy.edu.tw/,2024-12-11,2026-08-09,To Review,133,19,Eligible,,Selected - Official Verification Required
country_tw,Taiwan,TW,https://ror.org/02f2vsx71,Hungkuang University,Taichung,1967,http://www.hk.edu.tw/main.php,2024-12-11,2026-08-09,To Review,134,19,Eligible,,Selected - Official Verification Required
country_tw,Taiwan,TW,https://ror.org/030m18266,Tatung University,Taipei,1956,http://www.en.ttu.edu.tw/,2024-12-11,2026-08-09,To Review,135,19,Eligible,,Selected - Official Verification Required
country_tw,Taiwan,TW,https://ror.org/01fvf0d84,Tajen University,Pingtung City,1966,http://www.tajen.edu.tw/bin/index.php?Lang=en,2024-12-11,2026-08-09,To Review,136,19,Eligible,,Selected - Official Verification Required
country_hk,Hong Kong,HK,https://ror.org/0563pg902,Lingnan University,Tuen Mun,1888,https://www.ln.edu.hk,2024-12-11,2026-08-09,To Review,167,19,Eligible,,Selected - Official Verification Required
country_hk,Hong Kong,HK,https://ror.org/01wcz2f33,Saint Francis University,Hong Kong,1985,https://www.sfu.edu.hk,2024-12-11,2026-08-09,To Review,168,19,Eligible,,Selected - Official Verification Required
country_hk,Hong Kong,HK,https://ror.org/02zhqgq86,University of Hong Kong,Pok Fu Lam,1911,https://www.hku.hk,2026-07-20,2026-08-09,To Review,169,19,Eligible,,Selected - Official Verification Required
country_hk,Hong Kong,HK,https://ror.org/0145fw131,Hong Kong Baptist University,Hong Kong,1956,https://www.hkbu.edu.hk,2025-10-28,2026-08-09,To Review,170,19,Eligible,,Selected - Official Verification Required
country_hk,Hong Kong,HK,https://ror.org/0349bsm71,Hong Kong Metropolitan University,Hong Kong,1989,https://www.hkmu.edu.hk,2025-05-05,2026-08-09,To Review,171,19,Eligible,,Selected - Official Verification Required
country_th,Thailand,TH,https://ror.org/03e2qe334,Naresuan University,Phitsanulok,1990,http://www.nu.ac.th/,2024-12-11,2026-08-09,To Review,180,19,Eligible,,Selected - Official Verification Required
country_th,Thailand,TH,https://ror.org/01cqcrc47,Rangsit University,Pathum Thani,1990,http://www.rsu.ac.th/,2024-12-11,2026-08-09,To Review,181,19,Eligible,,Selected - Official Verification Required
country_th,Thailand,TH,https://ror.org/002qeva03,Bangkok University,Bangkok,1962,http://www.bu.ac.th/eng/,2024-12-11,2026-08-09,To Review,182,19,Eligible,,Selected - Official Verification Required
country_th,Thailand,TH,https://ror.org/04d8yqq70,Krirk University,Bangkok,1952,http://www.krirk.ac.th/,2024-12-11,2026-08-09,To Review,183,19,Eligible,,Selected - Official Verification Required
country_th,Thailand,TH,https://ror.org/02g702008,Kalasin University,Kalasin,1997,https://www.ksu.ac.th/,2024-12-11,2026-08-09,To Review,185,19,Eligible,,Selected - Official Verification Required
