program_id,international_applicants_status,international_application_url,international_requirements_note,international_applicants_last_verified_at
prog_tw_001,verified_yes,https://admissions.ntu.edu.tw/,NTU official international admissions and English-taught programme information support international Bachelor applicants.,2026-08-22
prog_tw_002,verified_yes,https://admissions.ntu.edu.tw/,The Civil Engineering department explicitly states that both undergraduate tracks welcome international students.,2026-08-22
prog_tw_003,verified_yes,https://admissions.ntu.edu.tw/,NTU international admissions information lists Mechanical Engineering among undergraduate English-taught offerings.,2026-08-22
prog_tw_004,verified_yes,https://apply.nthu.edu.tw/en/article/172-2026-fall-undergraduate,NTHU official international applicant portal marks Chemical Engineering as available to international students.,2026-08-22
prog_tw_005,verified_yes,https://apply.nthu.edu.tw/en/article/172-2026-fall-undergraduate,NTHU official programme portal identifies Electrical Engineering for international student applicants.,2026-08-22
prog_tw_006,verified_yes,https://apply.nthu.edu.tw/en/article/172-2026-fall-undergraduate,The current NTHU international Bachelor admission material explicitly supports international applicants to this programme.,2026-08-22
prog_tw_007,verified_yes,https://oia.nycu.edu.tw/oia/en/app/artwebsite/view?id=786&module=artwebsite&serno=aa792259-32d5-422d-b382-3171b79f64f3,NYCU Fall 2026 degree-seeking international admission results contain Bachelor admits to the Department of Computer Science.,2026-08-22
prog_tw_008,verified_yes,https://oia.nycu.edu.tw/oia/en/app/artwebsite/view?id=786&module=artwebsite&serno=aa792259-32d5-422d-b382-3171b79f64f3,NYCU Fall 2026 international admission results include Bachelor admission to the Department of Microelectronics.,2026-08-22
prog_tw_009,verified_yes,https://oia.nycu.edu.tw/oia/en/app/artwebsite/view?id=786&module=artwebsite&serno=aa792259-32d5-422d-b382-3171b79f64f3,NYCU Fall 2026 degree-seeking international admission results explicitly contain Bachelor admits to Electrophysics.,2026-08-22
prog_tw_010,verified_yes,https://oia.ncku.edu.tw/p/404-1032-229816.php?Lang=en,NCKU current 2026/2027 international admission programme list includes the Bachelor programme in Computer Science and Information Engineering.,2026-08-22
prog_tw_011,verified_yes,https://oia.ncku.edu.tw/p/404-1032-229816.php?Lang=en,NCKU current 2026/2027 international admission programme list includes Electrical Engineering at Bachelor level.,2026-08-22
prog_tw_012,verified_yes,https://oia.ncku.edu.tw/p/404-1032-229816.php?Lang=en,NCKU current international admissions evidence includes Mechanical Engineering Bachelor applicants/students.,2026-08-22
prog_tw_013,verified_yes,https://admission.ntust.edu.tw/p/412-1052-9572.php?Lang=en,Taiwan Tech operates a current Fall 2026 international Bachelor admission route.,2026-08-22
prog_tw_014,verified_yes,https://admission.ntust.edu.tw/p/412-1052-9572.php?Lang=en,Taiwan Tech current international undergraduate admission route applies to eligible Bachelor programmes.,2026-08-22
prog_tw_015,verified_yes,https://admission.ntust.edu.tw/p/412-1052-9572.php?Lang=en,The Department of Industrial Management explicitly invites international students to its Bachelor programme.,2026-08-22
prog_tw_016,verified_yes,https://nccuadmission.nccu.edu.tw/Post/277,NCCU's current 2026 international admission programme list marks Chinese Literature as available at Bachelor level.,2026-08-22
prog_tw_017,verified_yes,https://nccuadmission.nccu.edu.tw/Post/277,NCCU current international programme list includes the Department of English at Bachelor level.,2026-08-22
prog_tw_018,verified_yes,https://nccuadmission.nccu.edu.tw/Post/277,NCCU current international programme list explicitly includes this Bachelor programme.,2026-08-22
prog_tw_019,verified_yes,https://cis.ncu.edu.tw/admissions/default/college/open.programs,NCU's current Fall 2026 international degree-program list marks Business Administration as open at Bachelor level.,2026-08-22
prog_tw_020,verified_yes,https://cis.ncu.edu.tw/admissions/default/college/open.programs,NCU's current international degree-program list marks Information Management as open at Bachelor level.,2026-08-22
prog_tw_021,verified_yes,https://cis.ncu.edu.tw/admissions/default/college/open.programs,NCU's current international degree-program list marks Economics as open at Bachelor level.,2026-08-22
prog_tw_022,verified_yes,https://oia.nchu.edu.tw/images/File/03_Apply_to_NCHU/3-1-Degree-Programs/3-1-2-International-Students/115_Programs_and_Language_Instruction.pdf,NCHU's official 2026/2027 international degree-program document includes Business Administration at Bachelor level.,2026-08-22
prog_tw_023,verified_yes,https://oia.nchu.edu.tw/images/File/03_Apply_to_NCHU/3-1-Degree-Programs/3-1-2-International-Students/115_Programs_and_Language_Instruction.pdf,NCHU's current 2026/2027 international degree-program document includes Computer Science and Engineering at Bachelor level.,2026-08-22
prog_tw_024,verified_yes,https://oia.nchu.edu.tw/images/File/03_Apply_to_NCHU/3-1-Degree-Programs/3-1-2-International-Students/115_Programs_and_Language_Instruction.pdf,NCHU's current international programme document includes Electrical Engineering at Bachelor level.,2026-08-22
prog_tw_025,verified_yes,https://bds.oia.ntnu.edu.tw/bds/en/apply,NTNU Department of Education's official Bachelor information directly links international-student applications.,2026-08-22
prog_tw_026,verified_yes,https://bds.oia.ntnu.edu.tw/bds/en/apply,This official Bachelor programme is specifically designed for international students and provides a direct international application route.,2026-08-22
prog_tw_027,verified_yes,https://www.mgt.ntnu.edu.tw/en/ba-etp-admissions,The current BA-ETP admissions page explicitly recruits international applicants and publishes its admission requirements.,2026-08-22
prog_tw_028,verified_yes,https://taipeitech.oia.ntut.edu.tw/foreign/index/index/lang/en,"Taipei Tech provides a current international degree-student application system, and the CSIE department maintains an international-student admission route.",2026-08-22
prog_tw_029,verified_yes,https://taipeitech.oia.ntut.edu.tw/foreign/index/index/lang/en,The current Electronic Engineering B.S. page explicitly directs international applicants to Taipei Tech's international degree-student system.,2026-08-22
prog_tw_030,verified_yes,https://taipeitech.oia.ntut.edu.tw/foreign/index/index/lang/en,The current IEM B.S. programme page contains an International admission route through Taipei Tech OIA.,2026-08-22
prog_tw_031,verified_yes,https://adms.tku.edu.tw/Front/ForeignStudent/foreignstudentstku/admissionthefallclass/Page.aspx?id=3GJ0s4TB73E%3D,"Tamkang University's current 2026-2027 international-student admission route accepts Bachelor applications, and the programme is listed as an English-taught Bachelor.",2026-08-22
prog_tw_032,verified_yes,https://adms.tku.edu.tw/Front/ForeignStudent/foreignstudentstku/admissionthefallclass/Page.aspx?id=3GJ0s4TB73E%3D,Current Tamkang international admission route supports Bachelor applicants and the English Department maintains an English-taught Bachelor programme.,2026-08-22
prog_tw_033,verified_yes,https://adms.tku.edu.tw/Front/ForeignStudent/foreignstudentstku/admissionthefallclass/Page.aspx?id=3GJ0s4TB73E%3D,Current 2026-2027 foreign-student Bachelor admission and the official international programme list support international applicants.,2026-08-22
prog_tw_034,verified_yes,https://admission.nsysu.edu.tw/Member/index,The current Fall 2026 / Spring 2027 Electrical Engineering admission page is explicitly for international Bachelor applicants.,2026-08-22
prog_tw_035,verified_yes,https://admission.nsysu.edu.tw/Member/index,The NSYSU CSE international admission page explicitly accepts foreign applicants to its undergraduate Bachelor programme.,2026-08-22
prog_tw_036,verified_yes,https://admission.nsysu.edu.tw/Member/index,The current 2026-2027 international admission guide explicitly lists the International Business Bachelor Program.,2026-08-22
prog_tw_037,verified_yes,https://oia.ccu.edu.tw/p/412-1008-1828.php?Lang=en,CCU's official international-admission programme information identifies this department at Bachelor level.,2026-08-22
prog_tw_038,verified_yes,https://oia.ccu.edu.tw/p/412-1008-1828.php?Lang=en,CCU's current international admission programme information explicitly lists Finance at Bachelor level.,2026-08-22
prog_tw_039,verified_yes,https://oia.ccu.edu.tw/p/412-1008-1828.php?Lang=en,Current CCU international-admission programme information explicitly lists Information Management at Bachelor level.,2026-08-22
