program_id,university_id,program_name,field_of_study,degree_level,duration_years,study_mode,language_of_instruction,tuition_fee,tuition_currency,tuition_period,minimum_gpa,gpa_scale,ielts_requirement,toefl_requirement,intake,application_deadline,program_url,collected_at,last_verified_at,freshness_status
prog_tw_001,uni_tw_001,Economics,Economics,Bachelor,,,English,,,,,,,,,,https://econ.ntu.edu.tw/en/bachelors-english-taught-program,2026-08-22,2026-08-22,current
prog_tw_002,uni_tw_001,Civil Engineering,Civil Engineering,Bachelor,4,,English,,,,,,,,,,https://www.ce.ntu.edu.tw/en/programs/undergraduate-programs/,2026-08-22,2026-08-22,current
prog_tw_003,uni_tw_001,Mechanical Engineering,Mechanical Engineering,Bachelor,,,English,,,,,,,,,,https://admissions.ntu.edu.tw/learn/taught-programs/,2026-08-22,2026-08-22,current
prog_tw_004,uni_tw_002,Chemical Engineering,Chemical Engineering,Bachelor,,,English Available,,,,,,,,,,https://apply.nthu.edu.tw/en/department/24-chemical-engineering,2026-08-22,2026-08-22,current
prog_tw_005,uni_tw_002,Electrical Engineering,Electrical Engineering,Bachelor,,,English Available,,,,,,,,,,https://apply.nthu.edu.tw/tw/department/64-electrical-engineering,2026-08-22,2026-08-22,current
prog_tw_006,uni_tw_002,International Bachelor Degree Program in Electrical Engineering and Computer Science,Electrical Engineering and Computer Science,Bachelor,4,,English,,,,,,6,,,,https://ibp.nthu.edu.tw/ertss-EECS.html,2026-08-22,2026-08-22,current
prog_tw_007,uni_tw_003,Computer Science and Information Engineering,Computer Science,Bachelor,,,Unknown,,,,,,,,,,https://www.cs.nycu.edu.tw/admission/undergraduate?locale=en,2026-08-22,2026-08-22,current
prog_tw_008,uni_tw_003,Microelectronics,Microelectronics / Semiconductor Engineering,Bachelor,,,Unknown,,,,,,,,,,https://www.nycu.edu.tw/aa/ch/app/data/view?id=2511&module=nycu0069&serno=26a3c36f-d833-4a3d-8e18-571d2ce72de4,2026-08-22,2026-08-22,current
prog_tw_009,uni_tw_003,Electrophysics,Electrophysics,Bachelor,,,Unknown,,,,,,,,,,https://www.nycu.edu.tw/aa/ch/app/data/view?id=2511&module=nycu0069&serno=26a3c36f-d833-4a3d-8e18-571d2ce72de4,2026-08-22,2026-08-22,current
prog_tw_010,uni_tw_004,Computer Science and Information Engineering,Computer Science,Bachelor,,,Unknown,,,,,,,,,,https://management.oia.ncku.edu.tw/intladmission/application/brochure/applyIntladmissionSn/28,2026-08-22,2026-08-22,current
prog_tw_011,uni_tw_004,Electrical Engineering,Electrical Engineering,Bachelor,,,Unknown,,,,,,,,,,https://management.oia.ncku.edu.tw/intladmission/application/brochure/applyIntladmissionSn/28,2026-08-22,2026-08-22,current
prog_tw_012,uni_tw_004,Mechanical Engineering,Mechanical Engineering,Bachelor,,,Unknown,,,,,,,,,,https://management.oia.ncku.edu.tw/intladmission/application/brochure/applyIntladmissionSn/28,2026-08-22,2026-08-22,current
prog_tw_013,uni_tw_005,Computer Science and Information Engineering,Computer Science,Bachelor,4,,Chinese,,,,,,,,,,https://www.csie.ntust.edu.tw/p/412-1038-10472.php?Lang=en,2026-08-22,2026-08-22,current
prog_tw_014,uni_tw_005,Electronic and Computer Engineering,Electronic and Computer Engineering,Bachelor,4,,Chinese,,,,,,,,,,https://ece.ntust.edu.tw/p/412-1017-1415.php?Lang=en,2026-08-22,2026-08-22,current
prog_tw_015,uni_tw_005,Industrial Management,Industrial Management,Bachelor,4,,Chinese,,,,,,,,,,https://im-r.ntust.edu.tw/p/412-1014-11291.php?Lang=en,2026-08-22,2026-08-22,current
prog_tw_016,uni_tw_006,Chinese Literature,Chinese Literature,Bachelor,,,Chinese,,,,,,,,,,https://nccuadmission.nccu.edu.tw/Post/277,2026-08-22,2026-08-22,current
prog_tw_017,uni_tw_006,English,English Language and Literature,Bachelor,,,English Available,,,,,,,,,,https://nccuadmission.nccu.edu.tw/Post/277,2026-08-22,2026-08-22,current
prog_tw_018,uni_tw_006,Bachelor Degree Program of International College of Innovation,Interdisciplinary Innovation,Bachelor,,,English,,,,,,,,,,https://nccuadmission.nccu.edu.tw/Post/277,2026-08-22,2026-08-22,current
prog_tw_019,uni_tw_007,Business Administration,Business Administration,Bachelor,,,Unknown,,,,,,,,,,https://cis.ncu.edu.tw/admissions/default/college/open.programs,2026-08-22,2026-08-22,current
prog_tw_020,uni_tw_007,Information Management,Information Management,Bachelor,,,Unknown,,,,,,,,,,https://cis.ncu.edu.tw/admissions/default/college/open.programs,2026-08-22,2026-08-22,current
prog_tw_021,uni_tw_007,Economics,Economics,Bachelor,,,Unknown,,,,,,,,,,https://cis.ncu.edu.tw/admissions/default/college/open.programs,2026-08-22,2026-08-22,current
prog_tw_022,uni_tw_008,Business Administration,Business Administration,Bachelor,,,Unknown,,,,,,,,,,https://oia.nchu.edu.tw/images/File/03_Apply_to_NCHU/3-1-Degree-Programs/3-1-2-International-Students/115_Programs_and_Language_Instruction.pdf,2026-08-22,2026-08-22,current
prog_tw_023,uni_tw_008,Computer Science and Engineering,Computer Science,Bachelor,,,Unknown,,,,,,,,,,https://oia.nchu.edu.tw/images/File/03_Apply_to_NCHU/3-1-Degree-Programs/3-1-2-International-Students/115_Programs_and_Language_Instruction.pdf,2026-08-22,2026-08-22,current
prog_tw_024,uni_tw_008,Electrical Engineering,Electrical Engineering,Bachelor,,,Unknown,,,,,,,,,,https://oia.nchu.edu.tw/images/File/03_Apply_to_NCHU/3-1-Degree-Programs/3-1-2-International-Students/115_Programs_and_Language_Instruction.pdf,2026-08-22,2026-08-22,current
prog_tw_025,uni_tw_009,Bachelor of Education,Education,Bachelor,,,Unknown,,,,,,,,,,https://www.ed.ntnu.edu.tw/en/pro1?locale=zh_cn&locale=zh_tw,2026-08-22,2026-08-22,current
prog_tw_026,uni_tw_009,Program of Chinese Language and Culture for International Students,Chinese Language and Culture,Bachelor,4,,Unknown,,,,,,,,,,https://www.tcsl.ntnu.edu.tw/index.php/en/admissions/for-international-students/adbachelor-program/,2026-08-22,2026-08-22,current
prog_tw_027,uni_tw_009,Business Administration (English-taught Program),Business Administration,Bachelor,,,English,,,,,,,,,,https://www.mgt.ntnu.edu.tw/en/ba-etp,2026-08-22,2026-08-22,current
prog_tw_028,uni_tw_010,Computer Science and Information Engineering,Computer Science,Bachelor,4,,Chinese,,,,,,,,,,https://csie.ntut.edu.tw/p/426-1070-53.php?Lang=en,2026-08-22,2026-08-22,current
prog_tw_029,uni_tw_010,Electronic Engineering,Electronic Engineering,Bachelor,4,,Unknown,,,,,,,,,,https://ece.ntut.edu.tw/p/412-1071-13195.php?Lang=en,2026-08-22,2026-08-22,current
prog_tw_030,uni_tw_010,Industrial Engineering and Management,Industrial Engineering and Management,Bachelor,4,,Unknown,,,,,,,,,,https://iem.ntut.edu.tw/p/412-1081-11891.php?Lang=en,2026-08-22,2026-08-22,current
prog_tw_031,uni_tw_011,Business Administration (English-Taught Program),Business Administration,Bachelor,,,English,,,,,,,,,,https://english.tku.edu.tw/InternationalPrograms.asp,2026-08-22,2026-08-22,current
prog_tw_032,uni_tw_011,English (English-Taught Program),English Language and Literature,Bachelor,,,English,,,,,,,,,,https://english.tku.edu.tw/InternationalPrograms.asp,2026-08-22,2026-08-22,current
prog_tw_033,uni_tw_011,International Tourism Management (English-Taught Program),Tourism Management,Bachelor,,,English,,,,,,,,,,https://english.tku.edu.tw/InternationalPrograms.asp,2026-08-22,2026-08-22,current
