program_id,university_id,program_name,field_of_study,degree_level,duration_years,study_mode,language_of_instruction,tuition_fee,tuition_currency,tuition_period,minimum_gpa,gpa_scale,ielts_requirement,toefl_requirement,intake,application_deadline,program_url,collected_at,last_verified_at,freshness_status
prog_th_001,uni_th_001,Information and Communication Engineering,Information and Communication Engineering,Bachelor,4,,Unknown,,,,,,,,,,https://www.chula.ac.th/en/programs/25490011105451/,2026-08-22,2026-08-22,current
prog_th_002,uni_th_001,Nano Engineering,Nano Engineering,Bachelor,,,Unknown,,,,,,,,,,https://www.eng.chula.ac.th/en/academics/bachelor,2026-08-22,2026-08-22,current
prog_th_003,uni_th_001,Aerospace Engineering,Aerospace Engineering,Bachelor,,,Unknown,,,,,,,,,,https://www.eng.chula.ac.th/en/academics/bachelor,2026-08-22,2026-08-22,current
prog_th_004,uni_th_002,Computer Science,Computer Science,Bachelor,4,Full-time,Unknown,,,,,,6,69,,,https://muic.mahidol.ac.th/en/programs/science/major/major-in-computer-science/,2026-08-22,2026-08-22,current
prog_th_005,uni_th_002,Biological Sciences,Biological Sciences,Bachelor,4,Full-time,Unknown,,,,,,6,69,,,https://muic.mahidol.ac.th/en/programs/science/major/major-in-biological-science,2026-08-22,2026-08-22,current
prog_th_006,uni_th_002,International Business,International Business,Bachelor,4,Full-time,Unknown,,,,,,6,69,,,https://muic.mahidol.ac.th/en/programs/business-administration/major/major-in-international-business,2026-08-22,2026-08-22,current
prog_th_007,uni_th_003,Economics,Economics,Bachelor,,,Unknown,,,,,,,,,,https://admission.reg.cmu.ac.th/ipas/main/,2026-08-22,2026-08-22,current
prog_th_008,uni_th_003,Software Engineering,Software Engineering,Bachelor,,,Unknown,,,,,,,,,,https://admission.reg.cmu.ac.th/ipas/main/,2026-08-22,2026-08-22,current
prog_th_009,uni_th_003,Civil Engineering,Civil Engineering,Bachelor,,,Unknown,,,,,,,,,,https://admission.reg.cmu.ac.th/ipas/main/,2026-08-22,2026-08-22,current
prog_th_010,uni_th_004,Chemical Engineering,Chemical Engineering,Bachelor,,,English,,,,,,,,,,https://admissions.siit.tu.ac.th/undergraduate/,2026-08-22,2026-08-22,current
