university_id,university_name,country_id,city,university_type,official_website,establishment_year,global_ranking,ranking_source,ranking_year,degree_levels,scholarship_available,source_url,collected_at,last_verified_at,freshness_status
uni_bn_001,Universiti Brunei Darussalam,country_bn,Bandar Seri Begawan,,https://ubd.edu.bn/,,,,,,,https://ubd.edu.bn/,2026-08-18,2026-08-18,current
uni_bn_002,Universiti Teknologi Brunei,country_bn,Gadong,,https://www.utb.edu.bn/,,,,,,,https://www.utb.edu.bn/the-university/contact-us/,2026-08-18,2026-08-18,current
uni_bn_003,Universiti Islam Sultan Sharif Ali,country_bn,Bandar Seri Begawan,,https://unissa.edu.bn/,,,,,,,https://unissa.edu.bn/,2026-08-19,2026-08-19,current
uni_bn_004,Kolej Universiti Perguruan Ugama Seri Begawan,country_bn,Bandar Seri Begawan,,https://www.kupu-sb.edu.bn/,,,,,,,https://www.kupu-sb.edu.bn/tawaran-kursus-program/,2026-08-19,2026-08-19,current
uni_cn_001,Tsinghua University,country_cn,Beijing,,https://www.tsinghua.edu.cn/en/,,,,,,,https://www.tsinghua.edu.cn/en/Contact.htm,2026-08-18,2026-08-18,current
uni_cn_002,Peking University,country_cn,Beijing,,https://english.pku.edu.cn/,,,,,,,https://isd.pku.edu.cn/en/,2026-08-18,2026-08-18,current
uni_cn_003,Zhejiang University,country_cn,Hangzhou,,https://www.zju.edu.cn/english/,,,,,,,https://www.zju.edu.cn/english/,2026-08-18,2026-08-18,current
uni_cn_004,Shanghai Jiao Tong University,country_cn,Shanghai,,https://en.sjtu.edu.cn/,,,,,,,https://en.sjtu.edu.cn/study-sjtu/prospective/scholarships,2026-08-18,2026-08-18,current
uni_cn_005,Fudan University,country_cn,Shanghai,,https://www.fudan.edu.cn/en/,,,,,,,https://www.fudan.edu.cn/en/Admission/list.htm,2026-08-19,2026-08-19,current
uni_cn_006,University of Science and Technology of China,country_cn,Hefei,,https://www.ustc.edu.cn/,,,,,,,https://ic.ustc.edu.cn/en/,2026-08-19,2026-08-19,current
uni_cn_007,Harbin Institute of Technology,country_cn,Harbin,,https://en.hit.edu.cn/,,,,,,,https://en.hit.edu.cn/11958/list.htm,2026-08-19,2026-08-19,current
uni_cn_008,Xi'an Jiaotong University,country_cn,Xi'an,,https://en.xjtu.edu.cn/,,,,,,,https://en.xjtu.edu.cn/,2026-08-19,2026-08-19,current
uni_cn_009,Sun Yat-sen University,country_cn,Guangzhou,,https://www.sysu.edu.cn/sysuen/,,,,,,,https://iso.sysu.edu.cn/en/application/index.htm,2026-08-19,2026-08-19,current
uni_cn_010,Tongji University,country_cn,Shanghai,,https://en.tongji.edu.cn/,,,,,,,https://study.tongji.edu.cn/en/,2026-08-19,2026-08-19,current
uni_cn_011,Renmin University of China,country_cn,Beijing,Public,https://en.ruc.edu.cn/,,,,,,,https://en.moe.gov.cn/subordinate_universities/,2026-08-19,2026-08-19,current
uni_cn_012,Beijing Normal University,country_cn,Beijing,Public,https://english.bnu.edu.cn/,,,,,,,https://en.moe.gov.cn/subordinate_universities/,2026-08-19,2026-08-19,current
uni_cn_013,China Agricultural University,country_cn,Beijing,Public,https://en.cau.edu.cn/,,,,,,,https://en.moe.gov.cn/subordinate_universities/,2026-08-19,2026-08-19,current
uni_cn_014,Beijing Foreign Studies University,country_cn,Beijing,Public,https://global.bfsu.edu.cn/,,,,,,,https://en.moe.gov.cn/subordinate_universities/,2026-08-19,2026-08-19,current
uni_cn_015,University of Science and Technology Beijing,country_cn,Beijing,Public,https://en.ustb.edu.cn/,,,,,,,https://en.moe.gov.cn/subordinate_universities/,2026-08-19,2026-08-19,current
uni_cn_016,Beijing Language and Culture University,country_cn,Beijing,Public,https://english.blcu.edu.cn/,,,,,,,https://en.moe.gov.cn/subordinate_universities/,2026-08-19,2026-08-19,current
uni_cn_017,Beijing University of Chemical Technology,country_cn,Beijing,Public,https://english.buct.edu.cn/,,,,,,,https://en.moe.gov.cn/subordinate_universities/,2026-08-19,2026-08-19,current
uni_cn_018,Beijing Jiaotong University,country_cn,Beijing,Public,https://en.bjtu.edu.cn/,,,,,,,https://en.moe.gov.cn/subordinate_universities/,2026-08-19,2026-08-19,current
uni_cn_019,China University of Geosciences (Beijing),country_cn,Beijing,Public,https://en.cugb.edu.cn/,,,,,,,https://en.moe.gov.cn/subordinate_universities/,2026-08-19,2026-08-19,current
uni_cn_020,Beijing University of Posts and Telecommunications,country_cn,Beijing,Public,https://english.bupt.edu.cn/,,,,,,,https://en.moe.gov.cn/subordinate_universities/,2026-08-19,2026-08-19,current
uni_cn_021,China University of Mining and Technology-Beijing,country_cn,Beijing,Public,https://english.cumtb.edu.cn/,,,,,,,https://en.moe.gov.cn/subordinate_universities/,2026-08-19,2026-08-19,current
uni_cn_022,China University of Petroleum-Beijing,country_cn,Beijing,Public,https://www.cup.edu.cn/english/,,,,,,,https://en.moe.gov.cn/subordinate_universities/,2026-08-19,2026-08-19,current
uni_cn_023,Beijing Forestry University,country_cn,Beijing,Public,https://english.bjfu.edu.cn/,,,,,,,https://en.moe.gov.cn/subordinate_universities/,2026-08-19,2026-08-19,current
uni_cn_024,Communication University of China,country_cn,Beijing,Public,https://en.cuc.edu.cn/,,,,,,,https://en.moe.gov.cn/subordinate_universities/,2026-08-19,2026-08-19,current
uni_cn_025,Central University of Finance and Economics,country_cn,Beijing,Public,https://en.cufe.edu.cn/,,,,,,,https://en.moe.gov.cn/subordinate_universities/,2026-08-19,2026-08-19,current
uni_cn_026,China University of Political Science and Law,country_cn,Beijing,Public,https://en.cupl.edu.cn/,,,,,,,https://en.moe.gov.cn/subordinate_universities/,2026-08-19,2026-08-19,current
uni_cn_027,Beijing University of Chinese Medicine,country_cn,Beijing,Public,https://english.bucm.edu.cn/,,,,,,,https://en.moe.gov.cn/subordinate_universities/,2026-08-19,2026-08-19,current
uni_cn_028,University of International Business and Economics,country_cn,Beijing,Public,https://english.uibe.edu.cn/,,,,,,,https://en.moe.gov.cn/subordinate_universities/,2026-08-19,2026-08-19,current
uni_cn_029,North China Electric Power University,country_cn,Beijing,Public,https://english.ncepu.edu.cn/,,,,,,,https://en.moe.gov.cn/subordinate_universities/,2026-08-19,2026-08-19,current
uni_cn_030,Tianjin University,country_cn,Tianjin,Public,https://www.tju.edu.cn/english/,,,,,,,https://en.moe.gov.cn/subordinate_universities/,2026-08-19,2026-08-19,current
uni_cn_031,Nankai University,country_cn,Tianjin,Public,https://en.nankai.edu.cn/,,,,,,,https://en.moe.gov.cn/subordinate_universities/,2026-08-19,2026-08-19,current
uni_cn_032,Dalian University of Technology,country_cn,Dalian,Public,https://en.dlut.edu.cn/,,,,,,,https://en.moe.gov.cn/subordinate_universities/,2026-08-19,2026-08-19,current
uni_cn_033,Northeastern University,country_cn,Shenyang,Public,https://english.neu.edu.cn/,,,,,,,https://en.moe.gov.cn/subordinate_universities/,2026-08-19,2026-08-19,current
uni_cn_034,Jilin University,country_cn,Changchun,Public,https://global.jlu.edu.cn/,,,,,,,https://en.moe.gov.cn/subordinate_universities/,2026-08-19,2026-08-19,current
uni_cn_035,Northeast Normal University,country_cn,Changchun,Public,https://en.nenu.edu.cn/,,,,,,,https://en.moe.gov.cn/subordinate_universities/,2026-08-19,2026-08-19,current
uni_cn_036,Northeast Forestry University,country_cn,Harbin,Public,https://en.nefu.edu.cn/,,,,,,,https://en.moe.gov.cn/subordinate_universities/,2026-08-19,2026-08-19,current
uni_cn_037,East China University of Science and Technology,country_cn,Shanghai,Public,https://english.ecust.edu.cn/,,,,,,,https://en.moe.gov.cn/subordinate_universities/,2026-08-19,2026-08-19,current
uni_cn_038,Donghua University,country_cn,Shanghai,Public,https://english.dhu.edu.cn/,,,,,,,https://en.moe.gov.cn/subordinate_universities/,2026-08-19,2026-08-19,current
uni_cn_039,East China Normal University,country_cn,Shanghai,Public,https://english.ecnu.edu.cn/,,,,,,,https://en.moe.gov.cn/subordinate_universities/,2026-08-19,2026-08-19,current
uni_cn_040,Shanghai University of Finance and Economics,country_cn,Shanghai,Public,https://english.sufe.edu.cn/,,,,,,,https://en.moe.gov.cn/subordinate_universities/,2026-08-19,2026-08-19,current
uni_cn_041,Shanghai International Studies University,country_cn,Shanghai,Public,https://en.shisu.edu.cn/,,,,,,,https://en.moe.gov.cn/subordinate_universities/,2026-08-19,2026-08-19,current
uni_cn_042,Nanjing University,country_cn,Nanjing,Public,https://www.nju.edu.cn/en/,,,,,,,https://en.moe.gov.cn/subordinate_universities/,2026-08-19,2026-08-19,current
uni_cn_043,Southeast University,country_cn,Nanjing,Public,https://www.seu.edu.cn/english/,,,,,,,https://en.moe.gov.cn/subordinate_universities/,2026-08-19,2026-08-19,current
uni_cn_044,Hohai University,country_cn,Nanjing,Public,https://en.hhu.edu.cn/,,,,,,,https://en.moe.gov.cn/subordinate_universities/,2026-08-19,2026-08-19,current
uni_cn_045,China University of Mining and Technology,country_cn,Xuzhou,Public,https://en.cumt.edu.cn/,,,,,,,https://en.moe.gov.cn/subordinate_universities/,2026-08-19,2026-08-19,current
uni_cn_046,Jiangnan University,country_cn,Wuxi,Public,https://english.jiangnan.edu.cn/,,,,,,,https://en.moe.gov.cn/subordinate_universities/,2026-08-19,2026-08-19,current
