country_id,country_name,university_name,national_source_name,national_source_url,selection_status,verification_status,country_code,ror_id,ror_display_name,city,establishment_year,official_website,ror_status,ror_types,ror_last_modified,match_status,metadata_status
country_jp,Japan,The University of Tokyo,Study in Japan Official Website,https://www.studyinjapan.go.jp/en/search-for-schools/school_search.php,Seed Selected,Official Verification Pending,JP,https://ror.org/057zh3y96,The University of Tokyo,Tokyo,1877,https://www.u-tokyo.ac.jp,active,education|funder,7/20/2026,Exact Name Match,ROR Matched
country_jp,Japan,Kyoto University,Study in Japan Official Website,https://www.studyinjapan.go.jp/en/search-for-schools/school_search.php,Seed Selected,Official Verification Pending,JP,https://ror.org/02kpeqv85,Kyoto University,Kyoto,1897,http://www.kyoto-u.ac.jp/en,active,education|funder,7/20/2026,Exact Name Match,ROR Matched
country_jp,Japan,Osaka University,Study in Japan Official Website,https://www.studyinjapan.go.jp/en/search-for-schools/school_search.php,Seed Selected,Official Verification Pending,JP,https://ror.org/035t8zc32,The University of Osaka,Osaka,1724,https://www.osaka-u.ac.jp,active,education|funder,6/24/2025,Exact Name Match,ROR Matched
country_jp,Japan,Tohoku University,Study in Japan Official Website,https://www.studyinjapan.go.jp/en/search-for-schools/school_search.php,Seed Selected,Official Verification Pending,JP,https://ror.org/01dq60k83,Tohoku University,Sendai,1907,http://www.tohoku.ac.jp/en/,active,education|funder,1/15/2026,Exact Name Match,ROR Matched
country_jp,Japan,Nagoya University,Study in Japan Official Website,https://www.studyinjapan.go.jp/en/search-for-schools/school_search.php,Seed Selected,Official Verification Pending,JP,https://ror.org/04chrp450,Nagoya University,Nagoya,1871,http://en.nagoya-u.ac.jp/,active,education|funder,12/11/2024,Exact Name Match,ROR Matched
country_jp,Japan,Kyushu University,Study in Japan Official Website,https://www.studyinjapan.go.jp/en/search-for-schools/school_search.php,Seed Selected,Official Verification Pending,JP,https://ror.org/00p4k0j84,Kyushu University,Fukuoka,1903,http://www.kyushu-u.ac.jp/english/,active,education|funder,7/20/2026,Exact Name Match,ROR Matched
country_jp,Japan,Hokkaido University,Study in Japan Official Website,https://www.studyinjapan.go.jp/en/search-for-schools/school_search.php,Seed Selected,Official Verification Pending,JP,https://ror.org/02e16g702,Hokkaido University,Sapporo,1876,https://www.global.hokudai.ac.jp/,active,education|funder,12/11/2024,Exact Name Match,ROR Matched
country_jp,Japan,Institute of Science Tokyo,Study in Japan Official Website,https://www.studyinjapan.go.jp/en/search-for-schools/school_search.php,Seed Selected,Official Verification Pending,JP,https://ror.org/05dqf9946,Institute of Science Tokyo,Tokyo,2024,https://www.isct.ac.jp,active,education,12/11/2024,Exact Name Match,ROR Matched
country_jp,Japan,University of Tsukuba,Study in Japan Official Website,https://www.studyinjapan.go.jp/en/search-for-schools/school_search.php,Seed Selected,Official Verification Pending,JP,https://ror.org/02956yf07,University of Tsukuba,Tsukuba,1973,https://www.tsukuba.ac.jp,active,education|funder,12/11/2024,Exact Name Match,ROR Matched
country_jp,Japan,Kobe University,Study in Japan Official Website,https://www.studyinjapan.go.jp/en/search-for-schools/school_search.php,Seed Selected,Official Verification Pending,JP,https://ror.org/03tgsfw79,Kobe University,Kobe,1949,http://www.kobe-u.ac.jp/en/alumni/index.html,active,education|funder,10/6/2025,Exact Name Match,ROR Matched
country_jp,Japan,Waseda University,Study in Japan Official Website,https://www.studyinjapan.go.jp/en/search-for-schools/school_search.php,Seed Selected,Official Verification Pending,JP,https://ror.org/00ntfnx83,Waseda University,Tokyo,1882,https://www.waseda.jp/top/,active,education|funder,12/11/2024,Exact Name Match,ROR Matched
country_jp,Japan,Keio University,Study in Japan Official Website,https://www.studyinjapan.go.jp/en/search-for-schools/school_search.php,Seed Selected,Official Verification Pending,JP,https://ror.org/02kn6nx58,Keio University,Tokyo,1858,https://www.keio.ac.jp,active,education|funder,6/2/2026,Exact Name Match,ROR Matched
country_sg,Singapore,National University of Singapore,Singapore Ministry of Education,https://www.moe.gov.sg/post-secondary/overview/autonomous-universities,Seed Selected,Official Verification Pending,SG,https://ror.org/01tgyzw49,National University of Singapore,Singapore,1905,http://www.nus.edu.sg/,active,education|funder,7/20/2026,Exact Name Match,ROR Matched
country_sg,Singapore,Nanyang Technological University,Singapore Ministry of Education,https://www.moe.gov.sg/post-secondary/overview/autonomous-universities,Seed Selected,Official Verification Pending,SG,https://ror.org/02e7b5302,Nanyang Technological University,Singapore,1991,https://www.ntu.edu.sg,active,education|funder,11/24/2025,Exact Name Match,ROR Matched
country_sg,Singapore,Singapore Management University,Singapore Ministry of Education,https://www.moe.gov.sg/post-secondary/overview/autonomous-universities,Seed Selected,Official Verification Pending,SG,https://ror.org/050qmg959,Singapore Management University,Singapore,2000,https://www.smu.edu.sg,active,education|funder,6/2/2026,Exact Name Match,ROR Matched
country_sg,Singapore,Singapore University of Technology and Design,Singapore Ministry of Education,https://www.moe.gov.sg/post-secondary/overview/autonomous-universities,Seed Selected,Official Verification Pending,SG,https://ror.org/05j6fvn87,Singapore University of Technology and Design,Singapore,2009,https://www.sutd.edu.sg,active,education|funder,6/2/2026,Exact Name Match,ROR Matched
country_sg,Singapore,Singapore Institute of Technology,Singapore Ministry of Education,https://www.moe.gov.sg/post-secondary/overview/autonomous-universities,Seed Selected,Official Verification Pending,SG,https://ror.org/01v2c2791,Singapore Institute of Technology,Singapore,2009,https://www.singaporetech.edu.sg/,active,education|funder,7/20/2026,Exact Name Match,ROR Matched
country_sg,Singapore,Singapore University of Social Sciences,Singapore Ministry of Education,https://www.moe.gov.sg/post-secondary/overview/autonomous-universities,Seed Selected,Official Verification Pending,SG,https://ror.org/01s57k749,Singapore University of Social Sciences,Singapore,2005,https://www.suss.edu.sg,active,education|funder,2/26/2025,Exact Name Match,ROR Matched
country_my,Malaysia,Universiti Malaya,Education Malaysia,https://educationmalaysia.gov.my/,Seed Selected,Official Verification Pending,MY,https://ror.org/00rzspn62,University of Malaya,Kuala Lumpur,1949,https://www.um.edu.my/,active,education|funder,6/23/2026,Exact Name Match,ROR Matched
