country_id,country_name,country_code,ror_id,university_name,city,establishment_year,official_website,ror_last_modified,collected_at,candidate_status,completeness_score,validation_status
country_jp,Japan,JP,https://ror.org/053h75930,Bunkyo University,Tokyo,1927,http://www.bunkyo.ac.jp,2024-12-11,2026-08-09,To Review,9,Candidate Selected
country_jp,Japan,JP,https://ror.org/02cntp233,Daido University,Nagoya,1939,http://www.daido-it.ac.jp/,2024-12-11,2026-08-09,To Review,9,Candidate Selected
country_jp,Japan,JP,https://ror.org/022b6b871,Jobu University,Isesaki,1950,http://www.jobu.ac.jp/,2024-12-11,2026-08-09,To Review,9,Candidate Selected
country_jp,Japan,JP,https://ror.org/03x1wer98,Kaetsu University,Tokyo,2001,http://www.kaetsu.ac.jp/english/,2024-12-11,2026-08-09,To Review,9,Candidate Selected
country_jp,Japan,JP,https://ror.org/027dkjg03,Keisen University,Tokyo,1988,http://www.keisen.ac.jp/,2024-12-11,2026-08-09,To Review,9,Candidate Selected
country_jp,Japan,JP,https://ror.org/05q041y44,Kokugakuin University,Tokyo,1882,https://www.kokugakuin.ac.jp/,2024-12-11,2026-08-09,To Review,9,Candidate Selected
country_jp,Japan,JP,https://ror.org/05tjaf288,Komazawa University,Tokyo,1592,https://www.komazawa-u.ac.jp/,2024-12-11,2026-08-09,To Review,9,Candidate Selected
country_jp,Japan,JP,https://ror.org/03wkbyb17,Morioka University,Takizawa,1981,http://www.morioka-u.ac.jp,2024-12-11,2026-08-09,To Review,9,Candidate Selected
country_jp,Japan,JP,https://ror.org/03a42q045,Nara University,Nara,1969,http://www.nara-u.ac.jp/,2024-12-11,2026-08-09,To Review,9,Candidate Selected
country_jp,Japan,JP,https://ror.org/0496p0503,Rissho University,Tokyo,1580,http://www.ris.ac.jp,2024-12-11,2026-08-09,To Review,9,Candidate Selected
country_jp,Japan,JP,https://ror.org/04q5p4a74,Seisen University,Tokyo,1938,https://www.seisen-u.ac.jp,2024-12-11,2026-08-09,To Review,9,Candidate Selected
country_jp,Japan,JP,https://ror.org/03jzxkg37,Senshu University,Tokyo,1880,http://www.senshu-u.ac.jp/,2024-12-11,2026-08-09,To Review,9,Candidate Selected
country_sg,Singapore,SG,https://ror.org/01y5z8p89,James Cook University Singapore,Singapore,2003,https://www.jcu.edu.sg/,2024-12-11,2026-08-09,To Review,9,Candidate Selected
country_sg,Singapore,SG,https://ror.org/02e7b5302,Nanyang Technological University,Singapore,1991,https://www.ntu.edu.sg,2025-11-24,2026-08-09,To Review,9,Candidate Selected
country_sg,Singapore,SG,https://ror.org/025yypj46,"National University Cancer Institute, Singapore",Singapore,2008,https://www.ncis.com.sg,2024-12-11,2026-08-09,To Review,9,Candidate Selected
country_sg,Singapore,SG,https://ror.org/05tjjsh18,National University Health System,Singapore,2008,http://www.nuhs.edu.sg/#,2024-12-11,2026-08-09,To Review,9,Candidate Selected
