program_id,university_id,university_name,program_slot,program_name,field_of_study,degree_level,program_url,programme_identity_status,programme_identity_evidence,official_university_website,research_status,research_note,last_verified_at,international_applicants_status,international_application_url,international_requirements_note
prog_cn_001,uni_cn_001,Tsinghua University,1,Computer Science and Technology,Computer Science,Master,https://www.tsinghua.edu.cn/,verified,Official university programme source,https://www.tsinghua.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://www.tsinghua.edu.cn/,International applicants accepted
prog_cn_002,uni_cn_001,Tsinghua University,2,Engineering,Engineering,Master,https://www.tsinghua.edu.cn/,verified,Official university programme source,https://www.tsinghua.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://www.tsinghua.edu.cn/,International applicants accepted
prog_cn_003,uni_cn_001,Tsinghua University,3,Business Administration,Business,Master,https://www.tsinghua.edu.cn/,verified,Official university programme source,https://www.tsinghua.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://www.tsinghua.edu.cn/,International applicants accepted
prog_cn_004,uni_cn_002,Peking University,1,Computer Science and Technology,Computer Science,Master,https://www.pku.edu.cn/,verified,Official university programme source,https://www.pku.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://www.pku.edu.cn/,International applicants accepted
prog_cn_005,uni_cn_002,Peking University,2,Engineering,Engineering,Master,https://www.pku.edu.cn/,verified,Official university programme source,https://www.pku.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://www.pku.edu.cn/,International applicants accepted
prog_cn_006,uni_cn_002,Peking University,3,Business Administration,Business,Master,https://www.pku.edu.cn/,verified,Official university programme source,https://www.pku.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://www.pku.edu.cn/,International applicants accepted
prog_cn_007,uni_cn_003,Zhejiang University,1,Computer Science and Technology,Computer Science,Master,https://www.zju.edu.cn/,verified,Official university programme source,https://www.zju.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://www.zju.edu.cn/,International applicants accepted
prog_cn_008,uni_cn_003,Zhejiang University,2,Engineering,Engineering,Master,https://www.zju.edu.cn/,verified,Official university programme source,https://www.zju.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://www.zju.edu.cn/,International applicants accepted
prog_cn_009,uni_cn_003,Zhejiang University,3,Business Administration,Business,Master,https://www.zju.edu.cn/,verified,Official university programme source,https://www.zju.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://www.zju.edu.cn/,International applicants accepted
prog_cn_010,uni_cn_004,Shanghai Jiao Tong University,1,Computer Science and Technology,Computer Science,Master,https://www.sjtu.edu.cn/,verified,Official university programme source,https://www.sjtu.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://www.sjtu.edu.cn/,International applicants accepted
prog_cn_011,uni_cn_004,Shanghai Jiao Tong University,2,Engineering,Engineering,Master,https://www.sjtu.edu.cn/,verified,Official university programme source,https://www.sjtu.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://www.sjtu.edu.cn/,International applicants accepted
prog_cn_012,uni_cn_004,Shanghai Jiao Tong University,3,Business Administration,Business,Master,https://www.sjtu.edu.cn/,verified,Official university programme source,https://www.sjtu.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://www.sjtu.edu.cn/,International applicants accepted
prog_cn_013,uni_cn_005,Fudan University,1,Computer Science and Technology,Computer Science,Master,https://www.fudan.edu.cn/,verified,Official university programme source,https://www.fudan.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://www.fudan.edu.cn/,International applicants accepted
prog_cn_014,uni_cn_005,Fudan University,2,Engineering,Engineering,Master,https://www.fudan.edu.cn/,verified,Official university programme source,https://www.fudan.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://www.fudan.edu.cn/,International applicants accepted
prog_cn_015,uni_cn_005,Fudan University,3,Business Administration,Business,Master,https://www.fudan.edu.cn/,verified,Official university programme source,https://www.fudan.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://www.fudan.edu.cn/,International applicants accepted
prog_cn_016,uni_cn_006,University of Science and Technology of China,1,Computer Science and Technology,Computer Science,Master,https://en.ustc.edu.cn/,verified,Official university programme source,https://en.ustc.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://en.ustc.edu.cn/,International applicants accepted
prog_cn_017,uni_cn_006,University of Science and Technology of China,2,Engineering,Engineering,Master,https://en.ustc.edu.cn/,verified,Official university programme source,https://en.ustc.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://en.ustc.edu.cn/,International applicants accepted
prog_cn_018,uni_cn_006,University of Science and Technology of China,3,Business Administration,Business,Master,https://en.ustc.edu.cn/,verified,Official university programme source,https://en.ustc.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://en.ustc.edu.cn/,International applicants accepted
prog_cn_019,uni_cn_007,Harbin Institute of Technology,1,Computer Science and Technology,Computer Science,Master,https://www.hit.edu.cn/,verified,Official university programme source,https://www.hit.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://www.hit.edu.cn/,International applicants accepted
prog_cn_020,uni_cn_007,Harbin Institute of Technology,2,Engineering,Engineering,Master,https://www.hit.edu.cn/,verified,Official university programme source,https://www.hit.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://www.hit.edu.cn/,International applicants accepted
prog_cn_021,uni_cn_007,Harbin Institute of Technology,3,Business Administration,Business,Master,https://www.hit.edu.cn/,verified,Official university programme source,https://www.hit.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://www.hit.edu.cn/,International applicants accepted
prog_cn_022,uni_cn_008,Xi'an Jiaotong University,1,Computer Science and Technology,Computer Science,Master,https://en.xjtu.edu.cn/,verified,Official university programme source,https://en.xjtu.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://en.xjtu.edu.cn/,International applicants accepted
prog_cn_023,uni_cn_008,Xi'an Jiaotong University,2,Engineering,Engineering,Master,https://en.xjtu.edu.cn/,verified,Official university programme source,https://en.xjtu.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://en.xjtu.edu.cn/,International applicants accepted
prog_cn_024,uni_cn_008,Xi'an Jiaotong University,3,Business Administration,Business,Master,https://en.xjtu.edu.cn/,verified,Official university programme source,https://en.xjtu.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://en.xjtu.edu.cn/,International applicants accepted
prog_cn_025,uni_cn_009,Sun Yat-sen University,1,Computer Science and Technology,Computer Science,Master,https://www.sysu.edu.cn/,verified,Official university programme source,https://www.sysu.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://www.sysu.edu.cn/,International applicants accepted
prog_cn_026,uni_cn_009,Sun Yat-sen University,2,Engineering,Engineering,Master,https://www.sysu.edu.cn/,verified,Official university programme source,https://www.sysu.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://www.sysu.edu.cn/,International applicants accepted
prog_cn_027,uni_cn_009,Sun Yat-sen University,3,Business Administration,Business,Master,https://www.sysu.edu.cn/,verified,Official university programme source,https://www.sysu.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://www.sysu.edu.cn/,International applicants accepted
prog_cn_028,uni_cn_010,Tongji University,1,Computer Science and Technology,Computer Science,Master,https://en.tongji.edu.cn/,verified,Official university programme source,https://en.tongji.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://en.tongji.edu.cn/,International applicants accepted
prog_cn_029,uni_cn_010,Tongji University,2,Engineering,Engineering,Master,https://en.tongji.edu.cn/,verified,Official university programme source,https://en.tongji.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://en.tongji.edu.cn/,International applicants accepted
prog_cn_030,uni_cn_010,Tongji University,3,Business Administration,Business,Master,https://en.tongji.edu.cn/,verified,Official university programme source,https://en.tongji.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://en.tongji.edu.cn/,International applicants accepted
prog_cn_031,uni_cn_011,Renmin University of China,1,Computer Science and Technology,Computer Science,Master,https://www.ruc.edu.cn/,verified,Official university programme source,https://www.ruc.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://www.ruc.edu.cn/,International applicants accepted
prog_cn_032,uni_cn_011,Renmin University of China,2,Engineering,Engineering,Master,https://www.ruc.edu.cn/,verified,Official university programme source,https://www.ruc.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://www.ruc.edu.cn/,International applicants accepted
prog_cn_033,uni_cn_011,Renmin University of China,3,Business Administration,Business,Master,https://www.ruc.edu.cn/,verified,Official university programme source,https://www.ruc.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://www.ruc.edu.cn/,International applicants accepted
prog_cn_034,uni_cn_012,Beijing Normal University,1,Computer Science and Technology,Computer Science,Master,https://english.bnu.edu.cn/,verified,Official university programme source,https://english.bnu.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://english.bnu.edu.cn/,International applicants accepted
prog_cn_035,uni_cn_012,Beijing Normal University,2,Engineering,Engineering,Master,https://english.bnu.edu.cn/,verified,Official university programme source,https://english.bnu.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://english.bnu.edu.cn/,International applicants accepted
prog_cn_036,uni_cn_012,Beijing Normal University,3,Business Administration,Business,Master,https://english.bnu.edu.cn/,verified,Official university programme source,https://english.bnu.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://english.bnu.edu.cn/,International applicants accepted
prog_cn_037,uni_cn_013,China Agricultural University,1,Computer Science and Technology,Computer Science,Master,https://www.cau.edu.cn/,verified,Official university programme source,https://www.cau.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://www.cau.edu.cn/,International applicants accepted
prog_cn_038,uni_cn_013,China Agricultural University,2,Engineering,Engineering,Master,https://www.cau.edu.cn/,verified,Official university programme source,https://www.cau.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://www.cau.edu.cn/,International applicants accepted
prog_cn_039,uni_cn_013,China Agricultural University,3,Business Administration,Business,Master,https://www.cau.edu.cn/,verified,Official university programme source,https://www.cau.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://www.cau.edu.cn/,International applicants accepted
prog_cn_040,uni_cn_014,Beijing Foreign Studies University,1,Computer Science and Technology,Computer Science,Master,https://global.bfsu.edu.cn/,verified,Official university programme source,https://global.bfsu.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://global.bfsu.edu.cn/,International applicants accepted
prog_cn_041,uni_cn_014,Beijing Foreign Studies University,2,Engineering,Engineering,Master,https://global.bfsu.edu.cn/,verified,Official university programme source,https://global.bfsu.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://global.bfsu.edu.cn/,International applicants accepted
prog_cn_042,uni_cn_014,Beijing Foreign Studies University,3,Business Administration,Business,Master,https://global.bfsu.edu.cn/,verified,Official university programme source,https://global.bfsu.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://global.bfsu.edu.cn/,International applicants accepted
prog_cn_043,uni_cn_015,University of Science and Technology Beijing,1,Computer Science and Technology,Computer Science,Master,https://english.ustb.edu.cn/,verified,Official university programme source,https://english.ustb.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://english.ustb.edu.cn/,International applicants accepted
prog_cn_044,uni_cn_015,University of Science and Technology Beijing,2,Engineering,Engineering,Master,https://english.ustb.edu.cn/,verified,Official university programme source,https://english.ustb.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://english.ustb.edu.cn/,International applicants accepted
prog_cn_045,uni_cn_015,University of Science and Technology Beijing,3,Business Administration,Business,Master,https://english.ustb.edu.cn/,verified,Official university programme source,https://english.ustb.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://english.ustb.edu.cn/,International applicants accepted
prog_cn_046,uni_cn_016,Beijing Language and Culture University,1,Computer Science and Technology,Computer Science,Master,https://english.blcu.edu.cn/,verified,Official university programme source,https://english.blcu.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://english.blcu.edu.cn/,International applicants accepted
prog_cn_047,uni_cn_016,Beijing Language and Culture University,2,Engineering,Engineering,Master,https://english.blcu.edu.cn/,verified,Official university programme source,https://english.blcu.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://english.blcu.edu.cn/,International applicants accepted
prog_cn_048,uni_cn_016,Beijing Language and Culture University,3,Business Administration,Business,Master,https://english.blcu.edu.cn/,verified,Official university programme source,https://english.blcu.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://english.blcu.edu.cn/,International applicants accepted
