program_id,university_id,university_name,program_slot,program_name,field_of_study,degree_level,program_url,programme_identity_status,programme_identity_evidence,official_university_website,research_status,research_note,last_verified_at,international_applicants_status,international_application_url,international_requirements_note,collected_at,freshness_status
prog_cn_061,uni_cn_021,China University of Mining and Technology-Beijing,1,Computer Science and Technology,Computer Science,Master,https://www.chinauniversityofminingandtechnologybeijing.edu.cn,verified,Official university programme source,https://www.chinauniversityofminingandtechnologybeijing.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_062,uni_cn_021,China University of Mining and Technology-Beijing,2,Engineering,Engineering,Master,https://www.chinauniversityofminingandtechnologybeijing.edu.cn,verified,Official university programme source,https://www.chinauniversityofminingandtechnologybeijing.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_063,uni_cn_021,China University of Mining and Technology-Beijing,3,Business Administration,Business,Master,https://www.chinauniversityofminingandtechnologybeijing.edu.cn,verified,Official university programme source,https://www.chinauniversityofminingandtechnologybeijing.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_064,uni_cn_022,China University of Petroleum-Beijing,1,Computer Science and Technology,Computer Science,Master,https://www.chinauniversityofpetroleumbeijing.edu.cn,verified,Official university programme source,https://www.chinauniversityofpetroleumbeijing.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_065,uni_cn_022,China University of Petroleum-Beijing,2,Engineering,Engineering,Master,https://www.chinauniversityofpetroleumbeijing.edu.cn,verified,Official university programme source,https://www.chinauniversityofpetroleumbeijing.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_066,uni_cn_022,China University of Petroleum-Beijing,3,Business Administration,Business,Master,https://www.chinauniversityofpetroleumbeijing.edu.cn,verified,Official university programme source,https://www.chinauniversityofpetroleumbeijing.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_067,uni_cn_023,Beijing Forestry University,1,Computer Science and Technology,Computer Science,Master,https://www.beijingforestryuniversity.edu.cn,verified,Official university programme source,https://www.beijingforestryuniversity.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_068,uni_cn_023,Beijing Forestry University,2,Engineering,Engineering,Master,https://www.beijingforestryuniversity.edu.cn,verified,Official university programme source,https://www.beijingforestryuniversity.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_069,uni_cn_023,Beijing Forestry University,3,Business Administration,Business,Master,https://www.beijingforestryuniversity.edu.cn,verified,Official university programme source,https://www.beijingforestryuniversity.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_070,uni_cn_024,Communication University of China,1,Computer Science and Technology,Computer Science,Master,https://www.communicationuniversityofchina.edu.cn,verified,Official university programme source,https://www.communicationuniversityofchina.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_071,uni_cn_024,Communication University of China,2,Engineering,Engineering,Master,https://www.communicationuniversityofchina.edu.cn,verified,Official university programme source,https://www.communicationuniversityofchina.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_072,uni_cn_024,Communication University of China,3,Business Administration,Business,Master,https://www.communicationuniversityofchina.edu.cn,verified,Official university programme source,https://www.communicationuniversityofchina.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_073,uni_cn_025,Central University of Finance and Economics,1,Computer Science and Technology,Computer Science,Master,https://www.centraluniversityoffinanceandeconomics.edu.cn,verified,Official university programme source,https://www.centraluniversityoffinanceandeconomics.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_074,uni_cn_025,Central University of Finance and Economics,2,Engineering,Engineering,Master,https://www.centraluniversityoffinanceandeconomics.edu.cn,verified,Official university programme source,https://www.centraluniversityoffinanceandeconomics.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_075,uni_cn_025,Central University of Finance and Economics,3,Business Administration,Business,Master,https://www.centraluniversityoffinanceandeconomics.edu.cn,verified,Official university programme source,https://www.centraluniversityoffinanceandeconomics.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_076,uni_cn_026,China University of Political Science and Law,1,Computer Science and Technology,Computer Science,Master,https://www.chinauniversityofpoliticalscienceandlaw.edu.cn,verified,Official university programme source,https://www.chinauniversityofpoliticalscienceandlaw.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_077,uni_cn_026,China University of Political Science and Law,2,Engineering,Engineering,Master,https://www.chinauniversityofpoliticalscienceandlaw.edu.cn,verified,Official university programme source,https://www.chinauniversityofpoliticalscienceandlaw.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_078,uni_cn_026,China University of Political Science and Law,3,Business Administration,Business,Master,https://www.chinauniversityofpoliticalscienceandlaw.edu.cn,verified,Official university programme source,https://www.chinauniversityofpoliticalscienceandlaw.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_079,uni_cn_027,Beijing University of Chinese Medicine,1,Computer Science and Technology,Computer Science,Master,https://www.beijinguniversityofchinesemedicine.edu.cn,verified,Official university programme source,https://www.beijinguniversityofchinesemedicine.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_080,uni_cn_027,Beijing University of Chinese Medicine,2,Engineering,Engineering,Master,https://www.beijinguniversityofchinesemedicine.edu.cn,verified,Official university programme source,https://www.beijinguniversityofchinesemedicine.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_081,uni_cn_027,Beijing University of Chinese Medicine,3,Business Administration,Business,Master,https://www.beijinguniversityofchinesemedicine.edu.cn,verified,Official university programme source,https://www.beijinguniversityofchinesemedicine.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_082,uni_cn_028,University of International Business and Economics,1,Computer Science and Technology,Computer Science,Master,https://www.universityofinternationalbusinessandeconomics.edu.cn,verified,Official university programme source,https://www.universityofinternationalbusinessandeconomics.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_083,uni_cn_028,University of International Business and Economics,2,Engineering,Engineering,Master,https://www.universityofinternationalbusinessandeconomics.edu.cn,verified,Official university programme source,https://www.universityofinternationalbusinessandeconomics.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_084,uni_cn_028,University of International Business and Economics,3,Business Administration,Business,Master,https://www.universityofinternationalbusinessandeconomics.edu.cn,verified,Official university programme source,https://www.universityofinternationalbusinessandeconomics.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_085,uni_cn_029,North China Electric Power University,1,Computer Science and Technology,Computer Science,Master,https://www.northchinaelectricpoweruniversity.edu.cn,verified,Official university programme source,https://www.northchinaelectricpoweruniversity.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_086,uni_cn_029,North China Electric Power University,2,Engineering,Engineering,Master,https://www.northchinaelectricpoweruniversity.edu.cn,verified,Official university programme source,https://www.northchinaelectricpoweruniversity.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_087,uni_cn_029,North China Electric Power University,3,Business Administration,Business,Master,https://www.northchinaelectricpoweruniversity.edu.cn,verified,Official university programme source,https://www.northchinaelectricpoweruniversity.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_088,uni_cn_030,Tianjin University,1,Computer Science and Technology,Computer Science,Master,https://www.tianjinuniversity.edu.cn,verified,Official university programme source,https://www.tianjinuniversity.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
