program_id,university_id,university_name,program_name,field_of_study,degree_level,official_program_url,official_department_source,international_application_url,programme_identity_status,international_applicants_status,research_status,programme_identity_evidence,research_note,verified_date
prog_cn_061,uni_cn_021,China University of Mining and Technology-Beijing,Mining Engineering,Mining Engineering,Master,https://international.cumtb.edu.cn/,https://english.cumtb.edu.cn/SCHOOLS.htm,https://international.cumtb.edu.cn/English_Version/Admissions.htm,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from CUMTB official international admission and school sources,2026-08-23
prog_cn_062,uni_cn_021,China University of Mining and Technology-Beijing,Geological Engineering,Geological Engineering,Master,https://international.cumtb.edu.cn/,https://english.cumtb.edu.cn/SCHOOLS.htm,https://international.cumtb.edu.cn/English_Version/Admissions.htm,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from CUMTB official international admission and school sources,2026-08-23
prog_cn_063,uni_cn_021,China University of Mining and Technology-Beijing,Computer Science and Technology,Computer Science and Technology,Master,https://international.cumtb.edu.cn/,https://english.cumtb.edu.cn/SCHOOLS.htm,https://international.cumtb.edu.cn/English_Version/Admissions.htm,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from CUMTB official international admission and school sources,2026-08-23
prog_cn_064,uni_cn_022,China University of Petroleum-Beijing,Petroleum Engineering,Petroleum Engineering,Master,https://www.cup.edu.cn/en/,https://www.cup.edu.cn/en/Academics/,https://www.cup.edu.cn/en/Admissions/,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from China University of Petroleum-Beijing official international and academic sources,2026-08-23
prog_cn_065,uni_cn_022,China University of Petroleum-Beijing,Chemical Engineering,Chemical Engineering,Master,https://www.cup.edu.cn/en/,https://www.cup.edu.cn/en/Academics/,https://www.cup.edu.cn/en/Admissions/,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from China University of Petroleum-Beijing official international and academic sources,2026-08-23
prog_cn_066,uni_cn_022,China University of Petroleum-Beijing,Computer Science and Technology,Computer Science and Technology,Master,https://www.cup.edu.cn/en/,https://www.cup.edu.cn/en/Academics/,https://www.cup.edu.cn/en/Admissions/,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from China University of Petroleum-Beijing official international and academic sources,2026-08-23
prog_cn_067,uni_cn_023,Beijing Forestry University,Forestry,Forestry,Master,https://english.bjfu.edu.cn/,https://english.bjfu.edu.cn/colleges/,https://english.bjfu.edu.cn/admissions/,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from Beijing Forestry University official academic and international sources,2026-08-23
prog_cn_068,uni_cn_023,Beijing Forestry University,Landscape Architecture,Landscape Architecture,Master,https://english.bjfu.edu.cn/,https://english.bjfu.edu.cn/colleges/,https://english.bjfu.edu.cn/admissions/,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from Beijing Forestry University official academic and international sources,2026-08-23
prog_cn_069,uni_cn_023,Beijing Forestry University,Environmental Science and Engineering,Environmental Science and Engineering,Master,https://english.bjfu.edu.cn/,https://english.bjfu.edu.cn/colleges/,https://english.bjfu.edu.cn/admissions/,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from Beijing Forestry University official academic and international sources,2026-08-23
prog_cn_070,uni_cn_024,Communication University of China,Communication Studies,Communication Studies,Master,https://en.cuc.edu.cn/,https://en.cuc.edu.cn/Schools/list.htm,https://en.cuc.edu.cn/Admission/list.htm,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from Communication University of China official academic and international sources,2026-08-23
