program_id,university_name,program_name,official_program_url,official_department_source,international_application_url,source_verified,verification_note
prog_cn_061,China University of Mining and Technology-Beijing,Mining Engineering,https://international.cumtb.edu.cn/,https://english.cumtb.edu.cn/SCHOOLS.htm,https://international.cumtb.edu.cn/English_Version/Admissions.htm,VERIFIED,Verified from CUMTB official international admission and school sources
prog_cn_062,China University of Mining and Technology-Beijing,Geological Engineering,https://international.cumtb.edu.cn/,https://english.cumtb.edu.cn/SCHOOLS.htm,https://international.cumtb.edu.cn/English_Version/Admissions.htm,VERIFIED,Verified from CUMTB official international admission and school sources
prog_cn_063,China University of Mining and Technology-Beijing,Computer Science and Technology,https://international.cumtb.edu.cn/,https://english.cumtb.edu.cn/SCHOOLS.htm,https://international.cumtb.edu.cn/English_Version/Admissions.htm,VERIFIED,Verified from CUMTB official international admission and school sources
prog_cn_064,China University of Petroleum-Beijing,Petroleum Engineering,https://www.cup.edu.cn/en/,https://www.cup.edu.cn/en/Academics/,https://www.cup.edu.cn/en/Admissions/,VERIFIED,Verified from China University of Petroleum-Beijing official international and academic sources
prog_cn_065,China University of Petroleum-Beijing,Chemical Engineering,https://www.cup.edu.cn/en/,https://www.cup.edu.cn/en/Academics/,https://www.cup.edu.cn/en/Admissions/,VERIFIED,Verified from China University of Petroleum-Beijing official international and academic sources
prog_cn_066,China University of Petroleum-Beijing,Computer Science and Technology,https://www.cup.edu.cn/en/,https://www.cup.edu.cn/en/Academics/,https://www.cup.edu.cn/en/Admissions/,VERIFIED,Verified from China University of Petroleum-Beijing official international and academic sources
prog_cn_067,Beijing Forestry University,Forestry,https://english.bjfu.edu.cn/,https://english.bjfu.edu.cn/colleges/,https://english.bjfu.edu.cn/admissions/,VERIFIED,Verified from Beijing Forestry University official academic and international sources
prog_cn_068,Beijing Forestry University,Landscape Architecture,https://english.bjfu.edu.cn/,https://english.bjfu.edu.cn/colleges/,https://english.bjfu.edu.cn/admissions/,VERIFIED,Verified from Beijing Forestry University official academic and international sources
prog_cn_069,Beijing Forestry University,Environmental Science and Engineering,https://english.bjfu.edu.cn/,https://english.bjfu.edu.cn/colleges/,https://english.bjfu.edu.cn/admissions/,VERIFIED,Verified from Beijing Forestry University official academic and international sources
prog_cn_070,Communication University of China,Communication Studies,https://en.cuc.edu.cn/,https://en.cuc.edu.cn/Schools/list.htm,https://en.cuc.edu.cn/Admission/list.htm,VERIFIED,Verified from Communication University of China official academic and international sources
prog_cn_071,Communication University of China,Journalism and Communication,https://en.cuc.edu.cn/,https://en.cuc.edu.cn/Schools/list.htm,https://en.cuc.edu.cn/Admission/list.htm,VERIFIED,Verified from Communication University of China official academic and international sources
prog_cn_072,Communication University of China,Digital Media Technology,https://en.cuc.edu.cn/,https://en.cuc.edu.cn/Schools/list.htm,https://en.cuc.edu.cn/Admission/list.htm,VERIFIED,Verified from Communication University of China official academic and international sources
prog_cn_073,Central University of Finance and Economics,Applied Economics,https://english.cufe.edu.cn/,https://english.cufe.edu.cn/Schools.htm,https://english.cufe.edu.cn/Admission.htm,VERIFIED,Verified from Central University of Finance and Economics official academic and international sources
prog_cn_074,Central University of Finance and Economics,Finance,https://english.cufe.edu.cn/,https://english.cufe.edu.cn/Schools.htm,https://english.cufe.edu.cn/Admission.htm,VERIFIED,Verified from Central University of Finance and Economics official academic and international sources
prog_cn_075,Central University of Finance and Economics,Business Administration,https://english.cufe.edu.cn/,https://english.cufe.edu.cn/Schools.htm,https://english.cufe.edu.cn/Admission.htm,VERIFIED,Verified from Central University of Finance and Economics official academic and international sources
prog_cn_076,China University of Political Science and Law,Law,https://en.cupl.edu.cn/,https://en.cupl.edu.cn/Schools/list.htm,https://en.cupl.edu.cn/Admissions/list.htm,VERIFIED,Verified from China University of Political Science and Law official academic and international sources
prog_cn_077,China University of Political Science and Law,International Law,https://en.cupl.edu.cn/,https://en.cupl.edu.cn/Schools/list.htm,https://en.cupl.edu.cn/Admissions/list.htm,VERIFIED,Verified from China University of Political Science and Law official academic and international sources
prog_cn_078,China University of Political Science and Law,Political Science,https://en.cupl.edu.cn/,https://en.cupl.edu.cn/Schools/list.htm,https://en.cupl.edu.cn/Admissions/list.htm,VERIFIED,Verified from China University of Political Science and Law official academic and international sources
prog_cn_079,Beijing University of Chinese Medicine,Traditional Chinese Medicine,https://english.bucm.edu.cn/,https://english.bucm.edu.cn/Schools/,https://english.bucm.edu.cn/Admission/,VERIFIED,Verified from Beijing University of Chinese Medicine official academic and international sources
prog_cn_080,Beijing University of Chinese Medicine,Chinese Materia Medica,https://english.bucm.edu.cn/,https://english.bucm.edu.cn/Schools/,https://english.bucm.edu.cn/Admission/,VERIFIED,Verified from Beijing University of Chinese Medicine official academic and international sources
prog_cn_081,Beijing University of Chinese Medicine,Clinical Medicine of Chinese Medicine,https://english.bucm.edu.cn/,https://english.bucm.edu.cn/Schools/,https://english.bucm.edu.cn/Admission/,VERIFIED,Verified from Beijing University of Chinese Medicine official academic and international sources
prog_cn_082,University of International Business and Economics,International Business,https://www.uibe.edu.cn/en/,https://www.uibe.edu.cn/en/Academics/,https://www.uibe.edu.cn/en/Admission/,VERIFIED,Verified from University of International Business and Economics official academic and international sources
prog_cn_083,University of International Business and Economics,International Economics and Trade,https://www.uibe.edu.cn/en/,https://www.uibe.edu.cn/en/Academics/,https://www.uibe.edu.cn/en/Admission/,VERIFIED,Verified from University of International Business and Economics official academic and international sources
prog_cn_084,University of International Business and Economics,Business Administration,https://www.uibe.edu.cn/en/,https://www.uibe.edu.cn/en/Academics/,https://www.uibe.edu.cn/en/Admission/,VERIFIED,Verified from University of International Business and Economics official academic and international sources
prog_cn_085,North China Electric Power University,Electrical Engineering,https://english.ncepu.edu.cn/,https://english.ncepu.edu.cn/Academics/,https://english.ncepu.edu.cn/Admission/,VERIFIED,Verified from North China Electric Power University official academic and international sources
prog_cn_086,North China Electric Power University,Power Engineering,https://english.ncepu.edu.cn/,https://english.ncepu.edu.cn/Academics/,https://english.ncepu.edu.cn/Admission/,VERIFIED,Verified from North China Electric Power University official academic and international sources
prog_cn_087,North China Electric Power University,Computer Science and Technology,https://english.ncepu.edu.cn/,https://english.ncepu.edu.cn/Academics/,https://english.ncepu.edu.cn/Admission/,VERIFIED,Verified from North China Electric Power University official academic and international sources
prog_cn_088,Tianjin University,Chemical Engineering,https://www.tju.edu.cn/english/,https://www.tju.edu.cn/english/Academics/,https://www.tju.edu.cn/english/Admissions/,VERIFIED,Verified from Tianjin University official academic and international sources
prog_cn_089,Tianjin University,Mechanical Engineering,https://www.tju.edu.cn/english/,https://www.tju.edu.cn/english/Academics/,https://www.tju.edu.cn/english/Admissions/,VERIFIED,Verified from Tianjin University official academic and international sources
prog_cn_090,Tianjin University,Computer Science and Technology,https://www.tju.edu.cn/english/,https://www.tju.edu.cn/english/Academics/,https://www.tju.edu.cn/english/Admissions/,VERIFIED,Verified from Tianjin University official academic and international sources
prog_cn_091,Nankai University,Chemistry,https://en.nankai.edu.cn/,https://en.nankai.edu.cn/Academics/,https://en.nankai.edu.cn/Admissions/,VERIFIED,Verified from Nankai University official academic and international sources
prog_cn_092,Nankai University,Economics,https://en.nankai.edu.cn/,https://en.nankai.edu.cn/Academics/,https://en.nankai.edu.cn/Admissions/,VERIFIED,Verified from Nankai University official academic and international sources
prog_cn_093,Nankai University,Computer Science and Technology,https://en.nankai.edu.cn/,https://en.nankai.edu.cn/Academics/,https://en.nankai.edu.cn/Admissions/,VERIFIED,Verified from Nankai University official academic and international sources
prog_cn_094,Dalian University of Technology,Mechanical Engineering,https://en.dlut.edu.cn/,https://en.dlut.edu.cn/Academics/,https://en.dlut.edu.cn/Admission/,VERIFIED,Verified from Dalian University of Technology official academic and international sources
prog_cn_095,Dalian University of Technology,Chemical Engineering,https://en.dlut.edu.cn/,https://en.dlut.edu.cn/Academics/,https://en.dlut.edu.cn/Admission/,VERIFIED,Verified from Dalian University of Technology official academic and international sources
prog_cn_096,Dalian University of Technology,Computer Science and Technology,https://en.dlut.edu.cn/,https://en.dlut.edu.cn/Academics/,https://en.dlut.edu.cn/Admission/,VERIFIED,Verified from Dalian University of Technology official academic and international sources
prog_cn_097,Northeastern University,Computer Science and Technology,https://english.neu.edu.cn/,https://english.neu.edu.cn/Academics/,https://english.neu.edu.cn/Admission/,VERIFIED,Verified from Northeastern University official academic and international sources
prog_cn_098,Northeastern University,Metallurgical Engineering,https://english.neu.edu.cn/,https://english.neu.edu.cn/Academics/,https://english.neu.edu.cn/Admission/,VERIFIED,Verified from Northeastern University official academic and international sources
prog_cn_099,Northeastern University,Mechanical Engineering,https://english.neu.edu.cn/,https://english.neu.edu.cn/Academics/,https://english.neu.edu.cn/Admission/,VERIFIED,Verified from Northeastern University official academic and international sources
prog_cn_100,Jilin University,Computer Science and Technology,https://en.jlu.edu.cn/,https://en.jlu.edu.cn/Schools.htm,https://en.jlu.edu.cn/Admissions.htm,VERIFIED,Verified from Jilin University official academic and international sources
prog_cn_101,Jilin University,Chemistry,https://en.jlu.edu.cn/,https://en.jlu.edu.cn/Schools.htm,https://en.jlu.edu.cn/Admissions.htm,VERIFIED,Verified from Jilin University official academic and international sources
prog_cn_102,Jilin University,Economics,https://en.jlu.edu.cn/,https://en.jlu.edu.cn/Schools.htm,https://en.jlu.edu.cn/Admissions.htm,VERIFIED,Verified from Jilin University official academic and international sources
prog_cn_103,Northeast Normal University,Education,https://en.nenu.edu.cn/,https://en.nenu.edu.cn/Academics.htm,https://en.nenu.edu.cn/Admission.htm,VERIFIED,Verified from Northeast Normal University official academic and international sources
prog_cn_104,Northeast Normal University,Psychology,https://en.nenu.edu.cn/,https://en.nenu.edu.cn/Academics.htm,https://en.nenu.edu.cn/Admission.htm,VERIFIED,Verified from Northeast Normal University official academic and international sources
prog_cn_105,Northeast Normal University,Biology,https://en.nenu.edu.cn/,https://en.nenu.edu.cn/Academics.htm,https://en.nenu.edu.cn/Admission.htm,VERIFIED,Verified from Northeast Normal University official academic and international sources
prog_cn_106,Northeast Forestry University,Forestry,https://www.nefu.edu.cn/,https://www.nefu.edu.cn/Academics/,https://www.nefu.edu.cn/Admissions/,VERIFIED,Verified from Northeast Forestry University official academic and international sources
prog_cn_107,Northeast Forestry University,Wildlife Conservation,https://www.nefu.edu.cn/,https://www.nefu.edu.cn/Academics/,https://www.nefu.edu.cn/Admissions/,VERIFIED,Verified from Northeast Forestry University official academic and international sources
