program_id,university_id,university_name,program_name,official_program_url,official_department_source,international_application_url,verification_status,notes
prog_cn_061,uni_cn_021,China University of Mining and Technology-Beijing,Mining Engineering,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_062,uni_cn_021,China University of Mining and Technology-Beijing,Geological Engineering,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_063,uni_cn_021,China University of Mining and Technology-Beijing,Computer Science and Technology,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_064,uni_cn_022,China University of Petroleum-Beijing,Petroleum Engineering,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_065,uni_cn_022,China University of Petroleum-Beijing,Chemical Engineering,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_066,uni_cn_022,China University of Petroleum-Beijing,Computer Science and Technology,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_067,uni_cn_023,Beijing Forestry University,Forestry,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_068,uni_cn_023,Beijing Forestry University,Landscape Architecture,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_069,uni_cn_023,Beijing Forestry University,Environmental Science and Engineering,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_070,uni_cn_024,Communication University of China,Communication Studies,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_071,uni_cn_024,Communication University of China,Journalism and Communication,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_072,uni_cn_024,Communication University of China,Digital Media Technology,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_073,uni_cn_025,Central University of Finance and Economics,Applied Economics,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_074,uni_cn_025,Central University of Finance and Economics,Finance,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_075,uni_cn_025,Central University of Finance and Economics,Business Administration,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_076,uni_cn_026,China University of Political Science and Law,Law,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_077,uni_cn_026,China University of Political Science and Law,International Law,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_078,uni_cn_026,China University of Political Science and Law,Political Science,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_079,uni_cn_027,Beijing University of Chinese Medicine,Traditional Chinese Medicine,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_080,uni_cn_027,Beijing University of Chinese Medicine,Chinese Materia Medica,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_081,uni_cn_027,Beijing University of Chinese Medicine,Clinical Medicine of Chinese Medicine,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_082,uni_cn_028,University of International Business and Economics,International Business,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_083,uni_cn_028,University of International Business and Economics,International Economics and Trade,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_084,uni_cn_028,University of International Business and Economics,Business Administration,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_085,uni_cn_029,North China Electric Power University,Electrical Engineering,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_086,uni_cn_029,North China Electric Power University,Power Engineering,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_087,uni_cn_029,North China Electric Power University,Computer Science and Technology,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
