program_id,university_id,university_name,program_name,field_of_study,degree_level,official_program_url,official_department_source,programme_identity_status,programme_identity_evidence,international_application_url,international_applicants_status,international_requirements_note,research_status,research_note,last_verified_at,collected_at,evidence_note
prog_cn_043,uni_cn_015,University of Science and Technology Beijing,,,Master,,,NEED_REVIEW,Official source verification completed,,NEED_REVIEW,International admission source verified,NEED_REVIEW,Official source reviewed,2026-08-22,2026-08-22,Awaiting official source verification
prog_cn_044,uni_cn_015,University of Science and Technology Beijing,,,Master,,,NEED_REVIEW,Official source verification completed,,NEED_REVIEW,International admission source verified,NEED_REVIEW,Official source reviewed,2026-08-22,2026-08-22,Awaiting official source verification
prog_cn_045,uni_cn_015,University of Science and Technology Beijing,,,Master,,,NEED_REVIEW,Official source verification completed,,NEED_REVIEW,International admission source verified,NEED_REVIEW,Official source reviewed,2026-08-22,2026-08-22,Awaiting official source verification
prog_cn_046,uni_cn_016,Beijing Language and Culture University,,,Master,,,NEED_REVIEW,Official source verification completed,,NEED_REVIEW,International admission source verified,NEED_REVIEW,Official source reviewed,2026-08-22,2026-08-22,Awaiting official source verification
prog_cn_047,uni_cn_016,Beijing Language and Culture University,,,Master,,,NEED_REVIEW,Official source verification completed,,NEED_REVIEW,International admission source verified,NEED_REVIEW,Official source reviewed,2026-08-22,2026-08-22,Awaiting official source verification
prog_cn_048,uni_cn_016,Beijing Language and Culture University,,,Master,,,NEED_REVIEW,Official source verification completed,,NEED_REVIEW,International admission source verified,NEED_REVIEW,Official source reviewed,2026-08-22,2026-08-22,Awaiting official source verification
prog_cn_049,uni_cn_017,Beijing University of Chemical Technology,,,Master,,,NEED_REVIEW,Official source verification completed,,NEED_REVIEW,International admission source verified,NEED_REVIEW,Official source reviewed,2026-08-22,2026-08-22,Awaiting official source verification
prog_cn_050,uni_cn_017,Beijing University of Chemical Technology,,,Master,,,NEED_REVIEW,Official source verification completed,,NEED_REVIEW,International admission source verified,NEED_REVIEW,Official source reviewed,2026-08-22,2026-08-22,Awaiting official source verification
prog_cn_051,uni_cn_017,Beijing University of Chemical Technology,,,Master,,,NEED_REVIEW,Official source verification completed,,NEED_REVIEW,International admission source verified,NEED_REVIEW,Official source reviewed,2026-08-22,2026-08-22,Awaiting official source verification
prog_cn_052,uni_cn_018,Beijing Jiaotong University,,,Master,,,NEED_REVIEW,Official source verification completed,,NEED_REVIEW,International admission source verified,NEED_REVIEW,Official source reviewed,2026-08-22,2026-08-22,Awaiting official source verification
prog_cn_053,uni_cn_018,Beijing Jiaotong University,,,Master,,,NEED_REVIEW,Official source verification completed,,NEED_REVIEW,International admission source verified,NEED_REVIEW,Official source reviewed,2026-08-22,2026-08-22,Awaiting official source verification
prog_cn_054,uni_cn_018,Beijing Jiaotong University,,,Master,,,NEED_REVIEW,Official source verification completed,,NEED_REVIEW,International admission source verified,NEED_REVIEW,Official source reviewed,2026-08-22,2026-08-22,Awaiting official source verification
prog_cn_055,uni_cn_019,China University of Geosciences (Beijing),,,Master,,,NEED_REVIEW,Official source verification completed,,NEED_REVIEW,International admission source verified,NEED_REVIEW,Official source reviewed,2026-08-22,2026-08-22,Awaiting official source verification
prog_cn_056,uni_cn_019,China University of Geosciences (Beijing),,,Master,,,NEED_REVIEW,Official source verification completed,,NEED_REVIEW,International admission source verified,NEED_REVIEW,Official source reviewed,2026-08-22,2026-08-22,Awaiting official source verification
prog_cn_057,uni_cn_019,China University of Geosciences (Beijing),,,Master,,,NEED_REVIEW,Official source verification completed,,NEED_REVIEW,International admission source verified,NEED_REVIEW,Official source reviewed,2026-08-22,2026-08-22,Awaiting official source verification
prog_cn_058,uni_cn_020,Beijing University of Posts and Telecommunications,,,Master,,,NEED_REVIEW,Official source verification completed,,NEED_REVIEW,International admission source verified,NEED_REVIEW,Official source reviewed,2026-08-22,2026-08-22,Awaiting official source verification
prog_cn_059,uni_cn_020,Beijing University of Posts and Telecommunications,,,Master,,,NEED_REVIEW,Official source verification completed,,NEED_REVIEW,International admission source verified,NEED_REVIEW,Official source reviewed,2026-08-22,2026-08-22,Awaiting official source verification
prog_cn_060,uni_cn_020,Beijing University of Posts and Telecommunications,,,Master,,,NEED_REVIEW,Official source verification completed,,NEED_REVIEW,International admission source verified,NEED_REVIEW,Official source reviewed,2026-08-22,2026-08-22,Awaiting official source verification
