program_id,university_id,university_name,program_name,field_of_study,degree_level,official_program_url,official_department_source,programme_identity_status,programme_identity_evidence,international_application_url,international_applicants_status,international_requirements_note,research_status,research_note,last_verified_at,collected_at
prog_cn_001,uni_cn_001,Tsinghua University,Computer Science and Technology,Computer Science,Master,https://www.cs.tsinghua.edu.cn/,"Department of Computer Science and Technology, Tsinghua University",verified,Confirmed from official Tsinghua Department of Computer Science and Technology source,https://yz.tsinghua.edu.cn/en/,verified_yes,International graduate applicants supported through official admission channel,verified,Official source verified,2026-08-22,2026-08-22
prog_cn_002,uni_cn_001,Tsinghua University,Electronic Information Engineering,Electronic Engineering,Master,https://www.ee.tsinghua.edu.cn/,"Department of Electronic Engineering, Tsinghua University",verified,Confirmed from official Tsinghua Department of Electronic Engineering source,https://yz.tsinghua.edu.cn/en/,verified_yes,International graduate applicants supported through official admission channel,verified,Official source verified,2026-08-22,2026-08-22
prog_cn_003,uni_cn_001,Tsinghua University,Architecture,Architecture,Master,https://www.arch.tsinghua.edu.cn/,"School of Architecture, Tsinghua University",verified,Confirmed from official Tsinghua School of Architecture source,https://yz.tsinghua.edu.cn/en/,verified_yes,International graduate applicants supported through official admission channel,verified,Official source verified,2026-08-22,2026-08-22
prog_cn_004,uni_cn_002,Peking University,Computer Science and Technology,Computer Science,Master,https://cs.pku.edu.cn/,"School of Computer Science, Peking University",verified,Confirmed from official Peking University School of Computer Science source,https://isd.pku.edu.cn/,verified_yes,International graduate admission supported through official Peking University admission channel,verified,Official source verified,2026-08-22,2026-08-22
prog_cn_005,uni_cn_002,Peking University,Economics,Economics,Master,https://econ.pku.edu.cn/,"School of Economics, Peking University",verified,Confirmed from official Peking University School of Economics source,https://isd.pku.edu.cn/,verified_yes,International graduate admission supported through official Peking University admission channel,verified,Official source verified,2026-08-22,2026-08-22
prog_cn_006,uni_cn_002,Peking University,International Relations,Political Science,Master,https://www.sis.pku.edu.cn/,"School of International Studies, Peking University",verified,Confirmed from official Peking University School of International Studies source,https://isd.pku.edu.cn/,verified_yes,International graduate admission supported through official Peking University admission channel,verified,Official source verified,2026-08-22,2026-08-22
prog_cn_007,uni_cn_003,Zhejiang University,Computer Science and Technology,Computer Science,Master,https://www.zju.edu.cn/,"College of Computer Science and Technology, Zhejiang University",verified,Confirmed from official Zhejiang University academic source,https://iczu.zju.edu.cn/,verified_yes,International graduate applicants supported through official Zhejiang University admission channel,verified,Official source verified,2026-08-22,2026-08-22
prog_cn_008,uni_cn_003,Zhejiang University,Mechanical Engineering,Engineering,Master,https://me.zju.edu.cn/,"School of Mechanical Engineering, Zhejiang University",verified,Confirmed from official Zhejiang University academic source,https://iczu.zju.edu.cn/,verified_yes,International graduate applicants supported through official Zhejiang University admission channel,verified,Official source verified,2026-08-22,2026-08-22
prog_cn_009,uni_cn_003,Zhejiang University,Business Administration,Business,Master,https://mba.zju.edu.cn/,"School of Management, Zhejiang University",verified,Confirmed from official Zhejiang University academic source,https://iczu.zju.edu.cn/,verified_yes,International graduate applicants supported through official Zhejiang University admission channel,verified,Official source verified,2026-08-22,2026-08-22
prog_cn_010,uni_cn_004,Shanghai Jiao Tong University,Computer Science and Technology,Computer Science,Master,https://en.sjtu.edu.cn/,"School of Electronic Information and Electrical Engineering, Shanghai Jiao Tong University",verified,Confirmed from official Shanghai Jiao Tong University academic source,https://isc.sjtu.edu.cn/,verified_yes,International graduate applicants supported through official SJTU admission channel,verified,Official source verified,2026-08-22,2026-08-22
prog_cn_011,uni_cn_004,Shanghai Jiao Tong University,Mechanical Engineering,Engineering,Master,https://me.sjtu.edu.cn/,"School of Mechanical Engineering, Shanghai Jiao Tong University",verified,Confirmed from official Shanghai Jiao Tong University academic source,https://isc.sjtu.edu.cn/,verified_yes,International graduate applicants supported through official SJTU admission channel,verified,Official source verified,2026-08-22,2026-08-22
prog_cn_012,uni_cn_004,Shanghai Jiao Tong University,Business Administration,Business,Master,https://www.acem.sjtu.edu.cn/,"Antai College of Economics and Management, Shanghai Jiao Tong University",verified,Confirmed from official Shanghai Jiao Tong University academic source,https://isc.sjtu.edu.cn/,verified_yes,International graduate applicants supported through official SJTU admission channel,verified,Official source verified,2026-08-22,2026-08-22
prog_cn_013,uni_cn_005,Fudan University,Computer Science,Computer Science,Master,https://cs.fudan.edu.cn/,"School of Computer Science, Fudan University",verified,Confirmed from official Fudan University academic source,https://iso.fudan.edu.cn/,verified_yes,International graduate applicants supported through official Fudan University admission channel,verified,Official source verified,2026-08-22,2026-08-22
prog_cn_014,uni_cn_005,Fudan University,Economics,Economics,Master,https://econ.fudan.edu.cn/,"School of Economics, Fudan University",verified,Confirmed from official Fudan University academic source,https://iso.fudan.edu.cn/,verified_yes,International graduate applicants supported through official Fudan University admission channel,verified,Official source verified,2026-08-22,2026-08-22
prog_cn_015,uni_cn_005,Fudan University,International Relations,Political Science,Master,https://sis.fudan.edu.cn/,"School of International Studies, Fudan University",verified,Confirmed from official Fudan University academic source,https://iso.fudan.edu.cn/,verified_yes,International graduate applicants supported through official Fudan University admission channel,verified,Official source verified,2026-08-22,2026-08-22
