program_id,university_id,university_name,program_name,field_of_study,degree_level,language_of_instruction,study_mode,duration_years,tuition_fee,tuition_currency,intake,ielts_requirement,toefl_requirement,enrichment_status,research_note
prog_cn_001,uni_cn_001,Tsinghua University,Computer Science and Technology,Computer Science,Master,,,,,CNY,,,,PENDING,Awaiting official programme enrichment verification
prog_cn_002,uni_cn_001,Tsinghua University,Electronic Information Engineering,Electronic Engineering,Master,,,,,CNY,,,,PENDING,Awaiting official programme enrichment verification
prog_cn_003,uni_cn_001,Tsinghua University,Architecture,Architecture,Master,,,,,CNY,,,,PENDING,Awaiting official programme enrichment verification
prog_cn_004,uni_cn_002,Peking University,Computer Science and Technology,Computer Science,Master,,,,,CNY,,,,PENDING,Awaiting official programme enrichment verification
prog_cn_005,uni_cn_002,Peking University,Economics,Economics,Master,,,,,CNY,,,,PENDING,Awaiting official programme enrichment verification
prog_cn_006,uni_cn_002,Peking University,International Relations,Political Science,Master,,,,,CNY,,,,PENDING,Awaiting official programme enrichment verification
prog_cn_007,uni_cn_003,Zhejiang University,Computer Science and Technology,Computer Science,Master,,,,,CNY,,,,PENDING,Awaiting official programme enrichment verification
prog_cn_008,uni_cn_003,Zhejiang University,Mechanical Engineering,Engineering,Master,,,,,CNY,,,,PENDING,Awaiting official programme enrichment verification
prog_cn_009,uni_cn_003,Zhejiang University,Business Administration,Business,Master,,,,,CNY,,,,PENDING,Awaiting official programme enrichment verification
prog_cn_010,uni_cn_004,Shanghai Jiao Tong University,Computer Science and Technology,Computer Science,Master,,,,,CNY,,,,PENDING,Awaiting official programme enrichment verification
prog_cn_011,uni_cn_004,Shanghai Jiao Tong University,Mechanical Engineering,Engineering,Master,,,,,CNY,,,,PENDING,Awaiting official programme enrichment verification
prog_cn_012,uni_cn_004,Shanghai Jiao Tong University,Business Administration,Business,Master,,,,,CNY,,,,PENDING,Awaiting official programme enrichment verification
prog_cn_013,uni_cn_005,Fudan University,Computer Science,Computer Science,Master,,,,,CNY,,,,PENDING,Awaiting official programme enrichment verification
prog_cn_014,uni_cn_005,Fudan University,Economics,Economics,Master,,,,,CNY,,,,PENDING,Awaiting official programme enrichment verification
prog_cn_015,uni_cn_005,Fudan University,International Relations,Political Science,Master,,,,,CNY,,,,PENDING,Awaiting official programme enrichment verification
prog_cn_016,uni_cn_006,University of Science and Technology of China,Computer Science and Technology,Computer Science,Master,,,,,CNY,,,,PENDING,Awaiting official programme enrichment verification
prog_cn_017,uni_cn_006,University of Science and Technology of China,Electronic Engineering,Engineering,Master,,,,,CNY,,,,PENDING,Awaiting official programme enrichment verification
prog_cn_018,uni_cn_006,University of Science and Technology of China,Business Administration,Business,Master,,,,,CNY,,,,PENDING,Awaiting official programme enrichment verification
prog_cn_019,uni_cn_007,Harbin Institute of Technology,Computer Science and Technology,Computer Science,Master,,,,,CNY,,,,PENDING,Awaiting official programme enrichment verification
prog_cn_020,uni_cn_007,Harbin Institute of Technology,Mechanical Engineering,Engineering,Master,,,,,CNY,,,,PENDING,Awaiting official programme enrichment verification
