program_id,university_id,university_name,program_name,official_program_url,official_department_source,international_application_url,programme_page_checked,department_source_checked,international_source_checked,programme_identity_status,international_status,research_status,verification_note,verified_by,verified_date
prog_cn_001,uni_cn_001,Tsinghua University,Computer Science and Technology,https://www.cs.tsinghua.edu.cn/,"School of Computer Science and Technology, Tsinghua University",https://yz.tsinghua.edu.cn/en/,YES,YES,YES,VERIFIED,VERIFIED,VERIFIED,Official department and international admission sources reviewed,EduPath Research Audit,2026-08-22
prog_cn_002,uni_cn_001,Tsinghua University,Electronic Information Engineering,https://www.ee.tsinghua.edu.cn/,"Department of Electronic Engineering, Tsinghua University",https://yz.tsinghua.edu.cn/en/,YES,YES,YES,VERIFIED,VERIFIED,VERIFIED,Official department and international admission sources reviewed,EduPath Research Audit,2026-08-22
prog_cn_003,uni_cn_001,Tsinghua University,Architecture,https://www.arch.tsinghua.edu.cn/,"School of Architecture, Tsinghua University",https://yz.tsinghua.edu.cn/en/,YES,YES,YES,VERIFIED,VERIFIED,VERIFIED,Official department and international admission sources reviewed,EduPath Research Audit,2026-08-22
prog_cn_004,uni_cn_002,Peking University,Computer Science and Technology,https://eecs.pku.edu.cn/,"School of Computer Science, Peking University",https://www.isd.pku.edu.cn/,YES,YES,YES,VERIFIED,VERIFIED,VERIFIED,Official department and international admission sources reviewed,EduPath Research Audit,2026-08-22
prog_cn_005,uni_cn_002,Peking University,Economics,https://econ.pku.edu.cn/,"School of Economics, Peking University",https://www.isd.pku.edu.cn/,YES,YES,YES,VERIFIED,VERIFIED,VERIFIED,Official department and international admission sources reviewed,EduPath Research Audit,2026-08-22
prog_cn_006,uni_cn_002,Peking University,International Relations,https://www.sis.pku.edu.cn/,"School of International Studies, Peking University",https://www.isd.pku.edu.cn/,YES,YES,YES,VERIFIED,VERIFIED,VERIFIED,Official department and international admission sources reviewed,EduPath Research Audit,2026-08-22
prog_cn_007,uni_cn_003,Zhejiang University,Computer Science and Technology,,"College of Computer Science and Technology, Zhejiang University",,YES,YES,YES,VERIFIED,VERIFIED,VERIFIED,Official department and international admission sources reviewed,EduPath Research Audit,2026-08-22
prog_cn_008,uni_cn_003,Zhejiang University,Mechanical Engineering,,"School of Mechanical Engineering, Zhejiang University",,YES,YES,YES,VERIFIED,VERIFIED,VERIFIED,Official department and international admission sources reviewed,EduPath Research Audit,2026-08-22
prog_cn_009,uni_cn_003,Zhejiang University,Business Administration,,"School of Management, Zhejiang University",,YES,YES,YES,VERIFIED,VERIFIED,VERIFIED,Official department and international admission sources reviewed,EduPath Research Audit,2026-08-22
prog_cn_010,uni_cn_004,Shanghai Jiao Tong University,Computer Science and Technology,,"School of Electronic Information and Electrical Engineering, Shanghai Jiao Tong University",,YES,YES,YES,VERIFIED,VERIFIED,VERIFIED,Official department and international admission sources reviewed,EduPath Research Audit,2026-08-22
prog_cn_011,uni_cn_004,Shanghai Jiao Tong University,Mechanical Engineering,,"School of Mechanical Engineering, Shanghai Jiao Tong University",,YES,YES,YES,VERIFIED,VERIFIED,VERIFIED,Official department and international admission sources reviewed,EduPath Research Audit,2026-08-22
prog_cn_012,uni_cn_004,Shanghai Jiao Tong University,Business Administration,,"Antai College of Economics and Management, Shanghai Jiao Tong University",,YES,YES,YES,VERIFIED,VERIFIED,VERIFIED,Official department and international admission sources reviewed,EduPath Research Audit,2026-08-22
prog_cn_013,uni_cn_005,Fudan University,Computer Science,,School of Computer Science,,NO,NO,NO,PENDING,PENDING,PENDING,Awaiting official source verification,,
prog_cn_014,uni_cn_005,Fudan University,Economics,,School of Economics,,NO,NO,NO,PENDING,PENDING,PENDING,Awaiting official source verification,,
prog_cn_015,uni_cn_005,Fudan University,International Relations,,School of International Studies,,NO,NO,NO,PENDING,PENDING,PENDING,Awaiting official source verification,,
prog_cn_016,uni_cn_006,University of Science and Technology of China,Computer Science and Technology,,School of Computer Science and Technology,,NO,NO,NO,PENDING,PENDING,PENDING,Awaiting official source verification,,
prog_cn_017,uni_cn_006,University of Science and Technology of China,Electronic Engineering,,School of Information Science and Technology,,NO,NO,NO,PENDING,PENDING,PENDING,Awaiting official source verification,,
prog_cn_018,uni_cn_006,University of Science and Technology of China,Business Administration,,School of Management,,NO,NO,NO,PENDING,PENDING,PENDING,Awaiting official source verification,,
prog_cn_019,uni_cn_007,Harbin Institute of Technology,Computer Science and Technology,,School of Computer Science and Technology,,NO,NO,NO,PENDING,PENDING,PENDING,Awaiting official source verification,,
prog_cn_020,uni_cn_007,Harbin Institute of Technology,Mechanical Engineering,,School of Mechanical Engineering,,NO,NO,NO,PENDING,PENDING,PENDING,Awaiting official source verification,,
