program_id,university_id,university_name,program_name,field_of_study,degree_level,program_url,programme_identity_status,programme_identity_evidence,official_university_website,research_status,research_note,last_verified_at,international_applicants_status,international_application_url,international_requirements_note,collected_at,freshness_status
prog_cn_001,uni_cn_001,Tsinghua University,Computer Science and Technology,Computer Science,Master,https://www.cs.tsinghua.edu.cn/,verified,"Official School of Computer Science and Technology, Tsinghua University source",https://www.tsinghua.edu.cn/,verified,Programme identity verified from official Tsinghua University source,2026-08-22,verified_yes,https://yz.tsinghua.edu.cn/en/,International graduate applicants supported through official admission channel,2026-08-22,verified
prog_cn_002,uni_cn_001,Tsinghua University,Electronic Information Engineering,Electronic Engineering,Master,https://www.ee.tsinghua.edu.cn/,verified,"Official Department of Electronic Engineering, Tsinghua University source",https://www.tsinghua.edu.cn/,verified,Programme identity verified from official Tsinghua University source,2026-08-22,verified_yes,https://yz.tsinghua.edu.cn/en/,International graduate applicants supported through official admission channel,2026-08-22,verified
prog_cn_003,uni_cn_001,Tsinghua University,Architecture,Architecture,Master,https://www.arch.tsinghua.edu.cn/,verified,"Official School of Architecture, Tsinghua University source",https://www.tsinghua.edu.cn/,verified,Programme identity verified from official Tsinghua University source,2026-08-22,verified_yes,https://yz.tsinghua.edu.cn/en/,International graduate applicants supported through official admission channel,2026-08-22,verified
prog_cn_004,uni_cn_002,Peking University,Computer Science and Technology,Computer Science,Master,https://eecs.pku.edu.cn/,verified,"Official School of Computer Science, Peking University source",https://www.pku.edu.cn/,verified,Programme identity verified from official Peking University source,2026-08-22,verified_yes,https://www.isd.pku.edu.cn/,International graduate applicants supported through official admission channel,2026-08-22,verified
prog_cn_005,uni_cn_002,Peking University,Economics,Economics,Master,https://www.gsm.pku.edu.cn/,verified,"Official School of Economics, Peking University source",https://www.pku.edu.cn/,verified,Programme identity verified from official Peking University source,2026-08-22,verified_yes,https://www.isd.pku.edu.cn/,International graduate applicants supported through official admission channel,2026-08-22,verified
prog_cn_006,uni_cn_002,Peking University,International Relations,Political Science,Master,https://www.sis.pku.edu.cn/,verified,"Official School of International Studies, Peking University source",https://www.pku.edu.cn/,verified,Programme identity verified from official Peking University source,2026-08-22,verified_yes,https://www.isd.pku.edu.cn/,International graduate applicants supported through official admission channel,2026-08-22,verified
prog_cn_007,uni_cn_003,Zhejiang University,Computer Science and Technology,Computer Science,Master,https://www.cs.zju.edu.cn/,verified,Official university department/programme source,https://www.cs.zju.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_008,uni_cn_003,Zhejiang University,Mechanical Engineering,Engineering,Master,https://me.zju.edu.cn/,verified,Official university department/programme source,https://me.zju.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_009,uni_cn_003,Zhejiang University,Business Administration,Business,Master,https://mba.zju.edu.cn/,verified,Official university department/programme source,https://mba.zju.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_010,uni_cn_004,Shanghai Jiao Tong University,Computer Science and Technology,Computer Science,Master,https://cs.sjtu.edu.cn/,verified,Official university department/programme source,https://cs.sjtu.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_011,uni_cn_004,Shanghai Jiao Tong University,Mechanical Engineering,Engineering,Master,https://me.sjtu.edu.cn/,verified,Official university department/programme source,https://me.sjtu.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_012,uni_cn_004,Shanghai Jiao Tong University,Business Administration,Business,Master,https://www.acem.sjtu.edu.cn/,verified,Official university department/programme source,https://www.acem.sjtu.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_013,uni_cn_005,Fudan University,Computer Science,Computer Science,Master,https://cs.fudan.edu.cn/,verified,Official university department/programme source,https://cs.fudan.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_014,uni_cn_005,Fudan University,Economics,Economics,Master,https://econ.fudan.edu.cn/,verified,Official university department/programme source,https://econ.fudan.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_015,uni_cn_005,Fudan University,International Relations,Political Science,Master,https://sis.fudan.edu.cn/,verified,Official university department/programme source,https://sis.fudan.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_016,uni_cn_006,University of Science and Technology of China,Computer Science and Technology,Computer Science,Master,https://cs.ustc.edu.cn/,verified,Official university department/programme source,https://cs.ustc.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
