program_id,university_id,university_name,program_name,field_of_study,degree_level,official_program_url,official_department_source,programme_identity_status,programme_identity_evidence,international_application_url,international_applicants_status,international_requirements_note,research_status,research_note,last_verified_at,collected_at,freshness_status
prog_cn_001,uni_cn_001,Tsinghua University,Computer Science and Technology,Computer Science,Master,https://www.cs.tsinghua.edu.cn/,"School of Computer Science and Technology, Tsinghua University",verified,Confirmed from official Tsinghua University academic department source,https://yz.tsinghua.edu.cn/en/,verified_yes,International graduate admission available through official admission system,verified,Official source reviewed,2026-08-22,2026-08-22,verified
prog_cn_002,uni_cn_001,Tsinghua University,Electronic Information Engineering,Electronic Engineering,Master,https://www.ee.tsinghua.edu.cn/,"Department of Electronic Engineering, Tsinghua University",verified,Confirmed from official Tsinghua University academic department source,https://yz.tsinghua.edu.cn/en/,verified_yes,International graduate admission available through official admission system,verified,Official source reviewed,2026-08-22,2026-08-22,verified
prog_cn_003,uni_cn_001,Tsinghua University,Architecture,Architecture,Master,https://www.arch.tsinghua.edu.cn/,"School of Architecture, Tsinghua University",verified,Confirmed from official Tsinghua University academic department source,https://yz.tsinghua.edu.cn/en/,verified_yes,International graduate admission available through official admission system,verified,Official source reviewed,2026-08-22,2026-08-22,verified
prog_cn_004,uni_cn_002,Peking University,Computer Science and Technology,Computer Science,Master,https://eecs.pku.edu.cn/,"School of Computer Science, Peking University",verified,Confirmed from official Peking University academic department source,https://www.isd.pku.edu.cn/,verified_yes,International graduate admission available through official admission channel,verified,Official source reviewed,2026-08-22,2026-08-22,verified
prog_cn_005,uni_cn_002,Peking University,Economics,Economics,Master,https://econ.pku.edu.cn/,"School of Economics, Peking University",verified,Confirmed from official Peking University academic department source,https://www.isd.pku.edu.cn/,verified_yes,International graduate admission available through official admission channel,verified,Official source reviewed,2026-08-22,2026-08-22,verified
prog_cn_006,uni_cn_002,Peking University,International Relations,Political Science,Master,https://www.sis.pku.edu.cn/,"School of International Studies, Peking University",verified,Confirmed from official Peking University academic department source,https://www.isd.pku.edu.cn/,verified_yes,International graduate admission available through official admission channel,verified,Official source reviewed,2026-08-22,2026-08-22,verified
prog_cn_007,uni_cn_003,Zhejiang University,Computer Science and Technology,Computer Science,Master,,"College of Computer Science and Technology, Zhejiang University",pending_verification,Awaiting official programme page confirmation,,pending_verification,Awaiting official international admission confirmation,pending,Official source audit required,2026-08-22,2026-08-22,pending
prog_cn_008,uni_cn_003,Zhejiang University,Mechanical Engineering,Engineering,Master,,"School of Mechanical Engineering, Zhejiang University",pending_verification,Awaiting official programme page confirmation,,pending_verification,Awaiting official international admission confirmation,pending,Official source audit required,2026-08-22,2026-08-22,pending
prog_cn_009,uni_cn_003,Zhejiang University,Business Administration,Business,Master,,"School of Management, Zhejiang University",pending_verification,Awaiting official programme page confirmation,,pending_verification,Awaiting official international admission confirmation,pending,Official source audit required,2026-08-22,2026-08-22,pending
prog_cn_010,uni_cn_004,Shanghai Jiao Tong University,Computer Science and Technology,Computer Science,Master,,"School of Electronic Information and Electrical Engineering, Shanghai Jiao Tong University",pending_verification,Awaiting official programme page confirmation,,pending_verification,Awaiting official international admission confirmation,pending,Official source audit required,2026-08-22,2026-08-22,pending
prog_cn_011,uni_cn_004,Shanghai Jiao Tong University,Mechanical Engineering,Engineering,Master,,"School of Mechanical Engineering, Shanghai Jiao Tong University",pending_verification,Awaiting official programme page confirmation,,pending_verification,Awaiting official international admission confirmation,pending,Official source audit required,2026-08-22,2026-08-22,pending
prog_cn_012,uni_cn_004,Shanghai Jiao Tong University,Business Administration,Business,Master,,"Antai College of Economics and Management, Shanghai Jiao Tong University",pending_verification,Awaiting official programme page confirmation,,pending_verification,Awaiting official international admission confirmation,pending,Official source audit required,2026-08-22,2026-08-22,pending
prog_cn_013,uni_cn_005,Fudan University,Computer Science,Computer Science,Master,,School of Computer Science,pending_verification,Awaiting official programme page confirmation,,pending_verification,Awaiting official international admission confirmation,pending,Official source audit required,2026-08-22,2026-08-22,pending
prog_cn_014,uni_cn_005,Fudan University,Economics,Economics,Master,,School of Economics,pending_verification,Awaiting official programme page confirmation,,pending_verification,Awaiting official international admission confirmation,pending,Official source audit required,2026-08-22,2026-08-22,pending
prog_cn_015,uni_cn_005,Fudan University,International Relations,Political Science,Master,,School of International Studies,pending_verification,Awaiting official programme page confirmation,,pending_verification,Awaiting official international admission confirmation,pending,Official source audit required,2026-08-22,2026-08-22,pending
prog_cn_016,uni_cn_006,University of Science and Technology of China,Computer Science and Technology,Computer Science,Master,,School of Computer Science and Technology,pending_verification,Awaiting official programme page confirmation,,pending_verification,Awaiting official international admission confirmation,pending,Official source audit required,2026-08-22,2026-08-22,pending
prog_cn_017,uni_cn_006,University of Science and Technology of China,Electronic Engineering,Engineering,Master,,School of Information Science and Technology,pending_verification,Awaiting official programme page confirmation,,pending_verification,Awaiting official international admission confirmation,pending,Official source audit required,2026-08-22,2026-08-22,pending
prog_cn_018,uni_cn_006,University of Science and Technology of China,Business Administration,Business,Master,,School of Management,pending_verification,Awaiting official programme page confirmation,,pending_verification,Awaiting official international admission confirmation,pending,Official source audit required,2026-08-22,2026-08-22,pending
prog_cn_019,uni_cn_007,Harbin Institute of Technology,Computer Science and Technology,Computer Science,Master,,School of Computer Science and Technology,pending_verification,Awaiting official programme page confirmation,,pending_verification,Awaiting official international admission confirmation,pending,Official source audit required,2026-08-22,2026-08-22,pending
prog_cn_020,uni_cn_007,Harbin Institute of Technology,Mechanical Engineering,Engineering,Master,,School of Mechanical Engineering,pending_verification,Awaiting official programme page confirmation,,pending_verification,Awaiting official international admission confirmation,pending,Official source audit required,2026-08-22,2026-08-22,pending
