program_id,university_id,university_name,target_programme,field_of_study,degree_level,official_department_target,programme_url_status,international_source_status,research_status,notes
prog_cn_007,uni_cn_003,Zhejiang University,Computer Science and Technology,Computer Science,Master,College of Computer Science and Technology,pending,pending,pending,Need official programme source verification
prog_cn_008,uni_cn_003,Zhejiang University,Mechanical Engineering,Engineering,Master,School of Mechanical Engineering,pending,pending,pending,Need official programme source verification
prog_cn_009,uni_cn_003,Zhejiang University,Business Administration,Business,Master,School of Management,pending,pending,pending,Need official programme source verification
prog_cn_010,uni_cn_004,Shanghai Jiao Tong University,Computer Science and Technology,Computer Science,Master,School of Electronic Information and Electrical Engineering,pending,pending,pending,Need official programme source verification
prog_cn_011,uni_cn_004,Shanghai Jiao Tong University,Mechanical Engineering,Engineering,Master,School of Mechanical Engineering,pending,pending,pending,Need official programme source verification
prog_cn_012,uni_cn_004,Shanghai Jiao Tong University,Business Administration,Business,Master,Antai College of Economics and Management,pending,pending,pending,Need official programme source verification
prog_cn_013,uni_cn_005,Fudan University,Computer Science,Computer Science,Master,School of Computer Science,pending,pending,pending,Need official programme source verification
prog_cn_014,uni_cn_005,Fudan University,Economics,Economics,Master,School of Economics,pending,pending,pending,Need official programme source verification
prog_cn_015,uni_cn_005,Fudan University,International Relations,Political Science,Master,School of International Studies,pending,pending,pending,Need official programme source verification
prog_cn_016,uni_cn_006,University of Science and Technology of China,Computer Science and Technology,Computer Science,Master,School of Computer Science and Technology,pending,pending,pending,Need official programme source verification
prog_cn_017,uni_cn_006,University of Science and Technology of China,Electronic Engineering,Engineering,Master,School of Information Science and Technology,pending,pending,pending,Need official programme source verification
prog_cn_018,uni_cn_006,University of Science and Technology of China,Business Administration,Business,Master,School of Management,pending,pending,pending,Need official programme source verification
prog_cn_019,uni_cn_007,Harbin Institute of Technology,Computer Science and Technology,Computer Science,Master,School of Computer Science and Technology,pending,pending,pending,Need official programme source verification
prog_cn_020,uni_cn_007,Harbin Institute of Technology,Mechanical Engineering,Engineering,Master,School of Mechanical Engineering,pending,pending,pending,Need official programme source verification
prog_cn_021,uni_cn_007,Harbin Institute of Technology,Business Administration,Business,Master,School of Economics and Management,pending,pending,pending,Need official programme source verification
prog_cn_022,uni_cn_008,Xi'an Jiaotong University,Computer Science and Technology,Computer Science,Master,School of Electronic and Information Engineering,pending,pending,pending,Need official programme source verification
prog_cn_023,uni_cn_008,Xi'an Jiaotong University,Electrical Engineering,Engineering,Master,School of Electrical Engineering,pending,pending,pending,Need official programme source verification
prog_cn_024,uni_cn_008,Xi'an Jiaotong University,Business Administration,Business,Master,School of Management,pending,pending,pending,Need official programme source verification
prog_cn_025,uni_cn_009,Sun Yat-sen University,Computer Science and Technology,Computer Science,Master,School of Computer Science and Engineering,pending,pending,pending,Need official programme source verification
prog_cn_026,uni_cn_009,Sun Yat-sen University,Engineering,Engineering,Master,Engineering Faculty,pending,pending,pending,Need official programme source verification
