program_id,university_id,university_name,program_name,field_of_study,degree_level,duration_years,study_mode,language_of_instruction,official_program_url,official_department_source,international_application_url,verification_status,research_status
prog_id_001_001,uni_id_001,University of Indonesia,Bachelor of Computer Science,Computer Science,Bachelor,4,Full-time,Indonesian / English,https://cs.ui.ac.id/en/sarjana-ilmu-komputer/,"Faculty of Computer Science, University of Indonesia",https://international.ui.ac.id/,VERIFIED,VERIFIED
prog_id_001_002,uni_id_001,University of Indonesia,Master of Computer Science,Computer Science,Master,2,Full-time,Indonesian / English,https://cs.ui.ac.id/en/magister-ilmu-komputer/,"Faculty of Computer Science, University of Indonesia",https://international.ui.ac.id/,VERIFIED,VERIFIED
prog_id_001_003,uni_id_001,University of Indonesia,Bachelor of Information Systems,Information Systems,Bachelor,4,Full-time,Indonesian / English,https://cs.ui.ac.id/en/sarjana-sistem-informasi/,"Faculty of Computer Science, University of Indonesia",https://international.ui.ac.id/,VERIFIED,VERIFIED
prog_id_002_001,uni_id_002,Bandung Institute of Technology,Bachelor of Informatics Engineering,Information Technology,Bachelor,4,Full-time,Indonesian / English,https://www.itb.ac.id/en/undergraduate-program,"School of Electrical Engineering and Informatics, Bandung Institute of Technology",https://admission.itb.ac.id/,VERIFIED,VERIFIED
prog_id_002_002,uni_id_002,Bandung Institute of Technology,Master of Informatics,Informatics,Master,2,Full-time,Indonesian / English,https://www.itb.ac.id/en/graduate-program,"School of Electrical Engineering and Informatics, Bandung Institute of Technology",https://admission.itb.ac.id/,VERIFIED,VERIFIED
prog_id_002_003,uni_id_002,Bandung Institute of Technology,Doctor of Engineering,Engineering,Doctorate,3,Full-time,Indonesian / English,https://www.itb.ac.id/en/doctoral-program,"Graduate School, Bandung Institute of Technology",https://admission.itb.ac.id/,VERIFIED,VERIFIED
prog_id_003_001,uni_id_003,Gadjah Mada University,Bachelor of Computer Science,Computer Science,Bachelor,4,Full-time,Indonesian / English,https://ugm.ac.id/en/education/,"Faculty of Mathematics and Natural Sciences, Gadjah Mada University",https://admission.ugm.ac.id/,VERIFIED,VERIFIED
prog_id_003_002,uni_id_003,Gadjah Mada University,Master of Management,Management,Master,2,Full-time,Indonesian / English,https://mm.feb.ugm.ac.id/,"Faculty of Economics and Business, Gadjah Mada University",https://admission.ugm.ac.id/,VERIFIED,VERIFIED
prog_id_003_003,uni_id_003,Gadjah Mada University,Doctor of Management,Management,Doctorate,3,Full-time,Indonesian / English,https://feb.ugm.ac.id/en/,"Faculty of Economics and Business, Gadjah Mada University",https://admission.ugm.ac.id/,VERIFIED,VERIFIED
prog_id_004_001,uni_id_004,Airlangga University,Bachelor of Medicine,Medicine,Bachelor,5,Full-time,Indonesian / English,https://unair.ac.id/en/education/,"Faculty of Medicine, Airlangga University",https://ppmb.unair.ac.id/,VERIFIED,VERIFIED
prog_id_004_002,uni_id_004,Airlangga University,Master of Public Health,Public Health,Master,2,Full-time,Indonesian / English,https://fkm.unair.ac.id/,"Faculty of Public Health, Airlangga University",https://ppmb.unair.ac.id/,VERIFIED,VERIFIED
prog_id_004_003,uni_id_004,Airlangga University,Doctor of Medical Science,Medical Science,Doctorate,3,Full-time,Indonesian / English,https://unair.ac.id/en/education/,"Graduate School, Airlangga University",https://ppmb.unair.ac.id/,VERIFIED,VERIFIED
