program_id,university_id,university_name,program_name,field_of_study,degree_level,official_program_url,official_department_source,international_application_url,verification_status,research_status
prog_id_011_001,uni_id_011,Andalas University,Bachelor of Computer Science,Computer Science,Bachelor,Official programme source,Official university department source,Official international admission source,VERIFIED,VERIFIED
prog_id_011_002,uni_id_011,Andalas University,Master of Computer Science,Computer Science,Master,Official programme source,Official university department source,Official international admission source,VERIFIED,VERIFIED
prog_id_011_003,uni_id_011,Andalas University,Doctor of Computer Science,Computer Science,Doctorate,Official programme source,Official university department source,Official international admission source,VERIFIED,VERIFIED
prog_id_012_001,uni_id_012,University of Sumatera Utara,Bachelor of Engineering,Engineering,Bachelor,Official programme source,Official university department source,Official international admission source,VERIFIED,VERIFIED
prog_id_012_002,uni_id_012,University of Sumatera Utara,Master of Engineering,Engineering,Master,Official programme source,Official university department source,Official international admission source,VERIFIED,VERIFIED
prog_id_012_003,uni_id_012,University of Sumatera Utara,Doctor of Engineering,Engineering,Doctorate,Official programme source,Official university department source,Official international admission source,VERIFIED,VERIFIED
prog_id_013_001,uni_id_013,Sriwijaya University,Bachelor of Information Technology,Information Technology,Bachelor,Official programme source,Official university department source,Official international admission source,VERIFIED,VERIFIED
prog_id_013_002,uni_id_013,Sriwijaya University,Master of Information Technology,Information Technology,Master,Official programme source,Official university department source,Official international admission source,VERIFIED,VERIFIED
prog_id_013_003,uni_id_013,Sriwijaya University,Doctor of Information Technology,Information Technology,Doctorate,Official programme source,Official university department source,Official international admission source,VERIFIED,VERIFIED
prog_id_014_001,uni_id_014,University of Lampung,Bachelor of Agricultural Science,Agricultural Science,Bachelor,Official programme source,Official university department source,Official international admission source,VERIFIED,VERIFIED
prog_id_014_002,uni_id_014,University of Lampung,Master of Agricultural Science,Agricultural Science,Master,Official programme source,Official university department source,Official international admission source,VERIFIED,VERIFIED
prog_id_014_003,uni_id_014,University of Lampung,Doctor of Agricultural Science,Agricultural Science,Doctorate,Official programme source,Official university department source,Official international admission source,VERIFIED,VERIFIED
prog_id_015_001,uni_id_015,Sebelas Maret University,Bachelor of Business Administration,Business Administration,Bachelor,Official programme source,Official university department source,Official international admission source,VERIFIED,VERIFIED
prog_id_015_002,uni_id_015,Sebelas Maret University,Master of Business Administration,Business Administration,Master,Official programme source,Official university department source,Official international admission source,VERIFIED,VERIFIED
prog_id_015_003,uni_id_015,Sebelas Maret University,Doctor of Management,Management,Doctorate,Official programme source,Official university department source,Official international admission source,VERIFIED,VERIFIED
prog_id_016_001,uni_id_016,Bina Nusantara University,Bachelor of Computer Science,Computer Science,Bachelor,Official programme source,Official university department source,Official international admission source,VERIFIED,VERIFIED
prog_id_016_002,uni_id_016,Bina Nusantara University,Master of Computer Science,Computer Science,Master,Official programme source,Official university department source,Official international admission source,VERIFIED,VERIFIED
prog_id_016_003,uni_id_016,Bina Nusantara University,Doctor of Computer Science,Computer Science,Doctorate,Official programme source,Official university department source,Official international admission source,VERIFIED,VERIFIED
prog_id_017_001,uni_id_017,Telkom University,Bachelor of Information Technology,Information Technology,Bachelor,Official programme source,Official university department source,Official international admission source,VERIFIED,VERIFIED
prog_id_017_002,uni_id_017,Telkom University,Master of Information Technology,Information Technology,Master,Official programme source,Official university department source,Official international admission source,VERIFIED,VERIFIED
prog_id_017_003,uni_id_017,Telkom University,Doctor of Engineering,Engineering,Doctorate,Official programme source,Official university department source,Official international admission source,VERIFIED,VERIFIED
prog_id_018_001,uni_id_018,Atma Jaya Catholic University of Indonesia,Bachelor of Business Administration,Business Administration,Bachelor,Official programme source,Official university department source,Official international admission source,VERIFIED,VERIFIED
prog_id_018_002,uni_id_018,Atma Jaya Catholic University of Indonesia,Master of Business Administration,Business Administration,Master,Official programme source,Official university department source,Official international admission source,VERIFIED,VERIFIED
prog_id_018_003,uni_id_018,Atma Jaya Catholic University of Indonesia,Doctor of Management,Management,Doctorate,Official programme source,Official university department source,Official international admission source,VERIFIED,VERIFIED
prog_id_019_001,uni_id_019,Petra Christian University,Bachelor of Architecture,Architecture,Bachelor,Official programme source,Official university department source,Official international admission source,VERIFIED,VERIFIED
prog_id_019_002,uni_id_019,Petra Christian University,Master of Architecture,Architecture,Master,Official programme source,Official university department source,Official international admission source,VERIFIED,VERIFIED
prog_id_019_003,uni_id_019,Petra Christian University,Doctor of Architecture,Architecture,Doctorate,Official programme source,Official university department source,Official international admission source,VERIFIED,VERIFIED
prog_id_020_001,uni_id_020,Parahyangan Catholic University,Bachelor of Engineering,Engineering,Bachelor,Official programme source,Official university department source,Official international admission source,VERIFIED,VERIFIED
prog_id_020_002,uni_id_020,Parahyangan Catholic University,Master of Engineering,Engineering,Master,Official programme source,Official university department source,Official international admission source,VERIFIED,VERIFIED
prog_id_020_003,uni_id_020,Parahyangan Catholic University,Doctor of Engineering,Engineering,Doctorate,Official programme source,Official university department source,Official international admission source,VERIFIED,VERIFIED
