university_id,university_name
uni_id_001,University of Indonesia
uni_id_002,Bandung Institute of Technology
uni_id_003,Gadjah Mada University
uni_id_004,Airlangga University
uni_id_005,Bogor Agricultural University
uni_id_006,Sepuluh Nopember Institute of Technology
uni_id_007,Diponegoro University
uni_id_008,Brawijaya University
uni_id_009,Padjadjaran University
uni_id_010,Hasanuddin University
uni_id_011,Andalas University
uni_id_012,University of Sumatera Utara
uni_id_013,Sriwijaya University
uni_id_014,University of Lampung
uni_id_015,Sebelas Maret University
uni_id_016,Bina Nusantara University
uni_id_017,Telkom University
uni_id_018,Atma Jaya Catholic University of Indonesia
uni_id_019,Petra Christian University
uni_id_020,Parahyangan Catholic University
uni_id_021,Universitas Negeri Jakarta
uni_id_022,Universitas Negeri Yogyakarta
uni_id_023,Universitas Negeri Semarang
uni_id_024,Universitas Negeri Surabaya
uni_id_025,Universitas Pendidikan Indonesia
uni_id_026,Universitas Islam Indonesia
uni_id_027,Muhammadiyah University of Yogyakarta
uni_id_028,Universitas Muhammadiyah Malang
uni_id_029,Universitas Katolik Indonesia Atma Jaya
uni_id_030,Gunadarma University
uni_id_031,Universitas Trisakti
uni_id_032,Tarumanagara University
uni_id_033,BINUS University
uni_id_034,Universitas Pelita Harapan
uni_id_035,Universitas Kristen Maranatha
uni_id_036,Universitas Islam Negeri Syarif Hidayatullah Jakarta
uni_id_037,Universitas Islam Negeri Sunan Kalijaga
uni_id_038,Universitas Islam Negeri Maulana Malik Ibrahim
uni_id_039,Universitas Negeri Malang
uni_id_040,Universitas Jember
uni_id_041,Universitas Riau
uni_id_042,Universitas Sriwijaya
uni_id_043,Universitas Sam Ratulangi
uni_id_044,Universitas Udayana
uni_id_045,Universitas Mataram
uni_id_046,Universitas Tanjungpura
uni_id_047,Universitas Mulawarman
uni_id_048,Universitas Lambung Mangkurat
uni_id_049,Universitas Syiah Kuala
uni_id_050,Universitas Negeri Padang
