queue_id,country_id,country_name,country_research_ceiling,existing_scholarships,country_slot_number,scholarship_id,scholarship_name,provider_name,provider_type,official_website,source_url,research_status,verification_status,decision_status,notes
schq_001,country_kr,South Korea,6,1,1,sch_kr_002,KAIST Scholarship for International Undergraduate Students,Korea Advanced Institute of Science and Technology (KAIST),University,https://admission.kaist.ac.kr/intl-undergraduate/support/scholarships/kaist/,https://admission.kaist.ac.kr/intl-undergraduate/support/scholarships/kaist/,RESEARCHED,VERIFIED,READY_FOR_STAGING,Official first-party source verified; unsupported optional facts retained as None/unknown.
schq_002,country_kr,South Korea,6,1,2,sch_kr_003,Graduate Scholarship for Foreign Students (GSFS) - Spring 2027,Seoul National University,University,https://en.snu.ac.kr/admission/graduate/scholarships/before_application,https://oga.snu.ac.kr/scholarship_notice-board/?mod=document&uid=574,RESEARCHED,VERIFIED,READY_FOR_STAGING,Official first-party source verified; unsupported optional facts retained as None/unknown.
schq_003,country_kr,South Korea,6,1,3,sch_kr_004,SNU President Fellowship Program (SPF) - Spring 2027,Seoul National University,University,https://en.snu.ac.kr/admission/graduate/scholarships/before_application,https://en.snu.ac.kr/admission/overview/notice?bbsidx=171863&md=v,RESEARCHED,VERIFIED,READY_FOR_STAGING,Official first-party source verified; unsupported optional facts retained as None/unknown.
schq_004,country_kr,South Korea,6,1,4,sch_kr_005,Samsung Global Sungkyun Scholarship for International Students - Type A,Sungkyunkwan University,University,https://admission-global.skku.edu/eng/grad/scholarship_undergrad.html,https://admission-global.skku.edu/eng/grad/scholarship_undergrad.html,RESEARCHED,VERIFIED,READY_FOR_STAGING,Official first-party source verified; unsupported optional facts retained as None/unknown.
schq_005,country_kr,South Korea,6,1,5,sch_kr_006,Hanyang International Scholarship Program (HISP) - Graduate,Hanyang University,University,https://www.hanyang.ac.kr/web/eng/scholarships,https://oia.hanyang.ac.kr/files/attach/filebox/2026/02/24/9e341959d0a28e0c4ee5b3fb53ef287c.pdf,RESEARCHED,VERIFIED,READY_FOR_STAGING,Official first-party source verified; unsupported optional facts retained as None/unknown.
schq_006,country_cn,China,6,0,1,sch_cn_001,2026 Asian Future Leaders Scholarship Program (AFLSP),Bai Xian Asia Institute (BXAI),Nonprofit organization,https://yz.tsinghua.edu.cn/en/info/1027/1477.htm,https://yz.tsinghua.edu.cn/en/info/1027/1477.htm,RESEARCHED,VERIFIED,READY_FOR_STAGING,Official first-party source verified; unsupported optional facts retained as None/unknown.
schq_007,country_cn,China,6,0,2,sch_cn_002,Chinese Government Scholarship for Advanced Graduate Program - Peking University 2026,China Scholarship Council (CSC),Government,https://www.isd.pku.edu.cn/en/detail.php?id=18,https://www.isd.pku.edu.cn/en/detail.php?id=819,RESEARCHED,VERIFIED,READY_FOR_STAGING,Official first-party source verified; unsupported optional facts retained as None/unknown.
schq_008,country_cn,China,6,0,3,sch_cn_003,Beijing Government Scholarship (BGS) - Peking University 2026,Beijing Municipal Government,Government,https://www.isd.pku.edu.cn/en/scholarship.php,https://www.isd.pku.edu.cn/en/detail.php?id=819,RESEARCHED,VERIFIED,READY_FOR_STAGING,Official first-party source verified; unsupported optional facts retained as None/unknown.
schq_009,country_cn,China,6,0,4,sch_cn_004,Chinese Government Scholarship - Youth of Excellence Scheme of China Program - Zhejiang University 2026,Ministry of Education of China / China Scholarship Council,Government,https://iczu.zju.edu.cn/admissionsen/2023/0118/c68995a2711454/page.htm,https://iczu.zju.edu.cn/admissionsen/2023/0118/c68995a2711454/page.htm,RESEARCHED,VERIFIED,READY_FOR_STAGING,Official first-party source verified; unsupported optional facts retained as None/unknown.
schq_010,country_cn,China,6,0,5,sch_cn_005,USTC Fellowship Level A for Undergraduate Programs - 2026,University of Science and Technology of China,University,https://ic.ustc.edu.cn/en/v7info.php?Nav_x=17,https://ic.ustc.edu.cn/en/v7info.php?Nav_x=17,RESEARCHED,VERIFIED,READY_FOR_STAGING,Official first-party source verified; unsupported optional facts retained as None/unknown.
schq_011,country_cn,China,6,0,6,sch_cn_006,SJTU First-Class Scholarship - 2026 GIFT International Undergraduate Programs,Shanghai Jiao Tong University,University,https://isc.sjtu.edu.cn/cn/content.aspx?flag=64&info_lb=365,https://isc.sjtu.edu.cn/cn/content.aspx?flag=64&info_lb=365,RESEARCHED,VERIFIED,READY_FOR_STAGING,Official first-party source verified; unsupported optional facts retained as None/unknown.
schq_012,country_tw,Taiwan,5,1,1,sch_tw_002,TaiwanICDF International Higher Education Scholarship Program 2027,International Cooperation and Development Fund (TaiwanICDF),Foundation,https://www.icdf.org.tw/wSite/ct?ctNode=31562&mp=2&xItem=12505,https://www.icdf.org.tw/wSite/ct?ctNode=31280&mp=2&xItem=5166,RESEARCHED,VERIFIED,READY_FOR_STAGING,Official first-party sources verified; unsupported optional facts remain None rather than inferred.
schq_013,country_tw,Taiwan,5,1,2,sch_tw_003,NTU Scholarship for International Degree Students - February 2027 Entry,National Taiwan University,University,https://isss.ntu.edu.tw/finances/scholarships/,https://admissions.ntu.edu.tw/apply/degree-students/international-students/,RESEARCHED,VERIFIED,READY_FOR_STAGING,Official first-party sources verified; unsupported optional facts remain None rather than inferred.
schq_014,country_tw,Taiwan,5,1,3,sch_tw_004,NTHU International Student Scholarship - Spring 2027,National Tsing Hua University,University,https://apply.nthu.edu.tw/en/article/102-nthu-scholarship,https://apply.nthu.edu.tw/en/article/210-admission,RESEARCHED,VERIFIED,READY_FOR_STAGING,Official first-party sources verified; unsupported optional facts remain None rather than inferred.
schq_015,country_tw,Taiwan,5,1,4,sch_tw_005,NCKU Distinguished International Student Scholarship - Spring 2027,National Cheng Kung University,University,https://oia.ncku.edu.tw/p/404-1032-229890.php?Lang=en,https://oia.ncku.edu.tw/p/406-1032-301821%2Cr3414.php?Lang=en,RESEARCHED,VERIFIED,READY_FOR_STAGING,Official first-party sources verified; unsupported optional facts remain None rather than inferred.
schq_016,country_hk,Hong Kong,4,1,1,sch_hk_002,The Belt and Road Scholarship (Under HKSAR Government Scholarship Fund) - HKU,Government of the Hong Kong Special Administrative Region,Government,https://admissions.hku.hk/fees-and-scholarships/scholarships/belt-and-road-scholarship,https://admissions.hku.hk/fees-and-scholarships/scholarships/belt-and-road-scholarship,RESEARCHED,VERIFIED,READY_FOR_STAGING,Official first-party sources verified; unsupported optional facts remain None rather than inferred.
schq_017,country_hk,Hong Kong,4,1,2,sch_hk_003,HKUST Global Learners Scholarship - 2026/27 Entry,The Hong Kong University of Science and Technology,University,https://join.hkust.edu.hk/global-learners-scholarship,https://join.hkust.edu.hk/intlscholarships,RESEARCHED,VERIFIED,READY_FOR_STAGING,Official first-party sources verified; unsupported optional facts remain None rather than inferred.
schq_018,country_hk,Hong Kong,4,1,3,sch_hk_004,CUHK Admission Scholarships for Non-local Undergraduate Students - 2026 Entry,The Chinese University of Hong Kong,University,https://admission.cuhk.edu.hk/fees-financing-your-studies/scholarships/admission-scholarships-for-undergraduates-only/,https://admission.cuhk.edu.hk/application/overseas-other-qualifications-non-local-international-team/important-dates/,RESEARCHED,VERIFIED,READY_FOR_STAGING,Official first-party sources verified; unsupported optional facts remain None rather than inferred.
schq_019,country_sg,Singapore,4,1,1,sch_sg_002,NUS International Undergraduate Scholarship - AY2026/2027,National University of Singapore,University,https://nus.edu.sg/oam/scholarships/scholarships-for-freshmen-international-students/nus-international-undergraduate-scholarship,https://nus.edu.sg/oam/scholarships/scholarships-for-freshmen-international-students/nus-international-undergraduate-scholarship,RESEARCHED,VERIFIED,READY_FOR_STAGING,Official first-party sources verified; unsupported optional facts remain None rather than inferred.
schq_020,country_sg,Singapore,4,1,2,sch_sg_003,NUS ASEAN Undergraduate Scholarship - AY2026/2027,National University of Singapore,University,https://www.nus.edu.sg/oam/scholarships/scholarships-for-freshmen-international-students/asean-undergraduate-scholarship,https://www.nus.edu.sg/oam/scholarships/scholarships-for-freshmen-international-students/asean-undergraduate-scholarship,RESEARCHED,VERIFIED,READY_FOR_STAGING,Official first-party sources verified; unsupported optional facts remain None rather than inferred.
schq_021,country_sg,Singapore,4,1,3,sch_sg_004,SMU International Scholarship - AY2026/2027,Singapore Management University,University,https://admissions.smu.edu.sg/financial-aid/smu-international-scholarship,https://admissions.smu.edu.sg/financial-aid/smu-international-scholarship,RESEARCHED,VERIFIED,READY_FOR_STAGING,Official first-party sources verified; unsupported optional facts remain None rather than inferred.
schq_022,country_th,Thailand,4,1,1,sch_th_002,Chulalongkorn Leaders in International Networks and Knowledge (Chula LINK) Scholarship 2026,Chulalongkorn University,University,https://www.chula.ac.th/en/news/298837/,https://www.chula.ac.th/en/news/298837/,RESEARCHED,VERIFIED,READY_FOR_STAGING,Official first-party sources verified; unsupported optional facts remain None rather than inferred.
schq_023,country_th,Thailand,4,1,2,sch_th_003,His Majesty the King?s Scholarship for Master?s Programs - AIT August 2026 Intake,Royal Thai Government / Asian Institute of Technology,Government,https://ait.ac.th/financial/royal-thai-government-scholarships/,https://ait.ac.th/financial/royal-thai-government-scholarships/,RESEARCHED,VERIFIED,READY_FOR_STAGING,Official first-party sources verified; unsupported optional facts remain None rather than inferred.
schq_024,country_th,Thailand,4,1,3,sch_th_004,SIIT Graduate Scholarship Program for Excellent Foreign Students (EFS) Type A - Academic Year 1/2026,"Sirindhorn International Institute of Technology, Thammasat University",University institute,https://admissions.siit.tu.ac.th/admission_box/siit-graduate-scholarships/,https://admissions.siit.tu.ac.th/wp-content/uploads/2026/02/EFS-Announcement-1_2026-Type-A.pdf,RESEARCHED,VERIFIED,READY_FOR_STAGING,Official first-party sources verified; unsupported optional facts remain None rather than inferred.
schq_025,country_my,Malaysia,4,1,1,sch_my_002,Universiti Malaya (UM) Bright Scholarship,Universiti Malaya,University,https://aasd.um.edu.my/universiti-malaya-bright-scholarship,https://aasd.um.edu.my/financial-aid-for-postgraduate,RESEARCHED,VERIFIED,READY_FOR_STAGING,Official first-party/provider sources verified; unsupported or conflicting optional facts remain None rather than inferred.
schq_026,country_my,Malaysia,4,1,2,sch_my_003,UTM ASCEND Bright Talent Scholarship - 2026,Universiti Teknologi Malaysia,University,https://admission.utm.my/scholarship-and-financial-aid/,https://sps.utm.my/scholarship-financial-aids/,RESEARCHED,VERIFIED,READY_FOR_STAGING,Official first-party/provider sources verified; unsupported or conflicting optional facts remain None rather than inferred.
schq_027,country_my,Malaysia,4,1,3,sch_my_004,PTE x Universiti Malaya Scholarship 2026,Pearson Malaysia Sdn. Bhd. and Universiti Malaya,University-industry partnership,https://www.pearsonpte.com/pte-universiti-malaya-scholarship-2026/,https://www.pearsonpte.com/pte-universiti-malaya-scholarship-2026/terms-and-conditions/,RESEARCHED,VERIFIED,READY_FOR_STAGING,Official first-party/provider sources verified; unsupported or conflicting optional facts remain None rather than inferred.
schq_028,country_vn,Vietnam,4,0,1,sch_vn_001,"TDTU Scholarship for International Students - English-taught Undergraduate Programs, January 2027",Ton Duc Thang University,University,https://admission.tdtu.edu.vn/en/undergraduate/Scholarships,https://admission.tdtu.edu.vn/en/undergraduate/Scholarships,RESEARCHED,VERIFIED,READY_FOR_STAGING,Official first-party source verified; host university exists in canonical university data; unsupported optional facts retained as None/unknown.
schq_029,country_vn,Vietnam,4,0,2,sch_vn_002,TDTU First-Year Scholarship for International Graduate Students - 2026 Onward,Ton Duc Thang University,University,https://grad.tdtu.edu.vn/en/scholarships/international-student-scholarships,https://grad.tdtu.edu.vn/en/scholarships/international-student-scholarships,RESEARCHED,VERIFIED,READY_FOR_STAGING,Official first-party source verified; host university exists in canonical university data; unsupported optional facts retained as None/unknown.
schq_030,country_vn,Vietnam,4,0,3,sch_vn_003,UEH Scholarship Program for International Students Pursuing Full-Time Studies - 2026/2027,University of Economics Ho Chi Minh City,University,https://ueh.edu.vn/en/news/ueh-launches-scholarship-policies-to-promote-bilateral-academic-exchange-and-attract-international-students-76512,https://ueh.edu.vn/en/news/ueh-launches-scholarship-policies-to-promote-bilateral-academic-exchange-and-attract-international-students-76512,RESEARCHED,VERIFIED,READY_FOR_STAGING,Official first-party source verified; host university exists in canonical university data; unsupported optional facts retained as None/unknown.
schq_031,country_vn,Vietnam,4,0,4,sch_vn_004,VinUniversity President's Excellence Scholarship - Academic Year 2026-2027,VinUniversity,University,https://admissions.vinuni.edu.vn/vinuniversity-scholarship-program-academic-year-2026-2027/,https://admissions.vinuni.edu.vn/scholarship-and-financial-aid/undergraduate-programs/scholarships/,RESEARCHED,VERIFIED,READY_FOR_STAGING,Official first-party source verified; host university exists in canonical university data; unsupported optional facts retained as None/unknown.
schq_032,country_id,Indonesia,4,0,1,sch_id_001,Kemitraan Negara Berkembang (KNB) Scholarship 2026,Government of the Republic of Indonesia,Government,https://knb.kemdiktisaintek.go.id/,https://knb.kemdiktisaintek.go.id/,RESEARCHED,VERIFIED,READY_FOR_STAGING,Official first-party/government source verified; unsupported or degree/tier-dependent facts retained as None/text rather than forced into unsafe hard-filter values.
schq_033,country_id,Indonesia,4,0,2,sch_id_002,NEW UI GREAT 2026 Scholarship,Universitas Indonesia,University,https://international.ui.ac.id/new-ui-great/,https://international.ui.ac.id/new-ui-great/,RESEARCHED,VERIFIED,READY_FOR_STAGING,Official first-party/government source verified; unsupported or degree/tier-dependent facts retained as None/text rather than forced into unsafe hard-filter values.
schq_034,country_id,Indonesia,4,0,3,sch_id_003,UGM Department of Electrical and Information Engineering (DEIE) Scholarship 2026,Universitas Gadjah Mada - Department of Electrical and Information Engineering,University department,https://admission.ugm.ac.id/2026/01/13/deie-scholarship-2026/,https://admission.ugm.ac.id/2026/01/13/deie-scholarship-2026/,RESEARCHED,VERIFIED,READY_FOR_STAGING,Official first-party/government source verified; unsupported or degree/tier-dependent facts retained as None/text rather than forced into unsafe hard-filter values.
schq_035,country_id,Indonesia,4,0,4,sch_id_004,ITB International Undergraduate Scholarship 2026 - Architecture,Institut Teknologi Bandung,University,https://sappk.itb.ac.id/iup_architecture/,https://sappk.itb.ac.id/iup_architecture/,RESEARCHED,VERIFIED,READY_FOR_STAGING,Official first-party/government source verified; unsupported or degree/tier-dependent facts retained as None/text rather than forced into unsafe hard-filter values.
schq_036,country_ph,Philippines,4,0,1,sch_ph_001,SEARCA Full Master's and PhD Scholarship - UPLB Study Post,Southeast Asian Regional Center for Graduate Study and Research in Agriculture (SEARCA),Regional intergovernmental organization,https://www.searca.org/full-master-phd-scholarships,https://www.searca.org/full-master-phd-scholarships,RESEARCHED,VERIFIED,READY_FOR_STAGING,Official first-party source verified; unsupported optional facts remain None/unknown rather than inferred.
schq_037,country_ph,Philippines,4,0,2,sch_ph_002,DAAD-SEARCA In-Country/In-Region Scholarship Programme 2026 - UPLB Study Post,German Academic Exchange Service (DAAD) and SEARCA,International scholarship partnership,https://www.searca.org/daad-scholarship,https://www.searca.org/daad-scholarship,RESEARCHED,VERIFIED,READY_FOR_STAGING,Official first-party source verified; unsupported optional facts remain None/unknown rather than inferred.
schq_038,country_ph,Philippines,4,0,3,sch_ph_003,Visayas State University Graduate Fellowship Program for Foreign Graduate Students,Visayas State University,University,https://www.vsu.edu.ph/vsu/1135-vsu-scholarships,https://www.vsu.edu.ph/vsu/1135-vsu-scholarships,RESEARCHED,REVIEWED,READY_FOR_STAGING_WITH_FUNDING_GAP,"Official VSU fellowship identity, foreign-student eligibility and Master/PhD slot structure verified. Current public page does not itemise funding entitlements; funding_type therefore remains Unknown."
schq_039,country_ph,Philippines,4,0,4,sch_ph_004,ADB-Japan Scholarship Program - IRRI / UPLB Study Post,Asian Development Bank and Government of Japan,International development bank and government partnership,https://www.adb.org/work-with-us/careers/japan-scholarship-program,https://www.adb.org/work-with-us/careers/japan-scholarship-program/institutions,RESEARCHED,VERIFIED,READY_FOR_STAGING,Official first-party source verified; unsupported optional facts remain None/unknown rather than inferred.
schq_040,country_bn,Brunei,2,0,1,sch_bn_001,Government of Brunei Darussalam Scholarship for Foreign Students Tenable in Brunei Darussalam - 2026/2027,"Ministry of Foreign Affairs, Government of Brunei Darussalam",Government,https://www.mfa.gov.bn/Pages/online-bdgs.aspx,https://www.mfa.gov.bn/Pages/online-bdgs.aspx,RESEARCHED,VERIFIED,READY_FOR_STAGING,"Official Brunei Government / UBD first-party source verified; degree-dependent, alternative or current-date-uncertain facts remain None/unknown rather than inferred."
schq_041,country_bn,Brunei,2,0,2,sch_bn_002,Universiti Brunei Darussalam Graduate Research Scholarship (UGRS),Universiti Brunei Darussalam,University,https://ubd.edu.bn/admission/graduate/graduate-fees-funding/ugrs/,https://ubd.edu.bn/wp-content/uploads/2026/03/UGRS-2024-TC-3.pdf,RESEARCHED,VERIFIED,READY_FOR_STAGING,"Official Brunei Government / UBD first-party source verified; degree-dependent, alternative or current-date-uncertain facts remain None/unknown rather than inferred."
schq_042,country_kh,Cambodia,2,0,1,sch_kh_001,RUPP PhD Program in Physics Scholarship - Academic Year 2026-2027,Royal University of Phnom Penh / Higher Education Improvement Project (HEIP-2),University project,https://rupp.edu.kh/academics/faculties_and_institutes/gss/scholarship/56,https://rupp.edu.kh/academics/faculties_and_institutes/gss/scholarship/56,RESEARCHED,VERIFIED,READY_FOR_STAGING,Official RUPP/ITC first-party source verified. Full tuition alone is conservatively classified as Partially Funded because recurring living-cost coverage is not established.
