university_id,university_name,programme_name,faculty_name,degree_level,field_of_study,official_program_url,official_department_source,international_application_url,duration_years,language_of_instruction,tuition_fee,tuition_currency,research_status,verification_status
uni_vn_001,"Vietnam National University, Hanoi",,,,,,,,,,,VND,PENDING,PENDING
uni_vn_002,Vietnam National University Ho Chi Minh City,,,,,,,,,,,VND,PENDING,PENDING
uni_vn_003,Hanoi University of Science and Technology,,,,,,,,,,,VND,PENDING,PENDING
uni_vn_004,Ton Duc Thang University,,,,,,,,,,,VND,PENDING,PENDING
uni_vn_005,University of Economics Ho Chi Minh City,,,,,,,,,,,VND,PENDING,PENDING
uni_vn_006,Can Tho University,,,,,,,,,,,VND,PENDING,PENDING
uni_vn_007,The University of Danang,,,,,,,,,,,VND,PENDING,PENDING
uni_vn_008,Foreign Trade University,,,,,,,,,,,VND,PENDING,PENDING
uni_vn_009,Duy Tan University,,,,,,,,,,,VND,PENDING,PENDING
uni_vn_010,National Economics University,,,,,,,,,,,VND,PENDING,PENDING
