program_id,university_id,university_name,program_name,field_of_study,degree_level,duration_years,study_mode,language_of_instruction,tuition_fee,tuition_currency,tuition_period,minimum_gpa,ielts_requirement,toefl_requirement,intake,official_program_url,official_department_source,international_application_url,programme_identity_status,international_applicants_status,research_status,verification_note,verified_date
prog_vn_001_01,uni_vn_001,"Vietnam National University, Hanoi",Computer Science,Computer Science,Master,,Full-time,English / Vietnamese,,VND,,,,,,https://vnu.edu.vn/,VNU official faculty/programme source,https://vnu.edu.vn/,VERIFIED,VERIFIED,VERIFIED,Verified from Vietnam National University Hanoi official academic sources.,2026-08-23
prog_vn_001_02,uni_vn_001,"Vietnam National University, Hanoi",Information Technology,Information Technology,Master,,Full-time,English / Vietnamese,,VND,,,,,,https://vnu.edu.vn/,VNU official faculty/programme source,https://vnu.edu.vn/,VERIFIED,VERIFIED,VERIFIED,Verified from Vietnam National University Hanoi official academic sources.,2026-08-23
prog_vn_001_03,uni_vn_001,"Vietnam National University, Hanoi",Business Administration,Business Administration,Master,,Full-time,English / Vietnamese,,VND,,,,,,https://vnu.edu.vn/,VNU official faculty/programme source,https://vnu.edu.vn/,VERIFIED,VERIFIED,VERIFIED,Verified from Vietnam National University Hanoi official academic sources.,2026-08-23
,uni_vn_002,Vietnam National University Ho Chi Minh City,,,Master,,,,,VND,,,,,,,,,PENDING,PENDING,PENDING,,
,uni_vn_002,Vietnam National University Ho Chi Minh City,,,Master,,,,,VND,,,,,,,,,PENDING,PENDING,PENDING,,
,uni_vn_002,Vietnam National University Ho Chi Minh City,,,Master,,,,,VND,,,,,,,,,PENDING,PENDING,PENDING,,
,uni_vn_003,Hanoi University of Science and Technology,,,Master,,,,,VND,,,,,,,,,PENDING,PENDING,PENDING,,
,uni_vn_003,Hanoi University of Science and Technology,,,Master,,,,,VND,,,,,,,,,PENDING,PENDING,PENDING,,
,uni_vn_003,Hanoi University of Science and Technology,,,Master,,,,,VND,,,,,,,,,PENDING,PENDING,PENDING,,
,uni_vn_004,Ton Duc Thang University,,,Master,,,,,VND,,,,,,,,,PENDING,PENDING,PENDING,,
,uni_vn_004,Ton Duc Thang University,,,Master,,,,,VND,,,,,,,,,PENDING,PENDING,PENDING,,
,uni_vn_004,Ton Duc Thang University,,,Master,,,,,VND,,,,,,,,,PENDING,PENDING,PENDING,,
,uni_vn_005,University of Economics Ho Chi Minh City,,,Master,,,,,VND,,,,,,,,,PENDING,PENDING,PENDING,,
,uni_vn_005,University of Economics Ho Chi Minh City,,,Master,,,,,VND,,,,,,,,,PENDING,PENDING,PENDING,,
,uni_vn_005,University of Economics Ho Chi Minh City,,,Master,,,,,VND,,,,,,,,,PENDING,PENDING,PENDING,,
,uni_vn_006,Can Tho University,,,Master,,,,,VND,,,,,,,,,PENDING,PENDING,PENDING,,
,uni_vn_006,Can Tho University,,,Master,,,,,VND,,,,,,,,,PENDING,PENDING,PENDING,,
,uni_vn_006,Can Tho University,,,Master,,,,,VND,,,,,,,,,PENDING,PENDING,PENDING,,
,uni_vn_007,The University of Danang,,,Master,,,,,VND,,,,,,,,,PENDING,PENDING,PENDING,,
,uni_vn_007,The University of Danang,,,Master,,,,,VND,,,,,,,,,PENDING,PENDING,PENDING,,
,uni_vn_007,The University of Danang,,,Master,,,,,VND,,,,,,,,,PENDING,PENDING,PENDING,,
,uni_vn_008,Foreign Trade University,,,Master,,,,,VND,,,,,,,,,PENDING,PENDING,PENDING,,
,uni_vn_008,Foreign Trade University,,,Master,,,,,VND,,,,,,,,,PENDING,PENDING,PENDING,,
,uni_vn_008,Foreign Trade University,,,Master,,,,,VND,,,,,,,,,PENDING,PENDING,PENDING,,
,uni_vn_009,Duy Tan University,,,Master,,,,,VND,,,,,,,,,PENDING,PENDING,PENDING,,
,uni_vn_009,Duy Tan University,,,Master,,,,,VND,,,,,,,,,PENDING,PENDING,PENDING,,
,uni_vn_009,Duy Tan University,,,Master,,,,,VND,,,,,,,,,PENDING,PENDING,PENDING,,
,uni_vn_010,National Economics University,,,Master,,,,,VND,,,,,,,,,PENDING,PENDING,PENDING,,
,uni_vn_010,National Economics University,,,Master,,,,,VND,,,,,,,,,PENDING,PENDING,PENDING,,
,uni_vn_010,National Economics University,,,Master,,,,,VND,,,,,,,,,PENDING,PENDING,PENDING,,
