university_id,university_name,official_main_url,international_admission_url,programme_catalogue_url,faculty_source_url,source_verified,research_note,verified_date
uni_vn_001,"Vietnam National University, Hanoi",,,,,PENDING,Awaiting official source collection,
uni_vn_002,Vietnam National University Ho Chi Minh City,,,,,PENDING,Awaiting official source collection,
uni_vn_003,Hanoi University of Science and Technology,,,,,PENDING,Awaiting official source collection,
uni_vn_004,Ton Duc Thang University,,,,,PENDING,Awaiting official source collection,
uni_vn_005,University of Economics Ho Chi Minh City,,,,,PENDING,Awaiting official source collection,
uni_vn_006,Can Tho University,,,,,PENDING,Awaiting official source collection,
uni_vn_007,The University of Danang,,,,,PENDING,Awaiting official source collection,
uni_vn_008,Foreign Trade University,,,,,PENDING,Awaiting official source collection,
uni_vn_009,Duy Tan University,,,,,PENDING,Awaiting official source collection,
uni_vn_010,National Economics University,,,,,PENDING,Awaiting official source collection,
