university_id,university_name,programme_slot_1,programme_slot_2,programme_slot_3,official_program_source,official_department_source,international_application_source,research_status,verification_status
uni_vn_001,"Vietnam National University, Hanoi",,,,,,,PENDING,PENDING
uni_vn_002,Vietnam National University Ho Chi Minh City,,,,,,,PENDING,PENDING
uni_vn_003,Hanoi University of Science and Technology,,,,,,,PENDING,PENDING
uni_vn_004,Ton Duc Thang University,,,,,,,PENDING,PENDING
uni_vn_005,University of Economics Ho Chi Minh City,,,,,,,PENDING,PENDING
uni_vn_006,Can Tho University,,,,,,,PENDING,PENDING
uni_vn_007,The University of Danang,,,,,,,PENDING,PENDING
uni_vn_008,Foreign Trade University,,,,,,,PENDING,PENDING
uni_vn_009,Duy Tan University,,,,,,,PENDING,PENDING
uni_vn_010,National Economics University,,,,,,,PENDING,PENDING
uni_vn_011,Vietnam National University of Agriculture,,,,,,,PENDING,PENDING
uni_vn_012,Thuyloi University,,,,,,,PENDING,PENDING
uni_vn_013,University of Transport and Communications,,,,,,,PENDING,PENDING
uni_vn_014,Hanoi University of Civil Engineering,,,,,,,PENDING,PENDING
uni_vn_015,Hanoi University,,,,,,,PENDING,PENDING
uni_vn_016,Hanoi National University of Education,,,,,,,PENDING,PENDING
uni_vn_017,Hanoi Medical University,,,,,,,PENDING,PENDING
uni_vn_018,Hanoi University of Pharmacy,,,,,,,PENDING,PENDING
uni_vn_019,Posts and Telecommunications Institute of Technology,,,,,,,PENDING,PENDING
uni_vn_020,Electric Power University,,,,,,,PENDING,PENDING
uni_vn_021,Hanoi University of Mining and Geology,,,,,,,PENDING,PENDING
uni_vn_022,Thuongmai University,,,,,,,PENDING,PENDING
uni_vn_023,Banking Academy of Vietnam,,,,,,,PENDING,PENDING
uni_vn_024,Academy of Finance,,,,,,,PENDING,PENDING
uni_vn_025,Phenikaa University,,,,,,,PENDING,PENDING
uni_vn_026,FPT University,,,,,,,PENDING,PENDING
uni_vn_027,VinUniversity,,,,,,,PENDING,PENDING
uni_vn_028,Thai Nguyen University,,,,,,,PENDING,PENDING
uni_vn_029,Vinh University,,,,,,,PENDING,PENDING
uni_vn_030,Hue University,,,,,,,PENDING,PENDING
uni_vn_031,Quy Nhon University,,,,,,,PENDING,PENDING
uni_vn_032,Nha Trang University,,,,,,,PENDING,PENDING
uni_vn_033,Dalat University,,,,,,,PENDING,PENDING
uni_vn_034,Ho Chi Minh City Open University,,,,,,,PENDING,PENDING
uni_vn_035,Ho Chi Minh City University of Technology and Education,,,,,,,PENDING,PENDING
uni_vn_036,Industrial University of Ho Chi Minh City,,,,,,,PENDING,PENDING
uni_vn_037,University of Finance - Marketing,,,,,,,PENDING,PENDING
uni_vn_038,Nong Lam University Ho Chi Minh City,,,,,,,PENDING,PENDING
uni_vn_039,Ho Chi Minh City University of Law,,,,,,,PENDING,PENDING
uni_vn_040,University of Medicine and Pharmacy at Ho Chi Minh City,,,,,,,PENDING,PENDING
uni_vn_041,Saigon University,,,,,,,PENDING,PENDING
uni_vn_042,Van Lang University,,,,,,,PENDING,PENDING
uni_vn_043,Hoa Sen University,,,,,,,PENDING,PENDING
uni_vn_044,Nguyen Tat Thanh University,,,,,,,PENDING,PENDING
uni_vn_045,Ho Chi Minh City University of Technology,,,,,,,PENDING,PENDING
uni_vn_046,Ho Chi Minh University of Banking,,,,,,,PENDING,PENDING
uni_vn_047,Ho Chi Minh City University of Foreign Languages and Information Technology,,,,,,,PENDING,PENDING
uni_vn_048,Tra Vinh University,,,,,,,PENDING,PENDING
uni_vn_049,Dong Thap University,,,,,,,PENDING,PENDING
uni_vn_050,Can Tho University of Medicine and Pharmacy,,,,,,,PENDING,PENDING
