program_id,university_id,program_slot,program_name,degree_level,official_source_url,collection_status,verification_status,research_notes
prog_bn_001,uni_bn_001,1,Bachelor of Engineering (Honours),Bachelor,https://ubd.edu.bn/programme/bachelor-of-engineering/,Identity Collected,Official Source Verified,Official UBD undergraduate programme page.
prog_bn_002,uni_bn_001,2,Bachelor of Science (Honours) in Finance (Data Analytics),Bachelor,https://ubd.edu.bn/programme/bachelor-of-science-finance/,Identity Collected,Official Source Verified,Official UBD School of Business and Economics programme page.
prog_bn_003,uni_bn_001,3,Bachelor of Health Science (Nursing) (Honours),Bachelor,https://ubd.edu.bn/programme/bachelor-of-health-science-major-in-nursing/,Identity Collected,Official Source Verified,Official UBD PAPRSB Institute of Health Sciences programme page.
prog_bn_004,uni_bn_002,1,Bachelor of Science (Hons) in Computing (Major in Software Development / Major in Data Analytics),Bachelor,https://www.utb.edu.bn/academics/school-of-computing-and-informatics/undergraduate-programmes/computer-information-systems-cis/courses/bachelor-of-science-hons-in-computing-major-in-software-development-major-in-data-analytics-full-time/,Identity Collected,Official Source Verified,Official UTB full-time Computing programme page.
prog_bn_005,uni_bn_002,2,Bachelor of Engineering (Honours) in Civil Engineering,Bachelor,https://www.utb.edu.bn/academics/faculty-of-engineering/undergraduate-programmes/civil-engineering-programme-area/bachelor-of-engineering-honours-in-civil-engineering/,Identity Collected,Official Source Verified,Official UTB Civil Engineering programme page.
prog_bn_006,uni_bn_002,3,Bachelor of Business (Honours) (Major in Applied Economics and Finance),Bachelor,https://www.utb.edu.bn/academics/utb-school-of-business/undergraduate-programmes/,Identity Collected,Official Source Verified,Official UTB School of Business undergraduate programme listing.
prog_bn_007,uni_bn_003,1,Bachelor in Islamic Data Science,Bachelor,https://unissa.edu.bn/programmes/fit-bachelor-in-islamic-data-science/,Identity Collected,Official Source Verified,Official UNISSA Faculty of Islamic Technology programme page.
prog_bn_008,uni_bn_003,2,Bachelor of Laws (LLB) and Bachelor of Shariah Law (BSL),Bachelor,https://unissa.edu.bn/programmes/bachelor-of-laws-llb-and-bachelor-of-shariah-law-bsl/,Identity Collected,Official Source Verified,Official UNISSA double-degree law programme page.
prog_bn_009,uni_bn_003,3,Bachelor of Science in Agriculture (Aquaculture),Bachelor,https://unissa.edu.bn/programmes/foa-bachelor-of-science-in-agriculture-aquaculture/,Identity Collected,Official Source Verified,Official UNISSA Faculty of Agriculture programme page.
prog_bn_010,uni_bn_004,1,Sarjana Muda Perguruan Ugama (Pendidikan Islam) - dengan Minor,Bachelor,https://www.kupu-sb.edu.bn/ijazah-sarjana-muda/,Identity Collected,Official Source Verified,Official KUPU SB bachelor's programme page.
prog_bn_011,uni_bn_004,2,Sarjana Perguruan Ugama (Usuluddin) secara Penyelidikan,Master,https://www.kupu-sb.edu.bn/ijazah-sarjana/,Identity Collected,Official Source Verified,Official KUPU SB master's programme page; code 7011.
prog_bn_012,uni_bn_004,3,Sarjana Perguruan Ugama (Syariah) secara Penyelidikan,Master,https://www.kupu-sb.edu.bn/ijazah-sarjana/,Identity Collected,Official Source Verified,Official KUPU SB master's programme page; code 7021.
