"program_id","university_id","university_name","country_id","program_slot","program_name","degree_level","field_of_study","program_url","programme_identity_status","programme_identity_evidence","international_applicants_status","international_application_url","international_requirements_note","programme_eligibility_evidence","programme_eligibility_research_status","university_international_students_status","university_international_admissions_url","university_international_admissions_note","university_eligibility_evidence","university_eligibility_research_status","official_university_website","verification_method","last_verified_at","research_note"
"prog_hk_001","uni_hk_001","The University of Hong Kong","country_hk","1","Computing and Data Science","Bachelor","Computer Science and Data Science","https://admissions.hku.hk/programmes/undergraduate-programmes/computing-and-data-science","VERIFIED","Official university admissions programme page verified for 2026/27 undergraduate admission.","verified_yes","https://admissions.hku.hk/programmes/undergraduate-programmes/computing-and-data-science","Official HKU undergraduate admissions material lists this study option within the University's international admissions framework.","Official university admissions source supports international/non-local application to this programme.","VERIFIED","verified_yes","https://admissions.hku.hk/apply/international-qualifications","HKU's International/Non-JUPAS Admissions Scheme accepts non-local students holding international or other national qualifications.","Official HKU international admissions source.","VERIFIED","https://www.hku.hk","OFFICIAL_UNIVERSITY_SOURCE","2026-08-21","Batch 1 official-source verification. Programme availability does not waive applicant-specific academic, language, visa, or programme requirements."
"prog_hk_002","uni_hk_001","The University of Hong Kong","country_hk","2","Bachelor of Business Administration","Bachelor","Business Administration","https://admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-business-administration","VERIFIED","Official university admissions programme page verified for 2026/27 undergraduate admission.","verified_yes","https://admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-business-administration","Official HKU undergraduate admissions material supports international/non-local application; qualification-specific requirements still apply.","Official university admissions source supports international/non-local application to this programme.","VERIFIED","verified_yes","https://admissions.hku.hk/apply/international-qualifications","HKU's International/Non-JUPAS Admissions Scheme accepts non-local students holding international or other national qualifications.","Official HKU international admissions source.","VERIFIED","https://www.hku.hk","OFFICIAL_UNIVERSITY_SOURCE","2026-08-21","Batch 1 official-source verification. Programme availability does not waive applicant-specific academic, language, visa, or programme requirements."
"prog_hk_003","uni_hk_001","The University of Hong Kong","country_hk","3","Bachelor of Science","Bachelor","Science","https://admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-science","VERIFIED","Official university admissions programme page verified for 2026/27 undergraduate admission.","verified_yes","https://admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-science","Official HKU undergraduate admissions material supports international/non-local application; qualification-specific requirements still apply.","Official university admissions source supports international/non-local application to this programme.","VERIFIED","verified_yes","https://admissions.hku.hk/apply/international-qualifications","HKU's International/Non-JUPAS Admissions Scheme accepts non-local students holding international or other national qualifications.","Official HKU international admissions source.","VERIFIED","https://www.hku.hk","OFFICIAL_UNIVERSITY_SOURCE","2026-08-21","Batch 1 official-source verification. Programme availability does not waive applicant-specific academic, language, visa, or programme requirements."
"prog_hk_004","uni_hk_002","The Chinese University of Hong Kong","country_hk","1","Computer Science and Engineering","Bachelor","Computer Science and Engineering","https://admission.cuhk.edu.hk/programme/bcsen/","VERIFIED","Official university admissions programme page verified for 2026/27 undergraduate admission.","verified_yes","https://admission.cuhk.edu.hk/programme/bcsen/","Official CUHK programme page explicitly lists this programme as open for International admission.","Official university admissions source supports international/non-local application to this programme.","VERIFIED","verified_yes","https://admission.cuhk.edu.hk/application/overseas-other-qualifications-non-local-international-team/requirements/","CUHK operates an International Students Admissions Scheme for eligible non-local applicants.","Official CUHK international admissions source.","VERIFIED","http://www.cuhk.edu.hk/english/index.html","OFFICIAL_UNIVERSITY_SOURCE","2026-08-21","Batch 1 official-source verification. Programme availability does not waive applicant-specific academic, language, visa, or programme requirements."
"prog_hk_005","uni_hk_002","The Chinese University of Hong Kong","country_hk","2","Integrated Bachelor of Business Administration Programme","Bachelor","Business Administration","https://admission.cuhk.edu.hk/programme/ibbac/","VERIFIED","Official university admissions programme page verified for 2026/27 undergraduate admission.","verified_yes","https://admission.cuhk.edu.hk/programme/ibbac/","Official CUHK programme page explicitly lists this programme as open for International admission.","Official university admissions source supports international/non-local application to this programme.","VERIFIED","verified_yes","https://admission.cuhk.edu.hk/application/overseas-other-qualifications-non-local-international-team/requirements/","CUHK operates an International Students Admissions Scheme for eligible non-local applicants.","Official CUHK international admissions source.","VERIFIED","http://www.cuhk.edu.hk/english/index.html","OFFICIAL_UNIVERSITY_SOURCE","2026-08-21","Batch 1 official-source verification. Programme availability does not waive applicant-specific academic, language, visa, or programme requirements."
"prog_hk_006","uni_hk_002","The Chinese University of Hong Kong","country_hk","3","Data Science and Policy Studies","Bachelor","Data Science and Public Policy","https://admission.cuhk.edu.hk/programme/dspsn/","VERIFIED","Official university admissions programme page verified for 2026/27 undergraduate admission.","verified_yes","https://admission.cuhk.edu.hk/programme/dspsn/","Official CUHK programme page explicitly lists this programme as open for International admission.","Official university admissions source supports international/non-local application to this programme.","VERIFIED","verified_yes","https://admission.cuhk.edu.hk/application/overseas-other-qualifications-non-local-international-team/requirements/","CUHK operates an International Students Admissions Scheme for eligible non-local applicants.","Official CUHK international admissions source.","VERIFIED","http://www.cuhk.edu.hk/english/index.html","OFFICIAL_UNIVERSITY_SOURCE","2026-08-21","Batch 1 official-source verification. Programme availability does not waive applicant-specific academic, language, visa, or programme requirements."
"prog_hk_007","uni_hk_003","The Hong Kong University of Science and Technology","country_hk","1","BEng in Computer Engineering","Bachelor","Computer Engineering","https://join.hkust.edu.hk/our-programs/school-of-engineering/computer-engineering","VERIFIED","Official university admissions programme page verified for 2026/27 undergraduate admission.","verified_yes","https://join.hkust.edu.hk/our-programs/school-of-engineering/computer-engineering","Official HKUST programme page provides this programme as an application choice for international qualifications.","Official university admissions source supports international/non-local application to this programme.","VERIFIED","verified_yes","https://join.hkust.edu.hk/admissions/international-qualifications","HKUST welcomes applicants with international qualifications and provides a direct university application route.","Official HKUST international qualifications source.","VERIFIED","https://hkust.edu.hk","OFFICIAL_UNIVERSITY_SOURCE","2026-08-21","Batch 1 official-source verification. Programme availability does not waive applicant-specific academic, language, visa, or programme requirements."
"prog_hk_008","uni_hk_003","The Hong Kong University of Science and Technology","country_hk","2","BSc in Biomedical and Health Sciences","Bachelor","Biomedical and Health Sciences","https://join.hkust.edu.hk/our-programs/school-of-science/biomedical-and-health-sciences","VERIFIED","Official university admissions programme page verified for 2026/27 undergraduate admission.","verified_yes","https://join.hkust.edu.hk/our-programs/school-of-science/biomedical-and-health-sciences","Official HKUST programme page provides direct application for international-qualification holders.","Official university admissions source supports international/non-local application to this programme.","VERIFIED","verified_yes","https://join.hkust.edu.hk/admissions/international-qualifications","HKUST welcomes applicants with international qualifications and provides a direct university application route.","Official HKUST international qualifications source.","VERIFIED","https://hkust.edu.hk","OFFICIAL_UNIVERSITY_SOURCE","2026-08-21","Batch 1 official-source verification. Programme availability does not waive applicant-specific academic, language, visa, or programme requirements."
"prog_hk_009","uni_hk_003","The Hong Kong University of Science and Technology","country_hk","3","BBA in Economics","Bachelor","Economics and Business","https://join.hkust.edu.hk/our-programs/school-of-business-and-management/economics","VERIFIED","Official university admissions programme page verified for 2026/27 undergraduate admission.","verified_yes","https://join.hkust.edu.hk/our-programs/school-of-business-and-management/economics","Official HKUST programme page lists BBA Economics as a direct application choice for international qualifications.","Official university admissions source supports international/non-local application to this programme.","VERIFIED","verified_yes","https://join.hkust.edu.hk/admissions/international-qualifications","HKUST welcomes applicants with international qualifications and provides a direct university application route.","Official HKUST international qualifications source.","VERIFIED","https://hkust.edu.hk","OFFICIAL_UNIVERSITY_SOURCE","2026-08-21","Batch 1 official-source verification. Programme availability does not waive applicant-specific academic, language, visa, or programme requirements."
"prog_hk_010","uni_hk_004","The Hong Kong Polytechnic University","country_hk","1","Bachelor of Science (Honours) Scheme in Computing and AI","Bachelor","Computer Science and Information Systems","https://www.polyu.edu.hk/study/ug/international/2026/js3868","VERIFIED","Official university admissions programme page verified for 2026/27 undergraduate admission.","verified_yes","https://www.polyu.edu.hk/study/ug/international/2026/js3868","Official PolyU international programme page provides an International / Other Qualification application route.","Official university admissions source supports international/non-local application to this programme.","VERIFIED","verified_yes","https://www.polyu.edu.hk/study/ug/admissions/international-other-qualifications/international-other-qualifications-general","PolyU welcomes applicants from around the world using international and other non-local qualifications.","Official PolyU international qualifications source.","VERIFIED","http://www.polyu.edu.hk/web/en/home/index.html","OFFICIAL_UNIVERSITY_SOURCE","2026-08-21","Batch 1 official-source verification. Programme availability does not waive applicant-specific academic, language, visa, or programme requirements."
