program_id,university_id,program_slot,program_name,degree_level,official_source_url,collection_status,verification_status,research_notes
prog_la_001,uni_la_001,1,Bachelor of Science Program in Computer Science,Bachelor,https://fns.nuol.edu.la/home/index.php/en/department-en/computer-science-en,Identity Collected,Current Official Source Verified,Official NUOL Faculty of Natural Sciences Computer Science department lists this Bachelor programme.
prog_la_002,uni_la_001,2,Bachelor of Business Administration in Business Management,Bachelor,https://www.nuol.edu.la/index.php/en/2022-05-05-02-51-36/2022-05-05-02-59-24,Identity Collected,Current Official Source Verified,Official NUOL programme directory lists Business Management as an international Bachelor programme.
prog_la_003,uni_la_001,3,Bachelor of Economics Program in Development and Planning Economics,Bachelor,https://www.nuol.edu.la/index.php/en/2022-05-05-02-51-36/2022-05-05-02-59-24,Identity Collected,Current Official Source Verified,Official NUOL programme directory lists Development and Planning Economics as an international Bachelor programme.
prog_la_004,uni_la_003,1,Bachelor of Pharmacy Program in Pharmaceutical Care,Bachelor,https://pharmacy.uhs.edu.la/?page_id=484,Identity Collected,Current Official Source Verified,Official Faculty of Pharmacy curriculum page gives the English programme name. UHS 2025-2026 admission form also lists Pharmaceutical Care.
prog_la_005,uni_la_003,2,Bachelor of Pharmacy Program in Pharmaceutical Sciences,Bachelor,https://pharmacy.uhs.edu.la/?page_id=484,Identity Collected,Current Official Source Verified,Official Faculty of Pharmacy curriculum page and 2025-2026 UHS admission form confirm this programme.
prog_la_006,uni_la_003,3,Bachelor of Pharmacy Program in Lao Traditional Medicines,Bachelor,https://pharmacy.uhs.edu.la/?page_id=484,Identity Collected,Current Official Source Verified,Official Faculty of Pharmacy curriculum page and 2025-2026 UHS admission form confirm this programme.
prog_la_007,uni_la_004,1,Bachelor of Commerce Management,Bachelor,https://sku.edu.la/study/undergraduate/faculties/business-administration,Identity Collected,Current Official Source Verified,Official Savannakhet University Faculty of Business Administration page.
prog_la_008,uni_la_004,2,Bachelor of Science in Mathematics,Bachelor,https://sku.edu.la/study/undergraduate/faculties/natural-science,Identity Collected,Current Official Source Verified,Official Savannakhet University Faculty of Natural Science page.
prog_la_009,uni_la_004,3,Bachelor of Arts Program in English Language,Bachelor,https://sku.edu.la/study/undergraduate/faculties/linguistics-and-humanity,Identity Collected,Current Official Source Verified,Official Savannakhet University Faculty of Linguistics and Humanity page.
prog_la_010,uni_la_005,1,Bachelor's Program in Crop Production,Bachelor,https://www.cu.edu.la/facuty/5-5-22,Identity Collected,Official Source - Freshness Unknown,English analytical translation of the official Lao programme title. Official faculty page states a 4-year Bachelor programme. Current website availability requires re-check.
prog_la_011,uni_la_005,2,Bachelor's Program in Veterinary Science,Bachelor,https://www.cu.edu.la/facuty/5-5-22,Identity Collected,Official Source - Freshness Unknown,English analytical translation of the official Lao programme title. Official faculty page states a 5-year Bachelor programme. Current status needs re-check.
prog_la_012,uni_la_005,3,Master's Program in Sustainable Agriculture,Master,https://www.cu.edu.la/facuty/5-5-22,Identity Collected,Official Source - Freshness Unknown,English analytical translation of the official Lao programme title. Official faculty page states a 2-year Master's programme. Current status needs re-check.
prog_la_013,uni_la_002,1,Electrical Engineering,Bachelor,https://www.iro-su.edu.la/graduate-profiles-report/,Identity Collected,Current First-Party Official Source Verified,Souphanouvong University's official International Relations Office identifies Electrical Engineering as one of four undergraduate majors participating in the 2025-2028 REAL project.
prog_la_014,uni_la_002,2,Veterinary Medicine,Bachelor,https://www.iro-su.edu.la/graduate-profiles-report/,Identity Collected,Current First-Party Official Source Verified,Souphanouvong University's official International Relations Office identifies Veterinary Medicine as one of four undergraduate majors participating in the 2025-2028 REAL project.
prog_la_015,uni_la_002,3,English Language,Bachelor,https://www.iro-su.edu.la/graduate-profiles-report/,Identity Collected,Current First-Party Official Source Verified,Souphanouvong University's official International Relations Office identifies English as one of four undergraduate majors participating in the 2025-2028 REAL project.
