program_id,country_id,university_id,university_name,program_slot,program_name,degree_level,field_of_study,program_url,identity_verified_at,verification_status,research_notes
prog_my_001,country_my,uni_my_001,Universiti Malaya,1,Bachelor of Computer Science (Software Engineering),Bachelor,Software Engineering,https://study.um.edu.my/bachelor-of-computer-science-software-engineering,2026-08-20,Verified,Current official Universiti Malaya programme page.
prog_my_002,country_my,uni_my_001,Universiti Malaya,2,Bachelor of Computer Science (Computer System and Network),Bachelor,Computer System and Network,https://study.um.edu.my/bachelor-of-computer-science-computer-system-and-network,2026-08-20,Verified,Current official Universiti Malaya programme page.
prog_my_003,country_my,uni_my_001,Universiti Malaya,3,Bachelor of Computer Science (Data Science),Bachelor,Data Science,https://study.um.edu.my/bachelor-of-computer-science-data-science,2026-08-20,Verified,Current official Universiti Malaya programme page.
prog_my_004,country_my,uni_my_002,Universiti Kebangsaan Malaysia,1,Bachelor of Computer Science with Honours,Bachelor,Computer Science,https://www.ukm.my/studyukm/computer-science-bachelors-hons/,2026-08-20,Verified,Current official UKM programme listing and StudyUKM programme page.
prog_my_005,country_my,uni_my_002,Universiti Kebangsaan Malaysia,2,Bachelor of Information Technology with Honours,Bachelor,Information Technology,https://www.ukm.my/studyukm/bachelor-of-information-technology-with-honours/,2026-08-20,Verified,Current official UKM programme listing and StudyUKM programme page.
prog_my_006,country_my,uni_my_002,Universiti Kebangsaan Malaysia,3,Bachelor of Software Engineering with Honours (Information System Development),Bachelor,Software Engineering,https://www.ukm.my/studyukm/bachelor-of-software-engineering-with-honours-information-system-development/,2026-08-20,Verified,Current official UKM programme listing and StudyUKM programme page.
prog_my_007,country_my,uni_my_003,Universiti Putra Malaysia,1,Bachelor in Computer Science with Honours,Bachelor,Computer Science,https://fsktm.upm.edu.my/academic/undergraduate/programme_of_study-382,2026-08-20,Verified,"Official UPM FSKTM programme-of-study page, updated 2026."
prog_my_008,country_my,uni_my_003,Universiti Putra Malaysia,2,Bachelor in Computer Science (Multimedia Computing) with Honours,Bachelor,Multimedia Computing,https://fsktm.upm.edu.my/academic/undergraduate/programme_of_study-382,2026-08-20,Verified,"Official UPM FSKTM programme-of-study page, updated 2026."
prog_my_009,country_my,uni_my_003,Universiti Putra Malaysia,3,Bachelor in Software Engineering with Honours,Bachelor,Software Engineering,https://fsktm.upm.edu.my/academic/undergraduate/programme_of_study-382,2026-08-20,Verified,"Official UPM FSKTM programme-of-study page, updated 2026."
prog_my_010,country_my,uni_my_004,Universiti Sains Malaysia,1,Bachelor of Software Engineering with Honours,Bachelor,Software Engineering,https://cs.usm.my/index.php/admissions-academics/undergraduate/main-campus/bachelor-of-software-engineering-with-honours,2026-08-20,Verified,Current official USM School of Computer Sciences main-campus programme page.
prog_my_011,country_my,uni_my_004,Universiti Sains Malaysia,2,Bachelor of Computer Science (Intelligent Computing) with Honours,Bachelor,Intelligent Computing,https://cs.usm.my/index.php/admissions-academics/undergraduate/main-campus/bachelor-of-computer-science-intelligent-computing-with-honours,2026-08-20,Verified,Current official USM School of Computer Sciences main-campus programme page.
prog_my_012,country_my,uni_my_004,Universiti Sains Malaysia,3,Bachelor of Computer Science (Computing Infrastructure) with Honours,Bachelor,Computing Infrastructure,https://cs.usm.my/index.php/admissions-academics/undergraduate/main-campus/bachelor-of-computer-science-computing-infrastructure-with-honours,2026-08-20,Verified,Current official USM School of Computer Sciences main-campus programme page.
prog_my_013,country_my,uni_my_005,Universiti Teknologi Malaysia,1,Bachelor in Software Engineering with Honours,Bachelor,Software Engineering,https://admission.utm.my/offered-allcourses-malaysian/,2026-08-20,Verified,Official UTM current course listing and September 2026 intake source.
prog_my_014,country_my,uni_my_005,Universiti Teknologi Malaysia,2,Bachelor of Computer Science (Computer Networks and Security) with Honours,Bachelor,Computer Networks and Security,https://admission.utm.my/offered-allcourses-malaysian/,2026-08-20,Verified,Official UTM current course listing and September 2026 intake source.
prog_my_015,country_my,uni_my_005,Universiti Teknologi Malaysia,3,Bachelor of Computer Science (Graphics and Multimedia Software) with Honours,Bachelor,Graphics and Multimedia Software,https://admission.utm.my/offered-allcourses-malaysian/,2026-08-20,Verified,Official UTM current course listing and September 2026 intake source.
prog_my_016,country_my,uni_my_006,International Islamic University Malaysia,1,Bachelor of Computer Science (Honours),Bachelor,Computer Science,https://kulliyyah.iium.edu.my/kict/bachelor-in-computer-science-honours/,2026-08-20,Verified,Verified on current official IIUM KICT programme page.
prog_my_017,country_my,uni_my_006,International Islamic University Malaysia,2,Bachelor of Information Technology (Honours),Bachelor,Information Technology,https://kulliyyah.iium.edu.my/kict/bachelor-of-information-technology/,2026-08-20,Verified,Verified on current official IIUM KICT programme page.
prog_my_018,country_my,uni_my_006,International Islamic University Malaysia,3,Master in Information Technology,Master,Information Technology,https://kulliyyah.iium.edu.my/kict/master-of-information-technology-3/,2026-08-20,Verified,Verified on current official IIUM KICT postgraduate programme page.
prog_my_019,country_my,uni_my_007,Universiti Teknologi PETRONAS,1,Bachelor of Computer Science (Hons),Bachelor,Computer Science,https://www.utp.edu.my/Pages/Admission/Undergraduate/Bachelor-of-Computer-Science-%28Hons%29.aspx,2026-08-20,Verified,Official UTP current undergraduate programme; current curriculum states Jan 2026 onward.
prog_my_020,country_my,uni_my_007,Universiti Teknologi PETRONAS,2,Bachelor of Information Technology (Hons),Bachelor,Information Technology,https://www.utp.edu.my/Pages/Admission/Undergraduate/Bachelor-in-Information-Technology-%28Hons%29.aspx,2026-08-20,Verified,Official UTP current programme page; curriculum states Intake Jan 2026 - Present.
prog_my_021,country_my,uni_my_007,Universiti Teknologi PETRONAS,3,Bachelor of Information Systems (Hons),Bachelor,Information Systems,https://www.utp.edu.my/Pages/Admission/Undergraduate/Bachelor-in-Information-Systems-%28Hons%29.aspx,2026-08-20,Verified,Official UTP current programme page; curriculum states Intake Jan 2026 - Present.
prog_my_022,country_my,uni_my_008,Taylor's University,1,Bachelor of Computer Science (Honours),Bachelor,Computer Science,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-computer-science.html,2026-08-20,Verified,Official Taylor's programme page contains Programme Information for 2026.
prog_my_023,country_my,uni_my_008,Taylor's University,2,Bachelor of Software Engineering (Honours),Bachelor,Software Engineering,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-software-engineering.html,2026-08-20,Verified,Official Taylor's programme page contains Programme Information for 2026.
prog_my_024,country_my,uni_my_008,Taylor's University,3,Bachelor of Information Technology (Honours),Bachelor,Information Technology,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-information-technology.html,2026-08-20,Verified,Official Taylor's programme page contains Programme Information for 2026.
prog_my_025,country_my,uni_my_009,Sunway University,1,Bachelor of Science (Honours) in Computer Science,Bachelor,Computer Science,https://sunwayuniversity.edu.my/faculty-of-engineering-and-technology/courses/bachelor-of-science-honours-computer-science,2026-08-20,Verified,Official Sunway programme page with 2026 course information.
prog_my_026,country_my,uni_my_009,Sunway University,2,Bachelor of Software Engineering (Hons),Bachelor,Software Engineering,https://sunwayuniversity.edu.my/faculty-of-engineering-and-technology/courses/bachelor-of-software-engineering-hons,2026-08-20,Verified,Official Sunway programme page with 2026 course information.
prog_my_027,country_my,uni_my_009,Sunway University,3,Bachelor of Information Systems (Honours) (Data Analytics),Bachelor,Information Systems and Data Analytics,https://sunwayuniversity.edu.my/faculty-of-engineering-and-technology/courses/bachelor-of-information-systems-honours-data,2026-08-20,Verified,Verified on current official Sunway programme page and 2026 programme listing.
prog_my_028,country_my,uni_my_010,Universiti Utara Malaysia,1,Bachelor of Computer Science with Honours,Bachelor,Computer Science,https://www.uum.edu.my/admissions/application-guidelines/undergraduate-local/local/bachelor-of-computer-science-with-honours,2026-08-20,Verified,Live official UUM admissions programme page. Page carries 19 May 2022 date; preserve freshness as unknown during detail enrichment unless newer first-party evidence is found.
prog_my_029,country_my,uni_my_010,Universiti Utara Malaysia,2,Bachelor of Science with Honours (Information Technology),Bachelor,Information Technology,https://www.uum.edu.my/admissions/application-guidelines/undergraduate-local/local/bachelor-of-science-with-honours-information-technology,2026-08-20,Verified,Live official UUM admissions programme page. Page carries 19 May 2022 date; preserve freshness as unknown during detail enrichment unless newer first-party evidence is found.
prog_my_030,country_my,uni_my_010,Universiti Utara Malaysia,3,Bachelor of Science with Honours (Multimedia),Bachelor,Multimedia,https://www.uum.edu.my/admissions/application-guidelines/undergraduate-local/local/bachelor-of-science-with-honours-multimedia,2026-08-20,Verified,Live official UUM admissions programme page. Page carries 19 May 2022 date; preserve freshness as unknown during detail enrichment unless newer first-party evidence is found.
prog_my_031,country_my,uni_my_011,Universiti Teknologi MARA,1,Bachelor of Computer Science (Honours),Bachelor,Computer Science,https://fskm.uitm.edu.my/v5/en/component/content/article/29-cs230-bachelor-of-computer-science-hons-sarjana-muda-sains-komputer-kepujian?Itemid=154&catid=64,2026-08-20,Verified,Verified on official UiTM FSKM CS230 programme page.
prog_my_032,country_my,uni_my_011,Universiti Teknologi MARA,2,Bachelor of Information Technology (Hons.),Bachelor,Information Technology,https://fskm.uitm.edu.my/v5/en/component/content/article/649-cs240-bachelor-of-information-technology-hons-sarjana-muda-teknologi-maklumat-kepujian-2?Itemid=154&catid=72,2026-08-20,Verified,Verified on official UiTM FSKM CS240 programme page.
prog_my_033,country_my,uni_my_011,Universiti Teknologi MARA,3,Bachelor of Computer Science (Hons) Computer Networks,Bachelor,Computer Networks,https://fskm.uitm.edu.my/v5/en/component/content/article/39-cs255-bachelor-of-computer-science-hons-data-communication-and-networking-sarjana-muda-sains-komputer-kepujian-komunikasi-data-dan-perangkaian?Itemid=154&catid=11,2026-08-20,Verified,Verified on official UiTM FSKM CS255 current programme page.
prog_my_034,country_my,uni_my_012,Universiti Malaysia Sabah,1,Bachelor of Computer Science with Honours (Software Engineering),Bachelor,Software Engineering,https://www.ums.edu.my/fki/index.php/what-we-offer/undergraduate/uh6481001,2026-08-20,Verified,Verified on official UMS Faculty of Computing and Informatics programme page and recent official prospectus.
prog_my_035,country_my,uni_my_012,Universiti Malaysia Sabah,2,Bachelor of Computer Science with Honours (Network Engineering),Bachelor,Network Engineering,https://www.ums.edu.my/fki/index.php/what-we-offer/undergraduate/uh6481002,2026-08-20,Verified,Official UMS programme page identifies this as a current programme.
prog_my_036,country_my,uni_my_012,Universiti Malaysia Sabah,3,Bachelor of Computer Science with Honours (Data Science),Bachelor,Data Science,https://www.ums.edu.my/fki/index.php/what-we-offer/undergraduate/uh6481005,2026-08-20,Verified,Verified on official UMS programme page and recent Faculty programme material.
prog_my_037,country_my,uni_my_013,Universiti Malaysia Sarawak,1,Bachelor in Computer Science (Computational Science) with Honours,Bachelor,Computational Science,https://www.fcsit.unimas.my/what-we-offer/undergraduate/bcs-in-computational-science,2026-08-20,Verified,Official UNIMAS FCSIT programme page; 2025/26 undergraduate guidebook linked.
