program_id,country_id,university_id,university_name,program_slot,program_name,degree_level,field_of_study,program_url,identity_verified_at,verification_status,research_notes
prog_my_016,country_my,uni_my_006,International Islamic University Malaysia,1,Bachelor of Computer Science (Honours),Bachelor,Computer Science,https://kulliyyah.iium.edu.my/kict/bachelor-in-computer-science-honours/,2026-08-20,Verified,Verified on current official IIUM KICT programme page.
prog_my_017,country_my,uni_my_006,International Islamic University Malaysia,2,Bachelor of Information Technology (Honours),Bachelor,Information Technology,https://kulliyyah.iium.edu.my/kict/bachelor-of-information-technology/,2026-08-20,Verified,Verified on current official IIUM KICT programme page.
prog_my_018,country_my,uni_my_006,International Islamic University Malaysia,3,Master in Information Technology,Master,Information Technology,https://kulliyyah.iium.edu.my/kict/master-of-information-technology-3/,2026-08-20,Verified,Verified on current official IIUM KICT postgraduate programme page.
prog_my_019,country_my,uni_my_007,Universiti Teknologi PETRONAS,1,Bachelor of Computer Science (Hons),Bachelor,Computer Science,https://www.utp.edu.my/Pages/Admission/Undergraduate/Bachelor-of-Computer-Science-%28Hons%29.aspx,2026-08-20,Verified,Official UTP current undergraduate programme; current curriculum states Jan 2026 onward.
prog_my_020,country_my,uni_my_007,Universiti Teknologi PETRONAS,2,Bachelor of Information Technology (Hons),Bachelor,Information Technology,https://www.utp.edu.my/Pages/Admission/Undergraduate/Bachelor-in-Information-Technology-%28Hons%29.aspx,2026-08-20,Verified,Official UTP current programme page; curriculum states Intake Jan 2026 - Present.
prog_my_021,country_my,uni_my_007,Universiti Teknologi PETRONAS,3,Bachelor of Information Systems (Hons),Bachelor,Information Systems,https://www.utp.edu.my/Pages/Admission/Undergraduate/Bachelor-in-Information-Systems-%28Hons%29.aspx,2026-08-20,Verified,Official UTP current programme page; curriculum states Intake Jan 2026 - Present.
prog_my_022,country_my,uni_my_008,Taylor's University,1,Bachelor of Computer Science (Honours),Bachelor,Computer Science,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-computer-science.html,2026-08-20,Verified,Official Taylor's programme page contains Programme Information for 2026.
prog_my_023,country_my,uni_my_008,Taylor's University,2,Bachelor of Software Engineering (Honours),Bachelor,Software Engineering,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-software-engineering.html,2026-08-20,Verified,Official Taylor's programme page contains Programme Information for 2026.
prog_my_024,country_my,uni_my_008,Taylor's University,3,Bachelor of Information Technology (Honours),Bachelor,Information Technology,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-information-technology.html,2026-08-20,Verified,Official Taylor's programme page contains Programme Information for 2026.
prog_my_025,country_my,uni_my_009,Sunway University,1,Bachelor of Science (Honours) in Computer Science,Bachelor,Computer Science,https://sunwayuniversity.edu.my/faculty-of-engineering-and-technology/courses/bachelor-of-science-honours-computer-science,2026-08-20,Verified,Official Sunway programme page with 2026 course information.
prog_my_026,country_my,uni_my_009,Sunway University,2,Bachelor of Software Engineering (Hons),Bachelor,Software Engineering,https://sunwayuniversity.edu.my/faculty-of-engineering-and-technology/courses/bachelor-of-software-engineering-hons,2026-08-20,Verified,Official Sunway programme page with 2026 course information.
prog_my_027,country_my,uni_my_009,Sunway University,3,Bachelor of Information Systems (Honours) (Data Analytics),Bachelor,Information Systems and Data Analytics,https://sunwayuniversity.edu.my/faculty-of-engineering-and-technology/courses/bachelor-of-information-systems-honours-data,2026-08-20,Verified,Verified on current official Sunway programme page and 2026 programme listing.
prog_my_028,country_my,uni_my_010,Universiti Utara Malaysia,1,Bachelor of Computer Science with Honours,Bachelor,Computer Science,https://www.uum.edu.my/admissions/application-guidelines/undergraduate-local/local/bachelor-of-computer-science-with-honours,2026-08-20,Verified,Live official UUM admissions programme page. Page carries 19 May 2022 date; preserve freshness as unknown during detail enrichment unless newer first-party evidence is found.
prog_my_029,country_my,uni_my_010,Universiti Utara Malaysia,2,Bachelor of Science with Honours (Information Technology),Bachelor,Information Technology,https://www.uum.edu.my/admissions/application-guidelines/undergraduate-local/local/bachelor-of-science-with-honours-information-technology,2026-08-20,Verified,Live official UUM admissions programme page. Page carries 19 May 2022 date; preserve freshness as unknown during detail enrichment unless newer first-party evidence is found.
prog_my_030,country_my,uni_my_010,Universiti Utara Malaysia,3,Bachelor of Science with Honours (Multimedia),Bachelor,Multimedia,https://www.uum.edu.my/admissions/application-guidelines/undergraduate-local/local/bachelor-of-science-with-honours-multimedia,2026-08-20,Verified,Live official UUM admissions programme page. Page carries 19 May 2022 date; preserve freshness as unknown during detail enrichment unless newer first-party evidence is found.
