program_id,university_id,program_slot,program_name,field_of_study,degree_level,official_source_url,collection_status,verification_status,research_notes
prog_mm_001,uni_mm_001,1,Bachelor of Arts in Geography,Geography,Bachelor,https://www.uy.edu.mm/geography/,Identity Collected,Current First-Party Programme Verified,University of Yangon Geography curriculum explicitly identifies Bachelor of Arts in Geography as a four-year programme.
prog_mm_002,uni_mm_001,2,Bachelor of Science in Botany,Botany,Bachelor,https://www.uy.edu.mm/botany/,Identity Collected,Current First-Party Programme Verified,University of Yangon Botany curriculum explicitly identifies Bachelor of Science in Botany as a four-year degree programme.
prog_mm_003,uni_mm_001,3,Bachelor of Laws (LLB),Law,Bachelor,https://www.uy.edu.mm/law/,Identity Collected,Current First-Party Programme Verified,University of Yangon Law Department provides the curriculum for the LLB degree. The programme identity is retained as Bachelor of Laws (LLB).
prog_mm_004,uni_mm_002,1,B.C.Sc (Software Engineering),Software Engineering,Bachelor,https://www.ucsy.edu.mm/Courses.do,Identity Collected,Current First-Party Programme Verified,UCSY official Courses by Degree page explicitly lists B.C.Sc (Software Engineering).
prog_mm_005,uni_mm_002,2,B.C.Sc (Cyber Security and Forensics),Cyber Security and Forensics,Bachelor,https://www.ucsy.edu.mm/Courses.do,Identity Collected,Current First-Party Programme Verified,UCSY official Courses by Degree page explicitly lists B.C.Sc (Cyber Security and Forensics).
prog_mm_006,uni_mm_002,3,B.C.Sc (Business Information Systems),Business Information Systems,Bachelor,https://www.ucsy.edu.mm/Courses.do,Identity Collected,Current First-Party Programme Verified,UCSY official Courses by Degree page explicitly lists B.C.Sc (Business Information Systems).
prog_mm_007,uni_mm_003,1,Bachelor of Economics majoring in Economics,Economics,Bachelor,https://yueco.edu.mm/?page_id=85,Identity Collected,Current First-Party Degree Listing Verified,Yangon University of Economics official Degrees Offered page explicitly lists Bachelor of Economics majoring in Economics (BEcon/Eco).
prog_mm_008,uni_mm_003,2,Bachelor of Accounting,Accounting,Bachelor,https://yueco.edu.mm/?page_id=85,Identity Collected,Current First-Party Degree Listing Verified,Yangon University of Economics official Degrees Offered page explicitly lists Bachelor of Accounting (BAct).
prog_mm_009,uni_mm_003,3,Bachelor of Business Administration,Business Administration,Bachelor,https://yueco.edu.mm/?page_id=85,Identity Collected,Current First-Party Degree Listing Verified,Yangon University of Economics official Degrees Offered page explicitly lists Bachelor of Business Administration (BBA).
prog_mm_010,uni_mm_004,1,B.Sc. in Computer Science,Computer Science,Bachelor,https://www.dagonuniversity.edu.mm/degree-offered/,Identity Collected,Current First-Party Degree Listing Verified,Dagon University official Degree Offered page explicitly lists B.Sc. / B.Sc. (Hons) in Computer Science. EduPath selects the ordinary B.Sc. identity.
prog_mm_011,uni_mm_004,2,B.A. in International Relations,International Relations,Bachelor,https://www.dagonuniversity.edu.mm/degree-offered/,Identity Collected,Current First-Party Degree Listing Verified,Dagon University official Degree Offered page explicitly lists B.A. / B.A. (Hons) in International Relations. EduPath selects the ordinary B.A. identity.
prog_mm_012,uni_mm_004,3,Bachelor of Laws (L.L.B.),Law,Bachelor,https://www.dagonuniversity.edu.mm/degree-offered/,Identity Collected,Current First-Party Degree Listing Verified,Dagon University official Degree Offered page explicitly lists Bachelor of Law (L.L.B.).
prog_mm_016,uni_mm_006,1,Bachelor of Arts in English,English,Bachelor,https://www.yufl.edu.mm/ad-undergraduate/,Identity Collected,First-Party Programme Verified,YUFL official undergraduate page explicitly lists English (BA) with First Year through Fourth Year curriculum.
prog_mm_017,uni_mm_006,2,Bachelor of Arts in Chinese,Chinese,Bachelor,https://www.yufl.edu.mm/ad-undergraduate/,Identity Collected,First-Party Programme Verified,YUFL official undergraduate page explicitly lists Chinese (BA) with four academic years.
prog_mm_018,uni_mm_006,3,Master of Arts in English as a Foreign Language,English as a Foreign Language,Master,https://www.yufl.edu.mm/english-department/,Identity Collected,First-Party Programme Verified,YUFL English Department explicitly states that the M.A. (EFL) course is offered by the department.
prog_mm_019,uni_mm_007,1,Bachelor of Arts in English,English,Bachelor,https://www.mufl.edu.mm/academic/programmes/regular-programmes.html,Identity Collected,First-Party Programme Verified,MUFL official Regular Programmes page lists English among its four-year B.A. undergraduate programmes.
prog_mm_020,uni_mm_007,2,Bachelor of Arts in Japanese,Japanese,Bachelor,https://www.mufl.edu.mm/academic/programmes/regular-programmes.html,Identity Collected,First-Party Programme Verified,MUFL official Regular Programmes page lists Japanese among its four-year B.A. undergraduate programmes.
prog_mm_021,uni_mm_007,3,Master of Arts in English,English,Master,https://www.mufl.edu.mm/academic/programmes/regular-programmes.html,Identity Collected,First-Party Programme Verified,MUFL official Regular Programmes page lists English among its two-year M.A. programmes.
prog_mm_022,uni_mm_008,1,Bachelor of Education (Five-year Course),Education,Bachelor,https://www.yuoe.edu.mm/academic/,Identity Collected,Current First-Party Programme Verified,YUOE current Academic page explicitly lists the B.Ed. Five-year Course as on-campus pre-service teacher training.
