program_id,university_id,program_slot,program_name,field_of_study,degree_level,official_source_url,collection_status,verification_status,research_notes
prog_mm_001,uni_mm_001,1,Bachelor of Arts in Geography,Geography,Bachelor,https://www.uy.edu.mm/geography/,Identity Collected,Current First-Party Programme Verified,University of Yangon Geography curriculum explicitly identifies Bachelor of Arts in Geography as a four-year programme.
prog_mm_002,uni_mm_001,2,Bachelor of Science in Botany,Botany,Bachelor,https://www.uy.edu.mm/botany/,Identity Collected,Current First-Party Programme Verified,University of Yangon Botany curriculum explicitly identifies Bachelor of Science in Botany as a four-year degree programme.
prog_mm_003,uni_mm_001,3,Bachelor of Laws (LLB),Law,Bachelor,https://www.uy.edu.mm/law/,Identity Collected,Current First-Party Programme Verified,University of Yangon Law Department provides the curriculum for the LLB degree. The programme identity is retained as Bachelor of Laws (LLB).
prog_mm_004,uni_mm_002,1,B.C.Sc (Software Engineering),Software Engineering,Bachelor,https://www.ucsy.edu.mm/Courses.do,Identity Collected,Current First-Party Programme Verified,UCSY official Courses by Degree page explicitly lists B.C.Sc (Software Engineering).
prog_mm_005,uni_mm_002,2,B.C.Sc (Cyber Security and Forensics),Cyber Security and Forensics,Bachelor,https://www.ucsy.edu.mm/Courses.do,Identity Collected,Current First-Party Programme Verified,UCSY official Courses by Degree page explicitly lists B.C.Sc (Cyber Security and Forensics).
prog_mm_006,uni_mm_002,3,B.C.Sc (Business Information Systems),Business Information Systems,Bachelor,https://www.ucsy.edu.mm/Courses.do,Identity Collected,Current First-Party Programme Verified,UCSY official Courses by Degree page explicitly lists B.C.Sc (Business Information Systems).
prog_mm_007,uni_mm_003,1,Bachelor of Economics majoring in Economics,Economics,Bachelor,https://yueco.edu.mm/?page_id=85,Identity Collected,Current First-Party Degree Listing Verified,Yangon University of Economics official Degrees Offered page explicitly lists Bachelor of Economics majoring in Economics (BEcon/Eco).
prog_mm_008,uni_mm_003,2,Bachelor of Accounting,Accounting,Bachelor,https://yueco.edu.mm/?page_id=85,Identity Collected,Current First-Party Degree Listing Verified,Yangon University of Economics official Degrees Offered page explicitly lists Bachelor of Accounting (BAct).
prog_mm_009,uni_mm_003,3,Bachelor of Business Administration,Business Administration,Bachelor,https://yueco.edu.mm/?page_id=85,Identity Collected,Current First-Party Degree Listing Verified,Yangon University of Economics official Degrees Offered page explicitly lists Bachelor of Business Administration (BBA).
prog_mm_010,uni_mm_004,1,B.Sc. in Computer Science,Computer Science,Bachelor,https://www.dagonuniversity.edu.mm/degree-offered/,Identity Collected,Current First-Party Degree Listing Verified,Dagon University official Degree Offered page explicitly lists B.Sc. / B.Sc. (Hons) in Computer Science. EduPath selects the ordinary B.Sc. identity.
prog_mm_011,uni_mm_004,2,B.A. in International Relations,International Relations,Bachelor,https://www.dagonuniversity.edu.mm/degree-offered/,Identity Collected,Current First-Party Degree Listing Verified,Dagon University official Degree Offered page explicitly lists B.A. / B.A. (Hons) in International Relations. EduPath selects the ordinary B.A. identity.
prog_mm_012,uni_mm_004,3,Bachelor of Laws (L.L.B.),Law,Bachelor,https://www.dagonuniversity.edu.mm/degree-offered/,Identity Collected,Current First-Party Degree Listing Verified,Dagon University official Degree Offered page explicitly lists Bachelor of Law (L.L.B.).
