university_id,university_name,country_id,official_website,program_slot,program_name,program_url,collection_status,verification_status
uni_jp_001,The University of Tokyo,country_jp,https://www.u-tokyo.ac.jp,1,,,Pending Collection,Not Verified
uni_jp_001,The University of Tokyo,country_jp,https://www.u-tokyo.ac.jp,2,,,Pending Collection,Not Verified
uni_jp_001,The University of Tokyo,country_jp,https://www.u-tokyo.ac.jp,3,,,Pending Collection,Not Verified
uni_jp_002,Kyoto University,country_jp,http://www.kyoto-u.ac.jp/en,1,,,Pending Collection,Not Verified
uni_jp_002,Kyoto University,country_jp,http://www.kyoto-u.ac.jp/en,2,,,Pending Collection,Not Verified
uni_jp_002,Kyoto University,country_jp,http://www.kyoto-u.ac.jp/en,3,,,Pending Collection,Not Verified
uni_jp_003,Osaka University,country_jp,https://www.osaka-u.ac.jp,1,,,Pending Collection,Not Verified
uni_jp_003,Osaka University,country_jp,https://www.osaka-u.ac.jp,2,,,Pending Collection,Not Verified
uni_jp_003,Osaka University,country_jp,https://www.osaka-u.ac.jp,3,,,Pending Collection,Not Verified
uni_jp_004,Tohoku University,country_jp,http://www.tohoku.ac.jp/en/,1,,,Pending Collection,Not Verified
uni_jp_004,Tohoku University,country_jp,http://www.tohoku.ac.jp/en/,2,,,Pending Collection,Not Verified
uni_jp_004,Tohoku University,country_jp,http://www.tohoku.ac.jp/en/,3,,,Pending Collection,Not Verified
uni_jp_005,Nagoya University,country_jp,http://en.nagoya-u.ac.jp/,1,,,Pending Collection,Not Verified
uni_jp_005,Nagoya University,country_jp,http://en.nagoya-u.ac.jp/,2,,,Pending Collection,Not Verified
uni_jp_005,Nagoya University,country_jp,http://en.nagoya-u.ac.jp/,3,,,Pending Collection,Not Verified
uni_jp_006,Kyushu University,country_jp,http://www.kyushu-u.ac.jp/english/,1,,,Pending Collection,Not Verified
uni_jp_006,Kyushu University,country_jp,http://www.kyushu-u.ac.jp/english/,2,,,Pending Collection,Not Verified
uni_jp_006,Kyushu University,country_jp,http://www.kyushu-u.ac.jp/english/,3,,,Pending Collection,Not Verified
uni_jp_007,Hokkaido University,country_jp,https://www.global.hokudai.ac.jp/,1,,,Pending Collection,Not Verified
uni_jp_007,Hokkaido University,country_jp,https://www.global.hokudai.ac.jp/,2,,,Pending Collection,Not Verified
uni_jp_007,Hokkaido University,country_jp,https://www.global.hokudai.ac.jp/,3,,,Pending Collection,Not Verified
uni_jp_008,Institute of Science Tokyo,country_jp,https://www.isct.ac.jp,1,,,Pending Collection,Not Verified
uni_jp_008,Institute of Science Tokyo,country_jp,https://www.isct.ac.jp,2,,,Pending Collection,Not Verified
uni_jp_008,Institute of Science Tokyo,country_jp,https://www.isct.ac.jp,3,,,Pending Collection,Not Verified
uni_jp_009,University of Tsukuba,country_jp,https://www.tsukuba.ac.jp,1,,,Pending Collection,Not Verified
uni_jp_009,University of Tsukuba,country_jp,https://www.tsukuba.ac.jp,2,,,Pending Collection,Not Verified
uni_jp_009,University of Tsukuba,country_jp,https://www.tsukuba.ac.jp,3,,,Pending Collection,Not Verified
uni_jp_010,Kobe University,country_jp,http://www.kobe-u.ac.jp/en/alumni/index.html,1,,,Pending Collection,Not Verified
