program_id,university_id,program_slot,program_name,degree_level,official_source_url,collection_status,verification_status,research_notes
prog_sg_001,uni_sg_001,1,Bachelor of Computing in Computer Science,Bachelor,https://www.nus.edu.sg/nusbulletin/ay202627/programmes/school-of-computing/undergraduate-education/,Identity Collected,Current First-Party Official Source Verified,NUS AY2026/27 School of Computing undergraduate bulletin confirms the Computer Science bachelor degree.
prog_sg_002,uni_sg_001,2,Bachelor of Science in Business Analytics,Bachelor,https://www.comp.nus.edu.sg/programmes/ug/ba/,Identity Collected,Current First-Party Official Source Verified,NUS Computing current official Business Analytics undergraduate page.
prog_sg_003,uni_sg_001,3,Bachelor of Business Administration,Bachelor,https://bba.nus.edu.sg/curriculum-ay2026-2027-onwards/,Identity Collected,Current First-Party Official Source Verified,NUS Business School AY2026/27 BBA curriculum confirms the current direct honours BBA programme.
prog_sg_004,uni_sg_002,1,Bachelor of Computing (Hons) in Computer Science,Bachelor,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-computing-in-computer-science,Identity Collected,Current First-Party Official Source Verified,Current NTU official undergraduate programme page confirms this full-time direct honours programme.
prog_sg_005,uni_sg_002,2,Bachelor of Computing (Hons) in Data Science and Artificial Intelligence,Bachelor,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-science-in-data-science-artificial-intelligence,Identity Collected,Current First-Party Official Source Verified,Current NTU official DSAI programme page confirms this 4-year undergraduate degree.
prog_sg_006,uni_sg_002,3,Bachelor of Engineering in Aerospace Engineering,Bachelor,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-engineering-in-aerospace-engineering,Identity Collected,Current First-Party Official Source Verified,Current NTU official Aerospace Engineering undergraduate page.
prog_sg_007,uni_sg_003,1,Bachelor of Business Management,Bachelor,https://business.smu.edu.sg/programmes/bachelor-business-management,Identity Collected,Current First-Party Official Source Verified,SMU Lee Kong Chian School of Business official Bachelor of Business Management programme page.
prog_sg_008,uni_sg_003,2,Bachelor of Science (Computer Science),Bachelor,https://computing.smu.edu.sg/bsc-computer-science,Identity Collected,Current First-Party Official Source Verified,SMU School of Computing and Information Systems current official Computer Science programme page.
prog_sg_009,uni_sg_003,3,Bachelor of Science (Economics),Bachelor,https://admissions.smu.edu.sg/programmes/school-economics/bachelor-science-economics-curriculum,Identity Collected,Current First-Party Official Source Verified,Current SMU official undergraduate Economics curriculum page.
prog_sg_010,uni_sg_004,1,Bachelor of Engineering (Computer Science and Design),Bachelor,https://www.sutd.edu.sg/education/undergraduate/majors/,Identity Collected,Current First-Party Official Source Verified,Current SUTD majors page lists Computer Science and Design as a Bachelor of Engineering programme.
prog_sg_011,uni_sg_004,2,Bachelor of Science (Design and Artificial Intelligence),Bachelor,https://www.sutd.edu.sg/education/undergraduate/majors/,Identity Collected,Current First-Party Official Source Verified,Current SUTD majors page lists Design and Artificial Intelligence as a Bachelor of Science programme.
prog_sg_012,uni_sg_004,3,Bachelor of Engineering (Engineering Product Development),Bachelor,https://www.sutd.edu.sg/education/undergraduate/majors/,Identity Collected,Current First-Party Official Source Verified,Current SUTD majors page lists Engineering Product Development as a Bachelor of Engineering programme.
prog_sg_013,uni_sg_005,1,Bachelor of Science with Honours in Applied Artificial Intelligence,Bachelor,https://www.singaporetech.edu.sg/undergraduate-programmes/applied-artificial-intelligence,Identity Collected,Current First-Party Official Source Verified,Current SIT programme page identifies this as a 3-year direct honours degree with AY2026/27 curriculum.
prog_sg_014,uni_sg_005,2,Bachelor of Engineering with Honours in Information and Communications Technology majoring in Software Engineering,Bachelor,https://www.singaporetech.edu.sg/undergraduate-programmes/information-and-communications-technology-software-engineering,Identity Collected,Current First-Party Official Source Verified,Current SIT Software Engineering programme page with AY2026/27 programme structure.
prog_sg_015,uni_sg_005,3,Bachelor of Engineering with Honours in Computer Engineering,Bachelor,https://www.singaporetech.edu.sg/undergraduate-programmes/computer-engineering,Identity Collected,Current First-Party Official Source Verified,Current SIT Computer Engineering programme page with AY2026/27 programme structure.
prog_sg_016,uni_sg_006,1,Bachelor of Science in Business Analytics,Bachelor,https://www.suss.edu.sg/programmes/detail/ft-bachelor-of-science-in-business-analytics,Identity Collected,Current First-Party Official Source Verified,Current SUSS full-time Business Analytics programme page.
prog_sg_017,uni_sg_006,2,Bachelor of Science in Finance,Bachelor,https://www.suss.edu.sg/programmes/detail/ft-bachelor-of-science-in-finance,Identity Collected,Current First-Party Official Source Verified,Current SUSS full-time Finance programme page.
prog_sg_018,uni_sg_006,3,Bachelor of Science in Information and Communication Technology,Bachelor,https://www.suss.edu.sg/programmes/detail/ft-bachelor-of-science-in-information-and-communication-technology,Identity Collected,Current First-Party Official Source Verified,Current SUSS full-time ICT programme page.
