program_id,university_id,program_slot,program_name,degree_level,official_source_url,collection_status,verification_status,research_notes
prog_tl_001,uni_tl_001,1,Licenciatura em Engenharia Inform?tica,Bachelor,https://fect.untl.edu.tl/home-tp.html,Identity Collected,Current First-Party + Government Verified,"Current UNTL Faculty of Engineering, Science and Technology page describes the Engenharia Informatica degree. Official 2025 government records also list Licenciatura em Engenharia Inform?tica."
prog_tl_002,uni_tl_001,2,Licenciatura em Engenharia Civil,Bachelor,https://fect.untl.edu.tl/home-tp.html,Identity Collected,Current First-Party + Government Verified,Current UNTL FECT page explicitly describes the Licenciatura em Engenharia Civil. Government records also corroborate the programme.
prog_tl_003,uni_tl_001,3,Licenciatura em Engenharia Mec?nica,Bachelor,https://fect.untl.edu.tl/home-tp.html,Identity Collected,Current First-Party + Government Verified,Current UNTL FECT page lists and describes Engenharia Mecanica. Official government programme records corroborate the degree.
prog_tl_004,uni_tl_002,1,Bachelor of Science (Honors) in Computer Science,Bachelor,https://dit.edu.tl/curriculum/Computer%20Science.pdf,Identity Collected,First-Party Curriculum + Government Verified,DIT official Computer Science curriculum provides the programme curriculum. Official government records identify the qualification as Bachelor of Science (Honors) in Computer Science.
prog_tl_005,uni_tl_002,2,Bachelor of Engineering (Honors) in Petroleum Engineering,Bachelor,https://mail.dit.edu.tl/curriculum/Petroleum%20Engineering.pdf,Identity Collected,First-Party Curriculum + Government Verified,DIT official Petroleum Engineering curriculum and official government graduation records support this degree.
prog_tl_006,uni_tl_002,3,Bachelor of Business (Honors) in Finance Management,Bachelor,https://www.dit.edu.tl/curriculum/Finance%20Management.pdf,Identity Collected,First-Party Curriculum + Government Verified,DIT official Finance Management curriculum is available. Government graduation records identify the degree as Bachelor of Business (Honors) in Finance Management.
prog_tl_007,uni_tl_003,1,Licenciatura em Administra??o P?blica,Bachelor,https://www.mj.gov.tl/jornal/public/docs/2025/serie_2/SERIE_II_NO_13.pdf,Identity Collected,Official Government Programme Verified,Official 2025 Timor-Leste government programme list identifies UNPAZ Administracao Publica at Licenciatura level. Current UNPAZ site confirms the relevant academic faculty structure.
prog_tl_008,uni_tl_003,2,Licenciatura em Rela??es Internacionais,Bachelor,https://www.mj.gov.tl/jornal/public/docs/2025/serie_2/SERIE_II_NO_13.pdf,Identity Collected,Official Government Programme Verified,Official 2025 government programme records list UNPAZ Rela??o Internacional at Licenciatura level.
prog_tl_009,uni_tl_003,3,Licenciatura em Constru??o Civil,Bachelor,https://www.mj.gov.tl/jornal/public/docs/2025/serie_2/SERIE_II_NO_13.pdf,Identity Collected,Official Government Programme Verified,Official 2025 government programme records list UNPAZ Constru??o Civil under the Faculty of Engineering at Licenciatura level.
prog_tl_010,uni_tl_004,1,Licenciatura em Engenharia Inform?tica e Computa??o,Bachelor,https://www.mj.gov.tl/jornal/public/docs/2025/serie_2/SERIE_II_NO_13.pdf,Identity Collected,Official Government + University Verified,2025 official government programme records list Engenharia Informatica e Computa??o at Licenciatura level. UNITAL current site continues to show the Faculty of Engineering.
prog_tl_011,uni_tl_004,2,Licenciatura em Gest?o,Bachelor,https://www.mj.gov.tl/jornal/public/docs/2025/serie_2/SERIE_II_NO_13.pdf,Identity Collected,Official Government + University Verified,2025 official government programme records list Gest?o under UNITAL Faculty of Economics at Licenciatura level.
prog_tl_012,uni_tl_004,3,Licenciatura em Direito,Bachelor,https://www.mj.gov.tl/jornal/public/docs/2025/serie_2/SERIE_II_NO_13.pdf,Identity Collected,Official Government + University Verified,Official programme records identify UNITAL Direito at Licenciatura level. UNITAL current site also lists the Faculty of Law.
prog_tl_013,uni_tl_005,1,Licenciatura em T?cnica Inform?tica,Bachelor,https://www.undil.tl/fakuldade.html,Identity Collected,Current First-Party + Government Verified,UNDIL official faculty/department page lists Departamentu Teknika Informatika as Lisensiatura. Programme title is normalised into Portuguese for the analytical dataset.
prog_tl_014,uni_tl_005,2,Licenciatura em Gest?o,Bachelor,https://www.undil.tl/fakuldade.html,Identity Collected,Current First-Party + Government Verified,UNDIL official page lists Departamentu Jestaun (Lisensiatura). Official government programme records corroborate Gest?o at Licenciatura level.
prog_tl_015,uni_tl_005,3,Licenciatura em Sa?de P?blica,Bachelor,https://www.undil.tl/fakuldade.html,Identity Collected,Current First-Party + Government Verified,UNDIL official faculty information lists Sa?de P?blica at Licenciatura level; government programme records corroborate it.
prog_tl_016,uni_tl_006,1,Licenciatura em Enfermagem,Bachelor,https://uct.edu.tl/en/faculdades/faculdade-ciencia-medicina/curso-enfermagem/,Identity Collected,Current First-Party + Accreditation Verified,UCT current Nursing Course page is available. Official 2025 accreditation confirms Curso de Enfermagem conferring Licenciado degree.
prog_tl_017,uni_tl_006,2,Licenciatura em Farm?cia,Bachelor,https://uct.edu.tl/en/faculdades/faculdade-ciencia-medicina/curso-farmacia/,Identity Collected,Current First-Party + Accreditation Verified,UCT current Pharmacy Course page is available. 2025 official accreditation confirms the Pharmacy degree at Licenciatura level.
prog_tl_018,uni_tl_006,3,Licenciatura em Medicina Geral,Bachelor,https://www.mj.gov.tl/jornal/public/docs/2025/serie_1/SERIE_I_NO_35.pdf,Identity Collected,Current University + Accreditation Verified,UCT current academic site lists General Medicine Course. Official 2025 institutional accreditation confirms Curso de Medicina Geral conferring the Licenciado degree.
