collection_slot,target_country_id,target_country_name,official_source_url,official_source_title,source_organisation,source_type,collection_status,verification_status,collected_on,verified_on,collector_notes,accommodation_support,age_limit,allowance_currency,application_cycle,application_deadline,application_opening_date,collected_at,content_hash,country_id,created_at,data_quality_status,database_updated_at,degree_levels,eligible_nationalities,fields_of_study,freshness_status,funding_type,gpa_scale,health_insurance,host_university_id,ielts_requirement,last_verified_at,minimum_gpa,monthly_allowance,official_website,provider_name,provider_type,required_documents,scholarship_id,scholarship_name,scholarship_status,source_url,toefl_requirement,travel_allowance,tuition_coverage
SCH_EXP_01,country_hk,Hong Kong,,,,,NOT_COLLECTED,NOT_VERIFIED,,,Target scholarship 1 for Hong Kong,,,,,,,,,country_hk,,,,,,,,,,,,,,,,,,,,,,,,,,
SCH_EXP_02,country_hk,Hong Kong,,,,,NOT_COLLECTED,NOT_VERIFIED,,,Target scholarship 2 for Hong Kong,,,,,,,,,country_hk,,,,,,,,,,,,,,,,,,,,,,,,,,
SCH_EXP_03,country_hk,Hong Kong,,,,,NOT_COLLECTED,NOT_VERIFIED,,,Target scholarship 3 for Hong Kong,,,,,,,,,country_hk,,,,,,,,,,,,,,,,,,,,,,,,,,
SCH_EXP_04,country_my,Malaysia,,,,,NOT_COLLECTED,NOT_VERIFIED,,,Target scholarship 1 for Malaysia,,,,,,,,,country_my,,,,,,,,,,,,,,,,,,,,,,,,,,
SCH_EXP_05,country_my,Malaysia,,,,,NOT_COLLECTED,NOT_VERIFIED,,,Target scholarship 2 for Malaysia,,,,,,,,,country_my,,,,,,,,,,,,,,,,,,,,,,,,,,
SCH_EXP_06,country_my,Malaysia,,,,,NOT_COLLECTED,NOT_VERIFIED,,,Target scholarship 3 for Malaysia,,,,,,,,,country_my,,,,,,,,,,,,,,,,,,,,,,,,,,
SCH_EXP_07,country_sg,Singapore,,,,,NOT_COLLECTED,NOT_VERIFIED,,,Target scholarship 1 for Singapore,,,,,,,,,country_sg,,,,,,,,,,,,,,,,,,,,,,,,,,
SCH_EXP_08,country_sg,Singapore,,,,,NOT_COLLECTED,NOT_VERIFIED,,,Target scholarship 2 for Singapore,,,,,,,,,country_sg,,,,,,,,,,,,,,,,,,,,,,,,,,
SCH_EXP_09,country_sg,Singapore,,,,,NOT_COLLECTED,NOT_VERIFIED,,,Target scholarship 3 for Singapore,,,,,,,,,country_sg,,,,,,,,,,,,,,,,,,,,,,,,,,
SCH_EXP_10,country_kr,South Korea,,,,,NOT_COLLECTED,NOT_VERIFIED,,,Target scholarship 1 for South Korea,,,,,,,,,country_kr,,,,,,,,,,,,,,,,,,,,,,,,,,
SCH_EXP_11,country_kr,South Korea,,,,,NOT_COLLECTED,NOT_VERIFIED,,,Target scholarship 2 for South Korea,,,,,,,,,country_kr,,,,,,,,,,,,,,,,,,,,,,,,,,
SCH_EXP_12,country_kr,South Korea,,,,,NOT_COLLECTED,NOT_VERIFIED,,,Target scholarship 3 for South Korea,,,,,,,,,country_kr,,,,,,,,,,,,,,,,,,,,,,,,,,
SCH_EXP_13,country_tw,Taiwan,,,,,NOT_COLLECTED,NOT_VERIFIED,,,Target scholarship 1 for Taiwan,,,,,,,,,country_tw,,,,,,,,,,,,,,,,,,,,,,,,,,
SCH_EXP_14,country_tw,Taiwan,,,,,NOT_COLLECTED,NOT_VERIFIED,,,Target scholarship 2 for Taiwan,,,,,,,,,country_tw,,,,,,,,,,,,,,,,,,,,,,,,,,
SCH_EXP_15,country_tw,Taiwan,,,,,NOT_COLLECTED,NOT_VERIFIED,,,Target scholarship 3 for Taiwan,,,,,,,,,country_tw,,,,,,,,,,,,,,,,,,,,,,,,,,
SCH_EXP_16,country_th,Thailand,,,,,NOT_COLLECTED,NOT_VERIFIED,,,Target scholarship 1 for Thailand,,,,,,,,,country_th,,,,,,,,,,,,,,,,,,,,,,,,,,
SCH_EXP_17,country_th,Thailand,,,,,NOT_COLLECTED,NOT_VERIFIED,,,Target scholarship 2 for Thailand,,,,,,,,,country_th,,,,,,,,,,,,,,,,,,,,,,,,,,
SCH_EXP_18,country_th,Thailand,,,,,NOT_COLLECTED,NOT_VERIFIED,,,Target scholarship 3 for Thailand,,,,,,,,,country_th,,,,,,,,,,,,,,,,,,,,,,,,,,
