program_id,university_id,program_name,field_of_study,degree_level,duration_years,study_mode,language_of_instruction,tuition_fee,tuition_currency,tuition_period,tuition_academic_year,tuition_student_scope,tuition_source_url,tuition_last_verified_at,tuition_note,minimum_gpa,gpa_scale,ielts_requirement,toefl_requirement,intake,application_deadline,program_url,collected_at,last_verified_at,freshness_status
prog_bn_001,uni_bn_001,Bachelor of Engineering (Honours),Engineering,Bachelor,4,Full-time,English,,,,,,https://ubd.edu.bn/admission/undergraduate/undergraduate-why-ubd/gennext-degree-programme/undergraduate-fees-funding/,2026-08-20,"Official UBD fee page lists a fee for the 4-year Bachelor of Engineering, but the current billing-period wording requires manual review before storing a numeric fee.",,,6.0,,,,https://ubd.edu.bn/programme/bachelor-of-engineering/,2026-08-20,2026-08-20,current
prog_bn_002,uni_bn_001,Bachelor of Science (Honours) in Finance (Data Analytics),Finance & Data Analytics,Bachelor,3,Full-time,English,,,,,,https://ubd.edu.bn/admission/undergraduate/undergraduate-why-ubd/gennext-degree-programme/undergraduate-fees-funding/,2026-08-20,"Current GenBESTARI fee category exists, but programme-specific fee-period mapping will be reviewed separately.",,,6.0,60,,,https://ubd.edu.bn/programme/bachelor-of-science-finance/,2026-08-20,2026-08-20,current
prog_bn_003,uni_bn_001,Bachelor of Health Science (Nursing) (Honours),Nursing & Health Sciences,Bachelor,3,Full-time,English,,,,,,https://ubd.edu.bn/admission/undergraduate/undergraduate-why-ubd/gennext-degree-programme/undergraduate-fees-funding/,2026-08-20,Standard 3-year Nursing route used. UBD also documents a 2-year articulated route for qualified applicants. Tuition period interpretation will be reviewed separately.,,,6.0,,,,https://ubd.edu.bn/programme/bachelor-of-health-science-major-in-nursing/,2026-08-20,2026-08-20,current
prog_bn_004,uni_bn_002,Bachelor of Science (Hons) in Computing (Major in Software Development / Major in Data Analytics),Computer Science & Data Analytics,Bachelor,3,Full-time,English,24000,BND,Total,,International Students,https://www.utb.edu.bn/admissions/future-students/university-fees/undergraduate-tuition-fees/,2026-08-20,Official UTB international fee per programme for full-time Computing.,,,6.0,,,,https://www.utb.edu.bn/academics/school-of-computing-and-informatics/undergraduate-programmes/computer-information-systems-cis/courses/bachelor-of-science-hons-in-computing-major-in-software-development-major-in-data-analytics-full-time/,2026-08-20,2026-08-20,current
prog_bn_005,uni_bn_002,Bachelor of Engineering (Honours) in Civil Engineering,Civil Engineering,Bachelor,4,Full-time,English,40000,BND,Total,,International Students,https://www.utb.edu.bn/admissions/future-students/university-fees/undergraduate-tuition-fees/,2026-08-20,Official UTB international fee per programme for full-time Civil Engineering.,,,6.0,80,,,https://www.utb.edu.bn/academics/faculty-of-engineering/undergraduate-programmes/civil-engineering-programme-area/bachelor-of-engineering-honours-in-civil-engineering/,2026-08-20,2026-08-20,current
prog_bn_006,uni_bn_002,Bachelor of Business (Honours) (Major in Applied Economics and Finance),Economics & Finance,Bachelor,3,Full-time,English,24000,BND,Total,,International Students,https://www.utb.edu.bn/admissions/future-students/university-fees/undergraduate-tuition-fees/,2026-08-20,Official UTB international fee per programme for full-time Applied Economics and Finance.,,,6.0,80,,,https://www.utb.edu.bn/academics/utb-school-of-business/undergraduate-programmes/economics/bachelor-of-business-honours-major-in-applied-economics-and-finance/,2026-08-20,2026-08-20,current
prog_bn_007,uni_bn_003,Bachelor in Islamic Data Science,Data Science & Islamic Studies,Bachelor,3,Full-time,English,12000,BND,Total,,Programme Fee,https://unissa.edu.bn/programmes/fit-bachelor-in-islamic-data-science/,2026-08-20,"Official programme page states BND12,000 total, payable as BND4,000 annually.",,,6.0,,August,,https://unissa.edu.bn/programmes/fit-bachelor-in-islamic-data-science/,2026-08-20,2026-08-20,current
prog_bn_008,uni_bn_003,Bachelor of Laws (LLB) and Bachelor of Shariah Law (BSL),Law & Shariah Law,Bachelor,5,Full-time,English,3000,BND,Annual,,Programme Fee,https://unissa.edu.bn/programmes/bachelor-of-laws-llb-and-bachelor-of-shariah-law-bsl/,2026-08-20,"Official UNISSA programme page states BND3,000 per year.",,,6.0,,August,,https://unissa.edu.bn/programmes/bachelor-of-laws-llb-and-bachelor-of-shariah-law-bsl/,2026-08-20,2026-08-20,current
prog_bn_009,uni_bn_003,Bachelor of Science in Agriculture (Aquaculture),Agriculture & Aquaculture,Bachelor,3,Full-time,English,12000,BND,Total,,Programme Fee,https://unissa.edu.bn/programmes/foa-bachelor-of-science-in-agriculture-aquaculture/,2026-08-20,"Official UNISSA programme page states BND12,000 programme fee.",,,6.0,,August,,https://unissa.edu.bn/programmes/foa-bachelor-of-science-in-agriculture-aquaculture/,2026-08-20,2026-08-20,current
prog_bn_010,uni_bn_004,Sarjana Muda Perguruan Ugama (Pendidikan Islam) - dengan Minor,Islamic Education,Bachelor,4,Full-time,Malay,3000,BND,Annual,,Programme Fee,https://www.kupu-sb.edu.bn/yuran-program/,2026-08-20,"KUPU SB official fee page lists BND3,000 per year for bachelor's degree.",,,,,,,https://www.kupu-sb.edu.bn/ijazah-sarjana-muda/,2026-08-20,2026-08-20,current
prog_bn_011,uni_bn_004,Sarjana Perguruan Ugama (Usuluddin) secara Penyelidikan,Islamic Studies - Usuluddin,Master,2,Full-time,Malay,3000,BND,Total,,Programme Fee,https://www.kupu-sb.edu.bn/ijazah-sarjana/,2026-08-20,"Official KUPU SB page states BND3,000 per programme. Duration is minimum 2 years full-time; maximum 3.",,,,,"January, August",,https://www.kupu-sb.edu.bn/ijazah-sarjana/,2026-08-20,2026-08-20,current
prog_bn_012,uni_bn_004,Sarjana Perguruan Ugama (Syariah) secara Penyelidikan,Shariah,Master,2,Full-time,Malay,3000,BND,Total,,Programme Fee,https://www.kupu-sb.edu.bn/ijazah-sarjana/,2026-08-20,"Official KUPU SB page states BND3,000 per programme. Duration is minimum 2 years full-time; maximum 3.",,,,,"January, August",,https://www.kupu-sb.edu.bn/ijazah-sarjana/,2026-08-20,2026-08-20,current
