program_id,university_id,program_name,field_of_study,degree_level,duration_years,study_mode,language_of_instruction,tuition_fee,tuition_currency,tuition_period,tuition_academic_year,tuition_student_scope,tuition_source_url,tuition_last_verified_at,tuition_note,minimum_gpa,gpa_scale,ielts_requirement,toefl_requirement,intake,application_deadline,program_url,collected_at,last_verified_at,freshness_status
prog_la_001,uni_la_001,Bachelor of Science Program in Computer Science,Computer Science,Bachelor,,,Unknown,,,,,,,,,,,,,,,https://fns.nuol.edu.la/home/index.php/en/department-en/computer-science-en,2026-08-20,2026-08-20,current
prog_la_002,uni_la_001,Bachelor of Business Administration in Business Management,Business & Management,Bachelor,,,Unknown,,,,,,,,,,,,,,,https://www.nuol.edu.la/index.php/en/2022-05-05-02-51-36/2022-05-05-02-59-24,2026-08-20,2026-08-20,current
prog_la_003,uni_la_001,Bachelor of Economics Program in Development and Planning Economics,Economics & Development Planning,Bachelor,,,Unknown,,,,,,,,,,,,,,,https://www.nuol.edu.la/index.php/en/2022-05-05-02-51-36/2022-05-05-02-59-24,2026-08-20,2026-08-20,current
prog_la_004,uni_la_003,Bachelor of Pharmacy Program in Pharmaceutical Care,Pharmacy - Pharmaceutical Care,Bachelor,,,Unknown,,,,,,,,,,,,,,,https://pharmacy.uhs.edu.la/?page_id=484,2026-08-20,2026-08-20,current
prog_la_005,uni_la_003,Bachelor of Pharmacy Program in Pharmaceutical Sciences,Pharmacy - Pharmaceutical Sciences,Bachelor,,,Unknown,,,,,,,,,,,,,,,https://pharmacy.uhs.edu.la/?page_id=484,2026-08-20,2026-08-20,current
prog_la_006,uni_la_003,Bachelor of Pharmacy Program in Lao Traditional Medicines,Pharmacy - Traditional Medicines,Bachelor,,,Unknown,,,,,,,,,,,,,,,https://pharmacy.uhs.edu.la/?page_id=484,2026-08-20,2026-08-20,current
prog_la_007,uni_la_004,Bachelor of Commerce Management,Commerce & Business,Bachelor,,,Unknown,,,,,,,,,,,,,,,https://sku.edu.la/study/undergraduate/faculties/business-administration,2026-08-20,2026-08-20,current
prog_la_008,uni_la_004,Bachelor of Science in Mathematics,Mathematics,Bachelor,,,Unknown,,,,,,,,,,,,,,,https://sku.edu.la/study/undergraduate/faculties/natural-science,2026-08-20,2026-08-20,current
prog_la_009,uni_la_004,Bachelor of Arts Program in English Language,English Language,Bachelor,,,Unknown,,,,,,,,,,,,,,,https://sku.edu.la/study/undergraduate/faculties/linguistics-and-humanity,2026-08-20,2026-08-20,current
prog_la_010,uni_la_005,Bachelor's Program in Crop Production,Crop Production & Agriculture,Bachelor,4,,Unknown,,,,,,,,,,,,,,,https://www.cu.edu.la/facuty/5-5-22,2026-08-20,2026-08-20,unknown
prog_la_011,uni_la_005,Bachelor's Program in Veterinary Science,Veterinary Science,Bachelor,5,,Unknown,,,,,,,,,,,,,,,https://www.cu.edu.la/facuty/5-5-22,2026-08-20,2026-08-20,unknown
prog_la_012,uni_la_005,Master's Program in Sustainable Agriculture,Sustainable Agriculture,Master,2,,Unknown,,,,,,,,,,,,,,,https://www.cu.edu.la/facuty/5-5-22,2026-08-20,2026-08-20,unknown
prog_la_013,uni_la_002,Electrical Engineering,Electrical Engineering,Bachelor,,,Unknown,,,,,,,,,,,,,,,https://www.iro-su.edu.la/graduate-profiles-report/,2026-08-20,2026-08-20,current
prog_la_014,uni_la_002,Veterinary Medicine,Veterinary Medicine,Bachelor,,,Unknown,,,,,,,,,,,,,,,https://www.iro-su.edu.la/graduate-profiles-report/,2026-08-20,2026-08-20,current
prog_la_015,uni_la_002,English Language,English Language,Bachelor,,,Unknown,,,,,,,,,,,,,,,https://www.iro-su.edu.la/graduate-profiles-report/,2026-08-20,2026-08-20,current
