program_id,university_id,program_name,field_of_study,degree_level,duration_years,study_mode,language_of_instruction,tuition_fee,tuition_currency,tuition_period,tuition_academic_year,tuition_student_scope,tuition_source_url,tuition_last_verified_at,tuition_note,minimum_gpa,gpa_scale,ielts_requirement,toefl_requirement,intake,application_deadline,program_url,collected_at,last_verified_at,freshness_status
prog_sg_001,uni_sg_001,Bachelor of Computing in Computer Science,Computer Science,Bachelor,4,Full-time,English,,,,,,,,,,,,,,,https://www.nus.edu.sg/nusbulletin/ay202627/programmes/school-of-computing/undergraduate-education/,2026-08-20,2026-08-20,current
prog_sg_002,uni_sg_001,Bachelor of Science in Business Analytics,Business Analytics,Bachelor,4,Full-time,English,,,,,,,,,,,,,,,https://www.comp.nus.edu.sg/programmes/ug/ba/,2026-08-20,2026-08-20,current
prog_sg_003,uni_sg_001,Bachelor of Business Administration,Business & Management,Bachelor,4,Full-time,English,,,,,,,,,,,,,,,https://bba.nus.edu.sg/curriculum-ay2026-2027-onwards/,2026-08-20,2026-08-20,current
prog_sg_004,uni_sg_002,Bachelor of Computing (Hons) in Computer Science,Computer Science,Bachelor,4,Full-time,English,,,,,,,,,,,,,,,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-computing-in-computer-science,2026-08-20,2026-08-20,current
prog_sg_005,uni_sg_002,Bachelor of Computing (Hons) in Data Science and Artificial Intelligence,Data Science & Artificial Intelligence,Bachelor,4,Full-time,English,,,,,,,,,,,,,,,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-science-in-data-science-artificial-intelligence,2026-08-20,2026-08-20,current
prog_sg_006,uni_sg_002,Bachelor of Engineering in Aerospace Engineering,Aerospace Engineering,Bachelor,4,Full-time,English,,,,,,,,,,,,,,,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-engineering-in-aerospace-engineering,2026-08-20,2026-08-20,current
prog_sg_007,uni_sg_003,Bachelor of Business Management,Business & Management,Bachelor,4,Full-time,English,,,,,,,,,,,,,,,https://business.smu.edu.sg/programmes/bachelor-business-management,2026-08-20,2026-08-20,current
prog_sg_008,uni_sg_003,Bachelor of Science (Computer Science),Computer Science,Bachelor,4,Full-time,English,,,,,,,,,,,,,,,https://computing.smu.edu.sg/bsc-computer-science,2026-08-20,2026-08-20,current
prog_sg_009,uni_sg_003,Bachelor of Science (Economics),Economics,Bachelor,4,Full-time,English,,,,,,,,,,,,,,,https://admissions.smu.edu.sg/programmes/school-economics/bachelor-science-economics-curriculum,2026-08-20,2026-08-20,current
prog_sg_010,uni_sg_004,Bachelor of Engineering (Computer Science and Design),Computer Science & Design,Bachelor,3.5,Full-time,Unknown,,,,,,,,,,,,,,,https://www.sutd.edu.sg/education/undergraduate/majors/,2026-08-20,2026-08-20,current
prog_sg_011,uni_sg_004,Bachelor of Science (Design and Artificial Intelligence),Design & Artificial Intelligence,Bachelor,3.5,Full-time,Unknown,,,,,,,,,,,,,,,https://www.sutd.edu.sg/education/undergraduate/majors/,2026-08-20,2026-08-20,current
prog_sg_012,uni_sg_004,Bachelor of Engineering (Engineering Product Development),Engineering Product Development,Bachelor,3.5,Full-time,Unknown,,,,,,,,,,,,,,,https://www.sutd.edu.sg/education/undergraduate/majors/,2026-08-20,2026-08-20,current
prog_sg_013,uni_sg_005,Bachelor of Science with Honours in Applied Artificial Intelligence,Artificial Intelligence,Bachelor,3,Full-time,Unknown,64746,SGD,Total,2026,International Student - subsidised,https://www.singaporetech.edu.sg/undergraduate-programmes/applied-artificial-intelligence,2026-08-20,"Current official SIT programme page lists total subsidised tuition of SGD 64,746 for an International Student. Non-subsidised fee is intentionally not used.",,,,,31 August 2026,2026-03-19,https://www.singaporetech.edu.sg/undergraduate-programmes/applied-artificial-intelligence,2026-08-20,2026-08-20,current
prog_sg_014,uni_sg_005,Bachelor of Engineering with Honours in Information and Communications Technology majoring in Software Engineering,Software Engineering,Bachelor,4,Full-time,Unknown,86328,SGD,Total,2026,International Student - subsidised,https://www.singaporetech.edu.sg/undergraduate-programmes/information-and-communications-technology-software-engineering,2026-08-20,"Current official SIT programme page lists total subsidised tuition of SGD 86,328 for an International Student. Non-subsidised fee is intentionally not used.",,,,,31 August 2026,2026-03-19,https://www.singaporetech.edu.sg/undergraduate-programmes/information-and-communications-technology-software-engineering,2026-08-20,2026-08-20,current
prog_sg_015,uni_sg_005,Bachelor of Engineering with Honours in Computer Engineering,Computer Engineering,Bachelor,2.67,Full-time,Unknown,64746,SGD,Total,2026,International Student - subsidised,https://www.singaporetech.edu.sg/undergraduate-programmes/computer-engineering,2026-08-20,"Current official SIT programme page lists total subsidised tuition of SGD 64,746 for an International Student. Official programme duration is 2 years 8 months; stored numerically as approximately 2.67 years.",,,,,31 August 2026,2026-03-19,https://www.singaporetech.edu.sg/undergraduate-programmes/computer-engineering,2026-08-20,2026-08-20,current
prog_sg_016,uni_sg_006,Bachelor of Science in Business Analytics,Business Analytics,Bachelor,4,Full-time,English,,,,,,,,,,,,,,,https://www.suss.edu.sg/programmes/detail/ft-bachelor-of-science-in-business-analytics,2026-08-20,2026-08-20,current
prog_sg_017,uni_sg_006,Bachelor of Science in Finance,Finance,Bachelor,4,Full-time,English,,,,,,,,,,,,,,,https://www.suss.edu.sg/programmes/detail/ft-bachelor-of-science-in-finance,2026-08-20,2026-08-20,current
prog_sg_018,uni_sg_006,Bachelor of Science in Information and Communication Technology,Information & Communication Technology,Bachelor,4,Full-time,English,,,,,,,,,,,,,,,https://www.suss.edu.sg/programmes/detail/ft-bachelor-of-science-in-information-and-communication-technology,2026-08-20,2026-08-20,current
