program_id,university_id,program_name,field_of_study,degree_level,duration_years,study_mode,language_of_instruction,tuition_fee,tuition_currency,tuition_period,tuition_academic_year,tuition_student_scope,tuition_source_url,tuition_last_verified_at,tuition_note,minimum_gpa,gpa_scale,ielts_requirement,toefl_requirement,intake,application_deadline,program_url,collected_at,last_verified_at,freshness_status
prog_tl_001,uni_tl_001,Licenciatura em Engenharia Inform?tica,Computer Engineering,Bachelor,,,Unknown,,,,,,,,,,,,,,,https://fect.untl.edu.tl/home-tp.html,2026-08-20,2026-08-20,current
prog_tl_002,uni_tl_001,Licenciatura em Engenharia Civil,Civil Engineering,Bachelor,4,,Unknown,,,,,,,,,,,,,,,https://fect.untl.edu.tl/home-tp.html,2026-08-20,2026-08-20,current
prog_tl_003,uni_tl_001,Licenciatura em Engenharia Mec?nica,Mechanical Engineering,Bachelor,,,Unknown,,,,,,,,,,,,,,,https://fect.untl.edu.tl/home-tp.html,2026-08-20,2026-08-20,current
prog_tl_004,uni_tl_002,Bachelor of Science (Honors) in Computer Science,Computer Science,Bachelor,4,,Unknown,,,,,,,,,,,,,,,https://dit.edu.tl/curriculum/Computer%20Science.pdf,2026-08-20,2026-08-20,current
prog_tl_005,uni_tl_002,Bachelor of Engineering (Honors) in Petroleum Engineering,Petroleum Engineering,Bachelor,4,,Unknown,,,,,,,,,,,,,,,https://mail.dit.edu.tl/curriculum/Petroleum%20Engineering.pdf,2026-08-20,2026-08-20,current
prog_tl_006,uni_tl_002,Bachelor of Business (Honors) in Finance Management,Finance & Management,Bachelor,4,,Unknown,,,,,,,,,,,,,,,https://www.dit.edu.tl/curriculum/Finance%20Management.pdf,2026-08-20,2026-08-20,current
prog_tl_007,uni_tl_003,Licenciatura em Administra??o P?blica,Public Administration,Bachelor,,,Unknown,,,,,,,,,,,,,,,https://www.mj.gov.tl/jornal/public/docs/2025/serie_2/SERIE_II_NO_13.pdf,2026-08-20,2026-08-20,current
prog_tl_008,uni_tl_003,Licenciatura em Rela??es Internacionais,International Relations,Bachelor,,,Unknown,,,,,,,,,,,,,,,https://www.mj.gov.tl/jornal/public/docs/2025/serie_2/SERIE_II_NO_13.pdf,2026-08-20,2026-08-20,current
prog_tl_009,uni_tl_003,Licenciatura em Constru??o Civil,Civil Construction,Bachelor,,,Unknown,,,,,,,,,,,,,,,https://www.mj.gov.tl/jornal/public/docs/2025/serie_2/SERIE_II_NO_13.pdf,2026-08-20,2026-08-20,current
prog_tl_010,uni_tl_004,Licenciatura em Engenharia Inform?tica e Computa??o,Computer Engineering & Computing,Bachelor,4,,Unknown,,,,,,,,,,,,,,,https://www.mj.gov.tl/jornal/public/docs/2025/serie_2/SERIE_II_NO_13.pdf,2026-08-20,2026-08-20,current
prog_tl_011,uni_tl_004,Licenciatura em Gest?o,Management,Bachelor,,,Unknown,,,,,,,,,,,,,,,https://www.mj.gov.tl/jornal/public/docs/2025/serie_2/SERIE_II_NO_13.pdf,2026-08-20,2026-08-20,current
prog_tl_012,uni_tl_004,Licenciatura em Direito,Law,Bachelor,,,Unknown,,,,,,,,,,,,,,,https://www.mj.gov.tl/jornal/public/docs/2025/serie_2/SERIE_II_NO_13.pdf,2026-08-20,2026-08-20,current
prog_tl_013,uni_tl_005,Licenciatura em T?cnica Inform?tica,Information Technology,Bachelor,,,Unknown,,,,,,,,,,,,,,,https://www.undil.tl/fakuldade.html,2026-08-20,2026-08-20,current
prog_tl_014,uni_tl_005,Licenciatura em Gest?o,Management,Bachelor,,,Unknown,,,,,,,,,,,,,,,https://www.undil.tl/fakuldade.html,2026-08-20,2026-08-20,current
prog_tl_015,uni_tl_005,Licenciatura em Sa?de P?blica,Public Health,Bachelor,,,Unknown,,,,,,,,,,,,,,,https://www.undil.tl/fakuldade.html,2026-08-20,2026-08-20,current
prog_tl_016,uni_tl_006,Licenciatura em Enfermagem,Nursing,Bachelor,,,Unknown,,,,,,,,,,,,,,,https://uct.edu.tl/en/faculdades/faculdade-ciencia-medicina/curso-enfermagem/,2026-08-20,2026-08-20,current
prog_tl_017,uni_tl_006,Licenciatura em Farm?cia,Pharmacy,Bachelor,,,Unknown,,,,,,,,,,,,,,,https://uct.edu.tl/en/faculdades/faculdade-ciencia-medicina/curso-farmacia/,2026-08-20,2026-08-20,current
prog_tl_018,uni_tl_006,Licenciatura em Medicina Geral,General Medicine,Bachelor,,,Unknown,,,,,,,,,,,,,,,https://www.mj.gov.tl/jornal/public/docs/2025/serie_1/SERIE_I_NO_35.pdf,2026-08-20,2026-08-20,current
