program_id,university_id,program_name,field_of_study,degree_level,duration_years,study_mode,language_of_instruction,tuition_fee,tuition_currency,tuition_period,tuition_academic_year,tuition_student_scope,tuition_source_url,tuition_last_verified_at,tuition_note,minimum_gpa,gpa_scale,ielts_requirement,toefl_requirement,intake,application_deadline,program_url,collected_at,last_verified_at,freshness_status
prog_kh_001,uni_kh_001,Bachelor of Computer Science and Engineering,Computer Science and Engineering,Bachelor,4,,Unknown,,,,,,,,,,,,,,,https://www.rupp.edu.kh/academics/faculties_and_institutes/faculty_of_science/department_of_computer_science,2026-08-20,2026-08-20,current
prog_kh_002,uni_kh_001,Bachelor of Arts in English,English,Bachelor,,,Unknown,,,,,,,,,,,,,,,https://www.rupp.edu.kh/index.php/student_life,2026-08-20,2026-08-20,current
prog_kh_003,uni_kh_001,Bachelor of Science in Chemistry,Chemistry,Bachelor,,,Unknown,,,,,,,,,,,,,,,https://www.rupp.edu.kh/index.php/student_life,2026-08-20,2026-08-20,current
prog_kh_004,uni_kh_002,Master of Computer Science,Computer Science,Master,,,Unknown,,,,,,,,,,,,,,,https://itc.edu.kh/wp-content/uploads/2025/03/Consortium_2025_Report_Activity_En.pdf,2026-08-20,2026-08-20,current
prog_kh_005,uni_kh_002,"Master of Mechatronics, Information and Communication Engineering","Mechatronics, Information and Communication Engineering",Master,,,Unknown,,,,,,,,,,,,,,,https://itc.edu.kh/wp-content/uploads/2025/03/Consortium_2025_Report_Activity_En.pdf,2026-08-20,2026-08-20,current
prog_kh_006,uni_kh_002,Master of Data Science,Data Science,Master,,,Unknown,,,,,,,,,,,,,,,https://itc.edu.kh/wp-content/uploads/2025/03/Consortium_2025_Report_Activity_En.pdf,2026-08-20,2026-08-20,current
prog_kh_007,uni_kh_003,Bachelor of Science in Veterinary Medicine,Veterinary Medicine,Bachelor,,,Unknown,,,,,,,,,,,,,,,https://www.rua.edu.kh/menus/21?childId=69&pageId=26,2026-08-20,2026-08-20,current
prog_kh_008,uni_kh_003,Bachelor of Science in Agricultural Biosystems Engineering,Agricultural Biosystems Engineering,Bachelor,,,Unknown,,,,,,,,,,,,,,,https://www.rua.edu.kh/menus/21?childId=194&pageId=26,2026-08-20,2026-08-20,current
prog_kh_009,uni_kh_003,Economics and Management,Economics and Management,Bachelor,,,Unknown,,,,,,,,,,,,,,,https://www.rua.edu.kh/faculties/162?page=248,2026-08-20,2026-08-20,current
prog_kh_010,uni_kh_004,Master of Public Health,Public Health,Master,2,,Unknown,,,,,,,,,,,,,,,https://uhs.edu.kh/announcement/,2026-08-20,2026-08-20,current
prog_kh_011,uni_kh_004,Master of Science in Epidemiology,Epidemiology,Master,2,,Unknown,,,,,,,,,,,,,,,https://uhs.edu.kh/announcement/,2026-08-20,2026-08-20,current
prog_kh_012,uni_kh_004,Master of Infectiology (International Program),Infectious Diseases,Master,2,,Unknown,,,,,,,,,,,,,,,https://uhs.edu.kh/registrar/new_pdf/1732675365_UHS%20Prospectus%202023_B_14112023_1400.pdf,2026-08-20,2026-08-20,unknown
prog_kh_013,uni_kh_005,Bachelor of Arts in English,English,Bachelor,4,,Unknown,,,,,,,,,,,,,,,https://numuniversity.com/foreign-languages-num/,2026-08-20,2026-08-20,current
prog_kh_014,uni_kh_005,Bachelor of Arts in International Relations,International Relations,Bachelor,,,Unknown,,,,,,,,,,,,,,,https://numuniversity.com/4411-2/,2026-08-20,2026-08-20,current
prog_kh_015,uni_kh_005,Master of Business Law,Business Law,Master,,,Unknown,,,,,,,,,,,,,,,https://numuniversity.com/master-of-business-law-2/,2026-08-20,2026-08-20,current
prog_kh_016,uni_kh_006,Bachelor of Laws (National Program),Law,Bachelor,,,Unknown,,,,,,,,,,,,,,,https://rule.edu.kh/wp-content/uploads/2024/08/University-Prospectus-2024-Small.pdf,2026-08-20,2026-08-20,unknown
prog_kh_017,uni_kh_006,English Language-Based Bachelor of Law,Law,Bachelor,3,,English,1000,USD,Annual,,,https://elbbl.rule.edu.kh/kh/admission-elbbl/,2026-08-20,"Official ELBBL page publishes USD 1,000 per year or USD 520 per semester.",,,,,,,https://elbbl.rule.edu.kh/en/admission-elbbl/,2026-08-20,2026-08-20,current
prog_kh_018,uni_kh_006,English Language-Based Master of Law,Law,Master,2,,English,1500,USD,Annual,,,https://elbbl.rule.edu.kh/en/elbml/,2026-08-20,"Official ELBML page publishes USD 1,500 per year or USD 775 per semester.",,,6.0,70,,,https://elbbl.rule.edu.kh/en/elbml/,2026-08-20,2026-08-20,current
prog_kh_019,uni_kh_007,Bachelor of Business Administration,Business Administration,Bachelor,4,,Unknown,,,,,,,,,,,,,,,https://nubb.edu.kh/en/bachelor-degree/,2026-08-20,2026-08-20,current
prog_kh_020,uni_kh_007,Bachelor of Information Technology,Information Technology,Bachelor,4,,Unknown,,,,,,,,,,,,,,,https://nubb.edu.kh/en/bachelor-degree/,2026-08-20,2026-08-20,current
prog_kh_021,uni_kh_007,Bachelor of Civil Engineering,Civil Engineering,Bachelor,5,,Unknown,,,,,,,,,,,,,,,https://nubb.edu.kh/en/bachelor-degree/,2026-08-20,2026-08-20,current
prog_kh_022,uni_kh_008,Bachelor of Science in Mechanical Engineering with Industrial Engineering,Mechanical and Industrial Engineering,Bachelor,,,Unknown,,,,,,,,,,,,,,,https://sru.edu.kh/me_eae/,2026-08-20,2026-08-20,current
prog_kh_023,uni_kh_008,Bachelor of Science in Agronomy,Agronomy,Bachelor,,,Unknown,,,,,,,,,,,,,,,https://archive.sru.edu.kh/?article=166&lg=en&menu1=166&page=detail,2026-08-20,2026-08-20,unknown
prog_kh_024,uni_kh_008,Bachelor of Science in Rural Development,Rural Development,Bachelor,,,Unknown,,,,,,,,,,,,,,,https://archive.sru.edu.kh/?article=166&lg=en&menu1=166&page=detail,2026-08-20,2026-08-20,unknown
prog_kh_025,uni_kh_009,Bachelor of Science in Computer Science,Computer Science,Bachelor,,,Unknown,,,,,,,,,,,,,,,https://www.nuck.edu.kh/public/Faculty_of_Science_and_Mathematics/information-technology/?lang=en,2026-08-20,2026-08-20,current
prog_kh_026,uni_kh_009,Bachelor of Public Administration,Public Administration,Bachelor,,,Unknown,,,,,,,,,,,,,,,https://nuck.edu.kh/public/Faculty_of_social_science/Public_Administrations/?lang=en,2026-08-20,2026-08-20,current
prog_kh_027,uni_kh_009,Bachelor of Laws,Law,Bachelor,,,Unknown,,,,,,,,,,,,,,,https://nuck.edu.kh/public/Faculty_of_social_science/Law/,2026-08-20,2026-08-20,current
prog_kh_034,uni_kh_012,Bachelor of Science in Artificial Intelligence,Artificial Intelligence,Bachelor,,,Unknown,,,,,,,,,,,,,,,https://www.aupp.edu.kh/faculty-of-digital-technologies/bachelor-of-science-in-ai/,2026-08-20,2026-08-20,current
prog_kh_035,uni_kh_012,Bachelor of Arts in International Relations and Diplomacy,International Relations and Diplomacy,Bachelor,4,,Unknown,,,,,,,,,,,,,,,https://www.aupp.edu.kh/faculty-of-social-sciences/bachelor-of-arts-in-international-relations-and-diplomacy/bachelor-of-arts-in-international-relations-and-diplomacy-single-degree/,2026-08-20,2026-08-20,current
prog_kh_036,uni_kh_012,Bachelor of Arts in Law,Law,Bachelor,,,Unknown,,,,,,,,,,,,,,,https://www.aupp.edu.kh/faculty-of-law/bachelor-of-arts-in-law/law-single-degree/,2026-08-20,2026-08-20,current
prog_kh_037,uni_kh_013,Bachelor of Science in Computer Science,Computer Science,Bachelor,4,,Unknown,,,,,,,,,,,,,,,https://www.puc.edu.kh/majors/undergraduate-program/computer-science-b-sc-in-cs/,2026-08-20,2026-08-20,current
prog_kh_038,uni_kh_013,Bachelor of Science in Cybersecurity,Cybersecurity,Bachelor,4,,Unknown,,,,,,,,,,,,,,,https://www.puc.edu.kh/majors/undergraduate-program/cybersecurity-b-sc-in-cyber/,2026-08-20,2026-08-20,current
prog_kh_039,uni_kh_013,Bachelor of Arts in International Relations,International Relations,Bachelor,4,,Unknown,,,,,,,,,,,,,,,https://www.puc.edu.kh/majors/undergraduate-program/international-relations-ba-in-international-relations/,2026-08-20,2026-08-20,current
prog_kh_040,uni_kh_014,Computer Science,Computer Science,Bachelor,,,Unknown,,,,,,,,,,,,,,,https://cost.uc.edu.kh/ucs-Service-5-12,2026-08-20,2026-08-20,current
prog_kh_041,uni_kh_014,Information Technology,Information Technology,Bachelor,,,Unknown,,,,,,,,,,,,,,,https://cost.uc.edu.kh/ucs-Service-5-12,2026-08-20,2026-08-20,current
prog_kh_042,uni_kh_014,Electronics and Telecommunications,Electronics and Telecommunications,Bachelor,,,Unknown,,,,,,,,,,,,,,,https://cost.uc.edu.kh/ucs-Service-5-12,2026-08-20,2026-08-20,current
prog_kh_043,uni_kh_015,Accounting,Accounting,Bachelor,,,Unknown,,,,,,,,,,,,,,,https://enrollment.bbu.edu.kh/Home/About,2026-08-20,2026-08-20,current
prog_kh_044,uni_kh_015,Network Design and Programming,Network Design and Programming,Bachelor,,,Unknown,,,,,,,,,,,,,,,https://enrollment.bbu.edu.kh/Home/About,2026-08-20,2026-08-20,current
prog_kh_045,uni_kh_015,Public Law,Public Law,Bachelor,,,Unknown,,,,,,,,,,,,,,,https://enrollment.bbu.edu.kh/Home/About,2026-08-20,2026-08-20,current
