program_id,university_id,program_name,field_of_study,degree_level,duration_years,study_mode,language_of_instruction,tuition_fee,tuition_currency,tuition_period,tuition_academic_year,tuition_student_scope,tuition_source_url,tuition_last_verified_at,tuition_note,minimum_gpa,gpa_scale,ielts_requirement,toefl_requirement,intake,application_deadline,program_url,collected_at,last_verified_at,freshness_status
prog_mm_001,uni_mm_001,Bachelor of Arts in Geography,Geography,Bachelor,4,,Unknown,,,,,,,,,,,,,,,https://www.uy.edu.mm/geography/,2026-08-20,2026-08-20,current
prog_mm_002,uni_mm_001,Bachelor of Science in Botany,Botany,Bachelor,4,,Unknown,,,,,,,,,,,,,,,https://www.uy.edu.mm/botany/,2026-08-20,2026-08-20,current
prog_mm_003,uni_mm_001,Bachelor of Laws (LLB),Law,Bachelor,5,,Unknown,,,,,,,,,,,,,,,https://www.uy.edu.mm/law/,2026-08-20,2026-08-20,current
prog_mm_004,uni_mm_002,B.C.Sc (Software Engineering),Software Engineering,Bachelor,,Full-time,Unknown,,,,,,,,,,,,,,,https://www.ucsy.edu.mm/Courses.do,2026-08-20,2026-08-20,current
prog_mm_005,uni_mm_002,B.C.Sc (Cyber Security and Forensics),Cyber Security and Forensics,Bachelor,,Full-time,Unknown,,,,,,,,,,,,,,,https://www.ucsy.edu.mm/Courses.do,2026-08-20,2026-08-20,current
prog_mm_006,uni_mm_002,B.C.Sc (Business Information Systems),Business Information Systems,Bachelor,,Full-time,Unknown,,,,,,,,,,,,,,,https://www.ucsy.edu.mm/Courses.do,2026-08-20,2026-08-20,current
prog_mm_007,uni_mm_003,Bachelor of Economics majoring in Economics,Economics,Bachelor,,,Unknown,,,,,,,,,,,,,,,https://yueco.edu.mm/?page_id=85,2026-08-20,2026-08-20,current
prog_mm_008,uni_mm_003,Bachelor of Accounting,Accounting,Bachelor,,,Unknown,,,,,,,,,,,,,,,https://yueco.edu.mm/?page_id=85,2026-08-20,2026-08-20,current
prog_mm_009,uni_mm_003,Bachelor of Business Administration,Business Administration,Bachelor,,,Unknown,,,,,,,,,,,,,,,https://yueco.edu.mm/?page_id=85,2026-08-20,2026-08-20,current
prog_mm_010,uni_mm_004,B.Sc. in Computer Science,Computer Science,Bachelor,4,,Unknown,,,,,,,,,,,,,,,https://www.dagonuniversity.edu.mm/degree-offered/,2026-08-20,2026-08-20,current
prog_mm_011,uni_mm_004,B.A. in International Relations,International Relations,Bachelor,4,,Unknown,,,,,,,,,,,,,,,https://www.dagonuniversity.edu.mm/degree-offered/,2026-08-20,2026-08-20,current
prog_mm_012,uni_mm_004,Bachelor of Laws (L.L.B.),Law,Bachelor,5,,Unknown,,,,,,,,,,,,,,,https://www.dagonuniversity.edu.mm/degree-offered/,2026-08-20,2026-08-20,current
prog_mm_016,uni_mm_006,Bachelor of Arts in English,English,Bachelor,4,,Unknown,,,,,,,,,,,,,,,https://www.yufl.edu.mm/ad-undergraduate/,2026-08-20,2026-08-20,current
prog_mm_017,uni_mm_006,Bachelor of Arts in Chinese,Chinese,Bachelor,4,Full-time,Unknown,,,,,,,,,,,,,,,https://www.yufl.edu.mm/ad-undergraduate/,2026-08-20,2026-08-20,current
prog_mm_018,uni_mm_006,Master of Arts in English as a Foreign Language,English as a Foreign Language,Master,,,Unknown,,,,,,,,,,,,,,,https://www.yufl.edu.mm/english-department/,2026-08-20,2026-08-20,unknown
prog_mm_019,uni_mm_007,Bachelor of Arts in English,English,Bachelor,4,,Unknown,,,,,,,,,,,,,,,https://www.mufl.edu.mm/academic/programmes/regular-programmes.html,2026-08-20,2026-08-20,unknown
