program_id,university_id,program_name,field_of_study,degree_level,duration_years,study_mode,language_of_instruction,tuition_fee,tuition_currency,tuition_period,tuition_academic_year,tuition_student_scope,tuition_source_url,tuition_last_verified_at,tuition_note,minimum_gpa,gpa_scale,ielts_requirement,toefl_requirement,intake,application_deadline,program_url,collected_at,last_verified_at,freshness_status
prog_my_001,uni_my_001,Bachelor of Computer Science (Software Engineering),Software Engineering,Bachelor,3.5,Full-time,Unknown,89200,MYR,Programme,,International,https://study.um.edu.my/bachelor-of-computer-science-software-engineering,2026-08-20,International total programme fee; excludes 6% SST.,,,5.5,46,"[""October""]",,https://study.um.edu.my/bachelor-of-computer-science-software-engineering,2026-08-20,2026-08-20,current
prog_my_002,uni_my_001,Bachelor of Computer Science (Computer System and Network),Computer System and Network,Bachelor,3.5,Full-time,Unknown,89200,MYR,Programme,,International,https://study.um.edu.my/bachelor-of-computer-science-computer-system-and-network,2026-08-20,International total programme fee; excludes 6% SST.,,,5.5,46,"[""October"", ""March""]",,https://study.um.edu.my/bachelor-of-computer-science-computer-system-and-network,2026-08-20,2026-08-20,current
prog_my_003,uni_my_001,Bachelor of Computer Science (Data Science),Data Science,Bachelor,3.5,Full-time,Unknown,,,,,,,,Official programme page lists international tuition as Not Available and international English requirement as N/A. Review international eligibility before final import.,,,,,"[""October""]",,https://study.um.edu.my/bachelor-of-computer-science-data-science,2026-08-20,2026-08-20,current
prog_my_004,uni_my_002,Bachelor of Computer Science with Honours,Computer Science,Bachelor,3.5,Full-time,Bahasa Melayu,,,,,,,,,,,,,"[""September""]",2026-07-20,https://www.ukm.my/studyukm/computer-science-bachelors-hons/,2026-08-20,2026-08-20,current
prog_my_005,uni_my_002,Bachelor of Information Technology with Honours,Information Technology,Bachelor,3.5,Full-time,Bahasa Melayu,67500,MYR,Programme,,International,https://www.ukm.my/studyukm/bachelor-of-information-technology-with-honours/,2026-08-20,Official UKM international total fee.,,,,,"[""September""]",2026-07-20,https://www.ukm.my/studyukm/bachelor-of-information-technology-with-honours/,2026-08-20,2026-08-20,current
prog_my_006,uni_my_002,Bachelor of Software Engineering with Honours (Information System Development),Software Engineering,Bachelor,3.5,Full-time,Bahasa Melayu,67500,MYR,Programme,,International,https://www.ukm.my/studyukm/bachelor-of-software-engineering-with-honours-information-system-development/,2026-08-20,Official UKM international total fee.,,,,,"[""September""]",2026-07-20,https://www.ukm.my/studyukm/bachelor-of-software-engineering-with-honours-information-system-development/,2026-08-20,2026-08-20,current
prog_my_007,uni_my_003,Bachelor in Computer Science with Honours,Computer Science,Bachelor,4,,English,,,,,,,,,,,5.5,,,,https://fsktm.upm.edu.my/academic/undergraduate/programme_of_study-382,2026-08-20,2026-08-20,unknown
prog_my_008,uni_my_003,Bachelor in Computer Science (Multimedia Computing) with Honours,Multimedia Computing,Bachelor,4,,English,,,,,,,,,,,5.5,,,,https://fsktm.upm.edu.my/academic/undergraduate/programme_of_study-382,2026-08-20,2026-08-20,unknown
prog_my_009,uni_my_003,Bachelor in Software Engineering with Honours,Software Engineering,Bachelor,4,,English,,,,,,,,,,,5.5,,,,https://fsktm.upm.edu.my/academic/undergraduate/programme_of_study-382,2026-08-20,2026-08-20,unknown
prog_my_010,uni_my_004,Bachelor of Software Engineering with Honours,Software Engineering,Bachelor,4,,English,1875,USD,Semester,2025,International,https://admission.usm.my/images/00uginternational/fee_2025/UNDERGRADUATE_INTERNATIONAL_TUITION_FEES_PER_SEMESTER.pdf,2026-08-20,Official international tuition fee per semester from the available 2025 fee schedule.,,,5.0,40,"[""October""]",,https://cs.usm.my/index.php/admissions-academics/undergraduate/main-campus/bachelor-of-software-engineering-with-honours,2026-08-20,2026-08-20,current
