program_id,university_id,program_name,degree_level,tuition_fee,tuition_currency,tuition_period,source_name,source_url,verified_at,note
prog_jp_001,uni_jp_001,Computer Science,Master,535800,JPY,Annual,The University of Tokyo Tuition Fee,https://www.u-tokyo.ac.jp/en/prospective-students/tuition_fees.html,2026-08-09,Current published graduate tuition.
prog_jp_002,uni_jp_001,Mathematical Informatics,Master,535800,JPY,Annual,The University of Tokyo Tuition Fee,https://www.u-tokyo.ac.jp/en/prospective-students/tuition_fees.html,2026-08-09,Current published graduate tuition.
prog_jp_003,uni_jp_001,Information Physics & Computing,Master,535800,JPY,Annual,The University of Tokyo Tuition Fee,https://www.u-tokyo.ac.jp/en/prospective-students/tuition_fees.html,2026-08-09,Current published graduate tuition.
prog_jp_004,uni_jp_002,Intelligence Science and Technology,Master,535800,JPY,Annual,Kyoto University Tuition and Fees,https://www.kyoto-u.ac.jp/en/current/how-to/tuition/tuition-and-fees,2026-08-09,Current graduate annual tuition.
prog_jp_005,uni_jp_002,Communications and Computer Engineering,Master,535800,JPY,Annual,Kyoto University Tuition and Fees,https://www.kyoto-u.ac.jp/en/current/how-to/tuition/tuition-and-fees,2026-08-09,Current graduate annual tuition.
prog_jp_006,uni_jp_002,Data Science,Master,535800,JPY,Annual,Kyoto University Tuition and Fees,https://www.kyoto-u.ac.jp/en/current/how-to/tuition/tuition-and-fees,2026-08-09,Current graduate annual tuition.
prog_jp_007,uni_jp_003,Computer Science,Master,535800,JPY,Annual,The University of Osaka Tuition Fees,https://www.osaka-u.ac.jp/en/campus/tuition/tuition.html,2026-08-09,Current graduate annual tuition.
prog_jp_008,uni_jp_003,Information Networking,Master,535800,JPY,Annual,The University of Osaka Tuition Fees,https://www.osaka-u.ac.jp/en/campus/tuition/tuition.html,2026-08-09,Current graduate annual tuition.
prog_jp_009,uni_jp_003,Multimedia Engineering,Master,535800,JPY,Annual,The University of Osaka Tuition Fees,https://www.osaka-u.ac.jp/en/campus/tuition/tuition.html,2026-08-09,Current graduate annual tuition.
prog_jp_010,uni_jp_004,Computer and Mathematical Sciences,Master,535800,JPY,Annual,Tohoku University Fees and Expenses,https://www.tohoku.ac.jp/en/admissions/tutition_fees.html,2026-08-09,Current graduate annual tuition.
prog_jp_011,uni_jp_004,System Information Sciences,Master,535800,JPY,Annual,Tohoku University Fees and Expenses,https://www.tohoku.ac.jp/en/admissions/tutition_fees.html,2026-08-09,Current graduate annual tuition.
prog_jp_012,uni_jp_004,Applied Information Sciences,Master,535800,JPY,Annual,Tohoku University Fees and Expenses,https://www.tohoku.ac.jp/en/admissions/tutition_fees.html,2026-08-09,Current graduate annual tuition.
prog_jp_013,uni_jp_005,Mathematical Informatics,Master,535800,JPY,Annual,Nagoya University Tuition Fees,https://en.nagoya-u.ac.jp/admissions/financial/tuition/,2026-08-09,Current graduate annual tuition.
prog_jp_014,uni_jp_005,Computing and Software Systems,Master,535800,JPY,Annual,Nagoya University Tuition Fees,https://en.nagoya-u.ac.jp/admissions/financial/tuition/,2026-08-09,Current graduate annual tuition.
prog_jp_015,uni_jp_005,Intelligent Systems,Master,535800,JPY,Annual,Nagoya University Tuition Fees,https://en.nagoya-u.ac.jp/admissions/financial/tuition/,2026-08-09,Current graduate annual tuition.
prog_jp_016,uni_jp_006,International Master's/Doctoral Program in Information Science and Technology,Master,535800,JPY,Annual,Kyushu University Tuition Payment,https://www.kyushu-u.ac.jp/en/admission/fees/payment/,2026-08-09,Graduate tuition is 267900 JPY per semester.
prog_jp_017,uni_jp_006,International Master's/Doctoral Program in Electrical and Electronic Engineering,Master,535800,JPY,Annual,Kyushu University Tuition Payment,https://www.kyushu-u.ac.jp/en/admission/fees/payment/,2026-08-09,Graduate tuition is 267900 JPY per semester.
prog_jp_018,uni_jp_006,Master's Program in the Department of Design (Acoustic Design Course),Master,535800,JPY,Annual,Kyushu University Tuition Payment,https://www.kyushu-u.ac.jp/en/admission/fees/payment/,2026-08-09,Graduate tuition is 267900 JPY per semester.
prog_jp_019,uni_jp_007,Computer Science and Information Technology,Master,535800,JPY,Annual,Hokkaido University Tuition,https://intl-student-handbook.oia.hokudai.ac.jp/en/campus_life-en/tuition,2026-08-09,AY2026 graduate annual tuition.
prog_jp_020,uni_jp_007,Media and Network Technologies,Master,535800,JPY,Annual,Hokkaido University Tuition,https://intl-student-handbook.oia.hokudai.ac.jp/en/campus_life-en/tuition,2026-08-09,AY2026 graduate annual tuition.
prog_jp_021,uni_jp_007,Systems Science and Informatics,Master,535800,JPY,Annual,Hokkaido University Tuition,https://intl-student-handbook.oia.hokudai.ac.jp/en/campus_life-en/tuition,2026-08-09,AY2026 graduate annual tuition.
prog_jp_022,uni_jp_008,Graduate major in Computer Science,Master,635400,JPY,Annual,Science Tokyo Tuition and Fees,https://www.titech.ac.jp/english/student/students/tuition/tuition,2026-08-09,Science and Engineering master's and doctoral entrants from Sep 2019 onward.
prog_jp_023,uni_jp_008,Graduate major in Mathematical and Computing Science,Master,635400,JPY,Annual,Science Tokyo Tuition and Fees,https://www.titech.ac.jp/english/student/students/tuition/tuition,2026-08-09,Science and Engineering master's and doctoral entrants from Sep 2019 onward.
prog_jp_024,uni_jp_008,Graduate major in Artificial Intelligence,Master,635400,JPY,Annual,Science Tokyo Tuition and Fees,https://www.titech.ac.jp/english/student/students/tuition/tuition,2026-08-09,Science and Engineering master's and doctoral entrants from Sep 2019 onward.
