program_id,university_id,program_name,degree_level,program_url,duration_years,duration_source_name,duration_source_url,duration_reason,duration_research_status,study_mode,study_mode_basis,study_mode_research_status,verified_at,research_note
prog_hk_001,uni_hk_001,Computing and Data Science,Bachelor,https://admissions.hku.hk/programmes/undergraduate-programmes/computing-and-data-science,4,HKU Undergraduate Programmes Catalogue,https://admissions.hku.hk/programmes/undergraduate-programmes?page=12,HKU Admissions lists Computing and Data Science (code 6999) with a 4-year study period.,VERIFIED,Full-time,EduPath analytical normalization for the regular single-degree undergraduate record; the cited HKU catalogue confirms a 4-year single-degree programme but does not explicitly label study mode.,NORMALIZED,2026-08-21,"Duration verified from official HKU admissions catalogue. Study mode retained as an explicit EduPath normalization, not a programme-page claim."
prog_hk_002,uni_hk_001,Bachelor of Business Administration,Bachelor,https://admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-business-administration,4,HKU Undergraduate Programmes Catalogue,https://admissions.hku.hk/programmes/undergraduate-programmes?page=6,HKU Admissions lists the Bachelor of Business Administration (code 6755) with a 4-year study period.,VERIFIED,Full-time,EduPath analytical normalization for the regular single-degree undergraduate record; the cited HKU catalogue confirms a 4-year single-degree programme but does not explicitly label study mode.,NORMALIZED,2026-08-21,Duration verified from official HKU admissions catalogue. Study mode is analytically normalized.
prog_hk_003,uni_hk_001,Bachelor of Science,Bachelor,https://admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-science,4,HKU Undergraduate Programmes Catalogue,https://admissions.hku.hk/programmes/undergraduate-programmes?page=10,HKU Admissions lists the Bachelor of Science (code 6901) with a 4-year study period.,VERIFIED,Full-time,EduPath analytical normalization for the regular single-degree undergraduate record; the cited HKU catalogue confirms a 4-year programme but does not explicitly label study mode.,NORMALIZED,2026-08-21,Duration verified from official HKU admissions catalogue. Study mode is analytically normalized.
prog_hk_004,uni_hk_002,Computer Science and Engineering,Bachelor,https://admission.cuhk.edu.hk/programme/bcsen/,4,CUHK Undergraduate Admissions - Computer Science and Engineering,https://admission.cuhk.edu.hk/programme/bcsen/,The official CUHK programme page explicitly lists Study Period: 4 Years.,VERIFIED,Full-time,"EduPath normalization for the regular Year-1 undergraduate record. The programme page is open for International applicants and gives a 4-year study period, but does not explicitly label mode.",NORMALIZED,2026-08-21,Programme-specific CUHK duration evidence verified; study mode kept as analytical normalization.
prog_hk_005,uni_hk_002,Integrated Bachelor of Business Administration Programme,Bachelor,https://admission.cuhk.edu.hk/programme/ibbac/,4,CUHK Undergraduate Admissions - Integrated BBA,https://admission.cuhk.edu.hk/programme/ibbac/,"The official page lists Study Period: 4 Years / 2 Years (Senior Year Entry). This EduPath record represents the regular Year-1/international route, so the applicable normative duration is 4 years.",VERIFIED,Full-time,EduPath normalization for the regular Year-1 undergraduate record; study mode is not explicitly labelled on the cited programme page.,NORMALIZED,2026-08-21,Regular-entry duration separated from the explicitly listed 2-year Senior Year Entry pathway.
prog_hk_006,uni_hk_002,Data Science and Policy Studies,Bachelor,https://admission.cuhk.edu.hk/programme/dspsn/,4,CUHK Undergraduate Admissions - Data Science and Policy Studies,https://admission.cuhk.edu.hk/programme/dspsn/,The official CUHK programme page explicitly lists Study Period: 4 Years.,VERIFIED,Full-time,EduPath normalization for the regular Year-1 undergraduate record. Mode is not explicitly labelled on the programme page.,NORMALIZED,2026-08-21,Programme-specific duration verified from CUHK; study mode remains analytically normalized.
prog_hk_007,uni_hk_003,BEng in Computer Engineering,Bachelor,https://join.hkust.edu.hk/our-programs/school-of-engineering/computer-engineering,4,HKUST Undergraduate Admissions - Computer Engineering,https://join.hkust.edu.hk/our-programs/school-of-engineering/computer-engineering,The official HKUST programme page explicitly states Duration: 4Y.,VERIFIED,Full-time,EduPath analytical normalization for the regular HKUST undergraduate programme; the programme page does not explicitly label study mode.,NORMALIZED,2026-08-21,Duration directly verified from programme page; study mode is not represented as a direct page claim.
prog_hk_008,uni_hk_003,BSc in Biomedical and Health Sciences,Bachelor,https://join.hkust.edu.hk/our-programs/school-of-science/biomedical-and-health-sciences,4,HKUST Undergraduate Admissions - Biomedical and Health Sciences,https://join.hkust.edu.hk/our-programs/school-of-science/biomedical-and-health-sciences,The official HKUST programme page explicitly states Duration: 4Y.,VERIFIED,Full-time,EduPath analytical normalization for the regular HKUST undergraduate programme; the programme page does not explicitly label study mode.,NORMALIZED,2026-08-21,Duration directly verified from programme page; study mode is analytically normalized.
prog_hk_009,uni_hk_003,BBA in Economics,Bachelor,https://join.hkust.edu.hk/our-programs/school-of-business-and-management/economics,4,HKUST Undergraduate Admissions - Economics,https://join.hkust.edu.hk/our-programs/school-of-business-and-management/economics,The official HKUST programme page explicitly states Duration: 4Y.,VERIFIED,Full-time,EduPath analytical normalization for the regular HKUST undergraduate programme; the programme page does not explicitly label study mode.,NORMALIZED,2026-08-21,Duration directly verified from programme page; study mode is analytically normalized.
prog_hk_010,uni_hk_004,Bachelor of Science (Honours) Scheme in Computing and AI,Bachelor,https://www.polyu.edu.hk/study/ug/international/2026/js3868,4,PolyU International Undergraduate Admissions - JS3868,https://www.polyu.edu.hk/study/ug/international/2026/js3868,Official PolyU page explicitly states Duration: 4 years.,VERIFIED,Full-time,Official PolyU programme page explicitly states Study Mode: Full-time.,VERIFIED,2026-08-21,Both duration and study mode are programme-page verified for Sept 2026 entry.
