program_id,university_id,program_name,field_of_study,degree_level,duration_years,study_mode,program_url,language_of_instruction,language_research_status,language_source_name,language_source_url,language_reason,verified_at
prog_hk_001,uni_hk_001,Computing and Data Science,Data Science,Bachelor,4,Full-time,https://admissions.hku.hk/programmes/undergraduate-programmes/computing-and-data-science,English Available,VERIFIED,HKU Bachelor of Engineering / Computing and Data Science Admissions,https://admissions.hku.hk/,HKU provides English-medium undergraduate education. Programme-specific language pathway requires official programme confirmation.,2026-08-21
prog_hk_002,uni_hk_001,Bachelor of Business Administration,Business & Management,Bachelor,4,Full-time,https://admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-business-administration,English Available,VERIFIED,HKU Undergraduate Admissions,https://admissions.hku.hk/,HKU undergraduate programmes use English as the main teaching language.,2026-08-21
prog_hk_003,uni_hk_001,Bachelor of Science,General Science,Bachelor,4,Full-time,https://admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-science,English Available,VERIFIED,HKU Undergraduate Admissions,https://admissions.hku.hk/,HKU undergraduate programmes use English as the main teaching language.,2026-08-21
prog_hk_004,uni_hk_002,Computer Science and Engineering,Computer Science,Bachelor,4,Full-time,https://admission.cuhk.edu.hk/programme/bcsen/,English Available,VERIFIED,CUHK Undergraduate Admissions,https://admission.cuhk.edu.hk/,CUHK engineering programmes provide English-medium instruction.,2026-08-21
prog_hk_005,uni_hk_002,Integrated Bachelor of Business Administration Programme,Business & Management,Bachelor,4,Full-time,https://admission.cuhk.edu.hk/programme/ibbac/,English Available,VERIFIED,CUHK Undergraduate Admissions,https://admission.cuhk.edu.hk/,CUHK undergraduate business programmes use English as a major teaching language.,2026-08-21
prog_hk_006,uni_hk_002,Data Science and Policy Studies,Data Science,Bachelor,4,Full-time,https://admission.cuhk.edu.hk/programme/dspsn/,English Available,VERIFIED,CUHK Undergraduate Admissions,https://admission.cuhk.edu.hk/,CUHK data science related undergraduate programmes use English-supported instruction.,2026-08-21
prog_hk_007,uni_hk_003,BEng in Computer Engineering,Computer Engineering,Bachelor,4,Full-time,https://join.hkust.edu.hk/our-programs/school-of-engineering/computer-engineering,English,VERIFIED,HKUST Undergraduate Admissions,https://join.hkust.edu.hk/,HKUST official undergraduate programmes are taught in English.,2026-08-21
prog_hk_008,uni_hk_003,BSc in Biomedical and Health Sciences,Biomedical & Health Sciences,Bachelor,4,Full-time,https://join.hkust.edu.hk/our-programs/school-of-science/biomedical-and-health-sciences,English,VERIFIED,HKUST Undergraduate Admissions,https://join.hkust.edu.hk/,HKUST official undergraduate programmes are taught in English.,2026-08-21
prog_hk_009,uni_hk_003,BBA in Economics,Economics,Bachelor,4,Full-time,https://join.hkust.edu.hk/our-programs/school-of-business-and-management/economics,English,VERIFIED,HKUST Undergraduate Admissions,https://join.hkust.edu.hk/,HKUST business undergraduate programmes are taught in English.,2026-08-21
prog_hk_010,uni_hk_004,Bachelor of Science (Honours) Scheme in Computing and AI,Artificial Intelligence & Intelligent Systems,Bachelor,4,Full-time,https://www.polyu.edu.hk/study/ug/international/2026/js3868,English,VERIFIED,PolyU Undergraduate Admissions,https://www.polyu.edu.hk/study/,PolyU international undergraduate programmes provide English-medium education.,2026-08-21
prog_hk_011,uni_hk_004,Bachelor of Science (Honours) Scheme in Data Science and Artificial Intelligence,Data Science,Bachelor,4,Full-time,https://www.polyu.edu.hk/dsai/study/ug/prospective-students/bsc-scheme-in-data-science-and-artificial-intelligence/,English,VERIFIED,PolyU Undergraduate Admissions,https://www.polyu.edu.hk/study/,PolyU international undergraduate programmes provide English-medium education.,2026-08-21
prog_hk_012,uni_hk_004,Bachelor's Degree Scheme in Business Administration,Business & Management,Bachelor,4,Full-time,https://www.polyu.edu.hk/study/ug/international/2026/js3003,English Available,VERIFIED,PolyU Undergraduate Admissions,https://www.polyu.edu.hk/study/,"English is used extensively in PolyU undergraduate teaching, but programme-specific English-only confirmation is not claimed.",2026-08-21
prog_hk_013,uni_hk_005,BSc Computer Science,Computer Science,Bachelor,4,Full-time,https://www.cityu.edu.hk/admo/programmes/bsc-computer-science,English,VERIFIED,City University of Hong Kong Undergraduate Admissions,https://www.cityu.edu.hk/admo/,CityU undergraduate programmes are delivered mainly in English.,2026-08-21
prog_hk_014,uni_hk_005,Data Science (Majors: BSc Data Science / BSc Data and Systems Engineering),Data Science,Bachelor,4,Full-time,https://www.cityu.edu.hk/admo/programmes/school-data-science-options-bsc-data-science-bsc-data-and-systems-engineering,English,VERIFIED,City University of Hong Kong Undergraduate Admissions,https://www.cityu.edu.hk/admo/,CityU undergraduate programmes are delivered mainly in English.,2026-08-21
prog_hk_015,uni_hk_005,BBA Global Business,Business & Management,Bachelor,4,Full-time,https://www.cityu.edu.hk/admo/programmes/bba-global-business,English,VERIFIED,City University of Hong Kong Undergraduate Admissions,https://www.cityu.edu.hk/admo/,CityU business undergraduate programmes are delivered mainly in English.,2026-08-21
prog_hk_016,uni_hk_006,Bachelor of Science (Hons) in Business Computing and Data Analytics,Business Analytics & Information Systems,Bachelor,4,Full-time,https://admissions.hkbu.edu.hk/programmes/faculty-of-science/bachelor-of-science-hons-in-business-computing-and-data-analytics-year1.html,English,VERIFIED,HKBU Undergraduate Admissions,https://admissions.hkbu.edu.hk/,HKBU undergraduate programmes use English as the main medium of instruction according to official university information.,2026-08-21
prog_hk_017,uni_hk_006,Bachelor of Business Administration (Hons),Business & Management,Bachelor,4,Full-time,https://admissions.hkbu.edu.hk/programmes/school-of-business/bachelor-of-business-administration-hons-year1.html,English,VERIFIED,HKBU Undergraduate Admissions,https://admissions.hkbu.edu.hk/,HKBU business undergraduate programmes are delivered in an English-medium environment.,2026-08-21
prog_hk_018,uni_hk_006,Bachelor of Communication (Hons) (Journalism and Digital Media / Public Relations and Advertising),Communication & Media,Bachelor,4,Full-time,https://admissions.hkbu.edu.hk/programmes/school-of-communication/bachelor-of-communication-hons-journalism-and-digital-media-public-relations-and-advertising-year1.html,English,VERIFIED,HKBU Undergraduate Admissions,https://admissions.hkbu.edu.hk/,HKBU communication programmes are offered within the university English-medium teaching environment.,2026-08-21
prog_hk_019,uni_hk_007,Bachelor of Science (Honours) in Data Science,Data Science,Bachelor,4,Full-time,https://www.ln.edu.hk/admissions/ug/programme/jupas-applicants/data-science,English Available,VERIFIED,Lingnan University Undergraduate Admissions,https://www.ln.edu.hk/admissions/,"Lingnan undergraduate education provides English-medium learning, but programme-specific English-only confirmation is not claimed.",2026-08-21
prog_hk_020,uni_hk_007,Bachelor of Social Sciences (Honours) - Government and International Affairs,International Relations & Public Policy,Bachelor,4,Full-time,https://www.ln.edu.hk/admissions/ug/programme/jupas-applicants/government-and-international-affairs,English Available,VERIFIED,Lingnan University Undergraduate Admissions,https://www.ln.edu.hk/admissions/,Official university information supports English availability for undergraduate programmes.,2026-08-21
