program_id,university_id,program_name,degree_level,schedule_status,stored_intake,stored_application_deadline,source_name,source_url,schedule_evidence,storage_reason,verified_at
prog_jp_001,uni_jp_001,Computer Science,Master,Reviewed - Route Dependent,,,UTokyo IST AY2027 Admissions,https://www.i.u-tokyo.ac.jp/edu/entra/entra_e.shtml,"Summer applications: May 29-June 4, 2026; Winter applications: November 11-17, 2026.",Entry timing and available examination cycle depend on department. A single deadline would be misleading.,2026-08-09
prog_jp_002,uni_jp_001,Mathematical Informatics,Master,Reviewed - Route Dependent,,,UTokyo IST AY2027 Admissions,https://www.i.u-tokyo.ac.jp/edu/entra/entra_e.shtml,"Summer applications: May 29-June 4, 2026; Winter applications: November 11-17, 2026.",Entry timing and available examination cycle depend on department. A single deadline would be misleading.,2026-08-09
prog_jp_003,uni_jp_001,Information Physics & Computing,Master,Reviewed - Route Dependent,,,UTokyo IST AY2027 Admissions,https://www.i.u-tokyo.ac.jp/edu/entra/entra_e.shtml,"Summer applications: May 29-June 4, 2026; Winter applications: November 11-17, 2026.",Entry timing and available examination cycle depend on department. A single deadline would be misleading.,2026-08-09
prog_jp_004,uni_jp_002,Intelligence Science and Technology,Master,Reviewed - Route Dependent,,,Kyoto University Informatics 2027 Admission Schedule,https://www.i.kyoto-u.ac.jp/en/admission/guide/schedule_master/,"April and October admission options exist, with different exam schedules by course.","Course and admission-round schedules differ, so no single deadline is stored.",2026-08-09
prog_jp_005,uni_jp_002,Communications and Computer Engineering,Master,Reviewed - Route Dependent,,,Kyoto University Informatics 2027 Admission Schedule,https://www.i.kyoto-u.ac.jp/en/admission/guide/schedule_master/,"April and October admission options exist, with different exam schedules by course.","Course and admission-round schedules differ, so no single deadline is stored.",2026-08-09
prog_jp_006,uni_jp_002,Data Science,Master,Reviewed - Route Dependent,,,Kyoto University Informatics 2027 Admission Schedule,https://www.i.kyoto-u.ac.jp/en/admission/guide/schedule_master/,"April and October admission options exist, with different exam schedules by course.","Course and admission-round schedules differ, so no single deadline is stored.",2026-08-09
prog_jp_007,uni_jp_003,Computer Science,Master,Reviewed - Route Dependent,,,University of Osaka IST 2027 Application Guides,https://www.ist.osaka-u.ac.jp/english/examinees/admission/guidelines2027.php,April 2027 international selection schedules are published.,The graduate school is undergoing a planned April 2027 reorganization; do not attach one route-specific deadline to every seed major.,2026-08-09
prog_jp_008,uni_jp_003,Information Networking,Master,Reviewed - Route Dependent,,,University of Osaka IST 2027 Application Guides,https://www.ist.osaka-u.ac.jp/english/examinees/admission/guidelines2027.php,April 2027 international selection schedules are published.,The graduate school is undergoing a planned April 2027 reorganization; do not attach one route-specific deadline to every seed major.,2026-08-09
prog_jp_009,uni_jp_003,Multimedia Engineering,Master,Reviewed - Route Dependent,,,University of Osaka IST 2027 Application Guides,https://www.ist.osaka-u.ac.jp/english/examinees/admission/guidelines2027.php,April 2027 international selection schedules are published.,The graduate school is undergoing a planned April 2027 reorganization; do not attach one route-specific deadline to every seed major.,2026-08-09
prog_jp_010,uni_jp_004,Computer and Mathematical Sciences,Master,Stored - Directly Verified,April 2027,2026-07-08,Tohoku University GSIS 2027 Two-Year Master's Admission,https://www.math.is.tohoku.ac.jp/english/admission/index.html,"AY2027 Master's application period was June 26 to July 8, 2026.",Current official schedule maps safely to this seed program/admission route.,2026-08-09
