program_id,university_id,program_name,degree_level,program_url,minimum_gpa,gpa_scale,ielts_requirement,toefl_requirement,requirements_research_status,gpa_status,english_status,accepted_tests,numeric_minimum_status,requirements_source_name,requirements_source_url,requirements_reason,verified_at
prog_hk_001,uni_hk_001,Computing and Data Science,Bachelor,https://admissions.hku.hk/programmes/undergraduate-programmes/computing-and-data-science,,,6.5,93,VERIFIED,No universal numeric GPA minimum verified; academic entrance thresholds depend on the applicant's qualification or country.,University-wide international undergraduate English minimum verified.,IELTS Academic; TOEFL iBT,IELTS 6.5 and TOEFL iBT 93 verified; universal GPA minimum not stored.,HKU International Qualifications - English Language Requirement,https://admissions.hku.hk/apply/international-qualifications/english-language-requirement,"HKU official international admissions requirements specify IELTS Academic 6.5 and TOEFL iBT 93. Academic lower boundaries vary by qualification, so a universal GPA value is not stored.",2026-08-21
prog_hk_002,uni_hk_001,Bachelor of Business Administration,Bachelor,https://admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-business-administration,,,6.5,93,VERIFIED,No universal numeric GPA minimum verified; academic entrance thresholds depend on the applicant's qualification or country.,University-wide international undergraduate English minimum verified.,IELTS Academic; TOEFL iBT,IELTS 6.5 and TOEFL iBT 93 verified; universal GPA minimum not stored.,HKU International Qualifications - English Language Requirement,https://admissions.hku.hk/apply/international-qualifications/english-language-requirement,"HKU official international admissions requirements specify IELTS Academic 6.5 and TOEFL iBT 93. Academic lower boundaries vary by qualification, so a universal GPA value is not stored.",2026-08-21
prog_hk_003,uni_hk_001,Bachelor of Science,Bachelor,https://admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-science,,,6.5,93,VERIFIED,No universal numeric GPA minimum verified; academic entrance thresholds depend on the applicant's qualification or country.,University-wide international undergraduate English minimum verified.,IELTS Academic; TOEFL iBT,IELTS 6.5 and TOEFL iBT 93 verified; universal GPA minimum not stored.,HKU International Qualifications - English Language Requirement,https://admissions.hku.hk/apply/international-qualifications/english-language-requirement,"HKU official international admissions requirements specify IELTS Academic 6.5 and TOEFL iBT 93. Academic lower boundaries vary by qualification, so a universal GPA value is not stored.",2026-08-21
prog_hk_004,uni_hk_002,Computer Science and Engineering,Bachelor,https://admission.cuhk.edu.hk/programme/bcsen/,,,6.0,,VERIFIED,No universal numeric GPA minimum verified; general academic requirements are qualification-specific.,"IELTS numeric minimum verified. TOEFL accepted, but a single numeric 2027/28 minimum is unresolved.",IELTS Academic; TOEFL iBT,IELTS 6.0 verified. TOEFL numeric minimum not stored for 2027/28 because CUHK documents the 2026 score-scale transition and states that requirements for 2027 Entry onwards are subject to review.,CUHK Undergraduate Admissions - Language Requirements,https://admission.cuhk.edu.hk/application/non-jupas/language-requirements/,"CUHK officially verifies IELTS Academic 6.0. Its TOEFL requirements use different reporting formats around 21 January 2026, and the official page states that TOEFL requirements are subject to review for 2027 Entry and onwards. EduPath therefore does not store a single TOEFL numeric minimum for the 2027/28 target cycle.",2026-08-21
prog_hk_005,uni_hk_002,Integrated Bachelor of Business Administration Programme,Bachelor,https://admission.cuhk.edu.hk/programme/ibbac/,,,6.0,,VERIFIED,No universal numeric GPA minimum verified; general academic requirements are qualification-specific.,"IELTS numeric minimum verified. TOEFL accepted, but a single numeric 2027/28 minimum is unresolved.",IELTS Academic; TOEFL iBT,IELTS 6.0 verified. TOEFL numeric minimum not stored for 2027/28 because CUHK documents the 2026 score-scale transition and states that requirements for 2027 Entry onwards are subject to review.,CUHK Undergraduate Admissions - Language Requirements,https://admission.cuhk.edu.hk/application/non-jupas/language-requirements/,"CUHK officially verifies IELTS Academic 6.0. Its TOEFL requirements use different reporting formats around 21 January 2026, and the official page states that TOEFL requirements are subject to review for 2027 Entry and onwards. EduPath therefore does not store a single TOEFL numeric minimum for the 2027/28 target cycle.",2026-08-21
prog_hk_006,uni_hk_002,Data Science and Policy Studies,Bachelor,https://admission.cuhk.edu.hk/programme/dspsn/,,,6.0,,VERIFIED,No universal numeric GPA minimum verified; general academic requirements are qualification-specific.,"IELTS numeric minimum verified. TOEFL accepted, but a single numeric 2027/28 minimum is unresolved.",IELTS Academic; TOEFL iBT,IELTS 6.0 verified. TOEFL numeric minimum not stored for 2027/28 because CUHK documents the 2026 score-scale transition and states that requirements for 2027 Entry onwards are subject to review.,CUHK Undergraduate Admissions - Language Requirements,https://admission.cuhk.edu.hk/application/non-jupas/language-requirements/,"CUHK officially verifies IELTS Academic 6.0. Its TOEFL requirements use different reporting formats around 21 January 2026, and the official page states that TOEFL requirements are subject to review for 2027 Entry and onwards. EduPath therefore does not store a single TOEFL numeric minimum for the 2027/28 target cycle.",2026-08-21
prog_hk_007,uni_hk_003,BEng in Computer Engineering,Bachelor,https://join.hkust.edu.hk/our-programs/school-of-engineering/computer-engineering,,,6.0,,VERIFIED,No universal numeric GPA minimum verified; academic requirements depend on qualification and school/program-specific criteria.,IELTS requirement verified. TOEFL requirement verified but uses different official score scales depending on test date.,IELTS Academic; TOEFL iBT,"IELTS 6.0 stored. TOEFL numeric field intentionally left blank because HKUST specifies 80 before 21 January 2026 and 4.5 from 21 January 2026, while the current EduPath schema has no TOEFL score-scale field.",HKUST University's English Language Admissions Requirement,https://join.hkust.edu.hk/oas/elar.pdf,"HKUST official undergraduate English requirements specify IELTS Academic 6.0. TOEFL iBT uses a test-date-dependent score scale in 2026, so one numeric TOEFL value would be ambiguous in the current schema. No universal GPA is stored.",2026-08-21
prog_hk_008,uni_hk_003,BSc in Biomedical and Health Sciences,Bachelor,https://join.hkust.edu.hk/our-programs/school-of-science/biomedical-and-health-sciences,,,6.0,,VERIFIED,No universal numeric GPA minimum verified; academic requirements depend on qualification and school/program-specific criteria.,IELTS requirement verified. TOEFL requirement verified but uses different official score scales depending on test date.,IELTS Academic; TOEFL iBT,"IELTS 6.0 stored. TOEFL numeric field intentionally left blank because HKUST specifies 80 before 21 January 2026 and 4.5 from 21 January 2026, while the current EduPath schema has no TOEFL score-scale field.",HKUST University's English Language Admissions Requirement,https://join.hkust.edu.hk/oas/elar.pdf,"HKUST official undergraduate English requirements specify IELTS Academic 6.0. TOEFL iBT uses a test-date-dependent score scale in 2026, so one numeric TOEFL value would be ambiguous in the current schema. No universal GPA is stored.",2026-08-21
prog_hk_009,uni_hk_003,BBA in Economics,Bachelor,https://join.hkust.edu.hk/our-programs/school-of-business-and-management/economics,,,6.0,,VERIFIED,No universal numeric GPA minimum verified; academic requirements depend on qualification and school/program-specific criteria.,IELTS requirement verified. TOEFL requirement verified but uses different official score scales depending on test date.,IELTS Academic; TOEFL iBT,"IELTS 6.0 stored. TOEFL numeric field intentionally left blank because HKUST specifies 80 before 21 January 2026 and 4.5 from 21 January 2026, while the current EduPath schema has no TOEFL score-scale field.",HKUST University's English Language Admissions Requirement,https://join.hkust.edu.hk/oas/elar.pdf,"HKUST official undergraduate English requirements specify IELTS Academic 6.0. TOEFL iBT uses a test-date-dependent score scale in 2026, so one numeric TOEFL value would be ambiguous in the current schema. No universal GPA is stored.",2026-08-21
prog_hk_010,uni_hk_004,Bachelor of Science (Honours) Scheme in Computing and AI,Bachelor,https://www.polyu.edu.hk/study/ug/international/2026/js3868,,,6.0,80,VERIFIED,No universal numeric GPA minimum verified; general entrance requirements vary by international qualification.,General non-local undergraduate English minimum verified; no higher English cutoff identified for these R1 programmes.,IELTS Academic; TOEFL iBT,IELTS 6.0 and TOEFL iBT 80 verified; universal GPA minimum not stored.,PolyU International / Other Qualifications - English Language Requirements,https://www.polyu.edu.hk/study/ug/admissions/international-other-qualifications/international-other-qualifications-english,PolyU official non-local undergraduate requirements specify IELTS Academic 6.0 and TOEFL iBT 80 unless an individual programme specifies otherwise. No separate higher English cutoff was identified for the three R1 PolyU programmes.,2026-08-21
prog_hk_011,uni_hk_004,Bachelor of Science (Honours) Scheme in Data Science and Artificial Intelligence,Bachelor,https://www.polyu.edu.hk/dsai/study/ug/prospective-students/bsc-scheme-in-data-science-and-artificial-intelligence/,,,6.0,80,VERIFIED,No universal numeric GPA minimum verified; general entrance requirements vary by international qualification.,General non-local undergraduate English minimum verified; no higher English cutoff identified for these R1 programmes.,IELTS Academic; TOEFL iBT,IELTS 6.0 and TOEFL iBT 80 verified; universal GPA minimum not stored.,PolyU International / Other Qualifications - English Language Requirements,https://www.polyu.edu.hk/study/ug/admissions/international-other-qualifications/international-other-qualifications-english,PolyU official non-local undergraduate requirements specify IELTS Academic 6.0 and TOEFL iBT 80 unless an individual programme specifies otherwise. No separate higher English cutoff was identified for the three R1 PolyU programmes.,2026-08-21
prog_hk_012,uni_hk_004,Bachelor's Degree Scheme in Business Administration,Bachelor,https://www.polyu.edu.hk/study/ug/international/2026/js3003,,,6.0,80,VERIFIED,No universal numeric GPA minimum verified; general entrance requirements vary by international qualification.,General non-local undergraduate English minimum verified; no higher English cutoff identified for these R1 programmes.,IELTS Academic; TOEFL iBT,IELTS 6.0 and TOEFL iBT 80 verified; universal GPA minimum not stored.,PolyU International / Other Qualifications - English Language Requirements,https://www.polyu.edu.hk/study/ug/admissions/international-other-qualifications/international-other-qualifications-english,PolyU official non-local undergraduate requirements specify IELTS Academic 6.0 and TOEFL iBT 80 unless an individual programme specifies otherwise. No separate higher English cutoff was identified for the three R1 PolyU programmes.,2026-08-21
prog_hk_013,uni_hk_005,BSc Computer Science,Bachelor,https://www.cityu.edu.hk/admo/programmes/bsc-computer-science,,,6.5,79,VERIFIED,No universal numeric GPA minimum verified; academic entry requirements depend on the qualification and admission route.,General undergraduate English minimum verified.,IELTS; TOEFL iBT,IELTS 6.5 and TOEFL iBT 79 verified; universal GPA minimum not stored.,CityUHK Undergraduate Admissions FAQ,https://www.cityu.edu.hk/admo/faq,CityUHK official undergraduate admissions FAQ specifies IELTS overall 6.5 or TOEFL iBT 79 for applicants whose entrance qualification was obtained in a language other than English. No universal GPA is stored.,2026-08-21
prog_hk_014,uni_hk_005,Data Science (Majors: BSc Data Science / BSc Data and Systems Engineering),Bachelor,https://www.cityu.edu.hk/admo/programmes/school-data-science-options-bsc-data-science-bsc-data-and-systems-engineering,,,6.5,79,VERIFIED,No universal numeric GPA minimum verified; academic entry requirements depend on the qualification and admission route.,General undergraduate English minimum verified.,IELTS; TOEFL iBT,IELTS 6.5 and TOEFL iBT 79 verified; universal GPA minimum not stored.,CityUHK Undergraduate Admissions FAQ,https://www.cityu.edu.hk/admo/faq,CityUHK official undergraduate admissions FAQ specifies IELTS overall 6.5 or TOEFL iBT 79 for applicants whose entrance qualification was obtained in a language other than English. No universal GPA is stored.,2026-08-21
