program_id,university_id,program_name,degree_level,program_url,tuition_fee,tuition_currency,tuition_period,tuition_research_status,tuition_applicant_scope,tuition_academic_year,tuition_fee_basis,tuition_source_name,tuition_source_url,tuition_reason,verified_at
prog_hk_001,uni_hk_001,Computing and Data Science,Bachelor,https://admissions.hku.hk/programmes/undergraduate-programmes/computing-and-data-science,249000,HKD,Annual,VERIFIED,Non-local student - STEM,2026/27,Annual tuition including STEM fee,HKU Tuition and Living Expenses,https://admissions.hku.hk/fees-and-scholarships/fees,"HKU publishes annual tuition of HKD249,000 for 2026/27 non-local students admitted to STEM faculties and schools. Computing and Data Science is offered by the School of Computing and Data Science, which HKU lists in the STEM tuition category.",2026-08-21
prog_hk_002,uni_hk_001,Bachelor of Business Administration,Bachelor,https://admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-business-administration,224000,HKD,Annual,VERIFIED,Non-local student - non-STEM,2026/27,Annual tuition,HKU Tuition and Living Expenses,https://admissions.hku.hk/fees-and-scholarships/fees,"HKU publishes annual tuition of HKD224,000 for 2026/27 non-local students admitted to non-STEM faculties. The standard BBA programme is offered by HKU Business School, which falls under the non-STEM tuition category. Optional external dual-degree arrangements are not represented by this base tuition row.",2026-08-21
prog_hk_003,uni_hk_001,Bachelor of Science,Bachelor,https://admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-science,249000,HKD,Annual,VERIFIED,Non-local student - STEM,2026/27,Annual tuition including STEM fee,HKU Tuition and Living Expenses,https://admissions.hku.hk/fees-and-scholarships/fees,"HKU publishes annual tuition of HKD249,000 for 2026/27 non-local students admitted to STEM faculties. Bachelor of Science is offered by the Faculty of Science, which HKU explicitly includes in its STEM tuition category.",2026-08-21
prog_hk_004,uni_hk_002,Computer Science and Engineering,Bachelor,https://admission.cuhk.edu.hk/programme/bcsen/,214000,HKD,Annual,VERIFIED,Non-local student,2026/27,Annual tuition,CUHK Undergraduate Admissions - Fees,https://admission.cuhk.edu.hk/fees-financing-your-studies/fees/,"CUHK official undergraduate admissions publishes HKD214,000 annual tuition for non-local students in 2026/27. The programme is not identified as a dual-degree tuition exception.",2026-08-21
prog_hk_005,uni_hk_002,Integrated Bachelor of Business Administration Programme,Bachelor,https://admission.cuhk.edu.hk/programme/ibbac/,214000,HKD,Annual,VERIFIED,Non-local student,2026/27,Annual tuition,CUHK Undergraduate Admissions - Fees,https://admission.cuhk.edu.hk/fees-financing-your-studies/fees/,"CUHK official undergraduate admissions publishes HKD214,000 annual tuition for non-local students in 2026/27. The programme is not identified as a dual-degree tuition exception.",2026-08-21
prog_hk_006,uni_hk_002,Data Science and Policy Studies,Bachelor,https://admission.cuhk.edu.hk/programme/dspsn/,214000,HKD,Annual,VERIFIED,Non-local student,2026/27,Annual tuition,CUHK Undergraduate Admissions - Fees,https://admission.cuhk.edu.hk/fees-financing-your-studies/fees/,"CUHK official undergraduate admissions publishes HKD214,000 annual tuition for non-local students in 2026/27. The programme is not identified as a dual-degree tuition exception.",2026-08-21
prog_hk_007,uni_hk_003,BEng in Computer Engineering,Bachelor,https://join.hkust.edu.hk/our-programs/school-of-engineering/computer-engineering,215000,HKD,Annual,VERIFIED,Non-local student,2026/27,Annual tuition,HKUST Undergraduate Admissions - Fees and Scholarships,https://join.hkust.edu.hk/fees-and-scholarships,"HKUST publishes HKD215,000 tuition per academic year for non-local undergraduate students in 2026/27.",2026-08-21
prog_hk_008,uni_hk_003,BSc in Biomedical and Health Sciences,Bachelor,https://join.hkust.edu.hk/our-programs/school-of-science/biomedical-and-health-sciences,215000,HKD,Annual,VERIFIED,Non-local student,2026/27,Annual tuition,HKUST Undergraduate Admissions - Fees and Scholarships,https://join.hkust.edu.hk/fees-and-scholarships,"HKUST publishes HKD215,000 tuition per academic year for non-local undergraduate students in 2026/27.",2026-08-21
prog_hk_009,uni_hk_003,BBA in Economics,Bachelor,https://join.hkust.edu.hk/our-programs/school-of-business-and-management/economics,215000,HKD,Annual,VERIFIED,Non-local student,2026/27,Annual tuition,HKUST Undergraduate Admissions - Fees and Scholarships,https://join.hkust.edu.hk/fees-and-scholarships,"HKUST publishes HKD215,000 tuition per academic year for non-local undergraduate students in 2026/27.",2026-08-21
prog_hk_010,uni_hk_004,Bachelor of Science (Honours) Scheme in Computing and AI,Bachelor,https://www.polyu.edu.hk/study/ug/international/2026/js3868,200000,HKD,Annual,VERIFIED,Non-local international student - government-funded programme,2026/27,Annual tuition,PolyU International / Other Qualifications - Tuition Fees,https://www.polyu.edu.hk/study/ug/admissions/international-other-qualifications/international-other-qualifications-tuition-fees,"PolyU charges HKD200,000 per academic year for full-time government-funded Bachelor programmes in 2026/27. JS3868 is officially identified as Government-Funded.",2026-08-21
prog_hk_011,uni_hk_004,Bachelor of Science (Honours) Scheme in Data Science and Artificial Intelligence,Bachelor,https://www.polyu.edu.hk/dsai/study/ug/prospective-students/bsc-scheme-in-data-science-and-artificial-intelligence/,200000,HKD,Annual,VERIFIED,Non-local international student - government-funded programme,2026/27,Annual tuition,PolyU International / Other Qualifications - Tuition Fees,https://www.polyu.edu.hk/study/ug/admissions/international-other-qualifications/international-other-qualifications-tuition-fees,"PolyU charges HKD200,000 per academic year for full-time government-funded Bachelor programmes in 2026/27. The Data Science and AI scheme JS3223 is officially Government-Funded.",2026-08-21
prog_hk_012,uni_hk_004,Bachelor's Degree Scheme in Business Administration,Bachelor,https://www.polyu.edu.hk/study/ug/international/2026/js3003,200000,HKD,Annual,VERIFIED,Non-local international student - government-funded programme,2026/27,Annual tuition,PolyU International / Other Qualifications - Tuition Fees,https://www.polyu.edu.hk/study/ug/admissions/international-other-qualifications/international-other-qualifications-tuition-fees,"PolyU charges HKD200,000 per academic year for full-time government-funded Bachelor programmes in 2026/27. Business Administration scheme JS3003 is officially Government-Funded. Optional dual-degree pathways are not represented by this base tuition row.",2026-08-21
prog_hk_013,uni_hk_005,BSc Computer Science,Bachelor,https://www.cityu.edu.hk/admo/programmes/bsc-computer-science,190000,HKD,Annual,VERIFIED,Non-local student - government-funded programme,2026/27,Annual tuition,CityUHK Fees and Scholarships,https://www.cityu.edu.hk/admo/fees-and-scholarships,"CityUHK publishes HKD190,000 per academic year for non-local students admitted to government-funded Bachelor's degree programmes in 2026/27. The Computer Science department also publishes HKD190,000 for non-local students entering in 2026.",2026-08-21
prog_hk_014,uni_hk_005,Data Science (Majors: BSc Data Science / BSc Data and Systems Engineering),Bachelor,https://www.cityu.edu.hk/admo/programmes/school-data-science-options-bsc-data-science-bsc-data-and-systems-engineering,190000,HKD,Annual,VERIFIED,Non-local student - government-funded programme,2026/27,Annual tuition,CityUHK Fees and Scholarships,https://www.cityu.edu.hk/admo/fees-and-scholarships,"CityUHK publishes HKD190,000 annual tuition for 2026/27 non-local students in government-funded Bachelor's degree programmes. The Department of Data Science identifies JS1071 as UGC-funded.",2026-08-21
prog_hk_015,uni_hk_005,BBA Global Business,Bachelor,https://www.cityu.edu.hk/admo/programmes/bba-global-business,190000,HKD,Annual,VERIFIED,Non-local student - government-funded programme,2026/27,Annual tuition,CityUHK Fees and Scholarships,https://www.cityu.edu.hk/admo/fees-and-scholarships,"CityUHK publishes HKD190,000 annual tuition for 2026/27 non-local students in government-funded Bachelor's degree programmes. CityUHK's official programme finder identifies BBA Global Business JS1001 as Government funded. Optional joint-degree arrangements are not represented by this base tuition row.",2026-08-21
prog_hk_016,uni_hk_006,Bachelor of Science (Hons) in Business Computing and Data Analytics,Bachelor,https://admissions.hkbu.edu.hk/programmes/faculty-of-science/bachelor-of-science-hons-in-business-computing-and-data-analytics-year1.html,190000,HKD,Annual,VERIFIED,Non-local undergraduate student,2026/27,Annual tuition,HKBU Undergraduate Admissions - Fees and Scholarships,https://admissions.hkbu.edu.hk/fees-and-scholarships.html,"HKBU officially publishes HKD190,000 annual tuition for full-time non-local undergraduate students in 2026/27.",2026-08-21
prog_hk_017,uni_hk_006,Bachelor of Business Administration (Hons),Bachelor,https://admissions.hkbu.edu.hk/programmes/school-of-business/bachelor-of-business-administration-hons-year1.html,190000,HKD,Annual,VERIFIED,Non-local undergraduate student,2026/27,Annual tuition,HKBU Undergraduate Admissions - Fees and Scholarships,https://admissions.hkbu.edu.hk/fees-and-scholarships.html,"HKBU officially publishes HKD190,000 annual tuition for full-time non-local undergraduate students in 2026/27.",2026-08-21
prog_hk_018,uni_hk_006,Bachelor of Communication (Hons) (Journalism and Digital Media / Public Relations and Advertising),Bachelor,https://admissions.hkbu.edu.hk/programmes/school-of-communication/bachelor-of-communication-hons-journalism-and-digital-media-public-relations-and-advertising-year1.html,190000,HKD,Annual,VERIFIED,Non-local undergraduate student,2026/27,Annual tuition,HKBU Undergraduate Admissions - Fees and Scholarships,https://admissions.hkbu.edu.hk/fees-and-scholarships.html,"HKBU officially publishes HKD190,000 annual tuition for full-time non-local undergraduate students in 2026/27.",2026-08-21
prog_hk_019,uni_hk_007,Bachelor of Science (Honours) in Data Science,Bachelor,https://www.ln.edu.hk/admissions/ug/programme/jupas-applicants/data-science,,,,REVIEWED_UNRESOLVED,Non-local tuition amount requires additional official-source verification,2026/27,Numeric tuition intentionally not stored,Lingnan University Undergraduate Admissions,https://www.ln.edu.hk/admissions/ug/,"Official Lingnan admissions sources were reviewed, but a sufficiently direct current official source for the 2026/27 non-local numeric tuition amount was not retrieved in this verification pass. No amount is inferred from secondary sources.",2026-08-21
prog_hk_020,uni_hk_007,Bachelor of Social Sciences (Honours) - Government and International Affairs,Bachelor,https://www.ln.edu.hk/admissions/ug/programme/jupas-applicants/government-and-international-affairs,,,,REVIEWED_UNRESOLVED,Non-local tuition amount requires additional official-source verification,2026/27,Numeric tuition intentionally not stored,Lingnan University Undergraduate Admissions,https://www.ln.edu.hk/admissions/ug/,"Official Lingnan admissions sources were reviewed, but a sufficiently direct current official source for the 2026/27 non-local numeric tuition amount was not retrieved in this verification pass. No amount is inferred from secondary sources.",2026-08-21
prog_hk_021,uni_hk_007,Bachelor of Social Sciences (Honours) - Social Data Science,Bachelor,https://www.ln.edu.hk/admissions/ug/programme/jupas-applicants/social-data-science,,,,REVIEWED_UNRESOLVED,Non-local tuition amount requires additional official-source verification,2026/27,Numeric tuition intentionally not stored,Lingnan University Undergraduate Admissions,https://www.ln.edu.hk/admissions/ug/,"Official Lingnan admissions sources were reviewed, but a sufficiently direct current official source for the 2026/27 non-local numeric tuition amount was not retrieved in this verification pass. No amount is inferred from secondary sources.",2026-08-21
prog_hk_022,uni_hk_008,Bachelor of Science (Honours) in Artificial Intelligence and Educational Technology,Bachelor,https://www.apply.eduhk.hk/ug/programmes/aiet,180000,HKD,Annual,VERIFIED,Non-local undergraduate student - government-funded programme,2026/27,Annual tuition,EdUHK Undergraduate Programmes - Fees,https://www.apply.eduhk.hk/ug/Fees,"EdUHK officially publishes HKD180,000 per annum for non-local undergraduate students in government-funded programmes for 2026/27.",2026-08-21
prog_hk_023,uni_hk_008,Bachelor of Arts (Honours) in English Studies and Digital Communication,Bachelor,https://www.apply.eduhk.hk/ug/programmes/esdc/,180000,HKD,Annual,VERIFIED,Non-local undergraduate student - government-funded programme,2026/27,Annual tuition,EdUHK Undergraduate Programmes - Fees,https://www.apply.eduhk.hk/ug/Fees,"EdUHK officially publishes HKD180,000 per annum for non-local undergraduate students in government-funded programmes for 2026/27.",2026-08-21
prog_hk_024,uni_hk_008,Bachelor of Social Sciences (Honours) in Psychology,Bachelor,https://www.apply.eduhk.hk/ug/programmes/psy,180000,HKD,Annual,VERIFIED,Non-local undergraduate student - government-funded programme,2026/27,Annual tuition,EdUHK Undergraduate Programmes - Fees,https://www.apply.eduhk.hk/ug/Fees,"EdUHK officially publishes HKD180,000 per annum for non-local undergraduate students in government-funded programmes for 2026/27.",2026-08-21
prog_hk_025,uni_hk_009,Bachelor of Science with Honours in Computing,Bachelor,https://admissions.hkmu.edu.hk/ug/st/bachelor-of-science-with-honours-in-computing/,,,,REVIEWED_UNRESOLVED,Direct Admission (Non-local) applicant,2026/27,Programme-specific non-local fee requires further official verification,HKMU Direct Admission (Non-local),https://admissions.hkmu.edu.hk/ug/overseas/,"HKMU confirms that this programme accepts Direct Admission (Non-local) applicants, but the current accessible official page did not provide a reliably attributable 2026/27 numeric programme fee for this specific programme. No fee is inferred.",2026-08-21
prog_hk_026,uni_hk_009,Bachelor of Business Administration with Honours in Business Management,Bachelor,https://admissions.hkmu.edu.hk/ug/ba/business-management/,,,,REVIEWED_UNRESOLVED,Direct Admission (Non-local) applicant,2026/27,Programme-specific non-local fee requires further official verification,HKMU Direct Admission (Non-local),https://admissions.hkmu.edu.hk/ug/overseas/,"HKMU confirms that this programme accepts Direct Admission (Non-local) applicants, but the current accessible official page did not provide a reliably attributable 2026/27 numeric programme fee for this specific programme. No fee is inferred.",2026-08-21
prog_hk_027,uni_hk_009,Bachelor of Business Administration with Honours in Finance and Financial Technology,Bachelor,https://admissions.hkmu.edu.hk/ug/ba/finance-and-financial-technology/,,,,REVIEWED_UNRESOLVED,Direct Admission (Non-local) applicant,2026/27,Programme-specific non-local fee requires further official verification,HKMU Direct Admission (Non-local),https://admissions.hkmu.edu.hk/ug/overseas/,"HKMU confirms that this programme accepts Direct Admission (Non-local) applicants, but the current accessible official page did not provide a reliably attributable 2026/27 numeric programme fee for this specific programme. No fee is inferred.",2026-08-21
prog_hk_028,uni_hk_010,Bachelor of Science with Honours in Applied Data Science,Bachelor,https://adsci.hksyu.edu/programme/BSc-ADS/programme-overview,125675,HKD,Annual,VERIFIED,Non-local student,2026/27,"Annual programme tuition, payable in two instalments",HKSYU Undergraduate Admissions FAQ,https://uao.hksyu.edu/en/application/FAQ,"HKSYU officially publishes HKD125,675 annual non-local tuition for the Bachelor of Science with Honours in Applied Data Science for the 2026/27 cohort.",2026-08-21
prog_hk_029,uni_hk_010,Bachelor of Commerce (Honours) in Financial Technology,Bachelor,https://ef.hksyu.edu/Programmes/BCom-in-FinTech,110089,HKD,Annual,VERIFIED,Non-local student,2026/27,"Annual programme tuition, payable in two instalments",HKSYU Undergraduate Admissions FAQ,https://uao.hksyu.edu/en/application/FAQ,"HKSYU officially publishes HKD110,089 annual non-local tuition for the Bachelor of Commerce (Honours) in Financial Technology for the 2026/27 cohort.",2026-08-21
prog_hk_030,uni_hk_010,Bachelor of Social Sciences (Honours) in Psychology,Bachelor,https://counpsy.hksyu.edu/,110089,HKD,Annual,VERIFIED,Non-local student,2026/27,"Annual programme tuition, payable in two instalments",HKSYU Undergraduate Admissions FAQ,https://uao.hksyu.edu/en/application/FAQ,"HKSYU publishes HKD110,089 annual non-local tuition for 'Other undergraduate programmes' for the 2026/27 cohort. The standard Psychology programme is not listed among the higher-fee special programme categories.",2026-08-21
prog_hk_031,uni_hk_011,Bachelor of Science (Honours) in Applied Computing,Bachelor,https://admission.hsu.edu.hk/undergraduate-admissions/year-1-entry/hkdse-sssdp/admission-policy/bachelor-of-science-hons-in-applied-computing-jssh03/,153820,HKD,Annual,VERIFIED,Non-local Year-1 undergraduate student,2026/27,First-year annual tuition; SSSDP subsidy not available to non-local students,HSUHK International Qualifications - Fees and Bursaries,https://admission.hsu.edu.hk/undergraduate-admissions/year-1-entry/international-qualification/fees-and-bursaries/,"Bachelor of Science (Honours) in Applied Computing is a 2026/27 SSSDP programme. HSUHK publishes HKD153,820 as the first-year full tuition fee for non-local students in SSSDP programmes other than Art and Design.",2026-08-21
prog_hk_032,uni_hk_011,Bachelor of Science (Honours) in Data Science and Business Intelligence,Bachelor,https://msi.hsu.edu.hk/en/dsbi/programme-information/,153820,HKD,Annual,VERIFIED,Non-local Year-1 undergraduate student,2026/27,First-year annual tuition; SSSDP subsidy not available to non-local students,HSUHK International Qualifications - Fees and Bursaries,https://admission.hsu.edu.hk/undergraduate-admissions/year-1-entry/international-qualification/fees-and-bursaries/,"Bachelor of Science (Honours) in Data Science and Business Intelligence is a 2026/27 SSSDP programme. HSUHK publishes HKD153,820 as the first-year full tuition fee for non-local students in this programme category.",2026-08-21
prog_hk_033,uni_hk_011,Bachelor of Science (Honours) in Business Analytics and Information Management,Bachelor,https://scm.hsu.edu.hk/baim-msim-programme-overview/,153820,HKD,Annual,VERIFIED,Non-local Year-1 undergraduate student,2026/27,First-year annual tuition; SSSDP subsidy not available to non-local students,HSUHK International Qualifications - Fees and Bursaries,https://admission.hsu.edu.hk/undergraduate-admissions/year-1-entry/international-qualification/fees-and-bursaries/,"Bachelor of Science (Honours) in Business Analytics and Information Management is a 2026/27 SSSDP programme. HSUHK publishes HKD153,820 as the first-year full tuition fee for non-local students in this category.",2026-08-21
prog_hk_034,uni_hk_012,Bachelor of Science (Hons) in Computer Science,Bachelor,https://cs.chuhai.edu.hk/home/?lang=en,,,,REVIEWED_UNRESOLVED,Non-local Year-1 applicability requires programme-specific re-verification,2026/27,No numeric tuition stored,Hong Kong Chu Hai College - International Qualifications,https://chuhai.edu.hk/en/overseas-candidates,"Chu Hai publishes HKD104,750 per year for 2026/27 non-local students in four-year degree programmes generally. However, Computer Science has programme-specific non-local admission restriction evidence in official materials. The generic tuition is therefore not applied until programme-specific eligibility is re-verified.",2026-08-21
prog_hk_035,uni_hk_012,Bachelor of Business Administration (Hons) in Finance and Information Management,Bachelor,https://fne.chuhai.edu.hk/?page_id=142,104750,HKD,Annual,VERIFIED,Non-local international undergraduate student,2026/27,Annual tuition,Hong Kong Chu Hai College - International Qualifications,https://chuhai.edu.hk/en/overseas-candidates,"Chu Hai's current international qualifications page publishes HKD104,750 per year for non-local students in 2026/27 four-year degree programmes. Finance and Information Management is a four-year undergraduate programme.",2026-08-21
prog_hk_036,uni_hk_012,Bachelor of Arts (Hons) in Communication and Digital Media,Bachelor,https://jcm.chuhai.edu.hk/bachelor-of-arts-hons-in-communication-and-digital-media/,104750,HKD,Annual,VERIFIED,Non-local international undergraduate student,2026/27,Annual tuition,Hong Kong Chu Hai College - International Qualifications,https://chuhai.edu.hk/en/overseas-candidates,"Chu Hai's current international qualifications page publishes HKD104,750 per year for non-local students in 2026/27 four-year degree programmes. Communication and Digital Media is a four-year undergraduate programme.",2026-08-21
