program_id,university_id,program_name,degree_level,program_url,intake,application_deadline,schedule_research_status,applicant_scope,admission_route,academic_year,schedule_type,schedule_source_name,schedule_source_url,schedule_evidence,storage_reason,verified_at
prog_hk_001,uni_hk_001,Computing and Data Science,Bachelor,https://admissions.hku.hk/programmes/undergraduate-programmes/computing-and-data-science,,,REVIEWED_UNRESOLVED,Non-local / international undergraduate applicant,International / Non-JUPAS Admissions Scheme,2027/28,Target admission cycle not yet published on reviewed official source,HKU International / Non-JUPAS Admissions,https://admissions.hku.hk/apply/international-qualifications,"As of 2026-08-21, HKU's official international admissions page still publishes the 2026-entry cycle: applications opened 24 Sep 2025, first-round evaluation deadline was 26 Nov 2025, later applications were reviewed on a rolling basis, and the cycle closes 21 Aug 2026. A 2027/28 exact intake/deadline schedule was not published on the reviewed page.","The target is 2027/28 admission, but the reviewed official source still publishes the previous/current admission cycle. No 2026 intake or deadline is copied into the master record as if it were a 2027 schedule.",2026-08-21
prog_hk_002,uni_hk_001,Bachelor of Business Administration,Bachelor,https://admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-business-administration,,,REVIEWED_UNRESOLVED,Non-local / international undergraduate applicant,International / Non-JUPAS Admissions Scheme,2027/28,Target admission cycle not yet published on reviewed official source,HKU International / Non-JUPAS Admissions,https://admissions.hku.hk/apply/international-qualifications,"As of 2026-08-21, HKU's official international admissions page still publishes the 2026-entry cycle: applications opened 24 Sep 2025, first-round evaluation deadline was 26 Nov 2025, later applications were reviewed on a rolling basis, and the cycle closes 21 Aug 2026. A 2027/28 exact intake/deadline schedule was not published on the reviewed page.","The target is 2027/28 admission, but the reviewed official source still publishes the previous/current admission cycle. No 2026 intake or deadline is copied into the master record as if it were a 2027 schedule.",2026-08-21
prog_hk_003,uni_hk_001,Bachelor of Science,Bachelor,https://admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-science,,,REVIEWED_UNRESOLVED,Non-local / international undergraduate applicant,International / Non-JUPAS Admissions Scheme,2027/28,Target admission cycle not yet published on reviewed official source,HKU International / Non-JUPAS Admissions,https://admissions.hku.hk/apply/international-qualifications,"As of 2026-08-21, HKU's official international admissions page still publishes the 2026-entry cycle: applications opened 24 Sep 2025, first-round evaluation deadline was 26 Nov 2025, later applications were reviewed on a rolling basis, and the cycle closes 21 Aug 2026. A 2027/28 exact intake/deadline schedule was not published on the reviewed page.","The target is 2027/28 admission, but the reviewed official source still publishes the previous/current admission cycle. No 2026 intake or deadline is copied into the master record as if it were a 2027 schedule.",2026-08-21
prog_hk_004,uni_hk_002,Computer Science and Engineering,Bachelor,https://admission.cuhk.edu.hk/programme/bcsen/,,,REVIEWED_UNRESOLVED,Non-local / international undergraduate applicant,Non-local / International Qualifications,2027/28,Target admission cycle not yet published on reviewed official source,CUHK Undergraduate Admissions - International Important Dates,https://admission.cuhk.edu.hk/application/overseas-other-qualifications-non-local-international-team/important-dates/,"CUHK's current official important-dates page publishes the 2026 Admissions Exercise: advance deadline 13 Nov 2025, regular deadline 8 Jan 2026, extended deadline 29 May 2026, with the first teaching term commencing in early Sep 2026. A 2027/28 exact schedule was not published on the reviewed page.","The target is 2027/28 admission, but the reviewed official source still publishes the previous/current admission cycle. No 2026 intake or deadline is copied into the master record as if it were a 2027 schedule.",2026-08-21
prog_hk_005,uni_hk_002,Integrated Bachelor of Business Administration Programme,Bachelor,https://admission.cuhk.edu.hk/programme/ibbac/,,,REVIEWED_UNRESOLVED,Non-local / international undergraduate applicant,Non-local / International Qualifications,2027/28,Target admission cycle not yet published on reviewed official source,CUHK Undergraduate Admissions - International Important Dates,https://admission.cuhk.edu.hk/application/overseas-other-qualifications-non-local-international-team/important-dates/,"CUHK's current official important-dates page publishes the 2026 Admissions Exercise: advance deadline 13 Nov 2025, regular deadline 8 Jan 2026, extended deadline 29 May 2026, with the first teaching term commencing in early Sep 2026. A 2027/28 exact schedule was not published on the reviewed page.","The target is 2027/28 admission, but the reviewed official source still publishes the previous/current admission cycle. No 2026 intake or deadline is copied into the master record as if it were a 2027 schedule.",2026-08-21
prog_hk_006,uni_hk_002,Data Science and Policy Studies,Bachelor,https://admission.cuhk.edu.hk/programme/dspsn/,,,REVIEWED_UNRESOLVED,Non-local / international undergraduate applicant,Non-local / International Qualifications,2027/28,Target admission cycle not yet published on reviewed official source,CUHK Undergraduate Admissions - International Important Dates,https://admission.cuhk.edu.hk/application/overseas-other-qualifications-non-local-international-team/important-dates/,"CUHK's current official important-dates page publishes the 2026 Admissions Exercise: advance deadline 13 Nov 2025, regular deadline 8 Jan 2026, extended deadline 29 May 2026, with the first teaching term commencing in early Sep 2026. A 2027/28 exact schedule was not published on the reviewed page.","The target is 2027/28 admission, but the reviewed official source still publishes the previous/current admission cycle. No 2026 intake or deadline is copied into the master record as if it were a 2027 schedule.",2026-08-21
prog_hk_007,uni_hk_003,BEng in Computer Engineering,Bachelor,https://join.hkust.edu.hk/our-programs/school-of-engineering/computer-engineering,,,REVIEWED_UNRESOLVED,Non-local / international undergraduate applicant,International Qualifications,2027/28,Target admission cycle not yet published on reviewed official source,HKUST International Qualifications,https://join.hkust.edu.hk/admissions/international-qualifications,"HKUST's current official international page publishes the 2026-entry cycle: application opens 3 Oct 2025, early-round deadline 20 Nov 2025, main-round deadline 8 Jan 2026 and late-round deadline 30 Jun 2026. A 2027/28 exact schedule was not published on the reviewed page.","The target is 2027/28 admission, but the reviewed official source still publishes the previous/current admission cycle. No 2026 intake or deadline is copied into the master record as if it were a 2027 schedule.",2026-08-21
prog_hk_008,uni_hk_003,BSc in Biomedical and Health Sciences,Bachelor,https://join.hkust.edu.hk/our-programs/school-of-science/biomedical-and-health-sciences,,,REVIEWED_UNRESOLVED,Non-local / international undergraduate applicant,International Qualifications,2027/28,Target admission cycle not yet published on reviewed official source,HKUST International Qualifications,https://join.hkust.edu.hk/admissions/international-qualifications,"HKUST's current official international page publishes the 2026-entry cycle: application opens 3 Oct 2025, early-round deadline 20 Nov 2025, main-round deadline 8 Jan 2026 and late-round deadline 30 Jun 2026. A 2027/28 exact schedule was not published on the reviewed page.","The target is 2027/28 admission, but the reviewed official source still publishes the previous/current admission cycle. No 2026 intake or deadline is copied into the master record as if it were a 2027 schedule.",2026-08-21
prog_hk_009,uni_hk_003,BBA in Economics,Bachelor,https://join.hkust.edu.hk/our-programs/school-of-business-and-management/economics,,,REVIEWED_UNRESOLVED,Non-local / international undergraduate applicant,International Qualifications,2027/28,Target admission cycle not yet published on reviewed official source,HKUST International Qualifications,https://join.hkust.edu.hk/admissions/international-qualifications,"HKUST's current official international page publishes the 2026-entry cycle: application opens 3 Oct 2025, early-round deadline 20 Nov 2025, main-round deadline 8 Jan 2026 and late-round deadline 30 Jun 2026. A 2027/28 exact schedule was not published on the reviewed page.","The target is 2027/28 admission, but the reviewed official source still publishes the previous/current admission cycle. No 2026 intake or deadline is copied into the master record as if it were a 2027 schedule.",2026-08-21
prog_hk_010,uni_hk_004,Bachelor of Science (Honours) Scheme in Computing and AI,Bachelor,https://www.polyu.edu.hk/study/ug/international/2026/js3868,,,REVIEWED_UNRESOLVED,Non-local / international undergraduate applicant,International / Other Qualifications,2027/28,Target admission cycle not yet published on reviewed official source,PolyU International / Other Qualifications,https://www.polyu.edu.hk/study/ug/admissions/international-other-qualifications,PolyU's current undergraduate international admissions listings primarily show Sept 2026 entry and 2026 programme application deadlines. A verified 2027/28 application deadline for these three I1 programmes was not yet published on the reviewed official admissions listing.,"The target is 2027/28 admission, but the reviewed official source still publishes the previous/current admission cycle. No 2026 intake or deadline is copied into the master record as if it were a 2027 schedule.",2026-08-21
