"candidate_id","country_id","country_name","scholarship_name","provider_name","host_university_name","scholarship_route","target_cycle","official_source_url","verification_status","notes"
"jp_sch_candidate_001","country_jp","Japan","MEXT University Recommendation General Selection IST","Japanese Government MEXT","The University of Tokyo","University Recommendation","2027","https://www.i.u-tokyo.ac.jp/edu/inter_ex/oir/scholarship_e.shtml","Needs Review","Existing EduPath scholarship record"
"jp_sch_candidate_002","country_jp","Japan","2027 University Recommended Japanese Government MEXT Scholarship","Japanese Government MEXT","The University of Tokyo School of Science","University Recommendation","2027","https://www.s.u-tokyo.ac.jp/en/admission/scholarship.html","Verified","Official UTokyo Graduate School of Science AY2027 MEXT University Recommendation. Application: Oct 15-30 2026 JST. Enrollment: Oct 2027. Degree levels: Master's and Doctoral. MEXT GPA: 2.30+. English example requirements: IELTS 5.5+ or TOEFL iBT 72+."
"jp_sch_candidate_003","country_jp","Japan","MEXT IGP Special Quota","Japanese Government MEXT","Hokkaido University","University Recommendation Special Quota","2027","https://www.global.hokudai.ac.jp/news/26039/","Verified","Official Hokkaido University MEXT IGP Special Quota for October 2027 admission. Graduate School of Life Science offers 2-year scholarships for 3 Master's students and 3-year scholarships for 5 doctoral students. Prospective supervisor contact target: Nov 10 2026. Supervisor submission to IGP office: Dec 10 2026."
"jp_sch_candidate_004","country_jp","Japan","2027 MEXT Scholarship Special Program","Japanese Government MEXT","Hokkaido University Graduate School of Science","University Recommendation Special Program","2027","https://www2.sci.hokudai.ac.jp/gs/en/news/5419","Verified","Official Hokkaido University Graduate School of Science AY2027 MEXT Special Program IGC-DHS. October 2027 intake. Five fully funded MEXT scholarships: 4 doctoral students for 3 years and 1 master's student for 2 years."
"jp_sch_candidate_005","country_jp","Japan","MEXT Scholarship for International Graduate Program for Advanced Science IGPAS","Japanese Government MEXT","Tohoku University Graduate School of Science","University Recommendation Special Selection","2027","https://www.sci.tohoku.ac.jp/english/prospective/","Verified","Official Tohoku University Graduate School of Science source confirms MEXT scholarship opportunities for IGPAS applicants for 2026, 2027 and 2028 admissions. IGPAS is listed by Tohoku University as a MEXT University Recommendation Special Selection program. IGPAS Master's admission is October only."
"jp_sch_candidate_006","country_jp","Japan","MEXT University Recommendation General Program","Japanese Government MEXT","Kyoto University Graduate School of Science","University Recommendation General Program","2027","https://sci.kyoto-u.ac.jp/en/admissions/mext","Needs Review","Official Kyoto University, not directly by students. Kyoto University may nominate up to three candidates annually. Typical university-recommendation application timing is November-December, but the exact 2027 cycle deadline and guidelines are not yet confirmed."
"jp_sch_candidate_007","country_jp","Japan","MEXT University Recommendation","Japanese Government MEXT","The University of Osaka","University Recommendation","2027","https://www.osaka-u.ac.jp/en/international/inbound/admission.html","Needs Review","Official University of Osaka source confirms the MEXT University Recommendation route. Graduate-level applicants may be accepted through university recommendation. Some graduate schools have MEXT-granted special programs, but exact October 2027 application guidelines and deadlines require further verification before this record can be promoted to Verified."
"jp_sch_candidate_008","country_jp","Japan","MEXT University Recommendation Special Selection AISIP","Japanese Government MEXT","University of Tsukuba","University Recommendation Special Program","2027","https://www.sie.tsukuba.ac.jp/eng/exam/applicants/entra/","Verified","Official University of Tsukuba 2027 MEXT University Recommendation Special Selection. AISIP applies to Master's and Doctoral Program in Computer Science for April 2027 enrollment. Eligibility screening deadline: Aug 21 2026 3:00 PM JST. Prescreening deadline: Aug 28 2026 3:00 PM JST. Entrance examination electronic application deadline: Sep 18 2026 3:00 PM JST. Original documents deadline: Oct 9 2026 5:00 PM JST."
"jp_sch_candidate_009","country_jp","Japan","MEXT University Recommendation","Japanese Government MEXT","Keio University Graduate School of Science and Technology","University Recommendation","2027","https://www.keio.ac.jp/en/st/admissions-en/scholarships/mext_university_recommendation/","Needs Review","Official Keio Graduate School of Science and Technology source confirms MEXT University Recommendation for both Master's and Doctoral students. Applicants must apply through IGP Application Period I and choose September enrollment. The graduate school may recommend only one candidate. The currently posted detailed announcement is for 2026, so exact AY2027 dates and requirements still require verification."
"jp_sch_candidate_010","country_jp","Japan","MEXT University Recommendation UR Scholarship","Japanese Government MEXT","Ritsumeikan Asia Pacific University","University Recommendation","2027","https://admissions.apu.ac.jp/graduate/how_to_apply/external_scholarship/u_recommendation/","Verified","Official APU 2027 MEXT University Recommendation scholarship. Available for September enrollment only. Application deadline: Nov 5 2026. APU reviews application documents and selects suitable candidates to recommend to MEXT."
"jp_sch_candidate_011","country_jp","Japan","MEXT University Recommendation Scholarship","Japanese Government MEXT","Ritsumeikan University","University Recommendation","2027","https://en.ritsumei.ac.jp/admissions/monbukagakusho-university-recommendation/","Needs Review","Official Ritsumeikan University page confirms MEXT University Recommendation for September 2027 enrollment. AY2027 application guidelines are scheduled for release between November and December 2026, so exact dates and requirements still require verification."
"jp_sch_candidate_012","country_jp","Japan","MEXT Foreign Student Priority Placement Special Program","Japanese Government MEXT","Soka University","University Recommendation Special Selection","2027","https://www.soka.ac.jp/en/green-technology/gt-mext-scholarship/","Verified","Official Soka University Green Technology scholarship page confirms recruitment for international regular students enrolling in April 2027 under the MEXT Foreign Student Priority Placement Special Program."
"jp_sch_candidate_013","country_jp","Japan","Japanese Government MEXT Scholarship Undergraduate Program","Japanese Government MEXT","Akita University","University-Based MEXT Program","2027","https://www.akita-u.ac.jp/shigen/eng/reason/program.html","Verified","Official Akita University source confirms April 2027 enrollment with six recipients. The application period for April 2027 admission is August 17 to September 18 2026. Scholarship includes a monthly stipend and admission and tuition fee waiver."
"jp_sch_candidate_014","country_jp","Japan","MEXT University Recommendation Priority or General Scheme IGP(A)","Japanese Government MEXT","Institute of Science Tokyo","University Recommendation Priority or General","2027","https://www.titech.ac.jp/english/international-student-exchange/prospective-students/scholarships/mext-university-general","Needs Review","Official Science Tokyo source confirms MEXT University Recommendation through International Graduate Program A for Master and Doctor integrated education, with September admission. Current detailed allocation information is based on the previous cycle, so AY2027 program allocation requires verification."
"jp_sch_candidate_015","country_jp","Japan","MEXT University Recommendation General","Japanese Government MEXT","Toyohashi University of Technology","University Recommendation General","2027","https://www.tut.ac.jp/english/exam/applications/jg-scholarship-en2.html","Needs Review","Official Toyohashi University of Technology source confirms the MEXT University Recommendation General route for research, Master's and Doctoral students. Applications for 2027 are expected to open around December 2026."
