program_id,correction_type,field_name,old_value,new_value,result_status,source_name,source_url,correction_reason,verified_at
prog_hk_004,TOEFL_2027_SCALE_SAFETY,toefl_requirement,80,,CORRECTED_EVIDENCE_CLOSED,CUHK Undergraduate Admissions - Language Requirements,https://admission.cuhk.edu.hk/application/non-jupas/language-requirements/,2027 Entry onwards is subject to review; a single 80 value is not safely representative of the target admission cycle.,2026-08-21
prog_hk_005,TOEFL_2027_SCALE_SAFETY,toefl_requirement,80,,CORRECTED_EVIDENCE_CLOSED,CUHK Undergraduate Admissions - Language Requirements,https://admission.cuhk.edu.hk/application/non-jupas/language-requirements/,2027 Entry onwards is subject to review; a single 80 value is not safely representative of the target admission cycle.,2026-08-21
prog_hk_006,TOEFL_2027_SCALE_SAFETY,toefl_requirement,80,,CORRECTED_EVIDENCE_CLOSED,CUHK Undergraduate Admissions - Language Requirements,https://admission.cuhk.edu.hk/application/non-jupas/language-requirements/,2027 Entry onwards is subject to review; a single 80 value is not safely representative of the target admission cycle.,2026-08-21
prog_hk_007,LANGUAGE_EVIDENCE_RECHECK,language_of_instruction / evidence,English | VERIFIED,English | VERIFIED,CORRECTED_EVIDENCE_CLOSED,HKUST Undergraduate Admissions FAQ,https://join.hkust.edu.hk/faq,"HKUST's official undergraduate admissions FAQ explicitly states that lectures, course materials and work are conducted in English, except language courses and a small number of courses requiring Chinese.",2026-08-21
prog_hk_008,LANGUAGE_EVIDENCE_RECHECK,language_of_instruction / evidence,English | VERIFIED,English | VERIFIED,CORRECTED_EVIDENCE_CLOSED,HKUST Undergraduate Admissions FAQ,https://join.hkust.edu.hk/faq,"HKUST's official undergraduate admissions FAQ explicitly states that lectures, course materials and work are conducted in English, except language courses and a small number of courses requiring Chinese.",2026-08-21
prog_hk_009,LANGUAGE_EVIDENCE_RECHECK,language_of_instruction / evidence,English | VERIFIED,English | VERIFIED,CORRECTED_EVIDENCE_CLOSED,HKUST Undergraduate Admissions FAQ,https://join.hkust.edu.hk/faq,"HKUST's official undergraduate admissions FAQ explicitly states that lectures, course materials and work are conducted in English, except language courses and a small number of courses requiring Chinese.",2026-08-21
prog_hk_016,LANGUAGE_EVIDENCE_RECHECK,language_of_instruction / evidence,English | VERIFIED,English | VERIFIED,CORRECTED_EVIDENCE_CLOSED,HKBU BSc Business Computing and Data Analytics Programme,https://admissions.hkbu.edu.hk/programmes/faculty-of-science/bachelor-of-science-hons-in-business-computing-and-data-analytics-year1.html,The official programme page explicitly states that classroom teaching is in English except courses granted exemption.,2026-08-21
prog_hk_018,LANGUAGE_EVIDENCE_RECHECK,language_of_instruction / evidence,English | VERIFIED,English | VERIFIED,CORRECTED_EVIDENCE_CLOSED,HKBU Bachelor of Communication Programme,https://admissions.hkbu.edu.hk/programmes/school-of-communication/bachelor-of-communication-hons-journalism-and-digital-media-public-relations-and-advertising-year1.html,The official programme page explicitly states that classroom teaching is in English except courses granted exemption.,2026-08-21
prog_hk_020,LANGUAGE_EVIDENCE_RECHECK,language_of_instruction / evidence,English Available | VERIFIED,Unknown | REVIEWED_UNRESOLVED,CORRECTED_EVIDENCE_CLOSED,Lingnan University Department of Government and International Affairs,https://www.ln.edu.hk/gia/,"Current official materials confirm the Government and International Affairs programme and its courses, but this review did not retrieve a sufficiently explicit whole-programme undergraduate medium-of-instruction statement. The previous 'English Available' value is therefore replaced with Unknown rather than inferred.",2026-08-21
prog_hk_028,LANGUAGE_EVIDENCE_RECHECK,language_of_instruction / evidence,English Available | VERIFIED,Unknown | REVIEWED_UNRESOLVED,CORRECTED_EVIDENCE_CLOSED,HKSYU Applied Data Science Programme Structure,https://adsci.hksyu.edu/programme/BSc-ADS/programme-structure,"The current official programme page confirms the Applied Data Science programme, curriculum, duration and study mode, but does not explicitly state the whole-programme medium of instruction. English language courses alone are not treated as proof that all programme instruction is in English. The previous 'English Available' value is replaced with Unknown.",2026-08-21
