"candidate_id","country_id","country_name","scholarship_name","provider_name","host_university_name","scholarship_route","target_cycle","official_source_url","verification_status","notes"
"jp_sch_candidate_002","country_jp","Japan","2027 University Recommended Japanese Government MEXT Scholarship","Japanese Government MEXT","The University of Tokyo School of Science","University Recommendation","2027","https://www.s.u-tokyo.ac.jp/en/admission/scholarship.html","Verified","Official UTokyo Graduate School of Science AY2027 MEXT University Recommendation. Application: Oct 15-30 2026 JST. Enrollment: Oct 2027. Degree levels: Master's and Doctoral. MEXT GPA: 2.30+. English example requirements: IELTS 5.5+ or TOEFL iBT 72+."
"jp_sch_candidate_003","country_jp","Japan","MEXT IGP Special Quota","Japanese Government MEXT","Hokkaido University","University Recommendation Special Quota","2027","https://www.global.hokudai.ac.jp/news/26039/","Verified","Official Hokkaido University MEXT IGP Special Quota for October 2027 admission. Graduate School of Life Science offers 2-year scholarships for 3 Master's students and 3-year scholarships for 5 doctoral students. Prospective supervisor contact target: Nov 10 2026. Supervisor submission to IGP office: Dec 10 2026."
"jp_sch_candidate_004","country_jp","Japan","2027 MEXT Scholarship Special Program","Japanese Government MEXT","Hokkaido University Graduate School of Science","University Recommendation Special Program","2027","https://www2.sci.hokudai.ac.jp/gs/en/news/5419","Verified","Official Hokkaido University Graduate School of Science AY2027 MEXT Special Program IGC-DHS. October 2027 intake. Five fully funded MEXT scholarships: 4 doctoral students for 3 years and 1 master's student for 2 years."
"jp_sch_candidate_005","country_jp","Japan","MEXT Scholarship for International Graduate Program for Advanced Science IGPAS","Japanese Government MEXT","Tohoku University Graduate School of Science","University Recommendation Special Selection","2027","https://www.sci.tohoku.ac.jp/english/prospective/","Verified","Official Tohoku University Graduate School of Science source confirms MEXT scholarship opportunities for IGPAS applicants for 2026, 2027 and 2028 admissions. IGPAS is listed by Tohoku University as a MEXT University Recommendation Special Selection program. IGPAS Master's admission is October only."
"jp_sch_candidate_008","country_jp","Japan","MEXT University Recommendation Special Selection AISIP","Japanese Government MEXT","University of Tsukuba","University Recommendation Special Program","2027","https://www.sie.tsukuba.ac.jp/eng/exam/applicants/entra/","Verified","Official University of Tsukuba 2027 MEXT University Recommendation Special Selection. AISIP applies to Master's and Doctoral Program in Computer Science for April 2027 enrollment. Eligibility screening deadline: Aug 21 2026 3:00 PM JST. Prescreening deadline: Aug 28 2026 3:00 PM JST. Entrance examination electronic application deadline: Sep 18 2026 3:00 PM JST. Original documents deadline: Oct 9 2026 5:00 PM JST."
"jp_sch_candidate_010","country_jp","Japan","MEXT University Recommendation UR Scholarship","Japanese Government MEXT","Ritsumeikan Asia Pacific University","University Recommendation","2027","https://admissions.apu.ac.jp/graduate/how_to_apply/external_scholarship/u_recommendation/","Verified","Official APU 2027 MEXT University Recommendation scholarship. Available for September enrollment only. Application deadline: Nov 5 2026. APU reviews application documents and selects suitable candidates to recommend to MEXT."
"jp_sch_candidate_012","country_jp","Japan","MEXT Foreign Student Priority Placement Special Program","Japanese Government MEXT","Soka University","University Recommendation Special Selection","2027","https://www.soka.ac.jp/en/green-technology/gt-mext-scholarship/","Verified","Official Soka University Green Technology scholarship page confirms recruitment for international regular students enrolling in April 2027 under the MEXT Foreign Student Priority Placement Special Program."
"jp_sch_candidate_013","country_jp","Japan","Japanese Government MEXT Scholarship Undergraduate Program","Japanese Government MEXT","Akita University","University-Based MEXT Program","2027","https://www.akita-u.ac.jp/shigen/eng/reason/program.html","Verified","Official Akita University source confirms April 2027 enrollment with six recipients. The application period for April 2027 admission is August 17 to September 18 2026. Scholarship includes a monthly stipend and admission and tuition fee waiver."
"jp_sch_candidate_017","country_jp","Japan","MEXT Scholarship International Multidisciplinary Engineering Graduate Program IME","Japanese Government MEXT","The University of Tokyo Graduate School of Engineering","University Recommendation IME Graduate Program","2027","https://www.ime.t.u-tokyo.ac.jp/Prospectus-2027.html","Verified","Official UTokyo IME 2027 prospectus confirms that top qualified September applicants may receive the MEXT scholarship through University of Tokyo recommendation. The program offers Master of Engineering and Doctor of Engineering degrees and MEXT grantees receive entrance and tuition fee exemption."
"jp_sch_candidate_019","country_jp","Japan","MEXT Scholarship Student SOKENDAI Recommendation PGP AI and Data Science","Japanese Government MEXT","The Graduate University for Advanced Studies SOKENDAI","SOKENDAI Recommendation PGP Special Program","2027","https://www.soken.ac.jp/en/admission/application_info/ps/file/Phy_ApplicationGuideline-2027pgp.pdf","Verified","Official SOKENDAI application guidelines confirm MEXT Scholarship Student SOKENDAI Recommendation PGP for October 2027. The Physiological Sciences route participates in the Interdisciplinary PhD Program in Information Science and Life Science for Leading Researchers on AI and Data Science."
"jp_sch_candidate_020","country_jp","Japan","MEXT Scholarship Student SOKENDAI Recommendation Statistical Science Program","Japanese Government MEXT","The Graduate University for Advanced Studies SOKENDAI","SOKENDAI Recommendation","2027","https://www.soken.ac.jp/en/admission/application_info/stat/file/Sta_ApplicationGuideline-2027m.pdf","Verified","Official SOKENDAI application guidelines confirm MEXT Scholarship Student SOKENDAI Recommendation for the Statistical Science Program with October 2027 arrival. Scholarship periods cover the applicable doctoral program structure, while the exact 2027 stipend amount has not yet been fixed."
