program_id,university_id,university_name,country_id,program_slot,program_name,degree_level,field_of_study,program_url,programme_identity_status,programme_identity_evidence,duration_years,study_mode,language_of_instruction,tuition_fee,tuition_currency,tuition_period,minimum_gpa,gpa_scale,ielts_requirement,toefl_requirement,intake,application_deadline,official_university_website,research_status,research_note,last_verified_at,international_applicants_status,international_application_url,international_requirements_note,international_applicants_last_verified_at
prog_mo_001,uni_mo_001,University of Macau,country_mo,1,Bachelor of Science in Computer Science,Bachelor,Computer Science,https://www.cis.um.edu.mo/bsc_computer_science.html,VERIFIED,Official University of Macau Computer and Information Science programme page confirms the Bachelor of Science in Computer Science.,4,Full-time,English,490400,MOP,Total,,,,,,,https://www.um.edu.mo/,VERIFIED,Current official programme identity verified. Optional detail fields not explicitly supported in this pass remain blank. | DETAIL PASS 2026-08-22: Current official programme/accreditation and fee evidence supports a 4-year English Bachelor programme and the non-local full-programme tuition. Future 2027/28 intake and deadline are not stored without a published schedule.,2026-08-22,verified_yes,https://reg.um.edu.mo/admissions/nonlocal/others-regions/app-adm-rules/,UM 2026/2027 international admission page states that foreign-passport international applicants may apply to Bachelor programmes through Admission Examination or Direct Admission.,2026-08-21
prog_mo_002,uni_mo_001,University of Macau,country_mo,2,Bachelor of Science in Electrical and Computer Engineering,Bachelor,Electrical and Computer Engineering,https://www.fst.um.edu.mo/academics/programs/,VERIFIED,Official University of Macau Faculty of Science and Technology programme list confirms this Bachelor programme.,4,Full-time,English,490400,MOP,Total,,,,,,,https://www.um.edu.mo/,VERIFIED,Identity and English medium supported by current official FST programme information. | DETAIL PASS 2026-08-22: Current UM engineering programme and non-local fee evidence verified. Future schedule fields remain blank.,2026-08-22,verified_yes,https://reg.um.edu.mo/admissions/nonlocal/others-regions/app-adm-rules/,UM has a 2026/2027 Bachelor admission route specifically for international students holding foreign passports.,2026-08-21
prog_mo_003,uni_mo_001,University of Macau,country_mo,3,Bachelor of Science in Civil Engineering,Bachelor,Civil Engineering,https://www.fst.um.edu.mo/cee/degrees/bachelor/,VERIFIED,Official University of Macau Faculty of Science and Technology Civil Engineering page confirms this programme.,4,Full-time,English,490400,MOP,Total,,,,,,,https://www.um.edu.mo/,VERIFIED,Current official programme identity verified. | DETAIL PASS 2026-08-22: Current UM civil engineering and non-local fee evidence verified. Future schedule fields remain blank.,2026-08-22,verified_yes,https://reg.um.edu.mo/admissions/nonlocal/others-regions/app-adm-rules/,UM 2026/2027 international Bachelor admission route supports foreign-passport applicants.,2026-08-21
prog_mo_004,uni_mo_002,Macao Polytechnic University,country_mo,1,Bachelor of Science in Computing,Bachelor,Computing,https://fca.mpu.edu.mo/en/study/bachelor-degree-programmes/bachelor-of-science-in-computing-applicable-to-20232024-intake-and-onwards,VERIFIED,Official MPU current programme page confirms the programme.,4,,English,480000,MOP,Total,,,,,,,https://www.mpu.edu.mo/,VERIFIED,"Official programme page reports 4 years, English medium and daytime mode. Daytime is not force-mapped to the final study_mode enum in this pass. | DETAIL PASS 2026-08-22: Official MPU source reports 4 years, daytime and English. Daytime is preserved as evidence but is not force-mapped to the canonical study_mode enum.",2026-08-22,verified_yes,https://mpusite.mpu.edu.mo/admission_overseas/en/direct_admission.php,MPU overseas direct admission explicitly lists Bachelor of Science in Computing as an applicable programme.,2026-08-21
prog_mo_005,uni_mo_002,Macao Polytechnic University,country_mo,2,Bachelor of Science in Artificial Intelligence,Bachelor,Artificial Intelligence,https://fca.mpu.edu.mo/en/study/bachelor-degree-programmes/bachelor-of-science-in-artificial-intelligence,VERIFIED,Official MPU programme page confirms the Bachelor of Science in Artificial Intelligence.,4,,English,480000,MOP,Total,,,,,,,https://www.mpu.edu.mo/,VERIFIED,"Official page reports four years, English medium and daytime mode. | DETAIL PASS 2026-08-22: Official MPU source reports 4 years, daytime and English. Canonical study_mode remains unresolved.",2026-08-22,verified_yes,https://mpusite.mpu.edu.mo/admission_overseas/en/direct_admission.php,MPU overseas admission explicitly includes this programme.,2026-08-21
prog_mo_006,uni_mo_002,Macao Polytechnic University,country_mo,3,Bachelor of Management,Bachelor,Management,https://fcg.mpu.edu.mo/en/study/bachelor-degree-programmes/bachelor-of-management,VERIFIED,Official MPU programme page confirms Bachelor of Management.,4,,English,480000,MOP,Total,,,,,,,https://www.mpu.edu.mo/,VERIFIED,"Official programme information reports four years and Chinese/English medium. | DETAIL PASS 2026-08-22: For the overseas/current route, MPU lists Bachelor of Management as a 4-year daytime English programme. The separate evening Chinese version is not mixed into this selected programme record.",2026-08-22,verified_yes,https://mpusite.mpu.edu.mo/admission_overseas/en/direct_admission.php,MPU overseas direct admission includes Bachelor of Management among applicable Bachelor programmes.,2026-08-21
prog_mo_007,uni_mo_003,Macau University of Science and Technology,country_mo,1,Bachelor of Business Administration,Bachelor,Business Administration,https://msb.must.edu.mo/page/id-3505.html?locale=en_US,VERIFIED,Official MUST School of Business programme page confirms the Bachelor of Business Administration.,4,,English,174000,HKD,Annual,,,,,,,https://www.must.edu.mo/,VERIFIED,"Official current programme information reports four academic years and English-medium instruction. | DETAIL PASS 2026-08-22: 2026/27 non-Macao fee table verifies BBA normal duration 4 years and first-year tuition HKD174,000.",2026-08-22,verified_yes,https://www.must.edu.mo/en/academic-affairs-office/938-admissions/international-student/6159-international-student-e,MUST explicitly lists BBA among undergraduate programmes open to international students.,2026-08-21
prog_mo_008,uni_mo_003,Macau University of Science and Technology,country_mo,2,Bachelor of International Tourism Management,Bachelor,Tourism and Hospitality Management,https://fhtm.must.edu.mo/id-1725/program/view/id-263.html?locale=en_US,VERIFIED,Official MUST Faculty of Hospitality and Tourism Management programme page confirms the programme.,4,,English,163000,HKD,Annual,,,,,,,https://www.must.edu.mo/,VERIFIED,"Official page reports four-year normal duration, face-to-face teaching and English teaching language. | DETAIL PASS 2026-08-22: 2026/27 non-Macao table verifies 4 years and first-year tuition HKD163,000 for International Tourism Management.",2026-08-22,verified_yes,https://www.must.edu.mo/en/academic-affairs-office/938-admissions/international-student/6159-international-student-e,MUST explicitly lists Bachelor of International Tourism Management for international-student applications.,2026-08-21
prog_mo_009,uni_mo_003,Macau University of Science and Technology,country_mo,3,Bachelor of Applied Economics,Bachelor,Economics,https://ugadmissions.must.edu.mo/faculty/id-2878.html?locale=en_US,VERIFIED,Official MUST undergraduate programme list confirms Bachelor of Applied Economics.,4,,English,174000,HKD,Annual,,,,,,,https://www.must.edu.mo/,VERIFIED,"Current official programme list reports four years and English medium. | DETAIL PASS 2026-08-22: 2026/27 non-Macao table verifies 4 years and first-year tuition HKD174,000 for Applied Economics.",2026-08-22,verified_yes,https://www.must.edu.mo/en/academic-affairs-office/938-admissions/international-student/6159-international-student-e,MUST international-student page explicitly includes Bachelor of Applied Economics.,2026-08-21
prog_mo_010,uni_mo_004,City University of Macau,country_mo,1,Bachelor of Computer Science,Bachelor,Computer Science,https://fds.cityu.edu.mo/en/page-132,VERIFIED,Official CityU Faculty of Data Science programme page confirms Bachelor of Computer Science.,4,,Unknown,125000,HKD,Annual,,,,,,,https://www.cityu.edu.mo/,VERIFIED,"Programme identity verified; unsupported optional details remain blank. | DETAIL PASS 2026-08-22: Current 2026/27 Bachelor information supports 4-year duration and HKD125,000 annual non-local tuition. Whole-programme language is kept Unknown rather than inferred from an English webpage.",2026-08-22,verified_yes,https://www.cityu.edu.mo/en/apply-now-bachelors-degree-programs-2026-2027-macao-hong-kong-taiwan-overseas/,CityU 2026/2027 admissions explicitly accepts international students and lists Computer Science.,2026-08-21
prog_mo_011,uni_mo_004,City University of Macau,country_mo,2,Bachelor of Business Administration,Bachelor,Business Administration,https://www.cityu.edu.mo/en/admissions/bachelors-degree-programmes/,VERIFIED,Official CityU Bachelor programme list confirms Bachelor of Business Administration.,4,,Chinese,125000,HKD,Annual,,,,,,,https://www.cityu.edu.mo/,VERIFIED,"Official current Bachelor list identifies the main BBA programme as Chinese-medium. | DETAIL PASS 2026-08-22: Current Bachelor list identifies the selected BBA as Chinese-medium; 2026/27 tuition is HKD125,000 annually.",2026-08-22,verified_yes,https://www.cityu.edu.mo/en/apply-now-bachelors-degree-programs-2026-2027-macao-hong-kong-taiwan-overseas/,CityU 2026/2027 international admission offering includes Business Administration.,2026-08-21
