"scholarship_id","country_id","country_name","host_university_name","host_university_id","scholarship_name","provider_name","provider_type","scholarship_route","target_cycle","degree_levels","funding_type","minimum_gpa","gpa_scale","monthly_allowance","allowance_currency","application_opening_date","application_deadline","scholarship_status","freshness_status","data_quality_status","eligible_nationalities","fields_of_study","ielts_requirement","toefl_requirement","age_limit","tuition_coverage","travel_allowance","accommodation_support","health_insurance","required_documents","official_website","source_url","collected_at","last_verified_at","verification_status","notes"
"sch_jp_002","country_jp","Japan","The University of Tokyo School of Science","","2027 University Recommended Japanese Government MEXT Scholarship","Japanese Government MEXT","government","University Recommendation","2027","","Fully Funded","","","","JPY","","","upcoming","current","verified","","","","","","","","","","","https://www.s.u-tokyo.ac.jp/en/admission/scholarship.html","https://www.s.u-tokyo.ac.jp/en/admission/scholarship.html","2026-08-11T01:15:03","2026-08-11T01:15:03","Verified","Official UTokyo Graduate School of Science AY2027 MEXT University Recommendation. Application: Oct 15-30 2026 JST. Enrollment: Oct 2027. Degree levels: Master's and Doctoral. MEXT GPA: 2.30+. English example requirements: IELTS 5.5+ or TOEFL iBT 72+."
"sch_jp_003","country_jp","Japan","Hokkaido University","","MEXT IGP Special Quota","Japanese Government MEXT","government","University Recommendation Special Quota","2027","","Fully Funded","","","","JPY","","","upcoming","current","verified","","","","","","","","","","","https://www.global.hokudai.ac.jp/news/26039/","https://www.global.hokudai.ac.jp/news/26039/","2026-08-11T01:15:03","2026-08-11T01:15:03","Verified","Official Hokkaido University MEXT IGP Special Quota for October 2027 admission. Graduate School of Life Science offers 2-year scholarships for 3 Master's students and 3-year scholarships for 5 doctoral students. Prospective supervisor contact target: Nov 10 2026. Supervisor submission to IGP office: Dec 10 2026."
"sch_jp_004","country_jp","Japan","Hokkaido University Graduate School of Science","","2027 MEXT Scholarship Special Program","Japanese Government MEXT","government","University Recommendation Special Program","2027","","Fully Funded","","","","JPY","","","upcoming","current","verified","","","","","","","","","","","https://www2.sci.hokudai.ac.jp/gs/en/news/5419","https://www2.sci.hokudai.ac.jp/gs/en/news/5419","2026-08-11T01:15:03","2026-08-11T01:15:03","Verified","Official Hokkaido University Graduate School of Science AY2027 MEXT Special Program IGC-DHS. October 2027 intake. Five fully funded MEXT scholarships: 4 doctoral students for 3 years and 1 master's student for 2 years."
"sch_jp_005","country_jp","Japan","Tohoku University Graduate School of Science","","MEXT Scholarship for International Graduate Program for Advanced Science IGPAS","Japanese Government MEXT","government","University Recommendation Special Selection","2027","","Fully Funded","","","","JPY","","","upcoming","current","verified","","","","","","","","","","","https://www.sci.tohoku.ac.jp/english/prospective/","https://www.sci.tohoku.ac.jp/english/prospective/","2026-08-11T01:15:03","2026-08-11T01:15:03","Verified","Official Tohoku University Graduate School of Science source confirms MEXT scholarship opportunities for IGPAS applicants for 2026, 2027 and 2028 admissions. IGPAS is listed by Tohoku University as a MEXT University Recommendation Special Selection program. IGPAS Master's admission is October only."
"sch_jp_008","country_jp","Japan","University of Tsukuba","","MEXT University Recommendation Special Selection AISIP","Japanese Government MEXT","government","University Recommendation Special Program","2027","","Fully Funded","","","","JPY","","","upcoming","current","verified","","","","","","","","","","","https://www.sie.tsukuba.ac.jp/eng/exam/applicants/entra/","https://www.sie.tsukuba.ac.jp/eng/exam/applicants/entra/","2026-08-11T01:15:03","2026-08-11T01:15:03","Verified","Official University of Tsukuba 2027 MEXT University Recommendation Special Selection. AISIP applies to Master's and Doctoral Program in Computer Science for April 2027 enrollment. Eligibility screening deadline: Aug 21 2026 3:00 PM JST. Prescreening deadline: Aug 28 2026 3:00 PM JST. Entrance examination electronic application deadline: Sep 18 2026 3:00 PM JST. Original documents deadline: Oct 9 2026 5:00 PM JST."
"sch_jp_010","country_jp","Japan","Ritsumeikan Asia Pacific University","","MEXT University Recommendation UR Scholarship","Japanese Government MEXT","government","University Recommendation","2027","","Fully Funded","","","","JPY","","","upcoming","current","verified","","","","","","","","","","","https://admissions.apu.ac.jp/graduate/how_to_apply/external_scholarship/u_recommendation/","https://admissions.apu.ac.jp/graduate/how_to_apply/external_scholarship/u_recommendation/","2026-08-11T01:15:03","2026-08-11T01:15:03","Verified","Official APU 2027 MEXT University Recommendation scholarship. Available for September enrollment only. Application deadline: Nov 5 2026. APU reviews application documents and selects suitable candidates to recommend to MEXT."
"sch_jp_012","country_jp","Japan","Soka University","","MEXT Foreign Student Priority Placement Special Program","Japanese Government MEXT","government","University Recommendation Special Selection","2027","","Fully Funded","","","","JPY","","","upcoming","current","verified","","","","","","","","","","","https://www.soka.ac.jp/en/green-technology/gt-mext-scholarship/","https://www.soka.ac.jp/en/green-technology/gt-mext-scholarship/","2026-08-11T01:15:03","2026-08-11T01:15:03","Verified","Official Soka University Green Technology scholarship page confirms recruitment for international regular students enrolling in April 2027 under the MEXT Foreign Student Priority Placement Special Program."
"sch_jp_013","country_jp","Japan","Akita University","","Japanese Government MEXT Scholarship Undergraduate Program","Japanese Government MEXT","government","University-Based MEXT Program","2027","","Fully Funded","","","","JPY","","","upcoming","current","verified","","","","","","","","","","","https://www.akita-u.ac.jp/shigen/eng/reason/program.html","https://www.akita-u.ac.jp/shigen/eng/reason/program.html","2026-08-11T01:15:03","2026-08-11T01:15:03","Verified","Official Akita University source confirms April 2027 enrollment with six recipients. The application period for April 2027 admission is August 17 to September 18 2026. Scholarship includes a monthly stipend and admission and tuition fee waiver."
"sch_jp_017","country_jp","Japan","The University of Tokyo Graduate School of Engineering","","MEXT Scholarship International Multidisciplinary Engineering Graduate Program IME","Japanese Government MEXT","government","University Recommendation IME Graduate Program","2027","","Fully Funded","","","","JPY","","","upcoming","current","verified","","","","","","","","","","","https://www.ime.t.u-tokyo.ac.jp/Prospectus-2027.html","https://www.ime.t.u-tokyo.ac.jp/Prospectus-2027.html","2026-08-11T01:15:03","2026-08-11T01:15:03","Verified","Official UTokyo IME 2027 prospectus confirms that top qualified September applicants may receive the MEXT scholarship through University of Tokyo recommendation. The program offers Master of Engineering and Doctor of Engineering degrees and MEXT grantees receive entrance and tuition fee exemption."
"sch_jp_019","country_jp","Japan","The Graduate University for Advanced Studies SOKENDAI","","MEXT Scholarship Student SOKENDAI Recommendation PGP AI and Data Science","Japanese Government MEXT","government","SOKENDAI Recommendation PGP Special Program","2027","","Fully Funded","","","","JPY","","","upcoming","current","verified","","","","","","","","","","","https://www.soken.ac.jp/en/admission/application_info/ps/file/Phy_ApplicationGuideline-2027pgp.pdf","https://www.soken.ac.jp/en/admission/application_info/ps/file/Phy_ApplicationGuideline-2027pgp.pdf","2026-08-11T01:15:03","2026-08-11T01:15:03","Verified","Official SOKENDAI application guidelines confirm MEXT Scholarship Student SOKENDAI Recommendation PGP for October 2027. The Physiological Sciences route participates in the Interdisciplinary PhD Program in Information Science and Life Science for Leading Researchers on AI and Data Science."
